"Var1" "Freq"
"1" "14,44" 1
"2" "14,45,46,68" 1
"3" "14,71" 1
"4" "21,215" 1
"5" "21,25,38" 1
"6" "21,25,41" 1
"7" "21,25,44" 1
"8" "21,33" 1
"9" "21,357" 1
"10" "21,39,45" 1
"11" "21,42" 1
"12" "21,42,71" 1
"13" "21,43,45" 1
"14" "21,43,626" 1
"15" "21,43,657" 1
"16" "21,52" 1
"17" "21,72,626" 1
"18" "21,73" 1
"19" "21,826" 1
"20" "21,926" 1
"21" "21,97" 1
"22" "22,43" 1
"23" "23,237" 1
"24" "23,258" 1
"25" "23,26,45" 1
"26" "23,36" 1
"27" "23,38" 1
"28" "23,43" 1
"29" "23,45,237" 1
"30" "23,45,68" 1
"31" "23,58" 1
"32" "23,97,258" 1
"33" "237,926" 1
"34" "24,44" 1
"35" "24,45" 1
"36" "24,626" 1
"37" "25,28" 1
"38" "25,34" 1
"39" "255,273" 1
"40" "255,357" 1
"41" "257,857" 1
"42" "258,357" 1
"43" "26,258" 1
"44" "26,357" 1
"45" "26,43,45" 1
"46" "26,54" 1
"47" "26,54,257" 1
"48" "26,71" 1
"49" "26,72" 1
"50" "26,76" 1
"51" "28,43" 1
"52" "28,43,72" 1
"53" "28,46" 1
"54" "28,58" 1
"55" "28,68" 1
"56" "28,71" 1
"57" "28,92" 1
"58" "35,43" 1
"59" "38,43" 1
"60" "38,44,45" 1
"61" "38,44,71" 1
"62" "38,55" 1
"63" "41,273" 1
"64" "41,43" 1
"65" "41,43,72" 1
"66" "41,44" 1
"67" "41,68,278" 1
"68" "41,74" 1
"69" "42,255,273" 1
"70" "42,357" 1
"71" "42,373" 1
"72" "42,378" 1
"73" "42,44,71" 1
"74" "42,65" 1
"75" "42,65,71,273" 1
"76" "42,657" 1
"77" "42,68,71,495" 1
"78" "42,71,277" 1
"79" "42,71,278" 1
"80" "43,255" 1
"81" "43,273" 1
"82" "43,273,357,395" 1
"83" "43,357,373" 1
"84" "43,44,258" 1
"85" "43,44,45" 1
"86" "43,45,46" 1
"87" "43,45,55" 1
"88" "43,45,72" 1
"89" "43,46" 1
"90" "43,52,71" 1
"91" "43,54,357" 1
"92" "43,54,55" 1
"93" "43,54,55,626" 1
"94" "43,54,626" 1
"95" "43,54,657" 1
"96" "43,55,357" 1
"97" "43,55,57" 1
"98" "43,57" 1
"99" "43,58,257" 1
"100" "43,58,72" 1
"101" "43,61,72" 1
"102" "43,626,926" 1
"103" "43,657,857" 1
"104" "43,66" 1
"105" "44,215" 1
"106" "44,237" 1
"107" "44,255" 1
"108" "44,258,626" 1
"109" "44,278" 1
"110" "44,45,237" 1
"111" "44,45,71" 1
"112" "44,45,74" 1
"113" "44,46" 1
"114" "44,476" 1
"115" "44,54" 1
"116" "44,57" 1
"117" "44,578" 1
"118" "44,65,71" 1
"119" "44,68,72" 1
"120" "44,71,215" 1
"121" "44,71,377" 1
"122" "44,76,255" 1
"123" "45,236,436" 1
"124" "45,257" 1
"125" "45,357" 1
"126" "45,46,66" 1
"127" "45,46,68" 1
"128" "45,58" 1
"129" "45,61,626" 1
"130" "45,626,646" 1
"131" "45,65" 1
"132" "45,68,357,395" 1
"133" "45,68,72" 1
"134" "45,71" 1
"135" "45,72" 1
"136" "46,68" 1
"137" "51,56" 1
"138" "51,58,257" 1
"139" "51,58,75" 1
"140" "52,57,97" 1
"141" "54,255" 1
"142" "54,257,258" 1
"143" "54,258,576" 1
"144" "54,55,57" 1
"145" "54,55,58" 1
"146" "54,57" 1
"147" "54,58,357" 1
"148" "54,58,657" 1
"149" "54,626" 1
"150" "54,72" 1
"151" "54,76" 1
"152" "55,215,257" 1
"153" "55,257,258" 1
"154" "55,357" 1
"155" "55,57" 1
"156" "55,57,215" 1
"157" "55,57,257" 1
"158" "55,57,58" 1
"159" "55,58,215" 1
"160" "55,626" 1
"161" "56,58" 1
"162" "57,455" 1
"163" "57,58,258" 1
"164" "57,58,74" 1
"165" "57,58,75" 1
"166" "57,58,76" 1
"167" "58,215" 1
"168" "58,215,657" 1
"169" "58,255,257" 1
"170" "58,395" 1
"171" "58,576" 1
"172" "58,657" 1
"173" "58,857" 1
