"","PlotID0","FECHGR","anno.gr.x","mes.gr.x","PlotID","FechaIni","Cla","Subclase","anno.gr.y","mes.gr.y","diff.year"
"1",5.1055,920528,1992,5,"5.1055.A.1","2019-07-15","A","1",2019,7,27
"2",5.444,930824,1993,8,"5.444.A.1","2019-08-20","A","1",2019,8,26
"3",9.1041,920205,1992,2,"9.1041.A.1","2018-05-09","A","1",2018,5,26
"4",9.1544,920225,1992,2,"9.1544.A.1","2018-11-21","A","1",2018,11,27
"5",9.1596,920306,1992,3,"9.1596.A.1","2018-11-19","A","1",2018,11,27
"6",9.1718,920306,1992,3,"9.1718.A.1","2018-02-12","A","1",2018,2,26
"7",9.1719,920306,1992,3,"9.1719.A.1","2018-08-24","A","1",2018,8,27
"8",9.2468,920311,1992,3,"9.2468.A.1","2018-06-07","A","1",2018,6,26
"9",9.2674,920313,1992,3,"9.2674.A.1","2018-04-19","A","1",2018,4,26
"10",9.355,920211,1992,2,"9.355.A.1","2018-09-06","A","1",2018,9,27
"11",9.717,920226,1992,2,"9.717.A.1","2018-06-15","A","1",2018,6,26
"12",9.919,920302,1992,3,"9.919.A.1","2018-05-04","A","1",2018,5,26
"13",24.1275,930126,1993,1,"24.1275.A.1","2019-10-28","A","1",2019,10,27
"14",24.1289,930126,1993,1,"24.1289.A.1","2019-10-29","A","1",2019,10,27
"15",24.129,930120,1993,1,"24.1290.A.4","2019-10-31","A","4",2019,10,27
"16",24.1348,921120,1992,11,"24.1348.A.4","2019-10-14","A","4",2019,10,27
"17",24.732,930203,1993,2,"24.732.A.4","2019-09-11","A","4",2019,9,27
"18",24.919,930120,1993,1,"24.919.A.1","2019-10-29","A","1",2019,10,27
"19",24.989,930121,1993,1,"24.989.A.4","2019-11-11","A","4",2019,11,27
"20",34.213,920326,1992,3,"34.213.A.1","2019-05-09","A","1",2019,5,27
"21",34.259,920327,1992,3,"34.259.A.1","2019-07-08","A","1",2019,7,27
"22",34.312,920327,1992,3,"34.312.A.1","2019-03-11","A","1",2019,3,27
"23",34.354,920327,1992,3,"34.354.A.1","2019-05-30","A","1",2019,5,27
"24",34.384,920408,1992,4,"34.384.A.1","2019-05-22","A","1",2019,5,27
"25",34.385,920408,1992,4,"34.385.A.4","2019-04-22","A","4",2019,4,27
"26",34.388,920408,1992,4,"34.388.A.4","2019-05-23","A","4",2019,5,27
"27",34.398,920408,1992,4,"34.398.A.1","2019-05-24","A","1",2019,5,27
"28",34.407,920408,1992,4,"34.407.A.1","2019-03-12","A","1",2019,3,27
"29",34.476,920402,1992,4,"34.476.A.4","2019-05-10","A","4",2019,5,27
"30",34.486,920408,1992,4,"34.486.A.1","2019-04-25","A","1",2019,4,27
"31",34.581,920402,1992,4,"34.581.A.1","2019-04-23","A","1",2019,4,27
"32",40.1079,920512,1992,5,"40.1079.A.1","2018-12-03","A","1",2018,12,27
"33",42.1864,920110,1992,1,"42.1864.A.1","2019-04-10","A","1",2019,4,27
"34",42.972,920109,1992,1,"42.972.A.1","2019-04-01","A","1",2019,4,27
"35",49.134,921028,1992,10,"49.134.A.1","2019-09-10","A","1",2019,9,27
"36",49.352,921029,1992,10,"49.352.A.4","2019-07-22","A","4",2019,7,27
"37",49.582,921028,1992,10,"49.582.A.1","2019-08-28","A","1",2019,8,27
"38",49.6,921027,1992,10,"49.60.A.1","2019-08-02","A","1",2019,8,27
"39",49.6,921027,1992,10,"49.6.A.1","2019-07-24","A","1",2019,7,27
"40",49.673,921030,1992,10,"49.673.A.1","2019-07-26","A","1",2019,7,27
