"","PlotID0","PlotID.x","FechaIni.x","Cla.x","Subclase.x","anno.gr.x","mes.gr.x","PlotID.y","FechaIni.y","Cla.y","Subclase.y","anno.gr.y","mes.gr.y","diff.year"
"1",9.1016,"9.1016.A.1","03/31/03 00:00:00","A","1",2003,3,"9.1016.A.1","2018-04-18","A","1",2018,4,15
"2",9.1213,"9.1213.A.4","06/11/03 00:00:00","A","4",2003,6,"9.1213.A.4","2018-08-09","A","4",2018,8,15
"3",9.1226,"9.1226.A.1","06/04/03 00:00:00","A","1",2003,6,"9.1226.A.4","2018-09-06","A","4",2018,9,15
"4",9.1227,"9.1227.A.1","06/04/03 00:00:00","A","1",2003,6,"9.1227.A.1","2018-08-10","A","1",2018,8,15
"5",9.1231,"9.1231.A.1","06/05/03 00:00:00","A","1",2003,6,"9.1231.A.1","2018-09-10","A","1",2018,9,15
"6",9.1236,"9.1236.A.4","04/15/03 00:00:00","A","4",2003,4,"9.1236.A.1","2018-08-24","A","1",2018,8,15
"7",9.1241,"9.1241.A.1","04/08/03 00:00:00","A","1",2003,4,"9.1241.A.1","2018-09-18","A","1",2018,9,16
"8",9.1252,"9.1252.A.4","04/15/03 00:00:00","A","4",2003,4,"9.1252.A.1","2018-11-24","A","1",2018,11,16
"9",9.1256,"9.1256.A.1","03/03/03 00:00:00","A","1",2003,3,"9.1256.A.1","2018-11-05","A","1",2018,11,16
"10",9.1271,"9.1271.A.1","05/19/03 00:00:00","A","1",2003,5,"9.1271.A.1","2018-10-23","A","1",2018,10,16
"11",9.1278,"9.1278.A.1","05/19/03 00:00:00","A","1",2003,5,"9.1278.A.1","2018-11-22","A","1",2018,11,16
"12",9.1284,"9.1284.A.4","05/23/03 00:00:00","A","4",2003,5,"9.1284.A.1","2018-10-24","A","1",2018,10,16
"13",9.1295,"9.1295.A.1","05/29/03 00:00:00","A","1",2003,5,"9.1295.A.1","2018-11-25","A","1",2018,11,16
"14",9.1339,"9.1339.A.1","04/01/03 00:00:00","A","1",2003,4,"9.1339.A.1","2018-11-13","A","1",2018,11,16
"15",9.134,"9.1340.A.1","04/07/03 00:00:00","A","1",2003,4,"9.1340.A.1","2018-10-08","A","1",2018,10,16
"16",9.1347,"9.1347.A.1","04/01/03 00:00:00","A","1",2003,4,"9.1347.A.1","2018-08-23","A","1",2018,8,15
