"","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","Ano","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","FechaIni","HoraIni","FechaFin","HoraFin","Origen","PlotID0","PlotID"
"9636",9,2510,"A","1",0,"1997","","4-1","1982","03","4952",2018,1,1,1,95,70,1,1,1,1,3,4,1,2,1,1,2,2,NA,NA,1,0,0,0,0,49,NA,1.75,NA,2,2,1,"PARCELA LOCALIZADA MEDIANTE ORTOFOTO Y PIES IFN3. DESPLAZADA EN IFN3 POR TESELAS. 10% RESTO SP. PIES AFECTADOS POR MUERDAGO Y FUSARIUM. LEVANTAMIENTO DIFICULTADO POR NO TENER CROQUIS. SE HA BARRENADO OTRO 023, YA QUE EL SELECCIONADO POR TERMINAL ERA BIFURCADO POR DEBAJO.
[Pies Mayores] PIE 1 IFN4 DIAMETROS COMPROBADOS. 026 A 16M Y 107G SE VA POR DIAMETRO. PIE 17 IFN4 ALTURA COMPROBADA. ",2018-06-20,2000-01-01,2018-06-20,2000-01-01,9,"9.2510","9.2510.A.1"
"9641",9,2520,"A","1",0,"1982","03","4951","1997","","3-2",2018,1,1,1,95,70,1,2,2,2,2,4,1,2,1,1,5,2,NA,NA,1,0,0,0,0,65,100,2.25,2,2,2,1,"PARCELA LOCALIZADA MEDIANTE ORTOFOTO Y PIES IFN3. HAY SALVIA. FUERA DE 10M HAY ERICA, DAPHNE, LINUS, UVA-URSI, LITHODORA Y HELIANTHENUM. PIES AFECTADOS POR MUERDADO Y FUSARIUM. LEVANTAMIENTO 2 POR CALIDAD DE MADERA. CAMBIO FOTO 2, YA QUE HAY UN 023 CAIDO. SE OBSERVAN CORTAS ANTIGUAS.
[Pies Mayores] CAMBIOS DE FORMAS 3 A 2 LOGICAS COMPROBADAS. PIE 2 IFN4 CALIDAD COMPROBADA. PIE 7 IFN4 AFECTADO POR GRAN ESCOBA DE BRUJA (REFERENCIA).
[Selvicultura]",2018-06-19,2000-01-01,2018-06-19,2000-01-01,9,"9.2520","9.2520.A.1"
"9646",9,2533,"A","1",0,"1982","03","4951","1997","","3-2",2018,1,1,1,100,55,1,2,1,1,2,4,1,2,1,1,2,1,NA,NA,1,0,0,0,0,140,NA,1,NA,1,2,1,"PARCELA LOCALIZADA MEDIANTE ORTOFOTO Y PIES IFN3. RUMBOS COMPROBADOS. PIES AFECTADOS POR FUEGO MUY ANTIGUO, QUE YA NO SE CONSIDERA MALA CALIDAD. FUERA DE 10M HALINIUM UMBELLATUM. HAY SALVIA. A 5.2M HAY REGENERACION DE CRATAEGUS. CAMBIO MODELO COMBUSTIBLE. LEVANTAMIENTO 2 POR ESTUDIO DE CALIDAD DE MADERA. CAMBIO RUMBO FOTOS.
[Pies Mayores] A 3.1M Y 3G 023 SE VA POR DIAMETRO. A 17.8M Y 150G CONSIDERO 023 BIFURCADO POR DEBAJO AUNQUE ESTE A 1.4M APROX. PIE 7 IFN4 MEDIDO CON CINTA METRICA ( 2.55M = 812MM). PIE 9 IFN4 MEDIDO A 1.2M POR RAMAS. PIE 11 IFN4 MEDIDO CON CINTA METRICA (2.27M = 723MM). PIE 11 IFN4 FORMA Y RES COMPROBADA. PIE 14 IFN4 ESTA SOLDADO A OTRO PIE 026, PERO NO CONSIDERO BIFURCADO POR DEBAJO. PIE 16 IFN4 FORMA Y AGENTE COMPROBADO. A 2.8M Y 372G 023 SE VA POR DIAMETRO. ",2018-07-11,2000-01-01,2018-07-11,2000-01-01,9,"9.2533","9.2533.A.1"
"39392",37,254,"A","1",0,"1984","M","0003","1997","","3-4",2018,1,1,1,100,65,1,2,1,1,2,4,1,2,1,1,9,1,NA,NA,0,0,0,0,0,380,0,0.25,0,2,2,1,"[Identificación] Rejon localizado mediante croquis y estadillo del anterior jefe de equipo.
[Pies Mayores] A 72g un 026 no entra por distancia: 15.1m al frente. A 110g un 023 no entra por distancia:15.2m al lateral.",2018-11-30,2000-01-01,2018-11-30,2000-01-01,37,"37.254","37.254.A.1"
"40383",40,85,"A","1",0,"1984","M","0008","2002","","4-3",2019,1,1,1,100,70,1,2,1,1,2,4,1,2,1,1,2,3,NA,NA,1,0,NA,0,NA,271,NA,4,NA,2,2,1,"-PARCELA LOCALIZADA MEDIANTE EL USO DE FOTOGRAFIA AEREA CROQUIS Y PIES MAYORES DEL IFN3.
-SE HA REALIZADO UN GRAN CLAREO DE LOS PIES MAS GRANDES.
[ClaEsp. Resto de especies=20%]-RESERVO UN 20% PARA EL RESTO DE ESPECIES.
[Pies Mayores]-RESPETO EL 1 ARBOL DEL IFN3 0G TENIENDOLO A 395G YA FUE RESPETADO EN EL IFN3 DEL IFN2.
[PiesMay 16-23]-MEDIDO CON CINTA Y SE BIFURCA POR ENCIMA DE LOS 6M.
[PiesMay 17-26]-TIENE PROCESIONARIA.
[Riesgos]-OTRO MODELO DE COMBUSTIBLE 04.
[Selvicultura]-PODAS MUY ANTIGUAS NO LAS CONSIDERO COMO TAL.
[PiesMay 4-23]-CAMBIO LA ESPECIE 026 POR LA 023 YA QUE CONSIDERO QUE ES UN PINUS PINEA. DUDA RESUELTA POR LA OFICINA TECNICA.",2019-05-10,2000-01-01,2019-05-10,2000-01-01,40,"40.85","40.85.A.1"
"40390",40,95,"A","1",0,"1984","M","0003","2002","","3-3",2019,1,1,1,90,50,1,2,1,1,3,4,1,2,1,1,9,2,NA,NA,1,0,0,0,0,256,0,0.25,0,1,2,1,"[Identificación]Parcela localizada mediante fotos, croquis y pies del IFN3.
En la parcela habia antiguamente explotacion de resina, pero todos los pinaster resinados les han cortado o estan muertos en pie. 
[Pies Mayores]A 14.9 m y 347g pinaster no entra por distancia lateral.",2019-03-06,2000-01-01,2019-03-06,2000-01-01,40,"40.95","40.95.A.1"
"40555",40,373,"A","1",0,"1984","K","0012","2002","","2-4",2019,1,1,1,95,50,1,2,1,1,2,4,1,2,1,1,2,2,NA,NA,1,4,0,0,0,230,0,0.25,0,1,1,1,"[Identificación]Parcela localizada mediante fotos croquis y pies del IFN3.
[PiesMay 11-23]Medido con cinta, perimetro 200cm.
[PiesMay 3-23]
[Regeneración]No hay en 5m.",2019-05-30,2000-01-01,2019-05-30,2000-01-01,40,"40.373","40.373.A.1"
"40574",40,398,"A","1",0,"1984","L","0014","2002","","4-4",2019,1,1,1,100,60,1,2,1,1,2,4,1,2,1,1,5,3,NA,NA,1,0,0,0,0,316,0,3.25,0,1,1,1,"[Identificación]Parcela localizada mediante fotos, croquis y pies del IFN3.
[Pies Mayores]A 280g 24.9m al frente y 25.2 al lateral pinea no entra por distancia.
[PiesMay 999-26]Pie que al anterior jefe de equipo le entraba y actualmente por la resinacion no entra, el codigo que corresponde es 777. El metodo actual de resinacion es rayon con 8 anos abiertos.
La parcela esta resinada actualmente por rayon, pero tambien tiene anteriores por pica de corteza.
Levantada con lluvia y en presencia del tecnico Rodrigo Fernandez. ",2019-04-23,2000-01-01,2019-04-23,2000-01-01,40,"40.398","40.398.A.1"
"40595",40,432,"A","1",0,"1984","J","0004","2002","","1-1",2019,1,1,1,100,70,1,2,1,1,2,4,1,2,1,1,9,3,NA,NA,0,0,0,0,0,200,0,0.25,0,3,2,1,"[Identificación]Parcela localizada mediante fotos, croquis y pies del IFN3.
Hay Cistus laurifolius fuera de 10m.",2019-03-07,2000-01-01,2019-03-07,2000-01-01,40,"40.432","40.432.A.1"
"40604",40,444,"A","1",0,"1984","K","0003","2002","","1-3",2019,1,1,1,100,70,1,2,1,1,2,4,1,2,1,1,2,2,NA,NA,0,0,0,0,0,100,0,0.25,0,2,1,1,"[Identificación]Parcela localizada mediante fotos, croquis y pies del IFN3.
[Regeneración]No hay.",2019-03-15,2000-01-01,2019-03-15,2000-01-01,40,"40.444","40.444.A.1"
