"","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","PlotID0","CoorX","CoorY","Origen"
"610",1,613,0,960607,0,34,4,5,0,NA,960607,0,"0112","1","0112108","522","4759","96","018","0","2","0","0","07","07","0","4","1","1","08","70","41","41","7","7","4","4","43","72","3","2","4","4","00",NA,"0",NA,"0",NA,"41","3","6",NA,"72","3","6",NA,NA,NA,NA,NA,"41","72","3","15","55","16","71","2","03","W","20","1",NA,NA,NA,"1","2","0",NA,"0",NA,"0",NA,NA,"01","395",NA,"05,25",NA,"1.613",522000,4759000,1
"26656",15,1686,NA,890910,NA,NA,NA,NA,NA,"S",891810,NA,"0069","1","0069J03","518","4777","86","029","6","6","0","0","02","02","3","3","9","1","60","80","26","72","0","6","4","4",NA,"41",NA,"3",NA,"4",NA,"94",NA,"1",NA,"4","72","3","1",NA,"41","3","1",NA,"94","3","1",NA,"72","41","94",NA,NA,NA,NA,"2","7","G","18",NA,NA,NA,"1","1","3",NA,"0",NA,"0","4",NA,NA,"01","370",NA,"4.00",NA,"15.1686",518000,4777000,15
"27286",15,2671,NA,890410,NA,NA,NA,NA,NA,"S",893010,NA,"0095","1","0095k06","552","4752","86","066","6","6","0","0","03","03","3","3","9","1","70","80","61","41","9","7","4","4","26","72","1","3","4","4",NA,NA,NA,NA,NA,NA,"41","3","1",NA,"72","3","1",NA,NA,NA,NA,NA,"41","72","61","26","99",NA,NA,"2","04","w","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","12",NA,"3.75",NA,"15.2671",552000,4752000,15
"27611",15,531,NA,891107,NA,NA,NA,NA,NA,"S",890211,NA,"0022","2","0022L05","574","4807","86","015","6","6",NA,"0","01","01","5","5","9","1","90","60","40","41","3","5","4","4","73","72","2","4","4","4","72","73","2","1","4","3","41","3","6",NA,"72","3","1",NA,"73","3","1",NA,"41","72","73","74","65","99",NA,"2","10","G","12",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,"M412","M414","126",NA,"9.75",NA,"15.531",574000,4807000,15
"27628",15,549,NA,891107,NA,NA,NA,NA,NA,"S",890311,NA,"0022","2","0022L06","576","4807","86","050","6","6",NA,"0","01","01","5","5","9","1","90","70","40","72","3","5","4","4","73","41","2","4","4","4","72","74","2","1","4","1","72","3","6",NA,"41","3","6",NA,"74","3","6",NA,"72","41","57","74","99",NA,NA,"2","06","G","19",NA,NA,"1","1","1","3",NA,"0",NA,"0","0",NA,NA,"G103","388","280","10.00","8.00","15.549",576000,4807000,15
"27657",15,579,NA,891207,NA,NA,NA,NA,NA,"S",890311,NA,"0022","2","0022L08","580","4805","86","050","6","6",NA,"0","03","03","4","5","9","1","60","90","40","72","3","7","4","3","72","41","2","3","4","3","73",NA,NA,NA,"4",NA,"72","3","6",NA,"41","3","6",NA,NA,NA,NA,NA,"72","41","73","99",NA,NA,NA,"2","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"P303","366",NA,"9.25",NA,"15.579",580000,4805000,15
"27687",15,611,NA,891307,NA,NA,NA,NA,NA,"S",890411,NA,"0022","2","0022M09","586","4801","86","050","6","6","0","0","04","04","4","5","9","1","50","80","40","41","6","7","4","4","73","72","4","3","4","3",NA,NA,NA,NA,NA,NA,"41","3","6",NA,"72","3","6",NA,NA,NA,NA,NA,"41","72",NA,"99","73",NA,NA,"2","06","G","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"P202","12",NA,"12.25",NA,"15.611",586000,4801000,15
"28126",15,1091,NA,890610,NA,NA,NA,NA,NA,"S",893110,NA,"0045","1","0045M07","555","4782","86","001","6","6","0","0","02","02","3","4","9","1","60","95","26","72","4","6","4","4","61","41","3","2","4","4","40","65","2","1","4","2","72","3","6",NA,"41","3","6",NA,"65","3","6",NA,"72","41","65","74","94",NA,NA,"2","06","G","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,NA,"01","344",NA,"5.50",NA,"15.1091",555000,4782000,15
"28129",15,1094,NA,890610,NA,NA,NA,NA,NA,"S",893110,NA,"0045","1","0045L07","556","4786","86","001","6","6","0","0","01","01","4","5","9","1","60","90","26","72","4","5","4","4","28","41","2","3","4","3","61","61","3","2","4","4","72","3","6",NA,"41","3","6",NA,"61","3","6",NA,"72","41","61","54","31",NA,NA,"2","4","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,"P102","P302","190","60","9.75","8.75","15.1094",556000,4786000,15
"28161",15,1299,NA,891311,NA,NA,NA,NA,NA,"S",891411,NA,"0046","1","0046L07","580","4786","86","003","6","6","0","0","03","03","5","5","9","1","60","80","26","41","6","7","4","4","28","72","4","3","4","4",NA,NA,NA,NA,NA,NA,"41","3","6",NA,"72","3","6",NA,NA,NA,NA,NA,"41","72","99","74",NA,NA,NA,"4","0","D","1",NA,NA,NA,"0","1","2",NA,"0",NA,"0","0",NA,NA,"M414","350",NA,"14.00",NA,"15.1299",580000,4786000,15
"28495",15,2931,NA,892208,NA,NA,NA,NA,NA,"S",891710,NA,"0096","1","0096J10","583","4758","86","080","6","6","0","0","05","05","3","3","9","1","60","30","40","72","7","5","4","4","73","41","2","4","4","4",NA,"76",NA,"1",NA,"4","72","3","3",NA,"41","3","3",NA,"76","3","3",NA,"72","41","76",NA,NA,NA,NA,"2","02","W","20",NA,NA,NA,"1","9","2",NA,"0","4","1","4",NA,NA,"01","105",NA,"3.50",NA,"15.2931",583000,4758000,15
"28498",15,2934,NA,892208,NA,NA,NA,NA,NA,"S",891710,NA,"0096","1","0096J11","585","4757","86","080","6","6","0","0","05","05","3","2","9","1","40","65","40","41","7","7","4","4","73","72","2","3","4","4",NA,NA,NA,NA,NA,NA,"41","3","6",NA,"72","3","6",NA,NA,NA,NA,NA,"41","72","28",NA,NA,NA,NA,"2","02","W","20",NA,NA,NA,"1","9","2",NA,"0",NA,"1","0",NA,NA,"01","166",NA,"2.25",NA,"15.2934",585000,4757000,15
"29632",15,1969,NA,891206,NA,NA,NA,NA,NA,"S",900103,NA,"0070","1","0070L09","559","4769","86","038","6","6","0","0","03","03","2","3","9","1","80","80","40","41","0","6","4","4",NA,"72",NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,"41","3","1",NA,"72","3","1",NA,NA,NA,NA,NA,"41","72","54","57","94",NA,NA,"2","08","G","16",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","131",NA,"3.00",NA,"15.1969",559000,4769000,15
"29634",15,1971,NA,891206,NA,NA,NA,NA,NA,"S",900103,NA,"0070","1","0070J09","560","4778","86","026","6","6","0","0","02","02","4","5","9","1","60","40","26","72","6","8","4","4","40","41","4","2","4","4",NA,NA,NA,NA,NA,NA,"72","3","6",NA,"41","3","6",NA,NA,NA,NA,NA,"72","41","73","99","74",NA,NA,"2","03","W","09",NA,NA,NA,"2","1","2",NA,"0",NA,"0","0",NA,NA,"G414","243","41","16.00","7.50","15.1971",560000,4778000,15
"29655",15,1992,NA,891506,NA,NA,NA,NA,NA,"S",900203,NA,"0070","1","0070L11","563","4769","86","047","6","6","0","0","03","03","2","2","9","1","80","70","26","41","0","7","4","4",NA,"72",NA,"3",NA,"4",NA,NA,NA,NA,NA,NA,"41","3","1",NA,"72","3","1",NA,NA,NA,NA,NA,"41","72","28","36","61",NA,NA,"2","4","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","104",NA,"2.00",NA,"15.1992",563000,4769000,15
"29697",15,2034,NA,892007,NA,NA,NA,NA,NA,"S",900503,NA,"0071","1","0071L03","572","4769","86","090","6","6","0","0","04","04","2","2","9","1","60","90","40","41","0","8","4","3",NA,"72",NA,"2",NA,"3",NA,NA,NA,NA,NA,NA,"41","3","6",NA,"72","3","6",NA,NA,NA,NA,NA,"41","72","26",NA,NA,NA,NA,"2","08","G","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"P103","20",NA,"1.00",NA,"15.2034",572000,4769000,15
"29709",15,2046,NA,890208,NA,NA,NA,NA,NA,"S",900503,NA,"0071","2","0071J08","577","4777","86","032","6","6","0","0","04","04","2","2","9","1","70","80","26","72","6","6","4","4","40","41","4","4","4","4",NA,NA,NA,NA,NA,NA,"72","3","6",NA,"41","3","6",NA,NA,NA,NA,NA,"72","41","64",NA,NA,NA,NA,"2","05","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","363",NA,"1.25",NA,"15.2046",577000,4777000,15
"29711",15,2048,NA,890609,NA,NA,NA,NA,NA,"S",900503,NA,"0071","1","0071M05","577","4766","86","090","6","6","0","0","05","05","2","2","9","1","40","25","26","41","0","5","4","4",NA,"72",NA,"4",NA,"4",NA,"28",NA,"1",NA,"4","41","3","6",NA,"72","3","6",NA,"28","3","1",NA,"41","72","99","28",NA,NA,NA,"2","02","W","16",NA,NA,NA,"1","2","2",NA,"0",NA,"0","0",NA,NA,"01","144",NA,"2.00",NA,"15.2048",577000,4766000,15
"39696",20,7,0,960308,0,9,4,5,1,NA,960308,0,"0041","1","0041414","601","4799","96","045","0","7","0","0","00","00","0","5","1","1","03","50","28","28","9","5","5","3","00","41","0","2","0","4","00","48","0","2","0","4","28","1","2","10","41","3","6",NA,"48","3","6",NA,"28","41","48","15","57","65","72","2","04","W","20","1",NA,NA,NA,"1","2","0",NA,"0",NA,"1",NA,NA,"01","115",NA,"10,00",",","20.7",601000,4799000,20
"39741",20,52,0,960328,0,16,4,4,1,NA,960328,0,"0063","1","0063916","563","4790","96","003","0","5","0","0","03","03","0","4","1","1","01","70","28","28","9","0","2","2","00",NA,"0",NA,"0",NA,"00",NA,"0",NA,"0",NA,"28","1","2","10",NA,NA,NA,NA,NA,NA,NA,NA,"28","73","3","34","57",NA,NA,"3","05","G","20","1",NA,NA,NA,"1","1","0",NA,"2","4","0",NA,NA,"G704","291",NA,"04,25",",","20.52",563000,4790000,20
