"","CoorX","CoorY","PlotID0","Origen","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","Ano","INE","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","FechaPh","HoraPh","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","Equipo","JefeEq","FechaIni","HoraIni","FechaFin","HoraFin","Tiempo","Resid","RumboF1","RumboF2","DistFoto","CarFoto1","NumFoto1","ConFoto1","CarFoto2","NumFoto2","ConFoto2","Estado","Tecnico","PlotID"
"6625",473000,4790000,"48.216",48,48,216,"A","1",0,1995,"08","0004","2002","","2-3 ","2005","",1,"1","1",100,75,1,2,3,3,2,4,"","",1,2,1,1,5,4,NA,NA,"0","0","","0","",115,NA,9.8,NA,2,"2",3,"ENCONTRADO EL REJON POR LOS PIES MAYORES Y FOTO DEL IFN2.
48,PARCELA DESPLAZADA EN EL IFN2(VER CROQUIS IFN2).
48,PARCELA UBICADA EN UN BOSQUETE DE FRONDOSAS Y RODEADA POR UNA REPOBLACION JOVEN  DE PINO,Y EL RADIO DE LA PARCELA TOCA DICHA REPOBLACION.ANTERIOR A LA REPOBLACION ERAN PRADOS.
48,FCC ARBOREA Y OCUPACION COMPROBADA.
48,20% RESTO SP.
48,ROBLES CON ALGUN DEFOLIADOR.
48,CASTAÑOS AFECTADOS POR LA TINTA Y DEFOLIADORES;TAMBIEN LAS ENCINAS TIENEN HONGOS EN HOJAS Y DEFOLIADORES.
48,ALGUNOS ROBLES PARECEN ESTAR HIBRIDADOS.
48,PIE 4 DIAM COMPROBADOS Y MEDIDO A 1.10 MT PARA LIBRAR RAMA.
48,PIE 7 DIFERENCIAS EN DIAM,ESTAN COMPROBADOS.
48,ROBLE PEDUNCULADO A 113 GRADOS Y 21.30 MT CON DIAM 428-405,NO ENTRA.
48,PIE 9 DIFERENCIAS EN DIAMETROS,ESTAN COMPROBADOS,LECTURA HIPSOMETRO UN POCO ESTIMADA,ESTA DETRAS DE UN MONTICULO Y NO SE VE BIEN.
48,PIE 11 MEDIDO A 0.80 MT PARA LIBRAR ENGROSAMIENTO.
48,PIE 13 MEDIDO CON CINTA,Y FORMA COMPROBADA Y CORRECTA.
48,ROBLE A 202 GRADOS Y 25.30 MT AL FRENTE SIN PTE NO ENTRA POR DISTANCIA.
48,PIE 15 FORMA Y HT COMPROBADA Y CORRECTA;MEDIDO CON CINTA Y ESTA HUECO Y SOLO TIENE MEDIO TRONCO MEDIBLE.
48,PIE 17 HT COMPROBADA.
48,PIE 18 HT COMPROBADA.
48,PIE 20 SP Y HT COMPROBADO Y CORRECTO;TIENE BASTANTES RAMAS PARTIDAS POR VENDABALES.
48,PIE 23 HT Y FORMA COMPROBADA Y CORRECTA;MEDIDO CON CINTA,Y ESTA HUECO.DENDROMETRIA COMPROBADA.
48,OTRO MODELO DE COMBUSTIBLE POR LOS ALREDEDORES,04,PLANTACION JOVEN DE PINO.
48,ALGUN ARBOL CON CUELLOS DE RAICES AL DESCUBIERTO,NO LO CONSIDERE COMO TAL YA QUE SON POCOS PIES.
48,AUNQUE HASYAN CORTADO UN PAR DE PIES EN LA PARCELA,NO LO CONSIDERE COMO CORTA.
48,LEVANTAMIENTO DIFICULTOSO POR LAS ZARZAS Y PTE.
48,HAY ALGO DE PASTO,MUSGOS Y HELECHOS.
48,GPS NO COGE SATELITES POR LA ESPESURA DE LA MASA.
48,
48,
48,
48,
48,
48,
48,
48,",3,9900000000000062,"11/11/05 00:00:00","12/30/99 11:34:31","11/11/05 00:00:00","12/30/99 14:28:53",NA,"48090","200","370","10",473949,10,30,473949,11,29,"T",9900000030024400,"48.216.A.1"
"6893",481996,4785998,"48.236",48,48,236,"A","1",0,1995,"10","9932","2002","","4-2 ","2005","",1,"1","1",100,90,1,2,1,2,2,4,"","",1,2,1,1,5,1,NA,NA,"0","0","","0","",36,NA,13.5,NA,1,"2",2,"[IDENTIFICACIÓN Y CLASIFICACIÓN]FCCA Y FCCT COMPROBADAS Y CORRECTAS.
48,[CLAESP. RESTO DE ESPECIES=10%]
48,[PIES MAYORES]PIE 2,3,4,5,16 ENTRAN POR PENDIENTE.
48,REJON ENCONTRADO POR FOTO AEREA Y PIES DE IFN2.
48,EN EL LEVANTAMIENTO HA ESTADO PRESENTE EL TECNICO DE TRAGSATEC DAVID GARCIA.",3,9900000030024392,"09/14/05 00:00:00","12/30/99 12:08:32","09/14/05 00:00:00","12/30/99 14:30:48",NA,"48090","350","90","8",222041,20,20,222041,21,19,"T",9900000030024400,"48.236.A.1"
"6951",483000,4783128,"48.259",48,48,259,"A","1",0,1995,"11","9818","2002","","4-4 ","2005","",1,"1","1",100,100,1,2,1,3,2,4,"","",1,2,1,1,5,2,NA,NA,"0","0","","0","",3,NA,15,NA,2,"3",3,"PARCELA LOCALIZADA POR FOTO AEREA Y PIES DE IFN2.
48,FCCT Y FCCA COMPROBADA Y CORRECTA.
48,[CLAESP. RESTO DE ESPECIES=10%]
48,[PIESMAY 007]DISTANCIA Y RUMBO COMPROBADOS.
48,[PIESMAY 011-]ENTRA POR PENDIENTE
48,[PIESMAY 013-]ENTRA POR PENDIENTE.
48,[PIESMAY 014-]ENTRA POR PENDIENTE.
48,[PIESMAY 023-]ENTRA POR PENDIENTE.
48,
48,",3,9900000030024392,"09/19/05 00:00:00","12/30/99 12:17:17","09/19/05 00:00:00","12/30/99 14:37:16",NA,"48090","280","70","5",222041,26,14,222041,27,13,"T",9900000030024400,"48.259.A.1"
"7033",485000,4788000,"48.371",48,48,371,"A","1",0,1995,"09","0015","2002","","3-1 ","2005","",1,"1","1",100,70,1,2,1,2,2,4,"","",1,2,1,1,6,4,NA,NA,"2","0","","0","",40,NA,7.5,NA,2,"2",2,"ENCONTRADO EL REJON POR LAS REFERENCIAS Y FOTO DEL IFN2.EN EL IFN2,HABIA UNA PARTE DE PINOS RADIATAS LATIZAL,Y ESTE EN OCASIONES PUEDE SER ALTO..10% RESTO SP.QUERCUS ROBUR,Y CASTANOS CON DEFOLiADORES EN HOJAS,Y TAMBIEN ALGUNO TIENE  HIEDRA.
48,PIE 1 TAMBIEN ESTA ALGO DOMINADO.
48,PIE 2 HT Y DIAMETROS  COMPROBADOS Y CORRECTOS,TAMBIEN TIENE HIEDRA(ABUNDANTE).PIE 3 TAMBIEN TIENE HIEDRA.
48,CASTANO A 64 GRADOS Y 8.70 MT CON DIAM 117-126,NO ENTRA POR DIAMETROS.
48,A 164 GRADOS Y 15.80 MT AL FRENTE SIN PTE,UN QUERCUS ROBUR NO ENTRA POR DISTANCIA(TIENE UNA BIFURCACION SECA).
48,A 172 GRADOS Y 25.40 MT AL FRENTE CON PTE DE 4.25,Y DIAM 399-450,NO ENTRA.PIE 9 HT Y DIAMETROS  COMPROBADOS  Y CORRECTOS,MEDIDO CON CINTA,TAMBIEN TIENE HIEDRA.
48,PIE 11 HT COMPROBADA Y CORRECTA.
48,A 257 GRADOS Y 25.20 MT AL FRENTE SIN PTE,UNA ROBINIA PSEUDOACACIA,SE VA DE DISTANCIA.
48,PIE 14 RUMBO, DIAMETROS Y HT COMPROBADOS Y CORRECTOS.
48,DENDROMETRIA COMPROBADA Y CORRECTA.FUERA DE LOS 25 MT  MAJUELO,Y FALSA ACACIA.FUERA DE LOS 5.0 MT HAY REGENERACION DE ACEBO.
48,FUERA DE LOS 10 MT HAY RUSCO.
48,HAY HELECHOS Y PASTO.",3,9900000000000062,"07/05/05 00:00:00","12/30/99 09:21:47","07/05/05 00:00:00","12/30/99 11:36:37",NA,"48090","370","125","10",222012,36,4,222012,37,3,"T",9900000000000414,"48.371.A.1"
"7169",488021,4780994,"48.468",48,48,468,"A","3E",0,2002,"","3-3 ","1995","11","0015","2005","",1,"1","1",100,85,1,2,2,2,2,4,"","",1,2,1,2,9,6,NA,NA,"0","0","","0","",300,NA,13.5,NA,3,"2",3,"PARCELA A3E DE CAMPO. PINCHADA SEGUN CRUCE DE COORDENADAS DE LA ORTOFOTO DEL IFN2. 
48,10% RESTO ESPECIES.
48,FCC ARBOREA Y OCUPACION COMPROBADO Y CORRECTO.
48,PARCELA DESPLAZADA 27MT Y 135G PARA SEPARARLA DE LA OTRA TESALA Y CENTRARLA EN LA SUYA.
48,ROBLES, CASTAÑOS Y SALIX CAPREA CON DEFOLIADORES.
48,DIA NUBLADO Y MASA MUY ESPESA, COORDENADAS DEL GPS, NO MUY FIABLES.
48,DENDROMETRIA COMPROBADA.
48,CASTAÑO A 15,3MT SIN PENDIENTE Y 4G NO ENTRA POR DISTANCIA.
48,ROBLE A 16,3MTCON PENDIENTE 8,5 A 46G NO ENTRA POR DISTANCIA.
48,SALIX A 17,9MT Y 187G NO ENTRA POR DISTANCIA (DIAMETRO 444-397MM)
48,ROBLE A 12,6MT Y 347G NO ENTRA POR DISTANCIA
48,ARBOL 1 IFN3 TAMBIEN DOMINADO.
48,ARBOL 9 IFN 3 TAMBIEN DOMINADO.
48,ARBOL 17 IFN3 MEDIDO CON CINTA. TAMBIEN DOMINADO.
48,ARBOL 18 IFN3 MEDIDO A 1,2MT. HT. COMPROBADA, PRESENTA UNA SOLA RAMA VIVA.
48,ARBOL 19 IFN3 COMPROBADO. HT ESTIMADA.
48,ARBOL 22 IFN3 CON MUCHA HIEDRA.
48,ARBOL 31 IFN3 MEDIDO A 1,1MT.
48,ARBOL 33 IFN3 TAMBIEN DOMINADO.
48,ARBOL 35 IFN3 MEDIDO CON CINTA A 1MT.
48,ARBOL 36 IFN3 TAMBIEN DOMINADO.
48,DIFICULTADES PARA MEDIR LAS ALTURAS.
48,REGENERACION DE 45 Y 215 FUERA DE LOS 5 MT.
48,MATORRAL: ERICA VAGANS, SMILAX ASPERSA, DABOECIA CANTABRICA, FUERA DE LOS 10MT.
48,HAY PASTO, MUSGO Y HELECHOS. ZONA FRECUENTADA POR GANADO VACUNO.
48,ESPECIES PRESENTES: PINO SILVESTRE DISPERSO DE SEMILLA FUERA DE LOS 25MT.
48,TEXTURA DEL SUELO FRANCO ARCILLOSA, PH COMPROBADO.",3,9900000000000062,"08/22/05 00:00:00","12/30/99 10:29:47","08/22/05 00:00:00","12/30/99 10:29:47",NA,"48090","165","320","10",224373,14,14,224373,13,13,"T",9900000030024400,"48.468.A.3E"
"7213",489000,4793000,"48.322",48,48,322,"A","3E",0,2002,"","1-3 ","1995","07","0013","2005","",1,"1","1",100,70,1,2,1,2,2,4,"","",1,2,1,1,6,3,NA,NA,"0","0","","0","",190,NA,3.8,NA,2,"1",3,"PARCELA A3E DE GABINETE;Y PINCHADA SEGUN CRUCE DE COORDENADAS DE LA ORTOFOTO DEL IFN3.PARCELA DESPLAZADA 25 MT Y 340 GRADOS PARA SEPARARLA DE OTRA TESELA Y CENTRARLA EN SU TESELA.
48,20 % RESTO SP.OCUPACION COMPROBADA.AUNQUE HAY ALGUN ROBLE LATIZAL,LO QUE PREDOMINA EN LA MASA ES EL ESTADO LATIZAL.ROBLES,CASTANOS Y SALUCES CON DEFOLEADORES Y ALGUN PERFORADOR EN RAMAS.LINDANDO CON LA PARCELA HAY UN CERRAMIENTO DE UNA FINCA PRIVADA CON CHALET INCLUIDO.
48,PIE 1 TAMBIEN TIENE ABUNDANTE HIEDRA EN EL TRONCO.
48,PIES  2  Y 3 TAMBIEN TIENEN 
48, ALGO DE HIEDRA.
48,PIES 2 Y 4 DIAMETROS COMPROBADOS,Y TAMBIEN EL 4 TIENE HIEDRA.
48,PIE 5 MEDIDO CON CINTA Y A 1.00 MT POR NO PODER A 1.30 POR ENGROSAMIENTO DE BIFURCACION.
48,PIE 7 DIAMETROS COMPROBADOS.PIE 9 MEDIDO A 1.0 MT PARA LIBRAR RAMAS,Y DIAM CORRECTOS Y COMPROBADOS,TIENE MUCHISIMA ZARZAPARRILLA.
48,CASTANO A 214 GRADOS Y 14.70 MT CON  DIAM 220-211,NO ENTRA POR DIAMETROS.
48,CASTANO A 218 GRADOS Y 15.20 MT AL FRENTE SIN PTE NO ENTRA POR DISTANCIA.
48,PIE 10 TAMBIEN ESTA DOMINADO.
48,PIE 12 TIENE MUCHA HIEDRA EN EL TRONCO,Y ESTA CAIDO EN EL SUELO MEDIO ARRANCADO PERO VIVO.
48,PIE 13 ESTA CAIDO EN EL SUELO,TIENE RAMAS  QUE TIRAN PARA ARRIBA,EN UN FUTURO PUEDE QUE  SEAN PIES MAYORES BROTE DE CEPA DE DICHO PIE CAIDO.PIES 12 Y 13 ALTURAS ESTIMADAS,Y CORRECTAS.
48,PIE 14 MEDIDO A 1.10 MT  PARA LIBRAR ENGROSAMIENTO Y CON CINTA;TAMBIEN TIENE HIEDRA Y ZARZAPARRILA.
48,PIES 17 Y 19 TAMBIEN TIENEN HIEDRA.
48,PIE 20  MEDIDO EL DIAMETRO  LO MEJOR QUE PUDE,Y A 1.0 MT  CON CINTA;DIAMETROS COMPROBADOS.
48,PIE 22 TAMBIEN ESTA MUY DOMINADO.
48,ROBLE A 392 GRADOS Y 15.20 MT AL FRENTE SIN PTE,NO ENTRA POR DISTANCIA.
48,DIFICULTADES PARA MEDIR ALGUNA ALTURA.DENDROMETRIA COMPROBADA Y CORRECTA.
48,FUERA DE LOS 25 MT  EN LOS ALREDEDORES HAY EUCALIPTOS FUSTALES.
48,A LA REGENERACION LA HE CONSIDERADO ARBUSTIVA A EFECTOS DEL MODELO DE COMBUSTIBLE.OTRO MODELO DE COMBUSTIBLE 09.
48,HAY HELECHOS.",3,9900000000000062,"07/14/05 00:00:00","12/30/99 14:54:24","07/15/05 00:00:00","12/30/99 11:06:40",NA,"48090","140","270","10",222019,14,26,222019,15,25,"T",9900000000000414,"48.322.A.3E"
"8544",509000,4768000,"48.1003",48,48,1003,"A","1",0,1995,"16","9666","2002","","4-2 ","2005","",1,"1","1",100,80,1,2,1,3,2,4,"","",1,2,1,1,5,5,NA,NA,"0","0","","0","",137,NA,7.5,NA,2,"2",2,"[IDENTIFICACIÓN Y CLASIFICACIÓN] PARCELA ENCONTRADA CON FOTO AEREA Y PIES MAYORES.
48,[PIESMAY 010-072] ENTRA POR CORRECCION DE PTE.
48,[PIESMAY 016-041] ENTRA POR CORRECCION DE PTE.
48,[PIESMAY 017-041] ENTRA POR CORRECCION DE PTE.",8,9900000030024390,"11/29/05 00:00:00","12/30/99 19:39:19","11/29/05 00:00:00","12/30/99 21:02:20",NA,"48070","361","235","10",289904,38,2,289904,39,1,"T",9900000030024400,"48.1003.A.1"
"9878",521000,4807000,"48.61",48,48,61,"A","1",0,1995,"02","0261","2002","","3-2 ","2005","",1,"1","1",100,80,1,2,2,3,1,4,"","",1,2,1,1,4,3,NA,NA,"1","0","","0","",190,NA,10,NA,2,"3",3,"[IDENTIFICACIÓN Y CLASIFICACIÓN]PARCELA LOCALIZADA POR PINCHAZO DE FOTO AEREA, Y LOCALIZANDO PIES DEL IFN2.
48,HAN TALADO LA GRAN MAYORIA DE LA PARCELA, Y SOLO HAN DEJADO LOS ROBLES QUE LE ENTRARON EN EL IFN2.
48,[CLAESP. RESTO DE ESPECIES=20%]
48,[PIESMAY 007-092]COMPROBADA LA ALTURA.
48,[PIESMAY 008-041]COMPROBADA LA FORMA
48,[PIESMAY 010-068]ENTRA POR CORRECCION DE PENEDIENTE.
48,[REGENERACIÓN]
48,[SELVICULTURA]LAS CORTAS HAN SIDO A HECHO PARA EL PINO.
48,PARCELA LAVANTADA CON LLOVIZNA.",23,9900000030024396,"09/08/05 00:00:00","12/30/99 11:27:35","09/08/05 00:00:00","12/30/99 13:30:35",NA,"48069","230","52","6",224357,32,8,224357,33,7,"T",9900000000000414,"48.61.A.1"
"9943",522000,4759000,"1.613",1,1,613,"A","1",0,1996,"01","0008","1997","","1-2 ","2005","",1,"1","1",95,90,1,2,1,2,2,4,"","",1,2,1,1,5,2,NA,NA,"0","0","","0","",27,NA,6,NA,2,"2",2,"PARCELA ENCONTRADA POR PIES DEL IFN2.
01,BOSQUE DE  QUERCUS ROBUR Y CASTANEA SATIVA CON EJEMPLARES VIEJOS Y MAS JOVENES EN LOS CLAROS.
01,[CLAESP. RESTO DE ESPECIES=20%].
01,[PIESMAY 009-041]ENTRA POR PENDIENTE.
01,[PIESMAY 012 Y 013]MEDIDOS A 1.5 MTS POR BIFURCARSE.
01,[PIESMAY 016-072]HT Y FORMA COMPROBADA.
01,CON RUMBO 190 NO ENTRA 072 POR DISTANCIA LATERAL.
01,[PIESMAY 023-072]FORMA COMPROBADA.
01,CON RUMBO 203 NO ENTRA 041 POR DISTANCIA LATERAL.
01,CON RUMBO 356 NO ENTRA 072 POR DIAMETRO.
01,[PIESMAY 033-072]HT Y FORMA COMPROBADA.
01,[PIESMAY 035-072]HT COMPROBADA.
01,[PIESMAY 037-041]MEDIDO A CINTA.",20,9900000010051004,"06/29/05 00:00:00","12/30/99 09:46:16","06/29/05 00:00:00","12/30/99 11:20:40",NA,"1058","166","328","10",226726,2,38,226726,3,37,"T",9900000010051276,"1.613.A.1"
"10218",525000,4796000,"48.531",48,48,531,"A","1",0,1995,"06","0119","2002","","1-2 ","2005","",1,"1","1",100,70,1,2,3,3,2,4,"","",1,2,1,4,6,4,NA,NA,"0","0","","0","",285,NA,13.5,NA,2,"3",3,"[CLAESP. RESTO DE ESPECIES=20%]
48,[PIESMAY 001-041]COMPROBADA ALTURA.
48,[PIESMAY 002-041]COMPROBADO DIAMETRO Y RUMBO.
48,[PIESMAY 003-041]COMPROBADA ALTURA.
48,[PIESMAY 004-072]ENTRA POR PENDIENTE Y SE HA COMPROBADO LA ALTURA.
48,[PIESMAY 005-041]COMPROBADO DIAMETRO Y ALTURA.
48,[PIESMAY 007-041]COMPROBADO RUMBO Y ALTURA.
48,[PIESMAY 008-041]COMPROBADO RUMBO Y ALTURA.
48,[PIESMAY 009-072]ESTA TUMBADO EN EL SUELO.
48,[PIESMAY 010-041]COMPROBADO DIAMETRO Y ALTURA.
48,[PIESMAY 011-041]COMPROBADO RUMBO, DIAMETRO Y ALTURA.
48,[PIESMAY 012-041]COMPROBADO RUMBO, DIAMETRO, ALTURA, FORMA Y ENTRA POR PENDIENTE.
48,[PIESMAY 014-041]COMPROBADO DIAMETRO Y ENTRA POR PENDIENTE.
48,[PIESMAY 015-041]COMPROBADO DIAMETRO Y ALTURA.",21,9900000030024394,"10/25/05 00:00:00","12/30/99 09:44:19","10/25/05 00:00:00","12/30/99 12:22:45",NA,"48046","160","360","1",222057,38,2,222057,39,1,"T",9900000000000414,"48.531.A.1"
