"","x"
"1","1.204.A.1"
"2","1.315.A.3C"
"3","1.329.A.1"
"4","1.342.A.3C"
"5","1.472.A.1"
"6","1.525.A.1"
"7","1.917.A.1"
"8","17.1230.A.4"
"9","17.1273.A.1"
"10","17.1291.A.4"
"11","17.1292.A.1"
"12","17.379.A.1"
"13","17.406.A.1"
"14","17.407.A.1"
"15","17.408.A.1"
"16","17.409.A.1"
"17","17.431.A.1"
"18","17.443.A.1"
"19","17.445.A.1"
"20","17.447.A.1"
"21","17.448.A.1"
"22","17.456.A.4"
"23","17.460.A.1"
"24","17.463.A.4"
"25","17.535.A.1"
"26","17.537.A.1"
"27","17.543.A.3E"
"28","17.546.A.3E"
"29","17.573.A.1"
"30","17.577.A.1"
"31","17.617.A.1"
"32","17.627.A.1"
"33","17.637.A.1"
"34","17.656.A.1"
"35","17.659.A.1"
"36","17.690.A.4"
"37","17.693.A.1"
"38","17.727.A.1"
"39","17.729.A.1"
"40","17.739.A.1"
"41","17.743.A.1"
"42","17.744.A.1"
"43","17.747.A.4"
"44","17.759.R.1"
"45","17.766.A.1"
"46","17.830.A.1"
"47","17.869.A.1"
"48","17.871.A.1"
"49","22.1.A.1"
"50","22.1062.A.1"
"51","22.108.A.3E"
"52","22.110.A.1"
"53","22.114.A.1"
"54","22.117.A.1"
"55","22.1208.A.1"
"56","22.1312.A.1"
"57","22.1418.A.1"
"58","22.1432.A.1"
"59","22.1463.A.1"
"60","22.1464.A.1"
"61","22.1603.A.1"
"62","22.1739.A.1"
"63","22.194.A.1"
"64","22.22.A.1"
"65","22.398.A.1"
"66","22.432.A.4"
"67","22.473.A.4"
"68","22.487.A.1"
"69","22.497.A.4"
"70","22.498.A.1"
"71","22.52.A.1"
"72","22.523.A.1"
"73","22.54.A.4"
"74","22.55.A.1"
"75","22.56.A.1"
"76","22.57.A.1"
"77","22.605.A.1"
"78","22.61.A.1"
"79","22.62.A.1"
"80","22.63.A.1"
"81","22.66.A.1"
"82","22.68.A.1"
"83","22.70.A.4"
"84","22.763.A.4"
"85","22.78.A.1"
"86","22.94.A.4"
"87","25.522.A.1"
"88","25.53.A.1"
"89","25.60.A.1"
"90","25.69.A.1"
"91","26.1052.A.1"
"92","26.1062.A.1"
"93","26.1063.A.1"
"94","26.1076.A.1"
"95","26.1084.A.4"
"96","26.1094.A.1"
