"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","YEAR","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","CoorX","CoorY","Origen","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"7","1_315",1.315,71,21,NA,6.32975211111111,3.82406111111111,NA,48.6660448209884,155.618166578742,NA,312,1,315,0,960620,0,12,4,6,2,NA,960620,0,110,3,"0110849",481,4750,96,55,0,2,"0","0",10,10,0,5,1,1,8,30,71,71,7,6,4,4,21,21,3,4,3,3,0,NA,0,NA,0,NA,71,3,6,NA,21,3,1,NA,NA,NA,NA,NA,71,21,37,44,45,65,78,2,1,"W",20,1,NA,NA,NA,1,2,0,NA,0,NA,0,NA,"P906","P204",81,NA,"09,00",NA,481000,4750000,1,"IFN2","1_315",29.0996098829649,4489.95193055408,1520.46022300457,10.1538132222222,204.284211399731,0,21.9789473684211,7.44286703601108,25.1566173150693,9.00195058517555,33.8636191772535,30.9349528099528,206.342144100645,77.7223590891453,144.657610058474,-3.23272319056271,42.9016052742859,"1986_1996",5.41666666666667,15.1515151515152,10.2840909090909,814.172727671537,40.1384874146192
"8","1_329",1.329,21,71,15,8.42473155555556,7.06621822222222,1.44,53.7590029999291,43.5730866420478,127.323954473516,326,1,329,0,960704,0,14,4,5,3,NA,960704,0,110,3,"0110917",481,4747,96,55,0,6,"0","2",9,9,0,5,1,1,8,85,21,21,0,4,4,4,0,71,0,3,0,4,0,74,0,1,0,3,21,3,1,NA,71,3,6,NA,74,3,6,NA,21,71,74,15,37,76,95,2,2,"W",20,1,NA,NA,NA,1,2,0,NA,0,NA,0,NA,NA,"P906",200,NA,"07,75",NA,481000,4747000,1,"IFN2","1_329",26.0453400503778,7181.77838760895,2994.37646709605,18.0229747777778,351.979998589009,0,20.4039389067524,8.5072347266881,25.533438529093,9.92821158690176,41.69408056732,38.1189555125725,364.11175881825,53.6871046747446,99.9229609628808,-3.23262165791995,42.8745905217436,"1986_1996",5.49242424242424,15.5227272727273,10.5075757575758,783.463635834781,38.203620218024
"9","1_342",1.342,71,21,44,19.0256045,9.82739358333333,2.12475,589.792851333433,150.100795218223,77.809083289371,339,1,342,0,960612,0,36,4,3,0,NA,960612,0,110,3,"0110041",481,4744,96,55,0,2,"0","2",9,9,0,5,1,1,8,95,71,71,8,7,4,4,21,21,2,2,4,4,0,91,0,1,NA,2,71,3,6,NA,21,3,1,NA,91,3,6,NA,71,21,91,44,45,14,65,2,3,"W",20,1,NA,NA,NA,1,3,0,NA,0,NA,0,NA,NA,"01",283,NA,"09,50",NA,481000,4744000,1,"IFN2","1_342",37.8902564102564,16150.4282258523,11328.5781137508,32.0420841944444,831.84983589364,0,19.4150765306122,13.618537414966,22.1458814274953,16.3487179487179,70.1441346032981,43.1475516335977,684.772701263559,21.2077126808322,39.4720009424474,-3.23252026531369,42.8475756405168,"1986_1996",5.49242424242424,15.5227272727273,10.5075757575758,783.463635834781,38.203620218024
"10","1_472",1.472,21,71,NA,10.2283451388889,2.846475,NA,244.037579407573,413.802852038928,NA,469,1,472,0,960617,0,15,4,3,4,NA,960617,0,111,3,"0111834",500,4749,96,20,0,2,"0","0",10,10,0,5,1,1,8,80,21,71,4,6,4,3,71,21,6,3,4,4,0,NA,0,NA,0,NA,71,3,6,NA,21,3,1,NA,NA,NA,NA,NA,71,21,37,78,15,41,44,2,2,"W",20,1,NA,NA,NA,1,2,0,NA,0,NA,0,NA,NA,"M913",50,NA,"16,00",NA,5e+05,4749000,1,"IFN2","1_472",28.0348484848485,9141.68309237281,4719.82825680299,13.0748201388889,657.840431446501,0,13.8965053763441,7.1747311827957,15.9078922219833,12.4848484848485,51.629751426637,44.533318921256,318.430849352573,31.2288824400903,58.1234994861525,-2.99999999999999,42.8928368379729,"1986_1996",5.61363636363636,15.3409090909091,10.4772727272727,819.000002210791,39.9955605963094
"11","1_484",1.484,71,21,NA,25.4795156944444,4.84633888888889,NA,441.248237780997,56.5884242104517,NA,481,1,484,0,960619,0,29,4,1,0,NA,960619,0,111,3,"0111924",491,4748,96,55,0,2,"0","0",9,9,0,5,1,1,8,90,71,71,0,9,4,4,0,21,0,1,0,4,0,NA,0,NA,0,NA,71,3,6,NA,21,3,1,NA,NA,NA,NA,NA,71,21,65,NA,NA,NA,NA,1,2,"W",20,1,NA,NA,NA,1,2,0,NA,0,NA,0,NA,NA,"01",5,NA,"10,50",NA,491000,4748000,1,"IFN2","1_484",40.5583333333333,13048.8166948774,9648.04338576096,30.3258545833333,497.836661991449,0,26.2110400682012,19.3799374822393,27.8495476430331,23.25,73.9380712547561,57.3248407643312,592.00624141236,19.2767406663248,35.8780570634659,-3.11020557461874,42.8837788051468,"1986_1996",5.64393939393939,15.5984848484848,10.6212121212121,811.236363627694,39.3398971340395
"16","1_909",1.909,71,21,15,16.3032309166667,6.40628611111111,1.575625,202.303616552365,56.5884242104517,28.2942121052258,904,1,909,0,960705,0,21,4,2,0,NA,960705,0,137,3,"0137313",492,4738,96,55,0,2,"0","0",10,10,0,5,1,1,8,90,71,71,0,6,4,4,0,21,0,2,0,4,0,91,0,1,0,2,71,3,6,NA,21,3,1,NA,91,3,6,NA,71,21,91,15,78,NA,NA,2,4,"W",20,1,NA,NA,NA,1,3,0,NA,0,NA,0,NA,NA,"G906",25,NA,"12,75",NA,492000,4738000,1,"IFN2","1_909",42.1535897435897,8799.29483168747,4939.4620782698,24.2851420277778,287.186252868042,0,30.6396798029557,17.1995073891626,32.8128202635086,19.2179487179487,56.1347491219651,45.5903016441706,444.344538314952,30.7051445532398,57.1487134413547,-3.0978183855863,42.7937393677353,"1986_1996",6,15.3939393939394,10.6969696969697,751.409090388905,36.3052708387026
"17","1_917",1.917,21,71,91,21.2797879166667,4.91485488888889,1.31265,614.125873743927,61.6813823893923,254.647908947033,912,1,917,0,960612,0,32,4,3,2,NA,960612,0,137,3,"0137315",490,4737,96,902,0,2,"0","0",10,10,0,5,1,1,8,80,21,21,7,7,4,4,71,71,3,2,4,4,0,NA,0,NA,0,NA,21,3,1,NA,71,3,6,NA,NA,NA,NA,NA,21,71,91,44,45,2,37,2,2,"W",20,1,NA,NA,NA,1,2,0,NA,0,NA,0,NA,NA,"M404",145,NA,"08,50",NA,490000,4737000,1,"IFN2","1_917",37.3295212765957,15472.0603435234,6585.26566090052,27.5072928055556,930.455165080352,0,16.628485631747,7.07746693021134,19.4013191121185,11.5505319148936,42.5623059546631,30.9420842268754,619.399581808235,28.3824767024301,52.8257414652671,-3.12225521003756,42.7847107394288,"1986_1996",6.08333333333333,15.7121212121212,10.8977272727273,723.672731507908,34.6292552325698
"18","1_919",1.919,21,71,45,16.4068027777778,4.324708,2.85833680555556,311.236333157484,10.1859163578813,74.2723067762178,914,1,919,0,960612,0,20,4,6,4,NA,960612,0,137,3,"0137313",492,4737,96,902,0,2,"0","0",9,9,0,5,1,1,5,70,21,21,5,5,4,4,44,71,5,2,3,4,0,45,0,2,0,4,21,3,1,NA,71,3,6,NA,45,3,6,NA,21,71,45,44,78,91,2,2,3,"W",20,1,NA,NA,NA,1,3,0,NA,0,NA,0,NA,"P912","G204",150,NA,"12,00",NA,492000,4737000,1,"IFN2","1_919",39.8562176165803,9572.67467826566,3834.29015343968,23.5898475833333,395.694556291583,0,24.1920808008581,9.69002502681444,27.5510140961478,14.6088082901554,40.0545331614085,36.6537749033118,462.473861506749,34.4116242679745,64.0472495067455,-3.09780420712701,42.784734232249,"1986_1996",6.08333333333333,15.7121212121212,10.8977272727273,723.672731507908,34.6292552325698
"92","17_1242",17.1242,21,71,15,8.06105972222222,4.04380902777778,1.550025,406.729299012621,88.4194128288307,127.323954473516,34535,17,1242,0,910103,NA,15,4,6,1,"2",910302,NA,293,4,"0293188",429,4666,89,96,6,NA,"0",NA,10,10,4,5,9,1,30,80,44,21,7,4,4,4,21,71,2,4,4,4,NA,41,NA,1,NA,2,21,3,1,NA,71,3,6,NA,41,3,6,NA,21,71,41,15,76,91,37,2,7,"G",20,NA,NA,NA,1,1,3,NA,0,NA,0,0,NA,NA,"P906",335,NA,"7.50",NA,429000,4666000,17,"IFN2","17_1242",27.0375,9539.21677245123,5706.58890397274,13.65489375,622.472666314968,0,15.3247159090909,9.16761363636364,16.7124099066042,14,59.8224051313423,51.7799352750809,326.140170332298,28.6293719886727,53.2852653714007,2.14082206147682,42.1421569869105,"1986_1996",6.15151515151515,15.2878787878788,10.719696969697,793.318183562972,38.2881170860374
"93","17_1273",17.1273,21,71,76,17.1914555555556,6.52969652777778,0.62805625,838.216033617315,325.383439210097,31.8309886183791,34562,17,1273,0,910104,NA,NA,NA,NA,NA,"2",910305,NA,294,3,"0294J47",433,4667,89,96,6,NA,"0",NA,8,8,5,5,9,1,80,70,21,21,0,4,4,4,NA,71,NA,4,NA,4,NA,76,NA,1,NA,3,21,3,1,NA,71,3,6,NA,76,3,6,NA,21,71,76,91,41,37,78,2,4,"W",20,NA,NA,NA,1,1,3,NA,0,NA,0,0,NA,NA,"P906",160,NA,"12.50",NA,433000,4667000,17,"IFN2","17_1273",28.06875,17325.960782635,13538.7804923506,24.3492083333333,1195.43046144579,0,14.4934911242604,11.3254437869822,16.1040578884135,14.375,78.1415856944558,51.2135381874861,590.149165940671,20.1200931742957,37.447712947173,2.18910669890987,42.1515144929274,"1986_1996",6.46969696969697,15.7121212121212,11.0909090909091,768.172729145397,36.4219828474111
