"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","CoorX","CoorY","Origen","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","YEAR","INE","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","FechaPh","HoraPh","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","Equipo","JefeEq","FechaIni","HoraIni","FechaFin","HoraFin","Tiempo","Resid","RumboF1","RumboF2","DistFoto","CarFoto1","NumFoto1","ConFoto1","CarFoto2","NumFoto2","ConFoto2","Estado","Tecnico","PlotID","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"5","1_204_A_1",1.204,71,21,54,7.03926355555556,5.99419866666667,1.506125,76.9602569262143,52.6272345157201,19.2400642315536,10625,530000,4770000,1,1,204,"A","1",0,1995,"15","9691",2002,"","4-1 ",2005,NA,1,1,1,100,50,1,2,1,3,2,4,"","",1,2,1,1,5,1,NA,NA,"4","0",NA,0,NA,245,NA,3.5,NA,1,"1",1,"PARCELA ENCONTRADA POR PIES DEL IFN2.
01,MASA MIXTA DE HAYA, PINO SILVESTRE Y ALISO.
01,LA FCC ARB NO ES REPRESENTATIVA DE LOS ALREDEDORES PUES LA PARCELA CAE EN UN CLARO.
01,[RIESGOS]EL MODELO DE COMBUSTIBLE NO ES APLICABLE A LOS ALREDEDORES.",20,9900000010051004,"06/10/05 00:00:00","12/30/99 08:45:55","06/10/05 00:00:00","12/30/99 10:11:40",NA,1058,362,225,10,224368,0,40,224368,1,39,"T",9900000010051276,"1.204.A.1","IFN3","1_204",37.6877659574468,5513.29699397589,2853.18834869097,15.2763233333333,162.974661726101,0,33.8291666666667,17.5069444444444,34.5465303672694,17.4441489361702,51.7510366629716,46.2859723653197,273.883263646967,44.9045315244919,83.5767504647912,-2.98775136180648,42.9018411599878,"1997_2007",5.8030303030303,15.9242424242424,10.8636363636364,857.990909489718,41.1237472958035
"10","1_315_A_3C",1.315,71,21,NA,7.18324388888889,6.79454027777778,NA,48.6660448209884,187.449155197121,NA,6860,481000,4750000,1,1,315,"A","3C",0,1992,"8","2149",2002,"","4-2 ",2005,NA,1,1,1,90,40,1,2,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,81,NA,9,NA,2,"2",1,"PARCELA CLASIFICADA EN CAMPO  DESPUES DE CONSULTAR CON OFICINA COMO A3C POR TOCAR DOS TESELAS.
01,ENCONTRADA POR FOTO AEREA Y PIES DEL IFN2.
01,NO DOY OCUPACION AL RESTO DE ESPECIES. 
01,PIES 1 Y 10  ENTRAN POR CORRECCION DE PENDIENTE.
01,[PIESMAY 006-071]ALTURA COMPROBADA.
01,CON RUMBO 316G NO ENTRA POR DISTANCIA.
01,CON RUMBO 318G NO ENTRA 071 POR Ø. 
01,DE REGENERACION  Y MATORRAL HAY LO MISMO DEL IFN2.
01,HAY ROSA Y COTONEASTER FUERA DE 10M.
01,
01,",2,9900000006020480,"07/13/05 00:00:00","12/30/99 10:24:05","07/13/05 00:00:00","12/30/99 11:31:08",NA,1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",9900000010051024,"1.315.A.3C","IFN3","1_315",33.0681404421326,5886.1722682046,1882.5554024212,13.9777841666667,236.11520001811,0,24.9292390653086,7.97303774715398,27.4544186217337,9.98959687906372,31.9826759503832,30.209128017177,274.411871398788,65.1463463736425,121.25101297612,-3.23272319056271,42.9016052742859,"1997_2007",5.62878787878788,15.6818181818182,10.655303030303,854.29999889027,41.3598385672164
"11","1_329_A_1",1.329,21,71,215,10.176792,6.71600111111111,3.205725,56.0225399683472,34.5189387683755,381.971863420549,6858,481000,4747000,1,1,329,"A","1",0,1992,"9","1817",2002,"","4-4 ",2005,NA,1,1,1,90,80,1,2,2,2,2,5,"","",1,2,1,1,8,2,NA,NA,"0","0",NA,0,NA,200,NA,7.8,NA,1,"1",2,"PARCELA ENCONTRADA POR PIES Y FOTO DEL IFN2
01,CLAESP. RESTO DE ESPECIES=20%
01,CON RUMBO 19G NO ENTRA 215 POR MUY POCO POR DIAMETRO. 
01,PIESMAY 009-021]MEDIDO CON HIEDRA Y ALTURA COMPROBADA.
01,[PIESMAY 015-071]ALTURA COMPROBADA.
01,CON RUMBO 272G CONSIDERO DOS PIES PARA SEGUIR CRITERIO DEL IFN2.
01,CON RUMBO 280G CONSIDERO DOS PIES PARA SEGUIR CRITERIO DEL IFN2.
01,EN LA PARCELA ESTUVIERON PRESENTES J.A.VILLANUEVA.,CARLOS GARCIA Y RUBEN VILLAR.
01,",2,9900000006020480,"08/31/05 00:00:00","12/30/99 10:13:19","08/31/05 00:00:00","12/30/99 14:04:14",NA,1001,200,305,10,224012,0,40,224012,1,39,"T",9900000010051024,"1.329.A.1","IFN3","1_329",27.2683116883117,11734.0624674308,6998.00747998551,22.7194431111111,854.48520557782,0,13.7323178807947,8.18973509933775,18.3993138009104,11.6662337662338,59.6384031481785,42.7831172666051,522.417172419185,29.323584124169,54.5773397444817,-3.23262165791995,42.8745905217436,"1997_2007",5.71212121212121,16.1212121212121,10.9166666666667,823.527270273729,39.3718216863934
"12","1_342_A_3C",1.342,71,21,44,20.1491015833333,9.92825,1.13393402777778,621.623839951812,118.269806599844,45.978094670992,6855,481000,4744000,1,1,342,"A","3C",0,1992,"10","1341",1997,"","4-4 ",2005,NA,1,1,1,100,95,1,3,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,283,NA,9.5,NA,2,"3",3,"PARCELA ENCONTRADA POR PIES DEL IFN2 Y SITUACION FISIOGRAFICA DE LA FOTO AEREA.
01,PARCELA LEVANTADA COMO A3C POR GABINETE AL ESTAR ENTRE DOS TESELAS.
01,HAY MUCHA ABUNDANCIA DE REGENERACION DE BOJ DE CATEGORIA 4 Y 3.DE CAT.2DE TEJO  1 DE DENSIDAD.HAYA DE CAT1 UN 2 DE DENSIDAD. 
01,FUERA DE 25M HAY ARCE, AVELLANO, FRANGULA ALNUS Y TILO.
01,[PIESMAY 001-021] ALTURA COMPROBADA.
01,[PIESMAY 008-071)DIAMETROS COMPROBADOS.
01,[PIESMAY 010-071]ALTURA COMPROBADA.
01,CON R 152G Y 16M NO ENTRA 071 POR POCO POR DIAMETRO.
01,[PIESMAY 023-071] ENTRA POR CORRECCION DE PENDIENTE.
01,[PIESMAY 031-071] MEDIDO A 1.15M POR BIFUCARCION A 1.30M.
01,PIE 34 Y 35 ALTURA COMPROBADA.
01,",2,9900000006020480,"05/27/05 00:00:00","12/30/99 10:03:51","05/27/05 00:00:00","12/30/99 12:05:55",NA,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",9900000010051024,"1.342.A.3C","IFN3","1_342",38.605641025641,15904.1624772414,11559.0344713479,32.3137856111111,800.018847275261,0,19.8797347480106,14.4484526967286,22.6776928959715,17.3153846153846,72.6793032194478,44.8519546764788,684.136388100702,20.4182138497772,38.0025780455769,-3.23252026531369,42.8475756405168,"1997_2007",5.71212121212121,16.1212121212121,10.9166666666667,823.527270273729,39.3718216863934
"13","1_472_A_1",1.472,71,21,NA,11.2715625,7.05925322222222,NA,1336.90152197192,89.9755944946182,NA,7763,5e+05,4749000,1,1,472,"A","1",0,1992,"8","2134",2002,"","4-1 ",2005,NA,1,1,1,95,80,1,2,2,3,2,4,"","",1,2,1,1,1,4,NA,NA,"0","0",NA,0,NA,270,NA,17,NA,2,"1",2,"PARCELA LOCALIZADA A TRAVES DE FOTOGRAFIAS Y PIES MAYORES INFO2.
01,CLAESP. RESTO DE ESPECIES=10%
01,HAY ALGO DE PROCESIONARIA.
01,ALGUNOS PINOS MUERTOS Y CAIDOS.
01,ALREDEDORES HAY ARCE Y ENDRINO.
01,EN ZONA HAY ENCINA, FRESNO Y ACEBO.
01,PARCELA Y ZONA DE PASTOREO GANADO VACUNO.
01,0155 GENISTA HISPANICA. 0115 VIBURNUM LANTANA. FUERA 10M HAY ZARZAMORA.
01,HAY HELECHO.
01,CORTAS VIEJAS.
01,COMPROBADAS ALTURAS ARBS. 5, 6, 14 Y 20.
01,ARB. 19 ENTRA POR CORRECCION DE PENDIENTE: 10.25.
01,COMPROBADOS DIAMS. ARBS. 4 Y 19.
01,COMPROBADA FORMA ARB. 19.
01,",5,9900000010051002,"06/22/05 00:00:00","12/30/99 13:59:38","06/22/05 00:00:00","12/30/99 15:15:51",NA,1006,6,175,10,224343,0,40,224343,1,39,"T",9900000010051024,"1.472.A.1","IFN3","1_472",27.6829849012776,16325.5906194427,10806.8328425305,18.3308157222222,1426.87711646654,0,11.4414832441007,7.57376561570494,12.7894735641149,9.67073170731707,66.1956623465755,34.9338474221787,486.621610987437,27.3745745734527,50.9498242278158,-2.99999999999999,42.8928368379729,"1997_2007",5.8030303030303,15.9242424242424,10.8636363636364,857.990909489718,41.1237472958035
"14","1_525_A_1",1.525,21,71,44,12.4606629166667,8.1958875,1.6637875,201.171848068156,546.219764691385,95.4929658551372,8234,506000,4746000,1,1,525,"A","1",0,1992,"9","1835",2002,"","4-4 ",2005,NA,1,1,1,90,75,1,2,2,3,2,4,"","",1,2,1,1,2,2,NA,NA,"0","3",NA,0,NA,186,259,9.5,6.5,1,"1",2,"PARCELA LOCALIZADA A TRAVES DE FOTOGRAFIAS Y PIES MAYORES INFO2.
01,CLAESP. RESTO DE ESPECIES=20%
01,EN ZONA HAY ARCES.
01,PARCELA Y ZONA DE PASTOREO GANADO VACUNO Y EQUINO.
01,HAY ALGO DE PROCESIONARIA.
01,HAY LIGEROS RESTOS DE CORTAS.
01,HAY HELECHO Y HELEBORO.
01,0115 VIBURNUM LANTANA.
01,COMPROBADOS DIAMS. ARBS. 2, 4, 9, 11 Y 26.
01,AGENTE 313: HIEDRA.
01,COMPROBADA ALTURA ARBS. 1, 2, 4,9 Y 14.
01,ARB. NO ENTRA POR DIST. A 95G.
01,ARB. NO ENTRA POR DIAM. A 122G.
01,ARBS. QUE ENTRAN POR CORRECCION DE PENDIENTE: 3(5.50) Y 27(8.00).
01,MAS QUE LOS DIAMS., ESTAN COMPROBADOS LOS CRECIMIENTOS.
01,MODELO COMBUSTIBLE 02 POR HELECHOS.
01,REFERENCIA: 23.5M DESDE CRUCE PISTAS Y LUEGO 9.5M A 399G PARA PARCELA (VER CROQUIS).
01,
01,",5,9900000010051002,"07/14/05 00:00:00","12/30/99 08:58:38","07/14/05 00:00:00","12/30/99 10:55:13",NA,1006,238,38,15,224364,14,26,224364,15,25,"T",9900000010051024,"1.525.A.1","IFN3","1_525",35.8203389830508,14543.1613601088,9015.87995179995,23.3603379166667,906.546555851436,0,16.0423767166042,9.94530274656679,18.1133827227564,15.2429378531073,61.9939484170894,42.5538626541749,540.487554116864,21.7889481236979,40.5538019972738,-2.92655094088242,42.8657982613713,"1997_2007",5.72727272727273,15.7954545454545,10.7613636363636,833.754545428536,40.1589490956274
"21","1_917_A_1",1.917,21,71,91,21.0277086111111,5.27648488888889,1.5373,600.403180872892,61.6813823893923,254.647908947033,7245,490000,4737000,1,1,917,"A","1",0,1992,"13","1715",2002,"","1-3 ",2005,NA,1,1,1,95,80,1,2,3,2,2,5,"","",1,2,1,1,4,2,NA,NA,"0","0",NA,0,NA,145,NA,8.5,NA,2,"2",3,"PARCELA ENCONTRADA POR SITUACION FISIOGRAFICA DE LAS FOTOS AEREAS,PIES DEL IFN2 Y CROQUIS.
01,NO LE DOY SUBPISO AL BOJ , PERO EN REALIDAD HAY SUBPISO DE BOJ DEBAJO DE HAYAS Y PINOS.
01,PIES 2,3,5,6,8,10,11,12,14,15 Y 16 ALTURAS COMPROBADAS..
01,[PIESMAY 007-071]MEDIDO A 1.10M PARA SEGUIR CRITERIO DE MEDICION DEL IFN2 Y ALTURA COMPROBADA.
01,[PIESMAY 008-021] CAMBIA DEBIDO A QUE ESTA MEDIO CAIDO POR ESO LA DISTANCIA ES DISTINTA.
01,[PIESMAY 022-021]DIAMETROS COMPROBADOS.
01,[PIESMAY 023-071]DIAMETROS Y ALTURA COMPROBADA.
01,[PIESMAY 027-021]DIAMETROS COMPROBADOS.
01,PIE 28, DIAM COMP.
01,[PIESMAY 029-021]DIAMETROS COMPROBADOS.
01,[PIESMAY 030-021]DIAMETROS COMPROBADOS.
01,CON RUMBO 397G Y 4M NO ENTRA 091 POR MUY POCO POR DIAMETRO.
01,EL ACIDO NO REACCIONA EN TIERRA PERO SI REACCIONA EN PIEDRA.
01,",2,9900000006020480,"06/20/05 00:00:00","12/30/99 09:45:48","06/20/05 00:00:00","12/30/99 12:16:27",NA,1011,350,231,7,222070,16,24,222070,17,23,"T",9900000010051024,"1.917.A.1","IFN3","1_917",37.6635897435897,15489.6805641119,6528.88944328086,27.8414935,916.732472209317,0,16.8966203703704,7.12191358024691,19.6643690395146,10.7051282051282,42.1499295370084,28.4230161755896,623.598880417298,30.8522484244779,57.4225045960885,-3.12225521003756,42.7847107394288,"1997_2007",6.31818181818182,16.2727272727273,11.2954545454545,761.781815008684,35.7720382714857
"137","17_1230_A_4",17.123,21,71,243,12.4980618055556,4.1076375,1.30348125,192.542113376062,318.309886183791,159.154943091895,30469,NA,NA,17,17,1230,"A","4",0,1997,"","2-2",1983,"01","4389",2001,NA,1,1,1,95,70,1,3,2,3,2,3,"04/17/01 00:00:00","12/30/99 15:30:00",1,2,1,1,7,3,NA,NA,"4","0",NA,0,NA,85,280,8,14,2,"3",2,"ET10. LE HE DADO OCUPACION AL HAYA POR      ESTAR PRESENTE EN LA PARCELA Y EN LA      ZONA DE LOS ALREDEDORES      FRECUENTEMENTE. 20% RESTO ESPECIES.      SUBPISO SOBRE TODO DE BOJ Y AVELLANO, AUNQUE TAMBIEN LO FORMAN OTRAS ESPECIES. HAY PINOS      EN ESTADO 3 PERO DOMINA EL 4. EL PIE     NUMERO 8 HA SIDO MEDIDO A 1M. POR     ESTAR RAJADO Y NO PODERSE MEDIR A    1.30. PIE 14 ESTIMADO DIAMETRO Y    DISTANCIA POR INACCESIBILIDAD A EL.   PIE16 MEDIDO A 1.20 POR CAER EL 1.30   EN EL COMIENZO DE LA BIFURCACION.",23,51,"04/17/01 00:00:00","12/30/99 14:23:40","04/17/01 00:00:00","12/30/99 15:35:50",72,147,170,60,4,NA,NA,NA,NA,NA,NA,"D",5,"17.1230.A.4","IFN3","17_1230",32.9714673913043,11159.5201964221,6688.97809537223,18.5491805555556,684.154048704361,0,16.3114143920596,9.77700578990902,18.5797759635377,14.6625,59.9396567024163,44.4702682655458,424.883774489417,26.0744420602972,48.5300049593774,2.7569992630077,42.3972835734227,"1997_2007",9.03787878787879,17.3409090909091,13.1893939393939,672.818182728507,29.0140477360872
"138","17_1273_A_1",17.1273,21,71,42,16.5767125,9.28758472222222,0.77880625,435.023511117847,357.214427828476,31.8309886183791,30514,NA,NA,17,17,1273,"A","1",0,1984,"J","1847",1997,"","1-1",2001,NA,1,1,1,95,80,1,3,1,2,1,4,"03/12/01 00:00:00","12/30/99 11:34:00",1,1,1,1,8,5,NA,NA,"0","0",NA,0,NA,175,0,13.5,0,1,"3",3,"ET20. ES UNA MASA MEZCLADA DE HAYAS Y        PINOS Y SOLO SE VEN ALGUNOS ROBLES   EN      ESTADO 2. SUBPISO DE BOJ. 10%   RESTO      ESPECIES. COMPROBADAS   ALTURAS. A 177, Y A 179   GRADOS HAY UN    HAYA BIFURCADA POR   DEBAJO QUE NO ENTRA    POR DIAMETRO. A   224 UN PINO NO ENTRA   POR DIAMETRO. A   199 GRADOS UN HAYA NO  ENTRA POR   DISTANCIA. PIE 28 ENTRA POR PENDIENTE.PIE 31 COMPROBADA ESPECIE.",23,51,"03/12/01 00:00:00","12/30/99 09:30:51","03/12/01 00:00:00","12/30/99 11:43:35",133,147,320,228,6,NA,NA,NA,NA,NA,NA,"D",5,"17.1273.A.1","IFN3","17_1273",31.2375,15438.2063187395,10337.2903926443,26.6431034722222,824.068927564703,0,18.7341201716738,12.5442060085837,20.289236083657,14.625,66.9591413614964,46.8187274909964,589.428683756818,23.8189359068825,44.3320349871726,2.18910669890987,42.1515144929274,"1997_2007",7.01515151515151,16.3484848484848,11.6818181818182,729.472727862271,33.6444444716352
"139","17_1291_A_4",17.1291,71,21,NA,11.6561722222222,8.03924444444444,NA,638.175954033369,130.860730986669,NA,30533,NA,NA,17,17,1291,"A","4",0,1997,"","1-2",1984,"J","1851",2001,NA,1,1,1,90,80,1,3,2,2,1,4,"04/09/01 00:00:00","12/30/99 12:36:00",1,1,1,2,4,4,NA,NA,"4","3","1",0,NA,220,0,18.5,0,2,"2",2,"ET10 PORQUE EL MAPA NO LE DA OCUPACION AL BOJ Y UNA VEZ EN LA PARCELA COMPRUEBO QUE OCUPA UNA PARTE IMPORANTE DE LA TESELA. PARCELA IFN2 NO ENCONTRADA POR CORTAS NI COINCIDIR PENDIENTE.  PIE CON RUMB 306 NO  ENTRA  POR   DIAMETRO. PIE N 19 Y 24 ENTRA  POR     CORRECCION DE PENDIENTE. SE OBSERVA Q.    PETREA, ARCE OPALUS, AVELLANO  EN LOS    ALREDEDORES DE LA PARCELA. SE HA   DESBROZADO PARTE DE LA PARCELA PARA   EXTRAER LA MADERA.SUBPISO DE BOJ.",25,52,"04/09/01 00:00:00","12/30/99 11:19:48","04/09/01 00:00:00","12/30/99 12:54:13",94,114,120,320,10,NA,NA,NA,NA,NA,NA,"D",5,"17.1291.A.4","IFN3","17_1291",30.9823369565217,12585.3362799347,12298.7159113088,19.6954166666667,769.036685020038,0,16.3650662251656,15.9923657100809,18.0577700006159,20.8179347826087,97.7225847426667,67.1929132131737,456.24619063519,17.3216327968372,32.2391912966379,2.24972224454146,42.1429208278796,"1997_2007",7.16666666666667,16.4924242424242,11.8295454545455,720.390908241272,33.0007287481686
