"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","YEAR","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","FechaIni","HoraIni","FechaFin","HoraFin","Origen","PlotID","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"115","42_105_A_1",42.105,21,71,NA,14.3326813611111,13.22516875,NA,302.182185283812,314.773109670637,NA,41690,42,105,"A","1",0,1984,"K","0002",2000,"","1-3",2019,1,1,1,100,70,1,2,2,2,2,4,1,2,1,1,8,3,NA,NA,1,4,NA,5,NA,260,NA,9,NA,1,2,2,"REJON LOCALIZADO MEDIANTE ORTOFOTO, GPS, CROQUIS Y PIES IFN 3. EL MODELO DE COMBUSTIBLE PREDOMINANTE ES EL 8 PERO EN UN 40% DE LA PARCELA ES EL 7 BAJO LOS PINOS.
CAMBIO PIE A BARENAR POR ESTAR PODRIDO EL SELECCIONADO POR EL TERMINAL.
[Pies Mayores]
PIE 2 MEDIDO A 1.1 M.
DISTANCIAS COMPROBADAS POR PENDIENTE.
HAYA A 100 G Y 12.1 M NO ENTRA POR DIAMETRO.
PIE 11 ESPECIE COMPROBADA.","2019-08-07","2000-01-01","2019-08-07","2000-01-01",42,"42.105.A.1","IFN4","42_105",31.9489130434783,14226.2449638712,8475.61608231377,27.5578501111111,616.955294954449,0,23.0587938546205,13.7378123692731,23.8479404306486,17.3038042586957,59.5773241908763,54.1608543462729,571.963929885314,23.2665268649333,43.303885909873,-2.46791072497986,42.0991093542893,"2008_2021",2.88690476190476,13.5654761904762,8.22619047619048,742.021429504667,40.7118223895441
"117","42_118_A_1",42.118,21,71,43,30.9697165555556,7.48184375,1.1025,834.254843922584,636.619772367581,127.323954473516,41699,42,118,"A","1",0,1984,"K","0001",2000,"","1-3",2019,1,1,2,100,90,1,2,2,2,2,4,1,2,1,1,8,4,NA,NA,0,0,NA,5,NA,90,NA,8,NA,1,2,1,"REJON LOCALIZADO MEDIANTE ORTOFOTO, GPS, CROQUIS Y PIES IFN 3. DEJO UN 10% DE OCUPACION PAA EL RESTO DE ESPECIES.
[Pies Mayores]
DISTANCIAS COMPROBADAS POR PENDIENTE.
PINO A 13.2 M Y 94 G NO ENTRA POR DISTANCIA.
PIE 12 MEDIDO A 1.2 M POR RAMA.
PIE 14 FORMA COMPROBADA.
PIES 14, 37, 42, 45 ALTURA COMPROBADA.
PIE 43 DIAMETRO COMPROBADO.","2019-08-14","2000-01-01","2019-08-14","2000-01-01",42,"42.118.A.1","IFN4","42_118",31.4549222797927,26067.7334811126,18208.4856020018,39.5540603055556,1598.19857076368,0,16.3106975303178,11.3931309507436,17.7515069171967,13.8124351668394,69.8506665920718,43.9118400737959,922.485528280895,18.1098302066297,33.7061919756072,-2.50425831708279,42.0902659246908,"2008_2021",2.80952380952381,13.3809523809524,8.09523809523809,758.499998705728,41.9171051916323
"119","42_119_A_1",42.119,21,71,NA,14.3569518888889,4.39460277777778,NA,115.015972207743,555.273912565057,NA,41700,42,119,"A","1",0,1984,"K","0001",2000,"","1-3",2019,1,1,1,100,70,1,2,2,2,2,4,1,2,1,1,2,4,NA,NA,1,0,NA,0,NA,255,NA,6.75,NA,1,1,2,"REJON LOCALIZADO MEDIANTE ORTOFOTO, GPS, CROQUIS Y PIES IFN 3.
[Pies Mayores]
PIE A 23.7 M Y 13 G NO ENTRA POR DIAMETRO 
PIE A 15 M Y 135 G NO ENTRA POR DISTANCIA.
PIE 9 DISTANCIA COMPROBADA.
PIE 11 MEDIDO CON CINTA
PIE 11 ALTURA COMPROBADA.","2019-08-26","2000-01-01","2019-08-26","2000-01-01",42,"42.119.A.1","IFN4","42_119",34.9772179627601,9569.34303479027,9917.31937953296,18.7515546666667,670.2898847728,0,14.2764246517518,14.7955677160405,18.8730620037229,18.5968236293538,103.636366085713,53.1683899192715,426.870310714229,20.7696842826392,38.6567382308812,-2.49216751058876,42.0902130552215,"2008_2021",2.88690476190476,13.5654761904762,8.22619047619048,742.021429504667,40.7118223895441
"123","42_147_A_1",42.147,71,21,57,16.6068784722222,10.0992706666667,0.56625625,792.237938946323,135.95368916561,31.8309886183791,41721,42,147,"A","1",0,1984,"L","0002",2000,"","3-1",2019,1,1,1,90,85,1,2,3,2,2,4,1,2,1,1,8,4,NA,NA,0,0,NA,5,NA,123,NA,4,NA,3,2,2,"REJON LOCALIZADO MEDIANTE ORTOFOTO, CROQUIS Y PIES IFN 3. LA PARCELA ESTA MAL PINCHADA, EL REJON SE ENCUENTRA A UNOS 150 METROS DEL PINCHAZO. DEJO 10% DE OCUPACION PARA EL RESTO DE ESPECIES.
[Pies Mayores]
PIE 5 DISTANCIA COMPROBADA.
PIE 15 FORMA COMPROBADA.
PIE 16 ALTURA COMPROBADA.","2019-07-22","2000-01-01","2019-07-22","2000-01-01",42,"42.147.A.1","IFN4","42_147",33.8975543478261,17180.4012084597,12977.7628856184,27.2724053888889,960.022616730313,0,17.8958296492779,13.5181845296714,19.0184907193646,16.4733697086957,75.5381828873009,48.5975169171817,618.963884178906,19.5919120450689,36.4646570964841,-2.03736368264718,41.7810826599124,"2008_2021",4.05357142857143,16.9345238095238,10.4940476190476,561.307142155511,27.3887888126999
"124","42_148_A_1",42.148,71,21,NA,7.35465277777778,3.48861666666667,NA,555.273912565057,56.5884242104517,NA,41722,42,148,"A","1",0,1984,"L","0002",2000,"","3-1",2019,1,1,1,95,65,1,1,3,2,2,4,1,2,1,1,8,3,NA,NA,0,0,NA,0,NA,220,NA,3.5,NA,1,1,1,"REJON LOCALIZADO MEDIANTE ORTOFOTO, GPS, CROQUIS Y PIES IFN 3. NO DY OCUPACION AL QUERCUS PYRENAICA POR HABER SOLO DOS PIES EN TODA LA PARCELA.","2019-07-17","2000-01-01","2019-07-17","2000-01-01",42,"42.148.A.1","IFN4","42_148",25.2793103448276,8440.16347098887,5392.16942915842,10.8432694444444,611.862336775509,0,13.7942196531792,8.81271669306358,15.0213278047362,11.7310344068966,63.8870259763661,46.4056742327104,270.132517840948,34.4617105926698,64.1404706610177,-2.49231111398049,42.0722012244582,"2008_2021",2.88095238095238,14.0416666666667,8.46130952380952,713.407143797193,38.6433661640911
"125","42_149_A_1",42.149,71,21,43,20.2827027777778,10.8180302222222,0.41280625,760.406950327944,76.9602569262143,31.8309886183791,41723,42,149,"A","1",0,1984,"L","0003",2000,"","3-1",2019,1,1,1,100,95,1,2,4,2,1,4,1,2,2,1,8,5,NA,NA,0,0,NA,0,NA,0,NA,3.25,NA,1,2,2,"REJON LOCALIZADO POR ORTOFOTO, GPS, CROQUIS, FOTOS Y PIES IFN 3. NO DOY OCUPACION AL QUERCUS PYRENAICA. EN LA PARCELA HAY PINOS MARCADOS CON PINTURA BLANCA DELIMITANDO EL RODAL. TODO EL MATORRAL HA MUERTO, NO HAY MATORRAL EN 10 METROS.
[Pies Mayores]
EL PIE NUMERO 6 TIENE UNA MARCA DE PINTURA BLANCA.
PIE 13, 21 ALTURA COMPROBADA.
PIE 21, 33 DIAMETRO COMPROBADO.
PIE 18 YA NO ES BIFURCADO POR MORIR LA RAMA.
PIE 33 DISTANCIA COMPROBADA.","2019-08-02","2000-01-01","2019-08-02","2000-01-01",42,"42.149.A.1","IFN4","42_149",39.5516129032258,16678.0445460844,12672.5532071403,31.51353925,869.198195872538,0,19.1878499348958,14.5795898649089,21.4854394906742,17.0053763172043,75.9834474126973,42.9954054182639,681.579642303971,19.9459324949506,37.1235633982469,-2.48022375893169,42.0721471151438,"2008_2021",2.88095238095238,14.0416666666667,8.46130952380952,713.407143797193,38.6433661640911
"139","42_266_A_1",42.266,71,21,NA,19.8161715277778,11.813922,NA,445.633840657307,50.9295817894065,NA,41800,42,266,"A","1",0,2000,"","2-2",198,"J","0013",2019,1,1,1,90,90,1,1,3,2,2,4,1,2,1,1,8,3,NA,NA,1,0,0,0,0,330,NA,6.5,NA,2,2,2,"[Pies Mayores]
PIES N 1, 2, 10, 16, 23, 28, 29, 33 HT COMPROBADA
PIE N 2 DN CON CINTA 2280MM
PIE N5, 11, 14 COPA PARTIDA POR SACA DE MADERA Y HT COMPROBADA
PIE N 4 R REAL 25
PIE N 12 Y 13, 26 Y 27 ESTAN ENRREDADOS, POR ESO FORMA 5.
PIE N 17 ESTA ALGO ARQUEADO.
LOS DANOS EN GUIAS TERMINALES PUDIERAN SER POR PRINCIPIO DE SEQUIA
[Especies Presentes]
HAY 43 FUERA DE 25M FUSTAL
PROXIMO A PARCELA HAY POPULUS TREMULA
[Matorral] COMPROBADO
[Regeneración]
COMPROBADA","2019-07-19","2000-01-01","2019-07-19","2000-01-01",42,"42.266.A.1","IFN4","42_266",42.3971052631579,13041.2338460332,7307.07933351087,31.6300935277778,496.563422446713,0,26.2629772079772,14.7152992008689,28.4785540218212,17.4252631747368,56.030582840392,41.1001247999801,612.043509369977,25.7533239692113,47.9323368475572,-2.87932403545766,41.9651843490761,"2008_2021",2.83333333333333,13.2202380952381,8.02678571428571,735.185712644032,40.782961771239
"140","42_27_A_4",42.27,21,71,NA,27.8087581111111,6.63553402777778,NA,186.741799894491,650.766878420194,NA,41638,42,27,"A","4",0,2013,"","3-3",1984,"M","0003",2019,1,1,1,100,95,1,2,2,2,2,4,1,2,1,1,8,3,NA,NA,0,0,NA,0,NA,90,NA,10,NA,3,2,3,"[Identificación] Parcela no lcalizada por falta de referencias claras, se imjlanta en cruce de coordenadas y se clasifica como A4.
[Pies Mayores]A rumbo 243 y 17.7m no 021 por diametros.
[Matorral]No hay matorral en 10m.","2019-08-26","2000-01-01","2019-08-26","2000-01-01",42,"42.27.A.4","IFN4","42_27",49.355,14599.0141348046,12095.2804937339,34.4442921388889,837.508678314685,0,17.4314780405405,14.4419763125,22.8833199774982,24.3249998,82.849981389485,49.2857862425286,726.647277219101,14.2053682539687,26.439169444956,-2.79461971481589,42.0371151904218,"2008_2021",2.68452380952381,13.0178571428571,7.85119047619048,755.264285155705,42.3089029363649
"166","42_491_A_1",42.491,71,21,NA,11.8443191944444,6.189078,NA,245.169347891782,25.4647908947033,NA,41951,42,491,"A","1",0,1984,"J","0002",2000,"","1-1",2019,1,1,1,80,75,1,1,4,2,2,4,1,2,1,1,8,3,NA,NA,1,0,0,0,0,350,260,4.75,4.75,1,2,2,"[Identificación] Parcela localizada mediante fotos,coordenadas gps, croquis y pies del IFN3.
[Pies Mayores] A 13.7m y rumbo 107 nu 071 por diametros.
A rumbo 217 y 6.4m no 071 por diametros.
Pie 12 y 13 altura menor por la calidad baja.","2019-05-13","2000-01-01","2019-05-13","2000-01-01",42,"42.491.A.1","IFN4","42_491",37.141116751269,7175.54658739277,4478.54938783311,18.0333971944444,270.634138786485,0,26.5138264506011,16.5483534631469,29.1274552617653,19.2157360913706,62.4140521323043,51.7370983216707,345.855310265149,31.6338233341122,58.8771794134045,-2.81890976345401,41.9921242326818,"2008_2021",3.1547619047619,13.2261904761905,8.19047619047619,704.550000701632,38.7318063212939
"167","42_508_A_1",42.508,21,71,NA,39.9382936944444,12.5639333333333,NA,228.334291689173,141.471060526129,NA,41966,42,508,"A","1",0,2000,"","1-1",1984,"J","0002",2019,1,1,1,100,85,1,1,3,2,2,4,1,2,1,1,8,4,NA,NA,1,0,0,0,0,170,NA,7,NA,1,2,1,"REJON LOCALIZADO POR ORTOFOTO Y PIES IFN3
[Identificación]
[Pies Mayores]
PIE N4, 19 DN COMPROBADO
PIE N5 Y 11 DN CON CINTA 2150MM.
PIE N6, 8, 9, 10, 13, 15, 23, 24, 27, 28, 29, 34 HT COMPROBADA
PIE N 12 DN CON CINTA 2600MM Y HT COMPROBADAS. DANO EN BASE DEL PIE POR EXTRACCION ANTIGUA DE TEA. 
PIE N18 DN COMPROBADO Y YA NO ENTRA POR DN 
PIE A R 208 NO ENTRA POR DISTANCIA PARA 225MM
PIE N 24 DN COMPROBADO
PIE N 36 DN CON CINTA 2530MM
PIE N 37 DN CON CINTA 2340MM
[Regeneración]
COMPROBADA
[Especies Presentes]
EN EL RADIO DE PARCELA HAY UN ABEDUL DE 350MM","2019-07-02","2000-01-01","2019-07-02","2000-01-01",42,"42.508.A.1","IFN4","42_508",59.78,14533.2159445539,7771.62775827213,52.5022270277778,369.805352215302,0,39.299636572303,21.0154550541699,42.5164823905519,25.3249997,53.4749348521478,42.3636662763466,867.189451747202,20.5335459726418,38.2172353134735,-2.83100621421779,41.9831362638352,"2008_2021",3.1547619047619,13.2261904761905,8.19047619047619,704.550000701632,38.7318063212939
