"","X","PlotID0","PlotID","Provincia","Origen","Estadillo","Cla","Subclase","nArbol","OrdenIFActual","OrdenIFAnterior","bearing","distance","species","dbh_1","dbh_2","height","Hcopa","Calidad","Forma","ParEsp","NPae","CPae","VPae","Agente","Import","Elemento","INVENTORY_ID","PLOT_ID_short","PLOT_ID","TREE_ID_IFN4","TREE_ID","dbh","expan","g","slenderness","dead"
"1",181477,9.141,"9.1410.A.1",9,9,1410,"A","1",1,1,1,6,4.5999999,71,323,308,24.1000004,10.6999998,2,2,NA,NA,NA,NA,100,NA,NA,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_1","IFN4_9_1410_A_1_1",31.55,14.1471060526129,781.787295341229,76.3866890649762,0
"2",181478,9.141,"9.1410.A.1",9,9,1410,"A","1",2,2,2,8,9.39999962,71,492,463,25.2000008,NA,2,2,NA,NA,NA,NA,100,NA,NA,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_2","IFN4_9_1410_A_1_2",47.75,5.09295817894065,1790.75689993139,52.7748707853403,0
"3",181479,9.141,"9.1410.A.1",9,9,1410,"A","1",3,3,3,22,23.3999996,71,559,447,20.5,NA,3,2,NA,NA,NA,NA,316,1,9,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_3","IFN4_9_1410_A_1_3",50.3,5.09295817894065,1987.12803923025,40.7554671968191,0
"4",181480,9.141,"9.1410.A.1",9,9,1410,"A","1",4,4,4,22,12.8999996,71,460,420,23.7000008,NA,2,2,NA,NA,NA,NA,100,NA,NA,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_4","IFN4_9_1410_A_1_4",44,5.09295817894065,1520.53084433746,53.8636381818182,0
"5",181481,9.141,"9.1410.A.1",9,9,1410,"A","1",5,5,5,23,22.6000004,71,483,449,24.8999996,NA,2,2,NA,NA,NA,NA,100,NA,NA,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_5","IFN4_9_1410_A_1_5",46.6,5.09295817894065,1705.53923570736,53.4334755364807,0
"6",181482,9.141,"9.1410.A.1",9,9,1410,"A","1",6,6,6,27,20.2000008,71,518,502,24.5,NA,2,2,NA,NA,41,NA,100,NA,NA,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_6","IFN4_9_1410_A_1_6",51,5.09295817894065,2042.82062299676,48.0392156862745,0
"7",181483,9.141,"9.1410.A.1",9,9,1410,"A","1",7,7,7,39,9.39999962,71,507,463,24,NA,2,2,NA,NA,NA,NA,100,NA,NA,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_7","IFN4_9_1410_A_1_7",48.5,5.09295817894065,1847.45282985165,49.4845360824742,0
"8",181484,9.141,"9.1410.A.1",9,9,1410,"A","1",8,8,0,48,16.2000008,71,424,432,24.2999992,NA,2,2,NA,NA,NA,NA,100,NA,NA,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_8","IFN4_9_1410_A_1_8",42.8,5.09295817894065,1438.72377163798,56.7756990654206,0
"9",181485,9.141,"9.1410.A.1",9,9,1410,"A","1",9,9,8,48,2.9000001,71,114,121,8.69999981,3.29999995,4,5,NA,39,49,1,316,2,9,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_9","IFN4_9_1410_A_1_9",11.75,127.323954473516,108.43403393406,74.0425515744681,0
"10",181486,9.141,"9.1410.A.1",9,9,1410,"A","1",10,10,9,48,2.0999999,71,477,453,23.2999992,6,2,2,NA,39,419,1,100,NA,NA,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_10","IFN4_9_1410_A_1_10",46.5,5.09295817894065,1698.22717880613,50.1075251612903,0
"11",181487,9.141,"9.1410.A.1",9,9,1410,"A","1",11,11,0,58,22.1000004,71,468,458,25.3999996,NA,2,2,NA,NA,NA,NA,100,NA,NA,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_11","IFN4_9_1410_A_1_11",46.3,5.09295817894065,1683.65018889348,54.8596103671706,0
"12",181488,9.141,"9.1410.A.1",9,9,1410,"A","1",12,12,10,58,2.4000001,71,138,134,12.5,5.19999981,3,2,NA,39,49,1,316,1,9,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_12","IFN4_9_1410_A_1_12",13.6,31.8309886183791,145.267244301992,91.9117647058824,0
"13",181489,9.141,"9.1410.A.1",9,9,1410,"A","1",13,13,11,64,2.5999999,71,267,270,16.5,9.39999962,3,2,NA,39,49,1,316,1,9,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_13","IFN4_9_1410_A_1_13",26.85,14.1471060526129,566.211207451897,61.4525139664804,0
"14",181490,9.141,"9.1410.A.1",9,9,1410,"A","1",14,14,14,70,1.79999995,71,263,297,21.6000004,2.29999995,2,2,NA,39,49,1,100,NA,NA,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_14","IFN4_9_1410_A_1_14",28,14.1471060526129,615.752160103599,77.1428585714286,0
"15",181491,9.141,"9.1410.A.1",9,9,1410,"A","1",15,15,12,71,8.30000019,71,428,441,23.6000004,NA,3,2,NA,NA,NA,NA,200,1,4,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_15","IFN4_9_1410_A_1_15",43.45,5.09295817894065,1482.75515617345,54.3153058688147,0
"16",181492,9.141,"9.1410.A.1",9,9,1410,"A","1",16,16,13,72,13,71,443,441,25.6000004,NA,2,2,NA,NA,NA,NA,100,NA,NA,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_16","IFN4_9_1410_A_1_16",44.2,5.09295817894065,1534.38526793979,57.9185529411765,0
"17",181493,9.141,"9.1410.A.1",9,9,1410,"A","1",17,17,15,92,11.5,71,509,466,26.2000008,NA,2,2,NA,NA,NA,NA,100,NA,NA,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_17","IFN4_9_1410_A_1_17",48.75,5.09295817894065,1866.54782269925,53.7435913846154,0
"18",181494,9.141,"9.1410.A.1",9,9,1410,"A","1",18,18,16,96,14.6999998,71,486,400,21.7999992,NA,2,2,NA,39,49,2,100,NA,NA,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_18","IFN4_9_1410_A_1_18",44.3,5.09295817894065,1541.33604168586,49.2099304740406,0
"19",181495,9.141,"9.1410.A.1",9,9,1410,"A","1",19,19,17,98,14.6999998,71,522,444,24,NA,2,2,NA,39,49,2,100,NA,NA,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_19","IFN4_9_1410_A_1_19",48.3,5.09295817894065,1832.24752140827,49.6894409937888,0
"20",181496,9.141,"9.1410.A.1",9,9,1410,"A","1",20,20,18,109,9.19999981,71,328,278,21.3999996,NA,2,5,NA,NA,NA,NA,100,NA,NA,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_20","IFN4_9_1410_A_1_20",30.3,14.1471060526129,721.066199833563,70.6270613861386,0
"22",181498,9.141,"9.1410.A.1",9,9,1410,"A","1",22,21,20,149,9.39999962,378,166,174,19.7000008,NA,2,2,NA,NA,419,NA,100,NA,NA,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_22","IFN4_9_1410_A_1_22",17,31.8309886183791,226.980069221863,115.882357647059,0
"23",181499,9.141,"9.1410.A.1",9,9,1410,"A","1",23,22,0,153,14.3999996,71,254,252,23.2000008,NA,2,2,NA,39,49,3,100,NA,NA,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_23","IFN4_9_1410_A_1_23",25.3,14.1471060526129,502.725510409073,91.6996079051384,0
"24",181500,9.141,"9.1410.A.1",9,9,1410,"A","1",24,23,0,157,14.1999998,71,231,223,24.2000008,NA,2,2,NA,39,49,3,100,NA,NA,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_24","IFN4_9_1410_A_1_24",22.7,14.1471060526129,404.707819617071,106.607933039648,0
"25",181501,9.141,"9.1410.A.1",9,9,1410,"A","1",25,24,21,164,14.3000002,71,237,280,24.1000004,NA,2,2,NA,39,49,4,100,NA,NA,"IFN4","9_1410","9_1410_A_1","9_1410_A_1_25","IFN4_9_1410_A_1_25",25.85,14.1471060526129,524.820724240851,93.2301756286267,0
