"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","YEAR","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","CoorX","CoorY","Origen","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"1","1_1101",1.1101,25,21,35,8.59493333333333,5.63542083333333,0.731025,190.985931710274,152.081390065589,14.1471060526129,1095,1,1101,0,960606,0,19,4,2,2,NA,960606,0,139,3,"0139261",557,4741,96,51,0,2,"0","0",10,10,0,3,1,1,5,65,25,25,5,6,3,3,21,21,5,3,3,3,0,NA,0,NA,0,NA,25,1,2,27,21,1,2,26,NA,NA,NA,NA,25,21,35,15,71,37,NA,2,1,"W",20,1,NA,NA,NA,1,2,0,NA,0,NA,0,NA,NA,"P404",391,NA,"03,00",NA,557000,4741000,1,"IFN2","1_1101",28.5375,8019.64074357495,2891.31479950277,14.9613791666667,357.214427828476,0,22.4504950495049,8.09405940594059,23.0927885104445,8.4375,36.0529217199559,29.5663600525624,314.495810715999,62.7078222073564,116.712408099753,-2.30276535644085,42.8186737225241,"1986_1996",4.57575757575758,14.0454545454545,9.31060606060606,853.309092413295,44.1886230673029
"3","1_189",1.189,21,25,35,26.7231256666667,9.197942,3.28788055555556,243.896108347047,40.7436654315252,42.4413181578388,186,1,189,0,960701,0,39,4,1,1,NA,960701,0,86,3,"0086393",510,4763,96,63,0,2,"0","2",7,7,0,4,1,1,8,85,25,21,4,5,4,4,21,25,6,3,4,4,0,NA,0,NA,0,NA,21,3,1,NA,25,1,2,63,NA,NA,NA,NA,21,25,35,43,15,34,41,2,2,"W",20,1,NA,NA,NA,1,3,0,NA,3,NA,0,NA,"P918","P714",245,NA,"05,25",NA,510000,4763000,1,"IFN2","1_189",48.25,14173.490405401,8198.24795748919,41.9768454444444,419.037281278395,0,33.823936529372,19.5644834571236,35.7135997242887,23.314606741573,57.8421244379233,48.3204284799441,742.774388414238,20.9529691667517,38.9978698383913,-2.87728133058528,43.0188394289272,"1986_1996",7.35606060606061,16.6287878787879,11.9924242424242,897.027274045077,40.7880124608854
"4","1_211",1.211,25,21,41,19.6462284722222,5.38119027777778,1.65690625,933.708999472453,233.427249868113,159.154943091895,208,1,211,0,960702,0,33,4,3,1,NA,960702,0,87,2,"0087519",529,4769,96,3,0,1,"0","0",6,6,0,4,1,1,8,60,21,25,5,5,4,4,25,21,5,3,4,4,0,NA,0,NA,0,NA,25,1,2,34,21,1,2,34,NA,NA,NA,NA,25,21,41,3,15,55,65,3,2,"W",20,1,NA,NA,NA,1,2,0,NA,0,NA,0,NA,NA,"M404",98,NA,"04,50",NA,529000,4769000,1,"IFN2","1_211",26.8560606060606,20261.1316109009,9922.42650765139,26.684325,1326.29119243246,0,15.2765333333333,7.48133333333333,16.0052966233057,12.0606060606061,48.972716323075,44.9083215796897,648.318558809166,22.7672944858073,42.3747097542015,-2.643806374183,43.0723793321017,"1986_1996",6.64393939393939,15.3560606060606,11,967.454544999383,46.0692640475897
"5","1_212",1.212,25,21,43,17.9791715277778,4.52114722222222,2.5038125,321.846662696944,88.4194128288307,77.809083289371,209,1,212,0,960716,0,27,4,0,1,NA,960716,0,87,2,"0087520",530,4769,96,3,0,1,"0","0",7,7,0,5,1,1,8,80,21,25,5,5,4,4,25,21,5,4,4,4,0,NA,0,NA,0,NA,25,1,2,40,21,1,2,36,NA,NA,NA,NA,25,21,43,71,NA,NA,NA,3,3,"W",20,1,NA,NA,NA,1,2,0,NA,3,NA,0,NA,NA,"P414",12,NA,"08,00",NA,530000,4769000,1,"IFN2","1_212",32.3375,12143.345319086,8010.79880229207,25.00413125,488.075158815146,0,24.8800724637681,16.4130434782609,25.5398058877237,18.875,65.9686321338595,58.3687669114805,505.099833936179,23.9811324405586,44.6339167519097,-2.63152407984984,43.0723404433057,"1986_1996",6.64393939393939,15.3560606060606,11,967.454544999383,46.0692640475897
"6","1_285",1.285,21,25,NA,12.8325138888889,5.50759166666667,NA,173.302049144508,70.7355302630646,NA,282,1,285,0,960612,0,16,4,0,1,NA,960612,0,87,3,"0087473",516,4762,96,63,0,2,"0","2",12,12,0,3,1,1,8,65,25,21,0,7,4,4,0,25,0,3,0,4,0,NA,0,NA,0,NA,21,1,2,38,25,1,2,33,NA,NA,NA,NA,21,25,NA,NA,NA,NA,NA,2,4,"W",20,1,NA,NA,NA,1,2,0,NA,3,NA,0,NA,NA,"01",120,NA,"03,00",NA,516000,4762000,1,"IFN2","1_285",35.50625,7411.31518331259,3179.56208532475,18.3401055555556,244.037579407573,0,30.3695652173913,13.0289855072464,30.9333973637518,14.4375,42.9014554998807,40.6618553071642,343.478316437106,44.3383623680867,82.5229909287423,-2.80367915739428,43.0097320560768,"1986_1996",5.03030303030303,14.0075757575758,9.51893939393939,957.645453756506,49.0623713936964
"12","1_632",1.632,25,21,71,18.6735612222222,17.8815621111111,0.4356,222.392507147075,231.446655020747,31.8309886183791,628,1,632,0,960607,0,35,4,3,1,NA,960607,0,112,1,"0112214",533,4758,96,8,0,6,"0","0",8,8,0,4,1,1,8,70,21,21,5,6,4,4,25,25,5,3,4,4,0,NA,0,NA,0,NA,21,1,2,48,25,1,2,48,NA,NA,NA,NA,21,25,71,15,65,NA,NA,3,3,"W",20,1,NA,NA,NA,1,2,0,NA,3,NA,0,NA,NA,"M414",100,NA,"05,00",NA,533000,4758000,1,"IFN2","1_632",39.7830508474576,14732.2869473732,8915.57696988692,36.9907233333333,485.670150786202,0,30.3339353335275,18.3572676958928,31.1408716757746,20.2796610169492,60.5172638961977,50.975630538514,690.945155831397,22.3752863722209,41.6451004435796,-2.5953284138231,42.9731657839015,"1986_1996",6.48484848484849,15.2424242424242,10.8636363636364,898.972727862271,43.0880174574509
"13","1_747",1.747,25,21,NA,19.6990472222222,5.69550555555556,NA,286.478897565412,84.8826363156775,NA,742,1,747,0,960530,0,25,4,2,2,NA,960530,0,113,1,"0113302",540,4756,96,13,0,2,"0","0",9,9,0,4,1,1,8,70,25,25,7,7,4,4,21,21,2,3,4,4,34,NA,1,NA,4,NA,25,1,2,52,21,1,2,51,NA,NA,NA,NA,25,21,43,78,41,65,NA,2,2,"W",20,1,NA,NA,NA,1,2,0,NA,3,NA,0,NA,NA,"P414",61,NA,"06,50",NA,540000,4756000,1,"IFN2","1_747",34.89375,10750.7395670319,5113.11780506562,25.3945527777778,371.361533881089,0,28.9495238095238,13.7685714285714,29.5071242406369,15.025,47.560614534329,43.0592871216192,484.546938492222,34.5371948565045,64.2809627064383,-2.50963484605409,42.9548210472012,"1986_1996",6.26515151515152,15.280303030303,10.7727272727273,868.072731754997,41.7890592967394
"14","1_752",1.752,25,21,NA,24.2338770833333,4.55149375,NA,905.414787367227,286.478897565412,NA,747,1,752,0,960614,0,40,4,3,2,NA,960614,0,113,1,"0113306",546,4755,96,53,0,2,"0","0",9,9,0,4,1,1,8,60,25,25,5,6,3,3,21,21,5,4,3,3,0,NA,0,NA,0,NA,25,1,2,24,21,1,2,24,NA,NA,NA,NA,25,21,43,37,65,NA,NA,1,1,"W",20,1,NA,NA,NA,1,2,0,NA,0,NA,0,NA,NA,"01",180,NA,"05,25",NA,546000,4755000,1,"IFN2","1_752",24.89375,20444.3366342822,6344.97706459689,28.7853708333333,1191.89368493264,0,17.1528189910979,5.32344213649852,17.5356639562281,6.375,31.0353775624946,25.6088375596284,674.588539557042,45.4361005038662,84.5661118150985,-2.43616552534513,42.9454778694573,"1986_1996",6.01515151515152,15.0454545454545,10.530303030303,894.245454614813,43.5573431768101
"19","12_154",12.154,21,25,NA,10.9340534722222,7.25704955555556,NA,272.331791512799,89.9755944946182,NA,22973,12,154,NA,940922,3,17,4,6,2,"S",941003,1,520,1,"0520M45",251,4507,94,37,6,6,"0","0",12,11,5,5,9,1,50,70,21,21,0,5,4,4,NA,25,NA,5,NA,4,NA,NA,NA,NA,NA,NA,21,3,1,NA,25,3,1,NA,NA,NA,NA,NA,21,25,45,44,37,2,95,2,4,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,4,NA,NA,"01",128,NA,"11.00",NA,251000,4507000,12,"IFN2","12_154",35.3486413043478,8360.98919196542,3686.80657284119,18.1911030277778,362.307386007417,0,23.0770597422882,10.1759078484967,25.2840116789912,12.8369565217391,44.0953395369063,36.3152756317121,368.936204252333,40.9260033911418,76.1718752388511,0.0540219052331933,40.6756096217463,"1986_1996",3.34090909090909,16.4090909090909,9.875,535.154544873671,26.9260148364111
"20","12_183",12.183,21,25,NA,7.35010763888889,5.76253958333333,NA,183.912378683968,116.713624934057,NA,21428,12,183,NA,940824,1,15,4,5,2,"S",940907,3,521,4,"0521430",259,4509,94,93,6,6,"0","0",10,10,2,3,9,1,60,50,21,25,0,5,4,4,NA,21,NA,3,NA,4,NA,37,NA,2,NA,3,25,3,1,NA,21,3,1,NA,37,3,6,NA,25,21,37,91,45,39,NA,2,1,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,0,NA,NA,"01",245,NA,"2.50",NA,259000,4509000,12,"IFN2","12_183",31.23125,6634.99273867546,2534.10037167429,13.1126472222222,300.626003618025,0,22.0705882352941,8.42941176470588,23.5660598418698,9.8125,38.1929637526652,31.4188513107865,273.434573384146,58.7769516442355,109.396233606669,0.14779076007963,40.695979660166,"1986_1996",4.09090909090909,16.8863636363636,10.4886363636364,530.290908054872,25.8821962888679
