"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","CoorX","CoorY","Origen","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","YEAR","INE","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","FechaPh","HoraPh","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","Equipo","JefeEq","FechaIni","HoraIni","FechaFin","HoraFin","Tiempo","Resid","RumboF1","RumboF2","DistFoto","CarFoto1","NumFoto1","ConFoto1","CarFoto2","NumFoto2","ConFoto2","Estado","Tecnico","PlotID","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"1","1_1000_A_3C",1.1,25,21,41,20.9875423611111,11.7220444444444,0.81,463.317723223073,321.846662696944,31.8309886183791,10978,534000,4739000,1,1,1000,"A","3C",0,1986,"06","0017",1997,"","2-2 ",2005,NA,1,1,2,100,80,1,2,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,360,NA,4.8,NA,2,"1",2,"[CLAESP. RESTO DE ESPECIES=10%]
01,PARCELA MAL UBICADA EN IFN2, SE PINCHO EN UN PINAR Y TENIA QUE ESTAR EN UNA MASA DE ROBLES, EL CRUCE DE COORDENADAS QUEDA EN LA TESELA DE ROBLES, POR LO QUE LA PARCELA SE CLASIFICA A3C.
01,A 12.1MTS. Y 398G., UN P.SILVESTRE NO ENTRA POR POCOS MM. DE DIAMETRO.
01,A 14.1MTS Y 82G., UN P.SILVESTRE NO ENTRA POR POCOS MM. DE DIAMETRO.
01,[PIESMAY 007-021] COMPROBADO DIAMETRO.
01,[PIESMAY 015-025] COMPROBADA SP. DE PINO.
01,[PIESMAY 026-041] COMPROBADA SP. DE ROBLE, DAÑOS POR DOMINANCIA.
01,[PIESMAY 032-025] ENTRA POR CORRECCION DE PENDIENTE.
01,[PIESMAY 033.025] DAÑOS POR INSECTOS EN RAMAS Y GUIAS.
01,[PIESMAY 036-025] DAÑOS EN GUIA TERMINAL, PARTIDA POR EL VIENTO.
01,EL PIE 1, DE IFN2, ES EL ULTIMO EN IFN3 POR DIFERENCIA EN RUMBO DE 18G.
01,[FISIOGRAFIA] SE CAMBIA LA ORIENTACION POR DIFERENCIA EN RUMBO.
01,SE HA REALIZADO UNA CLARA Y PODA EN LOS PINOS, EL DESRRAME ESTA RECOGIDO EN MONTONES. COMPROBADO LOS RUMBOS DE TODOS LOS PIES.
01,ABUNDANCIA DE VEGETACION HERBACEA Y HELECHOS.
01,PIE 21 DE IFN3, CORRESPONDE AL 22 DE IFN2.",9,9900000000000036,"06/16/05 00:00:00","12/30/99 08:56:39","06/16/05 00:00:00","12/30/99 11:17:41",NA,1051,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",9900000010051276,"1.1000.A.3C","IFN3","1_1000",31.03125,18318.2034334002,10060.3607916644,33.5195868055556,816.995374538396,0,22.4214285714286,12.3138528138528,22.8557032487664,14.5625,54.9200189212932,46.9284994964753,707.476793266805,24.0244947387039,44.7146230826214,-3.01230248526169,43.1719838309891,"1997_2007",8.48484848484848,17.8712121212121,13.1780303030303,1075.87272921476,46.4177807669056
"2","1_1220_A_3C",1.122,25,21,NA,39.2637638888889,7.64330208333333,NA,986.760647169751,194.522708223428,NA,12546,549991,4732001,1,1,1220,"A","3C",0,1991,"d","0006",1997,""," 3-2",2005,NA,1,1,2,100,80,1,2,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,233,NA,2.2,NA,2,"1",2,"[CLAESP. RESTO DE ESPECIES=0%]
01,LA EDAD SE HA ESTIMADO SUMANDO 10 AÑOS A LA EDAD IFN2.
01,[PIESMAY 002 TIENE DAÑOS POR PERFORADORES.
01,[PIESMAY 004 DM COMPROADO.
01,[PIESMAY 009 TRIFURCADO ENCIMA 1.3M.
01,[PIESMAY DM 223,222 A 13.7M Y 50G NO ENTRA.
01,[PIESMAY A 113G Y 10.1M NO ENTRA.
01,[PIESMAY 024 DM COMPROBADO.
01,[PIESMAY 026 IFN2 MUERTO POR PERFORADORES.
01,[PIESMAY 046 DISTANCIA COMPROBADA.
01,[PIESMAY 050 ATACADO POR PERFORADORES.
01,LOS PIES MUERTOS LO SON A CAUSA DE PERFORADORES.
01,LOS PIES DE POCO DIAMETRO DE MALA CALIDAD ESTAN DOMINADOS.
01,REGENERACION:
01,048 1 1 1,043 1 1 1.
01,MATORRAL:
01,0121 20 10,0144 15 10.
01,[SIN AJUSTES EN GPS.",15,9900000010051012,"10/11/05 00:00:00","12/30/99 10:53:13","10/11/05 00:00:00","12/30/99 12:18:59",NA,1051,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",9900000010051276,"1.1220.A.3C","IFN3","1_1220",31.34375,25898.2228563902,19047.3099115867,46.9070659722222,1181.28335539318,0,21.9238023952096,16.124251497006,22.4852205285065,17.8125,73.5467835658343,56.8295114656032,996.449511733995,16.3342079514646,30.4013865784343,-2.38918266113762,42.7381212058959,"1997_2007",5.76515151515152,15.7045454545455,10.7348484848485,758.554541457783,36.5835584480918
"4","1_189_A_1",1.189,21,25,35,27.2265712222222,12.503387,4.21694722222222,212.772475031298,45.8366236104659,42.4413181578388,8659,510000,4763000,1,1,189,"A","1",0,1992,"3","2093",2002,"","4-4 ",2005,NA,1,1,2,100,90,1,2,2,2,2,4,"","",1,2,1,1,9,2,NA,NA,"0","2","",0,NA,245,NA,5.2,NA,2,"1",2,"REJON  ENCONTRADO POR PIES DEL IFN2. 
01,LA PARCELA ES UNA ANTIGUA REPOBLACION CERCANA A UN REBOLLAR. 
01,NO ME COINCIDEN LAS PROPORCIONES DE LAS ESPECIES CON LAS TESELADAS. DEJO UN 10% DE OCUPACION AL ALERCE (035). 
01,PIE 23 PERIMETRO A CINTA. 
01,PIE 36 PERIMETRO A CINTA. 
01,PIES 23, 26 Y 36 FORMA COMPROBADA. 
01,TODOS LOS PIES TIENEN LA ALTURA COMPROBADA.
01,PARA MODELO DE COMBUSTIBLE HAY MUCHO HELECHO.
01,
01,
01,",22,9900000010051006,"07/05/05 00:00:00","12/30/99 10:03:01","07/05/05 00:00:00","12/30/99 12:47:46",NA,1002,70,270,13,222025,10,30,222025,11,29,"T",9900000010051024,"1.189.A.1","IFN3","1_189",53.1125,13564.4150485179,7543.51988937426,46.3387526666667,329.344628904829,0,41.1860824742268,22.9046391752577,42.325484329318,24.63,55.6125705560631,46.3732642974818,766.748578004555,22.3722825487702,41.6395096981813,-2.87728133058528,43.0188394289272,"1997_2007",7.59848484848485,17.1060606060606,12.3522727272727,939.872726310383,42.0481951780954
"6","1_212_A_1",1.212,25,21,42,26.022499,6.70296736111111,2.08725833333333,330.476397389038,130.860730986669,42.4413181578388,10624,530000,4769000,1,1,212,"A","1",0,1995,"05","9691",2002,"","4-1 ",2005,NA,1,1,2,100,90,1,2,1,2,2,4,"","",1,2,1,1,7,3,NA,NA,"0","0","",0,NA,33,NA,7.5,NA,2,"1",2,"PARCELA ENCONTRADA POR PIES DEL IFN2.PINAR DE LARICIO Y SILVESTRE CON ROBLES Y HAYA COMO ESPECIES ACOMPAÑANTES.
01,[CLAESP. RESTO DE ESPECIES=20%].
01,PIE 4 ENTRA POR PENDIENTE.
01,[PIESMAY 006-]ENTRA POR PENDIENTE.
01,[PIESMAY 014-025]ENTRA POR PENDIENTE MUY JUSTO.
01,PIE, 19, DIAMETRO COMPROBADO.
01,[PIESMAY 022-042]ESPECIE COMP.
01,[PIESMAY 029-025]ENTRA POR PENDIENTE.
01,[PIESMAY 037-025]RUMBO COMP.",20,9900000010051004,"06/13/05 00:00:00","12/30/99 08:43:08","06/13/05 00:00:00","12/30/99 10:23:36",NA,1058,59,160,10,224368,4,36,224368,5,35,"T",9900000010051276,"1.212.A.1","IFN3","1_212",37.7410326086957,15569.0529026201,10372.0215380034,36.4511274722222,549.756541204538,0,28.3199047864128,18.8665723108595,29.0552983719717,21.7092391304348,66.6194764888872,57.5215822935192,699.766844819268,19.6458215458698,36.5649939832783,-2.74322781316923,42.7934932699389,"1997_2007",6.35606060606061,16.5757575757576,11.4659090909091,783.827270421115,36.5149813642446
"7","1_218_A_1",1.218,25,21,215,21.6705417777778,9.95928666666667,5.880925,181.082957473445,86.0144047998865,636.619772367581,10532,529000,4768000,1,1,218,"A","1",0,1995,"00","9652",2002,"","4-1 ",2005,NA,1,1,2,100,80,1,3,1,3,2,4,"","",1,2,1,1,7,1,NA,NA,"0","0","",0,NA,142,NA,0.8,NA,2,"2",2,"PARCELA ENCONTRADA POR PIES DEL IFN2.
01,PINAR DE LARICIO Y SILVESTRE CON SUBPISO DE MAJUELO Y SAUCE.20% DE LA OCUPACION PARA EL SUBPISO.
01,[PIESMAY 999-025] SE VA POR DISTANCIA LATERAL.
01,[PIESMAY 009-215] HT COMPROBADA.
01,ALTURAS COMPROBADAS DE TODOS LOS PIES.
01,[PIESMAY 015-057] FORMA Y HT COMPROBADA.
01,CON RUMBO 203 NO ENTRA 021 POR DISTANCIA.
01,CON RUMBO 210 NO ENTRA 057 POR DISTANCIA.",20,9900000010051004,"07/04/05 00:00:00","12/30/99 09:34:26","07/04/05 00:00:00","12/30/99 11:20:23",NA,1058,190,40,10,226726,12,28,226726,13,27,"T",9900000010051276,"1.218.A.1","IFN3","1_218",42.7149746192893,18974.5442716051,10119.424959434,40.4329346944444,995.673323982897,0,19.0569977266269,10.1633986928105,22.7386279422533,20.2157360406091,53.3315836975198,47.3270468279292,855.125363573209,15.6766046457138,29.1774489150476,-2.6438585080462,43.0633747996118,"1997_2007",6.86363636363636,15.8333333333333,11.3484848484848,1014.2636384964,47.5098652524928
"8","1_283_A_1",1.283,21,25,43,29.17346275,9.12322847222222,0.953877777777778,344.482032381125,307.699556644331,14.1471060526129,9095,514000,4762000,1,1,283,"A","1",0,1992,"4","2275",2002,"","3-3 ",2005,NA,1,1,2,95,75,1,2,3,2,2,4,"","",1,2,1,1,8,2,NA,NA,"0","0","",0,NA,310,NA,7.5,NA,1,"1",2,"REJON ENCONTRADO  POR PIES DEL IFN2. 
01,DEJO UN 10% DE OCUPACION AL RESTO DE ESPECIES. 
01,EL PIE 1 LO DARIA COMO ULTIMO A 396G. 
01,PIE 7 ALTURA  Y FORMAS COMPROBADAS. 
01,PIE 9 ENTRA POR PENDIENTE Y ESPECIE COMPROBADA. 
01,PIE 12, 31, 33, 34 Y 35  ESPECIE COMPROBADA. 
01,PIE 20 Y 33 ALTURA COMPROBADA. 
01,PIE 21 Ø COMPROBADO. 
01,A 13M Y 220G NO 043 POR Ø. 
01,PIES 26 Y 27 ESPECIE COMPROBADA. 
01,PIE 28 POR PENDIENTE. 
01,FUERA DE 25 M.  HAY ABEDUL.",22,9900000010051006,"07/28/05 00:00:00","12/30/99 12:59:50","07/28/05 00:00:00","12/30/99 16:08:59",NA,1002,110,310,10,224369,14,26,224369,15,25,"T",9900000010051024,"1.283.A.1","IFN3","1_283",42.3702631578947,16592.6313932918,8252.84163974622,39.250569,666.328695078068,0,24.9015711252654,12.3855414012739,27.3863263803575,17.5110526315789,49.7379917876241,41.3286378853093,771.32342083525,22.1229729582147,41.1754922653979,-2.82821914713017,43.0097715182553,"1997_2007",5.21212121212121,14.4848484848485,9.84848484848485,1000.04545649615,50.3839695639283
"9","1_285_A_1",1.285,21,25,NA,18.0537792222222,6.23853788888889,NA,153.920513852429,52.6272345157201,NA,9307,516000,4762000,1,1,285,"A","1",0,1992,"4","2273",2002,"","3-3 ",2005,NA,1,1,2,100,70,1,2,2,1,2,4,"","",1,2,1,1,7,2,NA,NA,"0","3","",0,NA,290,NA,3.5,NA,3,"2",2,"REJON ENCONTRADO POR PIES DEL IFN2. 
01,NO ME COINCIDEN LAS PROPORCIONES DE LAS OCUPACIONES CON LAS TESELADAS. 
01,EL CALCULO DE LA EDAD POR ESTIMACION CON TALADRO EN EL IFN2. 
01,PIE 17 ESPECIE COMPROBADA. 
01,A 359 G. Y 18 M. NO 021 POR Ø. 
01,PARCELA SIN REGENERACION. 
01,PENDIENTE DISTINTA AL IFN2.",22,9900000010051006,"07/18/05 00:00:00","12/30/99 14:13:26","07/18/05 00:00:00","12/30/99 16:16:13",NA,1002,280,80,12,222025,38,2,222025,39,1,"T",9900000010051024,"1.285.A.1","IFN3","1_285",43.3260526315789,7891.65187511696,3295.42688389565,24.2923171111111,206.547748368149,0,38.207397260274,15.9547945205479,38.6971782270972,16.5973684210526,41.7583914755086,38.3080558069473,416.439603087725,41.92282431688,78.0271680331443,-2.80367915739428,43.0097320560768,"1997_2007",5.21212121212121,14.4848484848485,9.84848484848485,1000.04545649615,50.3839695639283
"15","1_598_A_1",1.598,25,21,41,17.0418308055556,13.4575493055556,5.73033402777778,206.689219428675,300.626003618025,300.626003618025,9944,522000,4760000,1,1,598,"A","1",0,1996,"01","0008",1997,"","1-2 ",2005,NA,1,1,2,100,90,1,2,1,1,2,4,"","",1,2,1,1,8,3,NA,NA,"0","0","",0,NA,120,NA,8.8,NA,2,"2",2,"PARCELA ENCONTRADA POR PIES DEL IFN2.
01,PINAR DE REPOBLACION DE SILVESTRE Y LARICIO CON ALGUN RADIATA Y ROBLE PEDUNCULADO MAS AISLADOS.
01,[CLAESP. RESTO DE ESPECIES=20%].
01,CON RUMBO 9 NO ENRA 028 POR DIAMETRO.
01,[PIESMAY 004-057]ESP COMPROBADA.
01,[PIESMAY 010-041]ENTRA POR PENDIENTE.
01,[PIESMAY 009-057]ESP HT Y FORMA COMPROBADA.
01,[PIESMAY 018-041]HT COMPROBADA.SE LE PARTIO LA COPA.
01,[PIESMAY 022-025]ESP COMPROBADA.
01,[PIESMAY 024-041]FORMA COMPROBADA.
01,[PIESMAY 026-025]ESP COMPROBADA.
01,[PIESMAY 038-025]ESP COMPROBADA.
01,[PIESMAY 039-025]ESP COMPROBADA.",20,9900000010051004,"06/30/05 00:00:00","12/30/99 10:06:31","06/30/05 00:00:00","12/30/99 12:38:41",NA,1058,30,25,10,226726,7,33,226726,8,32,"T",9900000010051276,"1.598.A.1","IFN3","1_598",39.5406779661017,21153.608869783,15173.1249190787,42.1196819166667,1005.57629821973,0,21.0363041643219,15.0889842431064,23.093517437203,21.454802259887,71.7283041984992,54.260076871419,885.366128862683,14.6983291855178,27.3566731214501,-2.73013835962523,42.9915726735791,"1997_2007",6.43181818181818,16,11.2159090909091,924.836361278187,43.591644238072
"16","1_632_A_1",1.632,25,21,71,22.9594745555556,18.8302716666667,1.5977,205.41597988394,204.284211399731,63.6619772367581,10883,533000,4758000,1,1,632,"A","1",0,1996,"02","0014",2002,"","2-2 ",2005,NA,1,1,2,100,90,1,3,1,2,2,4,"","",1,2,1,1,7,3,NA,NA,"0","3","1",0,NA,102,NA,5,NA,2,"2",2,"PARCELA ENCONTRADA POR PIES DEL IFN2.
01,PINAR DE SILVESTRE Y LARICIO CON SUBPISO DE HAYA Y ACEBO (20%).",20,9900000010051004,"11/14/05 00:00:00","12/30/99 11:05:12","11/14/05 00:00:00","12/30/99 12:31:19",NA,1058,70,361,10,289919,20,20,289919,21,19,"T",9900000010051276,"1.632.A.1","IFN3","1_632",43.9979899497487,15579.8400709852,9236.36259962992,43.3874462222222,473.362168520428,0,32.9131500298864,19.5122534369396,34.1617673412554,21.8442211055276,59.2840655459041,49.648225135913,781.325615082364,21.0410139020918,39.1617395554429,-2.5953284138231,42.9731657839015,"1997_2007",6.71969696969697,15.7348484848485,11.2272727272727,941.754544604908,44.3653104524796
"18","1_747_A_1",1.747,25,21,NA,30.1355544444444,5.41971666666667,NA,330.051984207459,56.5884242104517,NA,11621,540000,4756000,1,1,747,"A","1",0,1996,"3","0002",2002,"","1-3 ",2005,NA,1,1,2,100,85,1,2,1,2,1,4,"","",1,2,1,1,7,3,NA,NA,"0","3","",0,NA,60,NA,6.5,NA,2,"2",2,"PARCELA ENCONTRADA POR PIES DEL IFN2.
01,PINAR DE LARICIO Y SILVESTRE DE REPOBLACION.
01,[PIESMAY 011-025]ENTRA POR PENDIENTE.
01,CON RUMBO 115 NO ENTRA 025 POR DIAMETRO.
01,[PIESMAY 016-025]ESPECIE COMPROBADA.
01,[PIES MAYORES]LOS PIES MAS DETERIORADOS ESTAN CHASPEADOS PARA SER EXTRAIDOS.
01,[PIESMAY 17-025]ENTRA JUSTO POR PENDIENTE.
01,[PIESMAY 017-025]DISTANCIA COMPROBADA.
01,[PIESMAY 021-025]FORMA COMPROBADA.
01,[PIESMAY 025-025]ESPECIE COMPROBADA.",20,9900000010051004,"08/05/05 00:00:00","12/30/99 10:34:34","08/05/05 00:00:00","12/30/99 11:55:05",NA,1058,242,146,10,223973,2,38,223973,3,37,"T",9900000010051276,"1.747.A.1","IFN3","1_747",41.5528248587571,12965.3841369321,6748.80620686873,35.5552711111111,386.640408417911,0,33.5334431028174,17.4549945115258,34.2179065679636,19.1271186440678,52.0524971384739,46.0308503912384,639.867853323107,26.5886830947439,49.4871153701891,-2.50963484605409,42.9548210472012,"1997_2007",6.50757575757576,15.780303030303,11.1439393939394,909.463635357943,43.0129702139909
