"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","YEAR","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","FechaIni","HoraIni","FechaFin","HoraFin","Origen","PlotID","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"2","24_1142_A_1",24.1142,21,25,NA,20.19423125,3.95148055555556,NA,360.751204341629,56.5884242104517,NA,24485,24,1142,"A","1",0,1984,"L","0009",1997,"","4-1",2019,1,1,2,95,70,1,1,1,2,2,4,1,2,1,1,11,7,NA,NA,1,4,NA,5,NA,160,NA,6.5,NA,2,2,1,"[Identificación] Parcela localizada con foto aerea, croquis y pies ifn3.
[ClaEsp]Ocupaciones comprobadas.
[Pies Mayores]
025-r.164g a 22.4m no por diametro (40cm).
025-r.188g a 22m no por diametro  (416-400).
025-r.193g a 10.9m no por diametro (206-216).
021-r.221g a 13.7m no por diametro (219-214)
021-r.276g no a 15.2m.
021-r.307g a 10.6m no por diametro (225-220).
[Selvicultura]Terrazas deterioradas.
[PiesMay 10-21]Param. especial comprobado, bifurcacion cortada.
[Localización]Se cambian los rumbos para que las fotos sean mas significativas.","2019-09-23","2000-01-01","2019-09-23","2000-01-01",24,"24.1142.A.1","IFN4","24_1142",32.925,11107.4234783834,6460.98332078857,24.1457118055556,417.339628552081,0,26.6148305084746,15.4813559,27.1412754811885,16.512499925,58.1681551384312,50.1518600607441,476.181443804148,29.6443791179564,55.1744065044701,-6.28423138469286,42.5454590350717,"2008_2021",4.56547619047619,14.9404761904762,9.75297619047619,1045.93571216719,52.9507909127885
"3","24_1159_A_1",24.1159,25,21,626,23.6932548611111,10.5392006944444,1.21,502.222264867759,353.677651315323,14.1471060526129,24494,24,1159,"A","1",0,1984,"J","0008",1997,"","2-1",2019,1,1,2,90,85,1,2,1,2,2,4,1,2,1,1,6,3,NA,NA,0,0,0,4,0,120,NA,0.25,NA,1,2,1,"[Identificación] REJON ENCONTRADO CON PIES IFN3.
[ClaEsp] COMPROBADA OCUPACION, PINO PINASTER MUY ESCASO EN LA TESELA.
[Pies Mayores]
COMPROBADA DISTANCIA PIE 1.
021 A 22G Y 14.0M NO ENTRA POR DIAMETRO 216-223MM.
COMPROBADO DIAMETRO PIE 30.
PIE 33 MEDIDO A 1.40M.
025 A 325G Y 15.0M NO ENTRA POR DISTANCIA LATERAL.
COMPROBADO PAE PIE 38.
021 BIFURCADO POR ENCIMA A 375G Y 16.4M NO ENTRA POR DIAMETRO 397-397MM.
[Selvicultura]
CORTAS Y PODAS ANTERIORES AL IFN3.","2019-10-11","2000-01-01","2019-10-11","2000-01-01",24,"24.1159.A.1","IFN4","24_1159",31.1125,19149.1690751655,12073.847675457,35.4424555555556,870.047022235694,0,22.0093495934959,13.8772357894309,22.774329436908,15.27499985,63.0515487542249,49.0960220168742,749.116213316137,22.1946051341558,41.3088147673955,-5.96500168157739,42.6653381734022,"2008_2021",4.80952380952381,16.3630952380952,10.5863095238095,956.349999734334,46.4556310410201
"6","24_1274_A_1",24.1274,21,25,NA,15.5695604166667,13.7673895833333,NA,548.200359538751,413.802852038928,NA,24563,24,1274,"A","1",0,1984,"J","0008",1997,"","2-2",2019,1,1,2,95,90,1,3,2,3,2,4,1,2,1,1,4,2,NA,NA,1,4,0,0,0,260,0,0.25,0,2,2,1,"[Identificación]Parcela localizada mediante croquis y pies del ifn3.Pinar de plantacion con subpiso de rebollo. Fcc comprobadas.
Muchos pies cortados. zona de gran actividad maderera.
[Pies Mayores]Pie a 100g y 11.3m no entra por dm.Pie 11 forma comprobada.Pie 25 calidad comprobada.Pie 28 forma comprobada.Pie 32 forma comprobada.
Rumbos comprobados.
[Riesgos]Modelo combustible comprobado.","2019-10-15","2000-01-01","2019-10-15","2000-01-01",24,"24.1274.A.1","IFN4","24_1274",25.4,18609.4569792583,11512.2075397034,29.33695,962.003211577678,0,19.3444852941176,11.9669117536765,19.7049019729789,12.925000075,61.862135754604,50.8858270669291,656.560158554763,24.9448665425303,46.4276280282641,-4.92747439035093,42.6514891860126,"2008_2021",5.56547619047619,16.1964285714286,10.8809523809524,604.678571087973,28.9583808274742
"7","24_1275_A_1",24.1275,25,21,NA,10.1073291666667,9.40701388888889,NA,190.985931710274,258.184685460186,NA,24564,24,1275,"A","1",0,1984,"J","0009",1997,"","2-2",2019,1,1,2,95,85,1,3,2,3,2,4,1,2,1,1,6,3,NA,NA,1,0,0,0,0,60,195,3.75,4.25,2,2,2,"[Identificación]Parcela localizada mediante fotos y croquis del ifn3.Plantacion de pino con subpiso de rebollo. Se observan muchas cortas. y restos de la misma en el suelo.
[ClaEsp]
[Pies Mayores]Pie a 97g y 14.1m no entra por dm.Pie 6 rumbo y dist comprobadas.","2019-10-28","2000-01-01","2019-10-28","2000-01-01",24,"24.1275.A.1","IFN4","24_1275",30.4,10212.0885040786,6463.81274624322,19.5143430555556,449.17061717046,0,22.7354330708661,14.3905511606299,23.5194064617915,17.0749998,63.2956984622844,56.1677625,407.246095261737,27.6333554435649,51.431469698154,-4.91528184514508,42.6516937573023,"2008_2021",5.50595238095238,15.9821428571429,10.7440476190476,611.114285809653,29.459741754956
"8","24_1279_A_1",24.1279,21,25,43,17.8304961111111,6.11147777777778,3.26195,254.223495765454,84.8826363156775,381.971863420549,24566,24,1279,"A","1",0,1984,"J","0008",1997,"","2-2",2019,1,1,2,90,80,1,3,2,1,3,4,1,2,1,1,5,2,NA,NA,1,0,0,0,0,320,0,4.5,0,2,2,1,"[Identificación]PArcela localizada mediante croquis y pies dal ifn3.Plantacion antigua de pino con subpiso de rebllo.Fcc comprobadas.Composicion especifica comprobada.
[ClaEsp25-4]Ocupacion comprobada. Hay tambien pinaster en los 25 m.
[Pies Mayores]Pie 6 bifurcacion comprobada.Pie 9 dm comprobados y medidoa 1.20 por rama.
Rumbos comprobados.Pie 17 bifurcacion desgajada desde su base.Pie 24 dist comprobada.Pie 26 dist comprobada.Pie 27 altura comprobada.
[Riesgos]Modelo de combustible comprobado.
[Selvicultura]Se observan ramas por el suelo pero no de podas.","2019-10-11","2000-01-01","2019-10-11","2000-01-01",24,"24.1279.A.1","IFN4","24_1279",36.3022598870057,14733.4328629635,7908.81229628266,29.5070798888889,740.318059733234,0,19.9014905407988,10.682992522339,22.5272927870482,16.400565359322,53.6793588421856,45.1778082421601,626.357930904639,22.40949185105,41.7087640131921,-4.92719644690041,42.6424889165188,"2008_2021",5.56547619047619,16.1964285714286,10.8809523809524,604.678571087973,28.9583808274742
"9","24_1289_A_1",24.1289,21,25,43,19.9069284722222,16.6900263888889,4.432375,449.17061717046,325.383439210097,509.295817894065,24572,24,1289,"A","1",0,1984,"J","0009",1997,"","2-2",2019,1,1,2,100,90,1,3,2,2,3,4,1,2,1,1,7,2,NA,NA,1,0,0,5,0,320,0,3,0,3,2,2,"[Identificación]Parcela localizada mediente pies del ifn3.Plantacion de pino con subpiso de rebollo.
[Pies Mayores]Pie a 73g y 5.1 no entra por dist.Pie 43 calidad comprobada.
Rumbos comprobados.
[Selvicultura]LAs cortas son antiguas.Aterrazados anntiguos bastante desgastados.","2019-10-29","2000-01-01","2019-10-29","2000-01-01",24,"24.1289.A.1","IFN4","24_1289",31.375,24038.5857657742,16111.7854597115,41.0293298611111,1283.84987427462,0,18.7238292011019,12.5495868189532,20.1718230436315,16.237499825,67.0246811384853,51.7529874900398,909.780228038178,17.1879356535866,31.9903528743239,-4.91472959603734,42.6336930745235,"2008_2021",5.50595238095238,15.9821428571429,10.7440476190476,611.114285809653,29.459741754956
"10","24_1290_A_4",24.129,21,25,NA,18.3150277777778,10.9115291666667,NA,396.118969473162,222.816920328653,NA,24573,24,1290,"A","4",0,1984,"J","0009",1997,"","2-2",2019,1,1,2,90,85,1,3,2,2,2,4,1,2,1,1,5,2,NA,NA,1,0,0,4,0,95,0,0.5,0,3,2,2,"[Identificación]Parcela clasificada como A4 por no encontrar el rejon por falta de referencias claras y gran numero de cortas.Zona de intensa actividad maderera. Pinar de plantacion con subpiso de rebollo .
[Pies Mayores]Pie a 10.1 y 215g no entra por dm.
[Riesgos]Modelo combustible comprobado.
[Selvicultura]Restos de ramas procedentes del apeo por el suelo.","2019-10-31","2000-01-01","2019-10-31","2000-01-01",24,"24.1290.A.4","IFN4","24_1290",29.4625,14978.2485332039,9533.73481978543,29.2265569444444,618.935889801815,0,24.2,15.4034286537143,24.5200332090197,16.787500275,63.6505316269185,56.9792117946542,599.975124284217,23.9436929161514,44.564233945238,-4.96523438162889,43.0740649470199,"2008_2021",4.16071428571429,13.1845238095238,8.67261904761905,934.657142298562,50.054956935339
"11","24_1292_A_4",24.1292,25,21,NA,17.3767020833333,3.4588125,NA,459.78094670992,109.64007190775,NA,24575,24,1292,"A","4",0,1984,"K","0010",1997,"","2-4",2019,1,1,2,90,85,1,2,2,2,3,4,1,2,1,1,5,3,NA,NA,1,0,0,0,0,230,0,0.25,0,3,2,1,"[Identificación]Parcela clasificada como A4 por no encontrar el rejon ni la parcela.Es plantacion donde han cortado la mitad de los pies y las referencias del croquis del ifn3 han deseparecido.Situamos el rejon en el cruce de coordenadas.
[Pies Mayores]Pie a 13.1 y 169g no entra por dm.Pie a 13.9 y 248g no entra por dm.
[Riesgos]Modelo de combustible comprobado.
[Selvicultura]Se observan gran cantidad de cortas.
Ha llovido durante el levantamiento.","2019-10-24","2000-01-01","2019-10-24","2000-01-01",24,"24.1292.A.4","IFN4","24_1292",26.08125,12161.382879303,6929.9598878474,20.8355145833333,569.42101861767,0,21.3574534161491,12.1701863142857,21.5844222208679,13.112500075,56.9833213592939,50.2755814042655,449.816276890461,31.9593361255452,59.4830269842192,-4.92664094243913,42.6244883303772,"2008_2021",5.66071428571429,16.7559523809524,11.2083333333333,582.057143075126,27.4447375909686
"12","24_1336_A_1",24.1336,21,25,NA,21.6355284722222,5.12888958333333,NA,682.597867038573,102.566518881444,NA,24601,24,1336,"A","1",0,1984,"J","0010",1997,"","2-2",2019,1,1,1,95,80,1,1,2,2,2,4,1,2,1,1,8,5,NA,NA,1,4,NA,0,NA,210,NA,2.25,NA,1,2,2,"[Identificación] Parcela localizada con referencia croquis y pies mayores. Actualmente la marca de pintura de la roca ha desaparecido. Se han realizado cortas y abierto calles.
[PiesMay 12-25] Especie comprobada, pie bifurcado a mas de 6 m.
[Pies Mayores]
021-r.245g no por distancia lateral a 15.11m comprobado con cinta (pendiente 2 no hay correccion)
025-r.289g no por diametro a 11.6 (225-216).
021-r.320g a 7.7m no por diametro (130-115).
021-r.357g a 13.3m no por diametro (222-215).
[PiesMay 25-21]Diametros comprobados.
[Regeneración]Fuera hay 045 y 021 categoria 1.
[Matorral]Fuera hay E. arborea.","2019-10-21","2000-01-01","2019-10-21","2000-01-01",24,"24.1336.A.1","IFN4","24_1336",27.65,16029.7321905644,9831.88496737475,26.7644180555556,785.164385920017,0,20.4157657657658,12.5220719936937,20.833088827394,13.937499875,61.3353039869382,50.4068711573237,585.958031945772,25.605592365022,47.6573773501543,-6.21324536609394,42.4987302225418,"2008_2021",4.89285714285714,16.1607142857143,10.5267857142857,951.928571496691,46.3749456318527
"13","24_1348_A_4",24.1348,25,21,NA,25.04606875,6.48968611111111,NA,647.230101907041,130.860730986669,NA,24607,24,1348,"A","4",0,1997,"","2-2",1985,"J","0010",2019,1,1,2,100,80,1,1,2,2,2,4,1,2,1,1,8,4,NA,NA,1,4,NA,4,NA,210,NA,2,NA,3,2,1,"[Identificación]Parcela no localizada por haber realizado cortas y abierto vias de saca. Se va al cruce de coordenadas y se clasifca la parcela como A4. Ha llovido durante el levantamiento.
[Pies Mayores]
025-r.2g a 12m  no por diametro.
021-r.47g a 14.9m no por diametro.
025-r.96g a 10.7m no por diametro (222-219).
Pie referencia 021-r.347g a 15.6m (280-Bifurcado por arriba).
[Matorral]Fuera hay E. cinerea.","2019-10-14","2000-01-01","2019-10-14","2000-01-01",24,"24.1348.A.4","IFN4","24_1348",27.3625,17466.5476490329,10690.260796175,31.5357548611111,778.090832893711,0,22.4479545454545,13.7390910472727,22.7165055631362,13.88750005,61.2042002288121,50.7537690269529,667.213358958795,25.8143252176538,48.0458729639809,-6.22579858956671,42.4900303357649,"2008_2021",4.89285714285714,16.1607142857143,10.5267857142857,951.928571496691,46.3749456318527
