"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","YEAR","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","CoorX","CoorY","Origen","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"72","16_807",16.807,26,21,NA,13.2444675277778,2.84237169444444,NA,471.947457915167,82.9020414683117,NA,31029,16,807,NA,930520,13,17,4,3,1,"S",930608,12,588,1,"0588L03",602,4453,92,78,2,2,"0","0",14,15,3,3,9,1,70,70,25,26,8,5,4,4,21,21,2,4,4,4,NA,25,NA,1,NA,4,26,3,1,NA,21,3,1,NA,25,3,1,NA,26,21,25,44,37,NA,NA,3,3,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,4,NA,NA,"01",319,NA,"3",NA,602000,4453000,16,"IFN2","16_807",34.6437823834197,9124.88340393533,4503.5897407888,16.0868392222222,554.849499383479,0,16.4456909739929,8.116777154513,19.2133379034234,15.0051813471503,49.3550387596899,43.3127687418209,363.6336053169,28.2924887727523,52.6582550560297,-1.80126028041329,40.2205298316915,"1986_1996",3.25,15.6969696969697,9.47348484848485,583.754546642303,29.9768917163136
"74","16_812",16.812,26,21,43,10.4537011388889,2.34946111111111,0.819025,517.501139404581,60.1252007236049,14.1471060526129,31031,16,812,NA,930520,13,16,4,2,3,"S",930608,12,588,1,"0588M04",603,4448,92,227,7,7,"0","0",14,14,3,5,9,1,80,40,26,26,0,5,4,4,NA,21,NA,4,NA,4,NA,43,NA,1,NA,4,26,3,1,NA,21,3,1,NA,43,3,6,NA,26,21,43,65,37,NA,NA,2,2,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,4,NA,NA,"P204",185,190,"8.5",9,603000,4448000,16,"IFN2","16_812",32.340395480226,8392.52309135669,4854.86238407518,13.62218725,591.773446180798,0,14.1819866124791,8.20392063112599,17.119881147497,13.7598870056497,57.8474712696961,42.5470585666245,322.277848816701,29.874964340131,55.6035739608557,-1.79031109487864,40.1753714170066,"1986_1996",2.74242424242424,15.1515151515152,8.9469696969697,610.62727488171,32.2282288222254
"75","16_814",16.814,26,21,NA,11.0597076388889,3.55417569444444,NA,286.478897565412,236.964026381266,NA,31032,16,814,NA,930520,13,19,4,2,2,"S",930608,12,588,1,"0588L03",603,4452,92,227,7,7,"0","0",15,16,3,4,9,1,70,45,25,26,8,6,4,4,21,21,2,4,4,4,NA,NA,NA,NA,NA,NA,26,3,1,NA,21,3,1,NA,NA,NA,NA,NA,26,21,37,NA,NA,NA,NA,1,4,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,4,NA,NA,"01",170,NA,"5",NA,603000,4452000,16,"IFN2","16_814",28.8125,9149.6408395274,3747.21471568585,14.6138833333333,523.442923946678,0,17.4797297297297,7.15878378378378,18.8539873193401,10.875,40.9547738693467,37.7440347071583,332.811076917138,40.1916714668066,74.8051295248908,-1.7896706832226,40.2114003369556,"1986_1996",3.21212121212121,15.7651515151515,9.48863636363636,575.427271474491,29.5262973118106
"76","16_815",16.815,21,26,25,13.39133125,4.74788055555556,0.92480625,463.317723223073,70.7355302630646,63.6619772367581,31033,16,815,NA,930520,13,23,4,4,2,"S",930608,12,588,1,"0588L03",603,4454,92,224,2,2,"0","0",16,16,5,5,9,1,70,70,25,21,8,6,4,4,21,26,2,3,1,4,NA,25,NA,1,NA,4,21,3,1,NA,26,3,1,NA,25,3,1,NA,21,26,25,44,NA,NA,NA,1,4,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,4,NA,NA,"01",75,NA,"9.25",NA,603000,4454000,16,"IFN2","16_815",30.5,11156.7615107419,5283.94411065092,19.0640180555556,597.715230722896,0,18.6656804733728,8.84023668639053,20.1518591210713,13.375,47.3609129814551,43.8524590163934,422.888985378899,30.5815186353216,56.9186196815034,-1.78935004418817,40.2294147090325,"1986_1996",3.21212121212121,15.7651515151515,9.48863636363636,575.427271474491,29.5262973118106
"80","16_831",16.831,21,26,25,19.1530815277778,6.00674497222222,1.8225,579.606934975551,160.711124757683,14.1471060526129,31038,16,831,NA,930521,13,28,4,1,4,"S",930608,12,588,1,"0588M05",605,4450,92,224,2,2,"0","0",17,16,4,5,9,1,90,70,25,21,8,8,4,4,21,26,2,2,4,4,NA,NA,NA,NA,NA,NA,21,3,1,NA,26,3,1,NA,NA,NA,NA,NA,21,26,25,NA,NA,NA,NA,2,4,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,0,NA,NA,"P402",285,NA,"7.25",NA,605000,4450000,16,"IFN2","16_831",38.6923728813559,14237.5343545012,7995.94434093682,26.9823265,754.465165785847,0,18.87102943934,10.5981623851491,21.3390538541125,13.6581920903955,56.1610187680347,35.2994429477773,585.155929117039,26.6555217149018,49.6115160595782,-1.76650081463614,40.1931379619634,"1986_1996",2.74242424242424,15.1515151515152,8.9469696969697,610.62727488171,32.2282288222254
"83","16_839",16.839,26,21,NA,16.7181011388889,9.72978855555556,NA,174.71675974977,95.0685526735588,NA,30156,16,839,NA,930311,2,23,4,2,3,"S",930524,2,588,1,"0588M05",606,4449,92,224,2,2,"0","0",15,15,3,5,9,1,90,70,25,26,8,6,4,4,21,21,2,4,4,4,NA,NA,NA,NA,NA,NA,26,3,1,NA,21,3,1,NA,NA,NA,NA,NA,26,21,43,45,NA,NA,NA,1,3,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,0,NA,NA,"P204",343,NA,"10.25",NA,606000,4449000,16,"IFN2","16_839",47.0204918032787,8558.32717429332,3384.27070990606,26.4478896944444,269.785312423328,0,31.7227320398532,12.5443104352386,35.3298196652254,16.0819672131148,39.5436005306202,34.2020395711671,469.99319351014,37.8574778143043,70.4607056146831,-1.75492054029343,40.1840050839551,"1986_1996",2.74242424242424,15.1515151515152,8.9469696969697,610.62727488171,32.2282288222254
"84","16_845",16.845,26,21,NA,18.549778,11.5747292222222,NA,678.212264162263,254.223495765454,NA,30162,16,845,NA,930311,2,29,4,2,4,"S",930524,2,588,1,"0588M06",607,4448,92,224,2,2,"0","0",15,15,4,5,9,1,80,80,26,26,0,6,4,4,NA,21,NA,4,NA,4,NA,NA,NA,NA,NA,NA,26,3,1,NA,21,3,1,NA,NA,NA,NA,NA,26,21,43,45,NA,NA,NA,3,4,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,0,NA,NA,"01",250,NA,"12.25",NA,607000,4448000,16,"IFN2","16_845",42.4416201117318,16021.6966343265,7933.72536851743,30.1245072222222,932.435759927718,0,17.1826278258231,8.50860263996359,20.2817569803876,16.5575418994413,49.5186343219071,39.0125114353598,666.545275046286,19.7785603526874,36.8120487405101,-1.74334337061995,40.1748710804365,"1986_1996",3.24242424242424,15.9166666666667,9.57954545454546,561.072727842764,28.6560650320158
"124","18_122",18.122,24,25,NA,3.72506988888889,1.78925,NA,97.0491475209246,254.647908947033,NA,35753,18,122,NA,951222,0,7,4,4,3,"S",960102,0,929,1,"0929K12",532,4197,95,98,6,6,"0","0",11,11,1,3,9,1,50,20,25,24,0,6,4,3,NA,25,NA,4,NA,3,NA,NA,NA,NA,NA,NA,24,3,1,NA,25,3,1,NA,NA,NA,NA,NA,24,25,37,45,NA,NA,NA,1,1,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,0,NA,NA,"01",78,NA,"3.5",NA,532000,4197000,18,"IFN2","18_122",14.2016393442623,4338.74766106375,1498.46147309276,5.51431988888889,351.697056467957,0,12.3366049879324,4.26065969428801,14.1291706548903,4.69230769230769,34.5367278797997,33.0406059368313,140.738291953449,113.639457174376,211.506862064399,-2.6359394053393,37.9193610031579,"1986_1996",4.64393939393939,18.0606060606061,11.3522727272727,524.200001803311,24.5500799141519
"128","18_1321",18.1321,21,26,25,11.5806,6.43738611111111,0.390625,682.597867038573,219.2801438155,31.8309886183791,37278,18,1321,NA,951227,13,28,4,2,5,"S",960109,12,1028,1,"1028J10",502,4112,95,69,5,3,"2","2",14,14,2,5,9,1,0,60,25,21,3,6,2,3,NA,26,NA,4,NA,3,NA,NA,NA,NA,NA,NA,21,1,2,25,26,1,2,30,NA,NA,NA,NA,21,26,25,45,95,15,NA,2,3,"W",20,NA,NA,NA,1,1,2,NA,0,2,4,9,NA,NA,"P204",186,NA,"9",NA,502000,4112000,18,"IFN2","18_1321",21.8916666666667,14471.0747812178,6612.00369133996,18.4086111111111,933.708999472453,0,15.4984848484848,7.08143939393939,15.8438163064179,7.86666666666667,45.6911721575912,35.9345260753712,449.048042430265,41.600972135597,77.4281336255152,-2.97747760646189,37.1537855508256,"1986_1996",4.17424242424242,17.2651515151515,10.719696969697,582.927270098166,28.1339669663466
"130","18_1335",18.1335,21,26,NA,14.8052625,8.38507569444444,NA,1177.74657888003,297.089227104871,NA,37292,18,1335,NA,951228,13,30,4,2,4,"S",960109,12,1028,1,"1028J09",501,4111,95,92,5,3,"2","2",18,18,2,4,9,1,30,70,25,21,3,7,4,3,NA,26,NA,3,NA,3,NA,NA,NA,NA,NA,NA,21,1,2,30,26,1,2,30,NA,NA,NA,NA,21,26,15,NA,NA,NA,NA,2,3,"W",20,NA,NA,NA,1,1,2,NA,1,2,4,9,NA,NA,"P413",222,NA,"6.25",NA,501000,4111000,18,"IFN2","18_1335",22.5283333333333,20257.0643179108,10976.385908571,23.1903381944444,1474.8358059849,0,13.7351318944844,7.44244604316547,14.1493589435419,8.5,54.1854719731823,37.7302655914774,591.537750033287,30.6343900632727,57.0170244970213,-2.98874013939202,37.1447731915031,"1986_1996",4.17424242424242,17.2651515151515,10.719696969697,582.927270098166,28.1339669663466
