"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","CoorX","CoorY","Origen","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","YEAR","INE","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","FechaPh","HoraPh","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","Equipo","JefeEq","FechaIni","HoraIni","FechaFin","HoraFin","Tiempo","Resid","RumboF1","RumboF2","DistFoto","CarFoto1","NumFoto1","ConFoto1","CarFoto2","NumFoto2","ConFoto2","Estado","Tecnico","PlotID","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"17","1_687_A_1",1.687,26,21,273,23.3421624722222,16.9977847222222,8.17901875,291.571855744352,304.162780131178,413.802852038928,11516,539000,4752000,1,1,687,"A","1",0,1996,"04","0019",2002,"","2-4 ",2005,NA,1,1,2,100,100,1,2,1,2,2,4,"","",1,2,1,1,8,3,NA,NA,"0","6","1",0,NA,16,NA,1.5,NA,2,"2",2,"PARCELA ENCONTRADA POR PIES DEL IFN2.
01,PINAR DE SILVESTRE Y PINASTER PRINCIPALMENTE.
01,[CLAESP. RESTO DE ESPECIES=20%]PARA FRONDOSAS.
01,[PIESMAY 002-041]DIAM COMP.
01,CON RUMBO 25 NO ENTRA 026 POR Ø.
01,[PIESMAY 006-026]FORMA COMP.
01,[PIESMAY 008-026]Ø COMP.
01,[PIESMAY 010-026]FORMA COMP.
01,SIN AJUSTES DEL GPS.
01,",20,9900000010051004,"11/02/05 00:00:00","12/30/99 10:44:13","11/02/05 00:00:00","12/30/99 12:32:58",NA,1058,115,267,10,289919,6,34,289919,7,33,"T",9900000010051276,"1.687.A.1","IFN3","1_687",38.6961956521739,30172.6506997857,24417.7635757494,56.8746576111111,1511.75975278222,0,19.9586281115478,16.1518809657496,21.8863362594237,19.258152173913,80.9268095756757,49.7675594443898,1221.14388291363,13.3550031991498,24.8564617409057,-2.522172121966,42.9188545035101,"1997_2007",6.50757575757576,15.780303030303,11.1439393939394,909.463635357943,43.0129702139909
"22","1_944_A_1",1.944,21,26,3,10.0866888888889,3.538324,1.0609,498.685488354605,33.3871702841665,127.323954473516,7293,491000,4735000,1,1,944,"A","1",0,1992,"14","1618",2002,"","1-3 ",2005,NA,1,1,1,100,70,1,2,2,1,2,4,"","",1,2,1,1,7,3,NA,NA,"0","0","",0,NA,380,NA,10,NA,2,"2",2,"PARCELA ENCONTRADA POR FOTOGRAFIA AEREA Y PIES DE IFN2.
01,CLAESP. RESTO DE ESPECIES=20%
01,[PIESMAY 003-044]ALTURA COMPROBADA.
01,PIE 4, RUMBO COMPROBADO.
01,[PIESMAY 010-026]ALTURA COMPROBADA.
01,[PIESMAY 019-021]COPA PARTIDA.
01,HAY ALGUN PINO SYLVESTRIS CON DAÑOS POR PROCESIONARIA.  ",2,9900000006020480,"07/15/05 00:00:00","12/30/99 09:01:43","07/15/05 00:00:00","12/30/99 11:21:35",NA,1001,40,210,8,222048,28,12,222048,29,11,"T",9900000010051024,"1.944.A.1","IFN3","1_944",30.4422279792746,11088.3461058714,6312.86313385746,16.2897938888889,791.813525764745,0,14.003734143291,7.97266392710381,16.1845785932646,12.1088082901554,56.9324142084158,39.7763537491383,394.036944407733,29.3485830647867,54.6238680157041,-3.10999783272473,42.7667128315552,"1997_2007",6.31818181818182,16.2727272727273,11.2954545454545,761.781815008684,35.7720382714857
"23","10_2986_A_1",10.2986,26,21,25,32.1809444444444,7.40484861111111,2.370825,1287.38665078778,555.273912565057,254.647908947033,19290,NA,NA,10,10,2986,"A","1",0,1984,"K","0008",1997,"","2-3",2001,87,1,1,2,100,90,1,2,1,2,2,4,"10/25/01 00:00:00","12/30/99 15:52:00",1,2,1,1,4,3,NA,NA,"0","0","",0,NA,258,0,8,0,2,"2",3,"DEJO UN 1 DE OCUPACION PARA LAS DEMAS   ESPECIES.
PIE 4 IFN3 ENTRA POR   PENDIENTE. 
PIE  5  IFN3   ENTRA  POR   PENDIENTE.
PINO  A   115  GRDS   NO  ENTRA    POR  DIAMETRO.
PIES  17 Y  27  IFN3    ENTRAN  POR  PENDIENTE.
PINO  A  345 GRDS  NO  ENTRA  POR   DIAMETRO.
PINO A 366  GRDS    NO ENTRA   POR DIAMETRO.
PINO A  377  GRDS  NO   ENTRA POR DISTANCIA.
NO HE   VISTO   ENCINA EN LA PARCELA.
MANTENGO  LA   PENDIENTE DE IFN2.
HAY    HELECHOS.
PRESENCIA DE ALGUNOS TRONCOS    PEQUENOS  TIRADOS Y PODRIDOS EN EL   SUELO.
DURANTE LA LOCALIZACION Y EL    LEVANTAMIENTO HA ESTADO PRESENTE EL    TECNICO, DE TRAGSATEC, VICTOR BARON.",14,45,"10/25/01 00:00:00","12/30/99 13:36:35","10/25/01 00:00:00","12/30/99 16:05:45",149,87,70,150,10,511981,24,17,511981,23,18,"D",1,"10.2986.A.1","IFN3","10_2986",24.48125,32229.2296537601,21668.0613078333,41.9566180555556,2097.30847229987,0,15.3669477234401,10.3313659359191,15.9596785882677,11.5625,67.2310866273072,47.2300229767679,1020.52193392965,18.8850047604015,35.1489543883918,-5.34706623355213,39.4372171381154,"1997_2007",8.4469696969697,19.3030303030303,13.875,599.890906897458,25.1263207077469
"47","12_879_A_1",12.879,26,21,NA,7.68579583333333,4.9723875,NA,647.230101907041,152.081390065589,NA,22342,NA,NA,12,12,879,"A","1",0,1985,"K","0010",2003,"","2-3 ",2006,NA,1,1,1,65,55,1,2,4,2,2,4,"","",1,2,1,6,5,1,NA,NA,"4","0","",0,NA,220,NA,7.5,NA,1,"1",2,"REJON LOCALIZADO CON FOTOS AEREAS Y PIES IFN2.
12,COORDENADAS TOMADAS CON UNA PRECISION DE 8.5M.
12,[CLAESP. RESTO DE ESPECIES=0%] ENEBRO OXYCEDRO Y ENCINA. LA FCCT Y FCCA ES REPRESENTATIVA DE LA PARCELA PERO NO DEL RESTO DE LA MASA.
12,HAN ENSANCHADO LA PISTA, CORTANDO ALGUNOS PIES PROXIMOS A LA PARCELA.
12,[ESPECIES PRESENTES]EN LOS ALREDEDORES HAY QUEJIGO Y ACEBO.
12,[SUELO] CALICATA DESPLAZADA A 100G Y 2M.
12,REACCION DEL SUELO COMPROBADA.
12,[FISIOGRAFÍA] SE CORRIGE LA ORIENTACION FISIOGRAFICA. LA PENDIENTE SE CORRESPONDE CON LA MITAD DE LA PARCELA.",13,990,"02/20/06 00:00:00","12/30/99 10:05:04","02/20/06 00:00:00","12/30/99 12:28:08",NA,120,60,260,10,289030,12,28,289030,13,27,"T",99,"12.879.A.1","IFN3","12_879",24.4662162162162,10352.4985316508,5538.23834194664,12.6581833333333,799.31149197263,0,12.9517699115044,6.9287610619469,14.1998161523684,10.6513513513514,53.4966348946056,43.5349351008009,322.430495848583,33.2075825326134,61.806275327768,-0.306627480866471,40.2764590791524,"1997_2007",3.28030303030303,17.2424242424242,10.2613636363636,515.709093148058,25.452832415608
"51","12_907_A_3E",12.907,21,26,25,31.7769770833333,24.8985784722222,0.664225,1382.87961664291,466.854499736226,14.1471060526129,22375,NA,NA,12,12,907,"A","3E",0,2003,"","4-1 ",1985,"K","0010",2006,NA,1,1,1,95,90,1,2,2,3,2,4,"","",1,2,1,1,9,4,NA,NA,"4","0","",0,NA,240,NA,4.5,NA,1,"1",2,"CRUCE DE COORDENADAS LOCALIZADO CON ORTOFOTO Y GPS CON UNA PRECISION DE 6M.
12,[CLAESP. RESTO DE ESPECIES=0%] ENCINA Y ENEBRO COMUNIS.
12,[PIES MAYORES] A RUMBO 5G  HAY UN PINO QUE NO ENTRA POR DISTANCIA REDUCIDA LATERAL 15.1M. 
12,A 116G HAY UN PINO QUE NO ENTRA POR DISTANCIA LATERAL 15.1M.
12,[PIESMAY 011-021] DN COMPROBADO. HT COMPROBADA.
12,[PIESMAY 046-025] ESPECIE COMPROBADA.
12,[PIESMAY 069-021] HT  Y DN COMPROBADOS.
12,(SUELO] REACCION DEL SUELO COMPROBADA",13,990,"02/17/06 00:00:00","12/30/99 11:30:09","02/17/06 00:00:00","12/30/99 14:22:37",NA,120,240,58,6,289030,10,30,289030,11,29,"T",99,"12.907.A.3E","IFN3","12_907",33.23125,33805.9246233238,21762.1395630831,57.3397805555556,1863.88122243175,0,18.1373814041746,11.6757115749526,19.7912833246274,13.375,64.3737445597589,40.2482602971601,1281.04745677676,17.3179743779788,32.2323822119055,-0.31944328094547,40.2497344182963,"1997_2007",3.75757575757576,17.3257575757576,10.5416666666667,509.427272460677,24.7997049473758
"54","12_917_A_4",12.917,21,26,NA,16.8318875,6.18772847222222,NA,954.929658551372,183.912378683968,NA,22383,NA,NA,12,12,917,"A","4",0,2003,"","4-1 ",1985,"L","0011",2006,NA,1,1,1,80,65,1,2,3,1,2,4,"","",1,2,1,1,7,3,NA,NA,"4","0","",0,NA,300,NA,5.5,NA,2,"1",2,"REJON NO LOCALIZADO. HAN CORTADO POR ENTRESACA EN LA MASA Y LAS REFERENCIAS DEL IFN2 NO INDICAN NADA.
12,CLASIFICO LA PARCELA COMO A4.
12,CRUCE DE COORDENADAS LOCALIZADO CON ORTOFOTO Y GPS, CON UNA PRECISION DE 5.2M.
12,[CLAESP. RESTO DE ESPECIES=10%] PINO LARICIO, J.COMMUNIS, MAJUELO Y GUILLOMO.OCUPACIONES Y ESPECIES COMPROBADAS.
12,[PIES MAYORES] A 101G HAY UN 026 QUE NO ENTRA POR DISTANCIA REDUCIDA LATERAL 10.1M.
12,[LOCALIZACIÓN ACCESO LEVANTAMIENTO] AL ACCEDER A LA PARCELA, ATRANCO EL COCHE EN UN NEVERO, TENIENDO QUE HACER EL RESTO DEL TRAYECTO A PIE DESPUES DE SACARLO.",13,990,"03/15/06 00:00:00","12/30/99 10:56:23","03/15/06 00:00:00","12/30/99 12:59:46",NA,120,170,40,7,289022,0,40,289022,1,39,"T",99,"12.917.A.4","IFN3","12_917",22.7323529411765,17638.4349875721,8619.83171785705,23.0196159722222,1138.84203723534,0,15.4880434782609,7.56894409937888,16.0425112170467,9,48.8695948587871,39.5911502134817,558.768480411818,32.9249971301642,61.280324630507,-0.331541662296249,40.2410066881208,"1997_2007",3.75757575757576,17.3257575757576,10.5416666666667,509.427272460677,24.7997049473758
"55","15_630_A_1",15.63,26,21,NA,9.71226875,2.32811875,NA,254.647908947033,95.4929658551372,NA,26789,NA,NA,15,15,630,"A","1",0,1984,"M","0011",1997,"5","6787",1997,50,1,1,1,100,50,1,2,1,3,1,4,"06/22/98 00:00:00","12/30/99 10:33:00",1,2,1,1,7,5,NA,NA,"0","3","4",0,NA,390,0,1,0,2,"2",2,"-NO DOY OCUPACIÓN A LAS OTRAS SP
15,-NO HE VISTO EL PINO INSIGNIS POR  NINGÚN SITIO
15,- PIE 11 DIAMETRO COMPROBADO.",3,NA,"12/10/97 00:00:00","12/30/99 13:05:00","12/10/97 00:00:00","12/30/99 16:05:00",NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",NA,"15.630.A.1","IFN3","15_630",26.36875,7126.95835165507,2769.29600979898,12.0403875,350.14087480217,0,20.3545454545455,7.90909090909091,20.9244419932115,8.9375,38.8566324251898,33.8942877459114,263.147097580757,59.7946790252931,111.290437698776,-7.88928206213868,43.3646871203493,"1997_2007",7.68939393939394,16.4242424242424,12.0568181818182,1427.36363896457,64.7130346362091
"65","16_2240_A_1",16.224,21,26,NA,8.79908194444444,4.50853888888889,NA,491.611935328299,84.8826363156775,NA,28441,NA,NA,16,16,2240,"A","1",0,1985,"L","0006",1998,"","3-4",2003,161,1,1,1,90,60,1,2,1,1,2,4,"08/04/03 00:00:00","12/30/99 10:52:00",1,2,1,1,8,1,NA,NA,"4","0","",0,NA,260,0,0.8,0,1,"2",2,"ENCONTRADO REJON POR FOTOGRAFIA AEREA Y  RUMBO Y DISTANCIA A PIES DE IFN2.
COMPROBADO QUE EL PINO HALEPENSIS DE  IFN2. ES PINASTER, AUNQUE ACTUALMENTE  ESTA PRESENTE EL PINO HALEPENSIS Y  LARICIO EN ESTADO LATIZAL BAJO.
LA ENCINA Y EL ENEBRO SOLO ESTAN  PRESENTES TAMBIEN.
LA PARCELA FUE DESPLAZADA EN IFN2 PARA  DEJARLA FUERA DE UN CULTIVO.
COMPROBADA ALTURA PIE 1.
COMPROBADOS DIAMETROS PIE 4.
COMPROBADA ESPECIES PIES 2,7, 9 Y 10.
COMPROBADO RUMBO PIE 19.
EL DESRRAME DE LAS CORTAS ESTA SIN  RECOGER.COMPROBADA ESPECIE .
HAY PODA NATURAL DEBIDO A LA ESPESURA  DE LA MASA TAMBIEN HAY PINOS MUERTOS Y  TIRADOS POR EL SUELO.
POR LOS ALREDEDORES DE LA PARCELA HAY  PINO PIÑONERO, CHOPO Y SABINA.",9,15,"08/04/03 00:00:00","12/30/99 09:15:40","08/04/03 00:00:00","12/30/99 11:03:25",108,134,118,304,10,62423,22,19,62423,21,20,"D",1,"16.2240.A.1","IFN3","16_2240",24.8216216216216,9397.92255075076,5356.44802917057,13.3076208333333,576.494571643976,0,16.3018404907975,9.29141104294479,17.1438223326007,12.472972972973,56.9960861056751,50.2504355400697,314.661999721256,33.391229272717,62.1480804251653,-2.06678295945812,39.7094403534183,"1997_2007",6.45454545454546,19.5151515151515,12.9848484848485,462.881818798455,20.1385629800251
"114","16_807_A_1",16.807,26,21,NA,18.4504281944444,7.91005002777778,NA,777.666419712132,510.851999559853,NA,30029,NA,NA,16,16,807,"A","1",0,1985,"L","0003",1998,"","3-1",2003,78,1,1,1,90,80,1,2,3,2,2,4,"07/31/03 00:00:00","12/30/99 13:58:00",1,2,1,1,4,2,NA,NA,"0","0","",0,NA,290,0,3.2,0,2,"1",2,"REJON ENCONTRADO POR PIES DEL IFN2.NO    DEJO OCUPACION PARA OTRAS   ESPECIES.ARBOL N8 DIAMETROS  CORRECTOS.ARBOL N24 RESINADO. ARBOL N25 DIAMETROS COMPROBADOS.",8,5,"07/31/03 00:00:00","12/30/99 12:36:55","07/31/03 00:00:00","12/30/99 14:03:12",86,219,187,383,12,62427,32,9,62427,31,10,"D",4,"16.807.A.1","IFN3","16_807",37.6305084745763,18236.3129100146,10172.1936650103,26.3604782222222,1288.51841927198,0,14.1529314888011,7.89448836187967,16.1393628689743,16.1412429378531,55.7798811371794,42.8940335705492,638.343685934909,17.2590827262273,32.1227724973445,-1.80126028041329,40.2205298316915,"1997_2007",3.36363636363636,16.3030303030303,9.83333333333333,594.727270635692,29.9862489396147
"115","16_814_A_1",16.814,26,21,NA,16.6362413611111,4.1219875,NA,351.697056467957,141.471060526129,NA,30037,NA,NA,16,16,814,"A","1",0,1985,"L","0003",1998,"","3-1",2003,227,1,1,1,90,50,1,2,2,1,2,4,"07/31/03 00:00:00","12/30/99 10:30:00",1,2,1,1,7,4,NA,NA,"0","0","",0,NA,145,0,5.8,0,2,"2",2,"REJON ENCONTRADO POR PIES DEL IFN2.NO DEJO OCUPACION PARA OTRAS ESPECIES.A 64   GRS HAY UN PIE QUE NO ENTRA POR   DISTANCIA.HAY TOCONES DE CORTAS  ANTIGUAS.",8,5,"07/31/03 00:00:00","12/30/99 09:43:46","07/31/03 00:00:00","12/30/99 10:35:10",51,219,300,79,8,62427,34,7,62427,33,8,"D",4,"16.814.A.1","IFN3","16_814",32.7546195652174,10901.9226158631,4597.38505391762,20.7582288611111,493.168116994086,0,22.1058950086059,9.32214572576018,23.1500914641029,12.9375,42.1704062293386,39.4982453520496,435.921590594507,34.8058417455352,64.7809709070674,-1.7896706832226,40.2114003369556,"1997_2007",3.32575757575758,16.3712121212121,9.84848484848485,585.990907322277,29.5232060177636
