"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","YEAR","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","FechaIni","HoraIni","FechaFin","HoraFin","Origen","PlotID","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"51","34_323_A_1",34.323,26,21,28,24.3035907777778,12.1879083333333,1.380625,90.5414787367227,169.765272631355,14.1471060526129,35553,34,323,"A","1",0,1985,"K","0008",1997,"","2-3",2019,1,1,1,95,70,1,2,1,1,2,4,1,2,1,1,8,4,NA,NA,1,0,NA,0,NA,38,NA,2,NA,1,2,1,"PARCELA LOCALIZADA POR CROQUIS Y PIES IFN3.
NIVELES COMPROBADOS, ACTUALMENTE LA MASA ESTA NATURALIZADA Y NO SE APRECIA PLANTACION.
[ClaEsp. Resto de especies=10%]DEJO 10% PARA RESTO DE ESPECIES.
[Selvicultura]LAS PODAS SON MUY ANTIGUAS.
[Pies Mayores]PIE 5 MEDIDO CON CINTA, 2.5M DE PERIMETRO.
PIE 17 ESPECIE COMPROBADA. 
PIE 22 MEDIDO CON CINTA, 3.02M DE PERIMETRO.
PIE 27 MEDIDO CON CINTA, 2.3M DE PERIMETRO.","2019-04-12","2000-01-01","2019-04-12","2000-01-01",34,"34.323.A.1","IFN4","34_323",53.9886486486486,10727.2695180906,5037.61472767798,37.8721241111111,274.453857420691,0,39.0858762886598,18.3550516470103,41.9160376388347,19.68756748,46.9608293068659,36.4661238478559,629.065519208712,30.6600790845415,57.064837153058,-4.3081554831823,42.7863087368607,"2008_2021",5.72023809523809,16.9464285714286,11.3333333333333,636.214284113475,29.8225445678192
"52","34_324_A_1",34.324,26,21,25,16.284402,13.6503819444444,0.7569,117.703922357739,247.574355920726,31.8309886183791,35554,34,324,"A","1",0,1985,"K","0008",1997,"","2-3",2019,1,1,2,100,75,1,2,1,1,2,4,1,2,1,1,9,3,NA,NA,1,4,NA,0,NA,172,NA,2.5,NA,2,2,1,"PARCELA LOCALIZADA POR CROQUIS Y PIES IFN3. 
FRACCIONES COMPROBADAS.
[ClaEsp. Resto de especies=10%]DEJO 10% PARA RESTO DE ESPECIES. 
[Pies Mayores]FUERA DE 25M SE OBSERVAN ACABALLONADOS.","2019-04-22","2000-01-01","2019-04-22","2000-01-01",34,"34.324.A.1","IFN4","34_324",42.7387978142077,12335.5408283637,6262.78239738834,31.1339089444444,428.940255515224,0,28.7581794195251,14.6005937117414,30.3999928666583,16.3306011256831,50.7702295710295,38.210249143354,587.103987950264,29.5664665468362,55.0293948699309,-4.29593279624746,42.7864477313039,"2008_2021",5.72023809523809,16.9464285714286,11.3333333333333,636.214284113475,29.8225445678192
"73","34_542_A_1",34.542,21,26,NA,13.9089666666667,7.08107366666667,NA,212.206590789194,66.774340568333,NA,35657,34,542,"A","1",0,1985,"L","0009",1997,"","3-1",2019,1,1,2,100,70,1,2,1,2,2,4,1,2,1,1,5,3,NA,NA,1,0,0,0,0,165,NA,2,NA,2,2,1,"PARCELA LOCALIZADA MEDIANTE ORTOFOTO, FOTOGRAFIA Y PIES MAYORES IFN3. NO VOY A DAR SUBPISO YA QUE EL REBOLLO SALE PRINCIPALMENTE EN CLAROS Y FORMADO GRUPOS.
[Riesgos] ESPESOR CAPA MUERTA COMPROBADA 
[Localización] SE MODIFICAN GRADOS EN FOTO PARA QUE COINCIDA CON LA FOTOGRAFIA REALIZADA EN IFN3.
[Pies Mayores]
PIE 5 BIFURCACION COMPROBADA 
021 A 173 GRS Y 13.8 MTS NO POR DIAMETRO (220-220)
026 A 247 GRS Y 15.1 MTS NO POR DISTANCIA (331-335)
043 A 276 GRS Y 9.4 MTS NO POR DIAMETRO (115-123)
026 A 366 GRS Y 15.7 MTS O POR DIAMETRO (412-426)
EL DANO POR HONGO ES DEBIDO AI FUSSARIUM Y POR INSECTO A PROCESIONARIA.","2019-04-29","2000-01-01","2019-04-29","2000-01-01",34,"34.542.A.1","IFN4","34_542",35.5966321243523,8509.56917328299,3335.49150476047,20.9900403333333,278.980931357527,0,30.5023326572008,11.9559838320487,30.9509822334775,12.8979275761658,39.1969491855443,36.2335614535345,393.01875504115,46.4186821145375,86.3949022578086,-4.44978856492874,42.5684807936462,"2008_2021",5.88690476190476,17.297619047619,11.5922619047619,536.235716513225,24.8346245001301
"76","37_1024_A_1",37.1024,21,26,NA,15.1911932222222,4.791784,NA,98.4638581261859,10.1859163578813,NA,39752,37,1024,"A","1",0,1884,"M","0003",1997,"","3-3",2018,1,1,2,100,70,1,1,1,2,1,4,1,2,1,1,5,5,NA,NA,1,0,0,0,0,310,NA,1.75,NA,2,2,2,"[Pies Mayores]PIE 1 BIFURCADO A 7.0METROS
PIE 2 MEDIDO CON CINTA(255M) Y DISTANCIA COMPROCADA
A 22.9M Y 147G UN 021 NO ENTRA POR DIAMETRO
PIE 11 MEDIDO CON CONTA(231M)
PIE 16 DISTANCIA COMPROBADA","2018-10-26","2000-01-01","2018-10-26","2000-01-01",37,"37.1024.A.1","IFN4","37_1024",46.5986979166667,5062.93801989701,2500.35952373881,19.9829772222222,108.649774484067,0,46.5986979166667,23.0130208333333,48.3916846496293,23.0130208333333,49.3855447945948,49.3855447945948,313.611626743481,41.6880858731171,77.5902705603768,-6.13147435510654,40.5244449622386,"2008_2021",6.53571428571429,15.6964285714286,11.1160714285714,1113.00714121546,52.7090062647491
"78","37_1223_A_1",37.1223,21,26,NA,10.7410340277778,3.436625,NA,286.478897565412,42.4413181578388,NA,39852,37,1223,"A","1",0,1984,"J","0010",1997,"","2-2",2018,1,1,2,90,80,1,1,2,2,2,4,1,2,1,3,12,3,NA,NA,1,1,0,5,0,325,NA,6.5,NA,2,2,2,"PARCELA LOCALIZADA POR ORTOFOTO,CROQUIS Y PIES IFN3.HAN CORTADO EN LA PARCELA Y CONTINUAN HACIENDOLO POR LOS ALREDEDORES.
[Pies Mayores]A 17G Y 10M 021 NO ENTRA POR DISTANCIA LATERAL.A 87G Y 10.2M 026 NO ENTRA POR DIAMETRO.A 216G Y 10M 021 NO ENTRA POR DISTANCIA LATERAL.
[Regeneración]NO HAY EN 5M.
PARCELA LEVANTADA CON LLUVIA.","2018-11-21","2000-01-01","2018-11-21","2000-01-01",37,"37.1223.A.1","IFN4","37_1223",28.0625,7543.06010842755,3950.57936887041,14.1776590277778,328.92021572325,0,22.9327956989247,12.0107526993548,23.4267498284948,12.6374998,52.3736959812449,45.0334068596882,296.336178756374,43.6308380680159,81.2061398255849,-6.26264608600855,40.4916008656282,"2008_2021",7.26785714285714,16.452380952381,11.860119047619,1098.3928585904,50.2464262064498
"79","37_1313_A_1",37.1313,26,21,NA,10.8788482222222,7.136875,NA,196.078889889215,572.957795130823,NA,39891,37,1313,"A","1",0,1998,"","1-1",1984,"J","0002",2019,1,1,2,95,65,1,1,2,1,2,4,1,2,1,1,4,2,NA,NA,0,0,0,1,0,165,NA,6.5,NA,2,3,2,"PARCELA LOCALIZADA POR ORTOFOTO,CROQUIS Y REFERENCIA IFN3. 
[Pies Mayores]PIE 3 ENTRA MUY JUSTO,NO SE PUEDE COMPROBAR CON CINTA POR EL MATORRAL.
[Regeneración]NO HAY.
[Localización]LEVANTAMIENTO DIFICIL POR MATORRAL.","2019-01-10","2000-01-01","2019-01-10","2000-01-01",37,"37.1313.A.1","IFN4","37_1313",31.9861413043478,12073.7486308601,5579.03859687756,18.0157232222222,769.036685020038,0,15.6998344370861,7.25458057534952,17.2705982317297,10.6635870456522,46.2080068705233,33.3381477440128,424.748339991873,33.8160714916167,62.938800891685,-6.15619730606392,40.4980355802024,"2008_2021",7.19642857142857,16.3035714285714,11.75,1082.54286207472,49.7720856126306
"80","37_1635_A_1",37.1635,21,26,NA,13.3184652777778,9.82507013888889,NA,279.405344539105,205.133037762887,NA,40075,37,1635,"A","1",0,1984,"K","0003",1997,"","2-2",2018,1,1,2,90,70,1,1,2,2,2,4,1,2,1,1,6,2,NA,NA,1,4,0,0,0,130,NA,2.75,NA,2,3,2,"PARCELA LOCALIZADA POR FOTOS AEREAS CROQUIS Y PIES DEL IFN3. ES UNA PLANTACION DE PINO SILVESTRE Y PINO PINASTER LA FORMA DE LA MASA ES SEMIRREGULAR PORQUE HAY PIES DE LA REPOBLACION ANTERIOR.
[Identificación]
[Pies Mayores] HAN HECHO UN CLAREO CORTANDO PIES DEL IFN3. HAY PIES PODADOS.
LLUVIA DURANTE EL LEVANTAMIENTO.","2018-11-07","2000-01-01","2018-11-07","2000-01-01",37,"37.1635.A.1","IFN4","37_1635",30.04375,11804.1684514746,5512.77355709983,23.1435354166667,484.538382301992,0,24.3616788321168,11.3773722752555,24.6607237448628,11.73749995,46.7019221198184,39.0680256292906,474.027796765748,38.7043968542217,72.0369995623094,-6.85871890095186,40.2970082504135,"2008_2021",7.39880952380952,16.6607142857143,12.0297619047619,1017.67857101985,46.1956227860944
"82","37_1658_A_1",37.1658,21,26,31,49.0323006944444,11.3882375555556,0.585225,2178.65433210239,82.0532151051549,31.8309886183791,40089,37,1658,"A","1",0,1984,"J","0005",1997,"","1-1",2018,1,1,2,100,90,1,1,1,1,2,4,1,2,1,1,9,2,NA,NA,1,0,0,0,0,190,NA,3.25,NA,1,2,2,"PARCELA LOCALIZADA POR FOTOS AEREAS, CROQUIS Y PIES DEL IFN3.
[Identificación]
[ClaEsp] PLANTACION DE SILVESTRIS CON ALGUNOS PINASTER DE SEMILLA, EN LOS LIMITES DE LA PARCELA ENTRA ALGO DE ROBLE, POR ESO LE DOY OCUPACION.
[Pies Mayores]HAY TOCONES DE HABER HECHO CORTAS.PIE 27 SE LE HA PERTIDO LA BIFURCACION Y ESTA LA RAMA EN EL SUELO.","2018-11-24","2000-01-01","2018-11-24","2000-01-01",37,"37.1658.A.1","IFN4","37_1658",37.9223076923077,39920.7494931038,38473.8188531852,61.00576325,2292.53853582592,0,17.4133384757791,16.7821906816168,18.4069642799091,20.9492310071795,96.3754922983885,55.2425004753308,1402.5531010525,9.96950491858527,18.5553394401555,-6.77582886605652,40.3134596079141,"2008_2021",7.66071428571429,17.2857142857143,12.4732142857143,935.164289551122,41.6123958799069
"83","37_1725_A_1",37.1725,26,21,NA,21.5136838888889,10.5501762222222,NA,129.02160719983,69.037877536751,NA,40126,37,1725,"A","1",0,1984,"K","0002",1997,"","1-3",2018,1,1,2,80,65,1,2,1,2,2,4,1,2,1,1,5,10,NA,NA,0,0,0,0,0,130,NA,2.5,NA,1,2,1,"PARCELA LOCALIZADA POR FOTOS AEREAS, CROQUIS Y PIES DEL IFN3. 

CONSIDERO QUE ES UNA PLANTACION PORQUE A PESAR DE HABER HECHO CORTAS SE INTUYEN ALGUNAS LINEAS DE PLANTACION. ADEMAS HAY PIES MARCADOS PARA FUTURAS CORTAS.
[ClaEsp]
[Pies Mayores]PIE 3 TIENE UN BOLSON DE PROCESIONARIA EN LA PUNTA DE LA GUIA TERMINAL, PERO EL ARBOL ESTA SANO.
PIE 13, 17 Y 25 CALIDAD COMPROBADA.","2018-10-29","2000-01-01","2018-10-29","2000-01-01",37,"37.1725.A.1","IFN4","37_1725",49.6825,8902.68895627299,3905.84619650055,32.0638601111111,198.059484736581,0,44.9495714285714,19.7205713308571,45.4009708045984,20.44999995,43.8726570779318,41.1613746288935,516.049640386,34.7463241014923,64.6701960895702,-6.81227077624087,40.2781228551822,"2008_2021",7.42261904761905,16.327380952381,11.875,1072.8857159274,49.046204156681
"84","37_884_A_1",37.884,21,26,NA,15.9626673611111,4.08745277777778,NA,661.377207959654,56.5884242104517,NA,39668,37,884,"A","1",0,1997,"","4-2",1984,"L","0011",2018,1,1,2,95,80,1,1,2,2,2,6,1,2,1,1,6,2,NA,NA,0,4,0,3,0,305,NA,1.5,NA,1,2,1,"PARCELA LOCALIZADA POR ORTOFOTO,CROQUIS Y REFERENCIAS IFN3.
[Pies Mayores]A 36G Y 13M 021 NO ENTRA POR DIAMETRO.
[Regeneración]021 FUERA DE LOS 5M.
[Selvicultura]NO SON ATERRAZADOS, COMPROBADO. ","2018-11-07","2000-01-01","2018-11-07","2000-01-01",37,"37.884.A.1","IFN4","37_884",26.88125,13105.702208315,5683.24617017935,20.0501201388889,717.965632170106,0,18.2539408866995,7.91576353453202,18.8565275966952,9.574999925,43.3646826384747,35.6196230644036,456.589588471688,38.9770882926514,72.544535517586,-6.23648660734319,40.5540273802183,"2008_2021",6.63095238095238,16.0416666666667,11.3363095238095,1112.20714334079,52.1274376011307
