"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","YEAR","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","CoorX","CoorY","Origen","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"2","1_152",1.152,43,21,44,12.0146304444444,8.86991777777778,1.80859861111111,860.992874362022,100.161510852499,77.809083289371,149,1,152,0,960610,0,26,4,2,0,NA,960610,0,86,3,"0086233",489,4766,96,10,0,2,"0","0",6,6,0,5,1,1,8,70,43,21,0,5,3,4,0,43,0,4,0,3,0,NA,0,NA,0,NA,21,1,2,36,43,3,6,NA,NA,NA,NA,NA,21,43,44,15,65,NA,NA,3,2,"W",20,1,NA,NA,NA,1,2,0,NA,0,NA,4,"P902","P702","P112",395,NA,"08,00",NA,489000,4766000,1,"IFN2","1_152",34.9180107526882,14865.6375690251,7303.0898220101,22.6931468333333,1038.96346850389,0,14.3081427015251,7.02920751633987,16.6763991804041,11.5725806451613,49.1273232520294,33.1421532776473,542.47624652522,26.8083228730781,49.8959110601289,-3.13504972183379,43.0458398271891,"1986_1996",7.57575757575758,17.1212121212121,12.3484848484848,914.027274912054,40.8988475553868
"15","1_762",1.762,21,43,NA,28.0062208333333,14.1558525277778,NA,572.957795130823,684.154048704361,NA,757,1,762,0,960604,0,51,4,5,2,NA,960604,0,113,1,"0113408",549,4754,96,53,0,2,"0","0",6,6,0,3,1,1,8,70,21,21,5,6,4,3,25,43,5,3,4,3,0,NA,0,NA,0,NA,21,1,2,52,43,3,6,NA,NA,NA,NA,NA,21,43,15,16,48,65,25,2,1,"W",20,1,NA,NA,NA,1,2,0,NA,0,NA,0,NA,NA,"01",228,NA,"04,00",NA,549000,4754000,1,"IFN2","1_762",33.364402173913,24323.819718007,15404.1471609178,42.1620733611111,1257.11184383518,0,19.3489702903444,12.2536011703804,20.6646988233297,16.7771739130435,63.3294743157223,50.2846531629487,926.025354251639,16.8110265667305,31.2888460189878,-2.39948314234484,42.9362864333836,"1986_1996",5.84090909090909,14.7121212121212,10.2765151515152,907.918183326721,44.7768354937893
"79","16_82",16.82,25,NA,NA,23.4911247222222,NA,NA,990.155952622378,NA,NA,29803,16,82,NA,930113,2,24,4,4,1,"S",930324,2,538,1,"0538K13",568,4496,92,57,7,7,"0","0",12,12,5,4,9,1,80,75,21,25,0,8,4,4,NA,37,NA,1,NA,2,NA,15,NA,1,NA,2,25,3,1,NA,37,3,6,NA,15,3,6,NA,25,37,15,45,NA,NA,NA,3,3,"W",20,NA,NA,NA,1,1,3,NA,0,NA,0,0,NA,NA,"P204",66,NA,"6.25",NA,568000,4496000,16,"IFN2","16_82",40.4491712707182,13769.0529375689,6988.88259658157,23.4911247222222,990.155952622378,0,13.9059437062437,7.05836548078297,17.380215751166,12.9337016574586,50.7579034540013,31.9751956619726,552.456930226345,24.5711430206794,45.7320501774738,-1.78774250524801,40.3194856901121,"1986_1996",2.59090909090909,15.1363636363636,8.86363636363636,611.254544734955,32.4038553835398
"139","18_1692",18.1692,21,43,45,24.3817944444444,9.846309,2.033476,381.971863420549,30.5577490736439,5.09295817894065,37471,18,1692,NA,960102,12,34,4,1,1,"S",951231,13,1042,2,"1042J06",464,4092,95,176,5,5,"0","2",19,19,4,5,9,1,10,80,21,21,0,5,4,4,NA,43,NA,4,NA,4,NA,45,NA,1,NA,4,21,1,2,46,43,3,6,NA,45,3,6,NA,21,43,45,NA,NA,NA,NA,2,5,"W",20,NA,NA,NA,1,1,2,NA,0,NA,1,4,NA,NA,"P313",116,NA,"7.25",NA,464000,4092000,18,"IFN2","18_1692",44.7574468085106,13085.0262128191,5284.22705277198,36.2615794444444,417.622570673133,0,31.3321815718157,12.6531165311653,33.2496008798916,13.6329787234043,40.3837712422399,30.4596881536414,660.020582424788,35.8936201001893,66.805554552002,-3.4044403206534,36.9728169270539,"1986_1996",1.6969696969697,14.3863636363636,8.04166666666667,854.154552546414,47.3434394021107
"170","19_5",19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,38826,19,5,NA,930422,3,0,0,1,2,"S",930504,3,432,2,"0432M05",466,4558,92,67,1,1,"3","3",15,15,4,5,9,1,0,30,21,21,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,15,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,1,1,"W",19,NA,NA,NA,1,1,1,NA,1,NA,0,0,NA,NA,"M204",90,NA,"8.00",NA,466000,4558000,19,"IFN2","19_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.99994028283,41.0872148092386,"1986_1996",4.39393939393939,17.4848484848485,10.9393939393939,488.790911587802,23.34312602373
"177","22_107",22.107,21,43,NA,9.67804627777778,5.0922125,NA,144.583423857704,509.295817894065,NA,43492,22,107,NA,940114,3,16,4,4,2,"S",940118,1,144,4,"0144703",692,4734,93,32,2,2,"0","0",11,11,4,5,9,1,0,50,21,21,0,5,0,4,NA,43,NA,4,NA,3,NA,91,NA,1,NA,2,21,3,1,NA,43,3,6,NA,91,3,6,NA,21,43,91,37,74,78,15,2,3,"W",20,NA,NA,NA,1,1,3,NA,0,NA,0,0,NA,"P204","P305",95,NA,"12.50",NA,692000,4734000,22,"IFN2","22_107",32.1050188205772,9269.91953518672,3738.16056781217,14.7702587777778,653.879241751769,0,14.1768065772393,5.71689744699264,16.9590037534076,10.7101631116688,40.3257067509905,33.359778330995,350.744909112863,36.5136408759575,67.9595432453501,-0.654675824144942,42.7337399924724,"1986_1996",3.88636363636364,13.4621212121212,8.67424242424242,905.199998096986,48.4731844822727
"178","22_113",22.113,21,43,45,7.53950972222222,3.65297569444444,0.497025,279.405344539105,109.64007190775,31.8309886183791,43498,22,113,NA,940114,3,13,4,6,3,"S",940118,1,144,4,"0144839",681,4733,93,28,2,2,"0","0",11,11,5,4,9,1,0,50,21,21,0,6,0,4,NA,43,NA,3,NA,3,NA,NA,NA,NA,NA,NA,21,3,1,NA,43,3,6,NA,NA,NA,NA,NA,21,43,91,37,45,99,78,2,2,"W",19,NA,NA,NA,1,1,2,NA,0,NA,0,0,NA,NA,"P305",35,NA,"7.00",NA,681000,4733000,22,"IFN2","22_113",26.5086206896552,7474.44664407238,2305.97828657591,11.6895104166667,420.876405065234,0,17.759243697479,5.47899159663866,18.8051122809506,7.74137931034483,30.8514917074786,29.2032520325203,266.4855927439,62.9657474220021,117.192461015821,-0.789262614420828,42.7274136236795,"1986_1996",6.17424242424242,15.6666666666667,10.9204545454545,775.136362032457,37.0516023133385
"183","22_14",22.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,43401,22,14,NA,940120,3,0,0,0,0,"S",940127,1,118,4,"0118416",692,4746,93,28,2,2,"3","3",14,14,5,5,5,3,0,NA,71,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,692000,4746000,22,"IFN2","22_14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.619093566516042,42.7059915316965,"1986_1996",4.41666666666667,14.2348484848485,9.32575757575758,855.209091793407,44.2522932641042
"192","22_154",22.154,21,43,NA,11.1038763888889,7.570125,NA,689.67142006488,1018.59163578813,NA,43539,22,154,NA,940117,1,24,4,5,3,"S",940118,3,144,4,"0144984",693,4730,93,131,2,2,"0","0",10,10,5,5,9,1,0,60,21,21,0,6,0,3,NA,43,NA,3,NA,3,NA,NA,NA,NA,NA,NA,21,3,1,NA,43,3,6,NA,NA,NA,NA,NA,21,43,37,91,76,31,74,2,3,"W",20,NA,NA,NA,1,1,3,NA,0,NA,0,9,NA,"P305","P204",332,NA,"12.50",NA,693000,4730000,22,"IFN2","22_154",24.2712121212121,18854.9092692712,9269.89124097462,18.6740013888889,1708.26305585301,0,11.0374741200828,5.42650103519669,11.7976736486338,8.24242424242424,49.1643375663559,33.959672888445,511.792859117883,29.3540251191132,54.6339968201036,-0.643833318835601,42.6974987402671,"1986_1996",5.46969696969697,15.2424242424242,10.3560606060606,792.190912311727,38.9167102438214
"195","22_171",22.171,21,43,37,10.4101476666667,9.06379305555556,2.59835,394.138374625796,279.405344539105,381.971863420549,43555,22,171,NA,940117,1,33,4,5,1,"S",940118,3,144,4,"0144990",681,4728,93,901,2,2,"0","0",9,9,5,5,9,1,0,70,21,21,0,4,0,4,NA,43,NA,4,NA,4,NA,NA,NA,NA,NA,NA,21,3,1,NA,43,3,6,NA,NA,NA,NA,NA,21,43,91,76,37,71,45,3,4,"W",20,NA,NA,NA,1,1,3,NA,0,NA,0,0,NA,"P406","P305",44,NA,"18.00",NA,681000,4728000,22,"IFN2","22_171",35.625641025641,17268.3820610009,6603.16175005708,28.1388211666667,1090.03452135383,0,15.8420506164828,6.05775470473718,18.1295858348668,10.1282051282051,38.2384506361469,28.4295379300417,650.81730229456,29.9052464141464,55.6599352513006,-0.804440193391119,42.2954655250736,"1986_1996",8.09848484848485,17.6363636363636,12.8674242424242,559.400000398809,24.4627464146572
