"","X","Provincia","Estadillo","nArbol","Tipo","OrdenIFActual","bearing","distance","species","dbh_1","dbh_2","Calidad","Forma","height","ParEsp","PlotID0","INVENTORY_ID","PLOT_ID_short","PLOT_ID","TREE_ID_IFN2","TREE_ID","dbh","expan","g","slenderness","dead"
"22386",2744,1,152,1,1,1,6,"06,1",43,159,132,2,2,10,2,1.152,"IFN2","1_152","1_152","1_152_1","IFN2_1_152_1",14.55,31.8309886183791,166.270754686648,68.7285223367698,0
"22387",2745,1,152,2,NA,2,12,"23,3",21,437,472,2,2,12,NA,1.152,"IFN2","1_152","1_152","1_152_2","IFN2_1_152_2",45.45,5.09295817894065,1622.39894962552,26.4026402640264,0
"22388",2746,1,152,3,NA,3,20,"08,6",21,324,326,2,2,13,NA,1.152,"IFN2","1_152","1_152","1_152_3","IFN2_1_152_3",32.5,14.1471060526129,829.576810088555,40,0
"22389",2747,1,152,4,NA,4,21,"03,5",21,278,284,2,2,11.5,NA,1.152,"IFN2","1_152","1_152","1_152_4","IFN2_1_152_4",28.1,14.1471060526129,620.158243800259,40.9252669039146,0
"22390",2748,1,152,5,NA,5,55,"11,5",21,319,304,3,2,9.5,NA,1.152,"IFN2","1_152","1_152","1_152_5","IFN2_1_152_5",31.15,14.1471060526129,762.08950940322,30.4975922953451,0
"22391",2749,1,152,6,NA,6,68,"09,5",43,170,152,2,5,7,NA,1.152,"IFN2","1_152","1_152","1_152_6","IFN2_1_152_6",16.1,31.8309886183791,203.583057934253,43.4782608695652,0
"22392",2750,1,152,7,NA,7,69,"22,5",21,527,520,2,2,12,NA,1.152,"IFN2","1_152","1_152","1_152_7","IFN2_1_152_7",52.35,5.09295817894065,2152.40133824938,22.9226361031519,0
"22393",2751,1,152,8,NA,8,89,"01,9",43,113,104,4,5,6.5,NA,1.152,"IFN2","1_152","1_152","1_152_8","IFN2_1_152_8",10.85,127.323954473516,92.4590352905561,59.9078341013825,0
"22394",2752,1,152,9,NA,9,94,"04,3",44,141,138,3,5,6.5,2,1.152,"IFN2","1_152","1_152","1_152_9","IFN2_1_152_9",13.95,31.8309886183791,152.840446092552,46.5949820788531,0
"22395",2753,1,152,10,NA,10,95,"07,9",43,164,165,2,4,6,NA,1.152,"IFN2","1_152","1_152","1_152_10","IFN2_1_152_10",16.45,31.8309886183791,212.530706510758,36.4741641337386,0
"22396",2754,1,152,11,NA,11,96,"04,6",44,252,227,2,4,9,2,1.152,"IFN2","1_152","1_152","1_152_11","IFN2_1_152_11",23.95,14.1471060526129,450.506350020185,37.5782881002088,0
"22397",2755,1,152,12,2,12,139,"08,4",43,220,215,2,4,9.5,NA,1.152,"IFN2","1_152","1_152","1_152_12","IFN2_1_152_12",21.75,31.8309886183791,371.542418672205,43.6781609195402,0
"22398",2756,1,152,13,NA,13,145,"06,3",44,166,165,2,4,7.5,NA,1.152,"IFN2","1_152","1_152","1_152_13","IFN2_1_152_13",16.55,31.8309886183791,215.12252044997,45.3172205438066,0
"22399",2757,1,152,14,NA,14,165,"13,7",43,377,375,2,2,11,NA,1.152,"IFN2","1_152","1_152","1_152_14","IFN2_1_152_14",37.6,14.1471060526129,1110.36450748478,29.2553191489362,0
"22400",2758,1,152,15,NA,15,166,"03,3",43,105,112,3,5,5.5,NA,1.152,"IFN2","1_152","1_152","1_152_15","IFN2_1_152_15",10.85,127.323954473516,92.4590352905561,50.6912442396313,0
"22401",2759,1,152,16,NA,16,185,"04,7",43,198,171,2,4,8.5,NA,1.152,"IFN2","1_152","1_152","1_152_16","IFN2_1_152_16",18.45,31.8309886183791,267.3514983159,46.0704607046071,0
"22402",2760,1,152,17,3,17,223,"20,4",43,482,387,2,4,10,NA,1.152,"IFN2","1_152","1_152","1_152_17","IFN2_1_152_17",43.45,5.09295817894065,1482.75515617345,23.0149597238205,0
"22403",2761,1,152,18,NA,18,238,"13,5",43,268,266,2,2,13,NA,1.152,"IFN2","1_152","1_152","1_152_18","IFN2_1_152_18",26.7,14.1471060526129,559.902496704407,48.689138576779,0
"22404",2762,1,152,19,NA,19,238,"07,1",21,340,338,2,2,12.5,NA,1.152,"IFN2","1_152","1_152","1_152_19","IFN2_1_152_19",33.9,14.1471060526129,902.587423357981,36.8731563421829,0
"22405",2763,1,152,20,NA,20,267,"04,0",21,250,238,2,2,11,NA,1.152,"IFN2","1_152","1_152","1_152_20","IFN2_1_152_20",24.4,14.1471060526129,467.594650560305,45.0819672131148,0
"22406",2764,1,152,21,NA,21,267,"01,7",43,72,79,4,5,4.5,NA,1.152,"IFN2","1_152","1_152","1_152_21","IFN2_1_152_21",7.55,127.323954473516,44.769658809063,59.6026490066225,0
"22407",2765,1,152,22,4,22,307,"12,2",21,268,275,2,2,11.5,NA,1.152,"IFN2","1_152","1_152","1_152_22","IFN2_1_152_22",27.15,14.1471060526129,578.934657698936,42.3572744014733,0
"22408",2766,1,152,23,NA,23,330,"02,2",43,81,81,3,3,5.5,NA,1.152,"IFN2","1_152","1_152","1_152_23","IFN2_1_152_23",8.1,127.323954473516,51.5299735005066,67.9012345679012,0
"22409",2767,1,152,24,NA,24,369,"06,0",43,167,165,2,2,9.5,NA,1.152,"IFN2","1_152","1_152","1_152_24","IFN2_1_152_24",16.6,31.8309886183791,216.424317905801,57.2289156626506,0
"22410",2768,1,152,25,NA,25,384,"12,9",21,514,516,2,2,13.5,NA,1.152,"IFN2","1_152","1_152","1_152_25","IFN2_1_152_25",51.5,5.09295817894065,2083.07227887088,26.2135922330097,0
"22411",2769,1,152,26,NA,26,398,"02,9",43,82,90,4,5,6,NA,1.152,"IFN2","1_152","1_152","1_152_26","IFN2_1_152_26",8.6,127.323954473516,58.0880481648753,69.7674418604651,0
"22412",12779,1,762,1,1,1,5,"07,4",21,249,245,2,2,14,NA,1.762,"IFN2","1_762","1_762","1_762_1","IFN2_1_762_1",24.7,14.1471060526129,479.163565507149,56.6801619433198,0
"22413",12780,1,762,2,NA,2,16,"09,2",21,142,140,3,2,13.5,NA,1.762,"IFN2","1_762","1_762","1_762_2","IFN2_1_762_2",14.1,31.8309886183791,156.145008865047,95.7446808510638,0
"22414",12781,1,762,3,NA,3,17,"03,4",21,213,204,2,2,16,NA,1.762,"IFN2","1_762","1_762","1_762_3","IFN2_1_762_3",20.85,31.8309886183791,341.430253087547,76.7386091127098,0
"22415",12782,1,762,4,NA,4,30,"10,1",21,277,260,3,2,12,NA,1.762,"IFN2","1_762","1_762","1_762_4","IFN2_1_762_4",26.85,14.1471060526129,566.211207451897,44.6927374301676,0
"22416",12783,1,762,5,NA,5,39,"06,7",21,274,278,2,2,12,NA,1.762,"IFN2","1_762","1_762","1_762_5","IFN2_1_762_5",27.6,14.1471060526129,598.28490494964,43.4782608695652,0
"22417",12784,1,762,6,NA,6,65,"07,1",21,230,249,2,2,15.5,NA,1.762,"IFN2","1_762","1_762","1_762_6","IFN2_1_762_6",23.95,14.1471060526129,450.506350020185,64.7181628392484,0
"22418",12785,1,762,7,NA,7,66,"12,2",21,292,305,2,2,16.5,NA,1.762,"IFN2","1_762","1_762","1_762_7","IFN2_1_762_7",29.85,14.1471060526129,699.807435045803,55.2763819095477,0
"22419",12786,1,762,8,NA,8,66,"09,8",21,283,289,2,2,14,NA,1.762,"IFN2","1_762","1_762","1_762_8","IFN2_1_762_8",28.6,14.1471060526129,642.424281732577,48.9510489510489,0
"22420",12787,1,762,9,NA,9,92,"08,4",43,203,208,2,2,13,NA,1.762,"IFN2","1_762","1_762","1_762_9","IFN2_1_762_9",20.55,31.8309886183791,331.675607898151,63.2603406326034,0
"22421",12788,1,762,10,NA,10,92,"06,3",21,251,240,2,2,14,NA,1.762,"IFN2","1_762","1_762","1_762_10","IFN2_1_762_10",24.55,14.1471060526129,473.361436575051,57.0264765784114,0
"22422",12789,1,762,11,NA,11,92,"04,1",21,161,163,3,2,12,NA,1.762,"IFN2","1_762","1_762","1_762_11","IFN2_1_762_11",16.2,31.8309886183791,206.119894002026,74.0740740740741,0
"22423",12790,1,762,12,NA,12,92,"01,2",21,303,310,2,2,16,NA,1.762,"IFN2","1_762","1_762","1_762_12","IFN2_1_762_12",30.65,14.1471060526129,737.820706154239,52.2022838499184,0
"22424",12791,1,762,13,2,13,103,"12,8",21,253,273,2,2,17.5,NA,1.762,"IFN2","1_762","1_762","1_762_13","IFN2_1_762_13",26.3,14.1471060526129,543.252055640381,66.5399239543726,0
"22425",12792,1,762,14,NA,14,103,"08,5",43,162,171,3,2,11,NA,1.762,"IFN2","1_762","1_762","1_762_14","IFN2_1_762_14",16.65,31.8309886183791,217.730042352449,66.0660660660661,0
"22426",12793,1,762,15,NA,15,106,"06,4",43,192,213,2,2,13,NA,1.762,"IFN2","1_762","1_762","1_762_15","IFN2_1_762_15",20.25,31.8309886183791,322.062334378166,64.1975308641975,0
"22427",12794,1,762,16,NA,16,116,"13,5",21,233,232,2,2,16,NA,1.762,"IFN2","1_762","1_762","1_762_16","IFN2_1_762_16",23.25,14.1471060526129,424.556794701533,68.8172043010753,0
"22428",12795,1,762,17,NA,17,128,"09,3",21,286,279,2,2,15,NA,1.762,"IFN2","1_762","1_762","1_762_17","IFN2_1_762_17",28.25,14.1471060526129,626.796821776376,53.0973451327434,0
"22429",12796,1,762,18,NA,18,148,"06,2",21,201,193,2,2,14,NA,1.762,"IFN2","1_762","1_762","1_762_18","IFN2_1_762_18",19.7,31.8309886183791,304.805173232916,71.0659898477157,0
"22430",12797,1,762,19,NA,19,155,"14,5",21,249,251,2,2,15,NA,1.762,"IFN2","1_762","1_762","1_762_19","IFN2_1_762_19",25,14.1471060526129,490.873852123405,60,0
