"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","CoorX","CoorY","Origen","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","YEAR","INE","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","FechaPh","HoraPh","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","Equipo","JefeEq","FechaIni","HoraIni","FechaFin","HoraFin","Tiempo","Resid","RumboF1","RumboF2","DistFoto","CarFoto1","NumFoto1","ConFoto1","CarFoto2","NumFoto2","ConFoto2","Estado","Tecnico","PlotID","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"3","1_152_A_1",1.152,43,21,44,14.3782939166667,11.7767506666667,2.02744027777778,1048.44202955914,119.401575084053,77.809083289371,7219,489019,4766054,1,1,152,"A","1",0,1992,"02","2033",2002,"","3-1 ",2005,NA,1,1,1,100,80,1,2,1,3,1,4,"","",1,2,1,1,8,3,NA,NA,"0","0","",0,NA,375,NA,8.5,NA,2,"2",2,"PARCELA LOCALIZADA MEDIANTE FOTOGRAFIA AEREA Y PIES.
01,CLAESP. RESTO DE ESPECIES=10%
01,ALTURAS COMPROBADAS EN GENERAL. 
01,PIES 1 Y 21, COMPROBADAS FORMAS. 
01,PIE 9, DIAMETRO COMPROBADO.
01,PIES 24, COMPROBADO DIAMETRO. 
01,PIE 14, ENTRA POR CORRECCION DE PENDIENTE. 
01,PIE 27, COMPROBADO RUMBO. 
01,A 104 Y A 205 GRADOS, HAY  DOS REBOLLOS QUE NO ENTRAN POR DIAMETRO. LE HE BAJADO LA CALIDAD A ALGUNOS PIES AL PRESENTAR HIEDRA EN LOS FUSTES.
01,A MAS DE 10 METROS, HAY ROSAL.",10,9900000010051020,"09/21/05 00:00:00","12/30/99 10:04:34","09/21/05 00:00:00","12/30/99 12:26:18",NA,1002,230,175,9,473957,8,32,473957,9,31,"T",9900000010051024,"1.152.A.1","IFN3","1_152",37.6861538461538,17995.6777096127,8266.36627313252,28.1824848611111,1245.65268793257,0,14.4467859170926,6.63617262918796,16.9725155702204,12.6846153846154,45.935287386909,33.6585564990202,669.030522926052,22.3369674793276,41.5737809477356,-3.13504972183379,43.0458398271891,"1997_2007",7.81818181818182,17.6590909090909,12.7386363636364,954.954550439661,41.9970017184858
"19","1_762_A_1",1.762,21,43,NA,35.8856145833333,13.5119749722222,NA,565.884242104517,521.462329099312,NA,12489,549000,4754000,1,1,762,"A","1",0,1996,"4","0008",2002,"","1-4 ",2005,NA,1,1,2,100,90,1,3,1,2,2,4,"","",1,2,1,1,4,3,NA,NA,"0","0","",0,NA,205,NA,3.2,NA,2,"2",2,"PARCELA ENCONTRADA POR PIES DEL IFN2.20% OCUPACION RESTO DE ESPECIES  Y AL SUBPISO DE ACEBO PRINCIPALMENTE.
01,SILVESTRE A 26G Y 15.1M SE VA.
01,PIE 5 PUNTA PARTIDA.
01,SILVESTRE A 328G Y 15.08M SE VA.
01,SILVESTRE A 16.7M Y 271G CON DM 41.0 Y 42.4CMS.
01,LARICIO A 381G Y 11.5M CON DM 22.5 Y 21.5CMS.
01,RUMBOS COMPROBADOS.
01,LA ZONA DONDE ESTA LA PARCELA HAY POCO PINO LARICIO,HAY OTRAS ZONAS EN LA MISMA TESELA CON MAS LARICIO
01,LLUVIA Y VIENTO DURANTE APEO.
01,",6,9900000010050998,"06/30/05 00:00:00","12/30/99 14:29:09","07/04/05 00:00:00","12/30/99 11:43:55",NA,1051,220,360,9,224388,8,32,224388,9,31,"T",9900000010051276,"1.762.A.1","IFN3","1_762",37.6024456521739,24580.2996771878,16534.07652134,49.3975895555556,1087.34657120383,0,22.6057637262555,15.205893832943,24.0504907893355,19.8505434782609,67.265561195272,52.7905649060176,1021.82895380912,15.2771943559513,28.434062602191,-2.39948314234484,42.9362864333836,"1997_2007",6.03787878787879,15.1666666666667,10.6022727272727,950.545445528897,46.1378925573872
"20","1_880_A_1",1.88,21,43,42,11.238929,3.6881125,2.6222375,79.2237938946324,350.14087480217,109.64007190775,7149,488000,4740000,1,1,880,"A","1",0,1992,"12","1722",2002,"","1-1 ",2005,NA,1,1,1,100,70,1,2,2,2,2,4,"","",1,2,1,1,12,2,NA,NA,"4","0","",0,NA,290,NA,5,NA,3,"1",2,"PARCELA ENCONTRADA POR FOTO AEREA, PIES IFN2 Y CROQUIS DEL IFN2.
01,CLAESP. RESTO DE ESPECIES=20%
01,[PIESMAY 001-021]ALTURA COMPROBADA.
01,CON RUMBO 106G Y 23.7M NO ENTRA 021 POR Ø.
01,CON RUMBO 147G Y 8.5M NO ENTRA 044 POR MUY POCO POR Ø.
01,CON RUMBO 233G NO ENTRA 021 POR DISTANCIA.
01,EN LA PARCELA SE OBSERVAN MUCHOS RESTOS DE CORTAS
01,LOS ROBLES 044 Y 042 SE ENCUENTRAN ALGO HIBRIDADOS ENTRE SI  POR LO QUE DIFICULTAN SU IDENTIFICACION.
01,ZONA CON MUCHA DENSIDAD DE HELECHOS.",2,9900000006020480,"07/28/05 00:00:00","12/30/99 10:16:56","07/28/05 00:00:00","12/30/99 11:58:22",NA,1001,350,160,10,223988,10,30,223988,11,29,"T",9900000010051024,"1.880.A.1","IFN3","1_880",33.6122033898305,10058.8470513167,5342.51312970874,18.5231415,602.66671784131,0,16.6905633802817,8.86478873239437,19.7821630604975,15.9762711864407,53.1125794283689,47.5311630158538,413.907129389438,25.4968173046759,47.4549241507397,-2.98771014572504,43.1089516908697,"1997_2007",8.23484848484848,17.6515151515152,12.9431818181818,1006.17272983898,43.8549778235909
"119","16_820_A_1",16.82,21,43,25,14.5045166944444,4.0024125,0.724201,404.748704165256,141.471060526129,5.09295817894065,30044,NA,NA,16,16,820,"A","1",0,1985,"J","0003",1998,"","1-1",2003,107,1,1,1,90,70,1,2,1,1,1,4,"08/11/03 00:00:00","12/30/99 17:27:00",1,2,1,2,8,1,NA,NA,"0","0","",0,NA,45,0,6.5,0,2,"3",2,"ENCONTRADO EL REJON POR LAS REFERENCIAS DEL IFN2. PINOS LARICIOS CON BOLSONES DE PROCESIONARIA Y SILVESTRES CON    MUERDAGO EN RAMAS. QUEJIGO A 5.5 MT Y 34 GRADOS CON DIAM 131-118 NO ENTRA POR POCO. PIE 4 DIAM COMPROBADO. PINO LARICIO A 138 GRADOS Y 18 MT CON DIAM. 405-424 NO ENTRA. PIE 6 DIAM   COMPROBADO Y ESTA DOMINADO. PIE 8 TAMBIEN ESTA DOMINADO.
PIE 10 TAMBIEN  TIENE MUERDAGO.
PINO SILVESTRE A 19.60  MT Y 238 GRADOS  CON DIAMETROS 421-414  NO ENTRA.
PIE 12 TIENE MUERDAGO.
PIES  13,14 Y 15 TAMBIEN TIENEN HONGOS  EN  HOJAS.
PIE 13 ENTRA POR PTE.
PIE 15  ENTRA POR POCO Y POR PTE(10.07  MT AL  LATERAL Y PTE DE 6.00).
PIE 19 ESTA  DOMINADO.
PIE 20 TAMBIEN TIENE  MUERDAGO.
PIE 21 ESTA DOMINADO.
OTRO  MODELO DE COMBUSTIBLE 05.RUMBOS COMPROBADOS
REGENERACION  DAÑADA POR EL RAMONEO DEL  GANADO OVINO  Y VACUNO.
HAY ABUNDANTE MUSGO POR EL  SUELO Y  LIQUENES EN LA CORTEZA.
ACCESO  DIFICIL POR QUE HUBO QUE CRUZAR  DOS  ARROYOS CON ABUNDANTE AGUA.",3,26,"08/11/03 00:00:00","12/30/99 09:44:08","08/11/03 00:00:00","12/30/99 17:27:55",55,215,15,200,10,62408,26,15,62408,25,16,"D",4,"16.820.A.1","IFN3","16_820",33.4126943005181,10663.5014375584,5226.78980219837,19.2311301944444,551.312722870325,0,19.3420195021812,9.48062612265846,21.0745570770014,12.779792746114,49.0156993254471,38.2483155389112,419.118298855228,33.325538953121,62.0258169639414,-2.19619752620319,40.6113227899159,"1997_2007",4.71212121212121,17.5984848484848,11.155303030303,606.436362591657,28.6659265396951
"213","18_1692_A_1",18.1692,21,43,45,32.4747916666667,10.464205,1.752976,438.560287631001,30.5577490736439,5.09295817894065,6365,463939,4091987,18,18,1692,"A","1",0,1984,"j","0006",2002,"","1-2 ",2007,NA,1,1,2,90,85,1,2,3,2,2,4,"","",1,2,2,1,5,5,NA,NA,"0","0","",0,NA,115,NA,7,NA,2,"2",2,"[CLAESP. RESTO DE ESPECIES=0%]EDAD DE SP 021 LA DEL IFN2 MAS EL TIEMPO TRANSCURRIDO. 
18,[PIESMAY 001-043]DN CON CINTA.
18,[PIESMAY 003-043]DN CON CINTA,PAE CORRECTO.
18,[PIESMAY 004-043]DN CON CINTA,PAE CORRECTO.
18,[PIES MAYORES]COMPROBADO SP 021 A 114,147,208,232,[PIESMAY 015-021]ENTRA POR PENDIENTE.
18,[PIESMAY 023-045]MEDIDO CON CINTA Y DN COMPROBADO,FORMA CORRECTA. 
18,[PIESMAY 035-043]DN COMPROBADOS.HT CORRECTA.
18,[PIESMAY 036-043]DN COMPROBADOS.HT CORRECTA.
18,[PIESMAY 037-043]DN CON CINTA,HT COMPROBADA,FORMA CORRECTA.
18,[MATORRAL]SP 1163,15,10.
18,[SELVICULTURA]CORTAS ANTIGUAS.
18,[LOCALIZACIÓN ACCESO LEVANTAMIENTO]REJON ENCONTRADO,REFERENCIAS:FOTOS Y DENDROMETRIA DEL IFN2.PRECISION DEL GPS:7.3M.",98,99,"07/25/07 00:00:00","12/30/99 10:18:23","07/25/07 00:00:00","12/30/99 12:19:46",NA,147,215,5,5,0,127,127,0,128,128,"T",NA,"18.1692.A.1","IFN3","18_1692",47.6893617021277,15618.7446126299,6668.60626265647,44.6919726666667,474.210994883585,0,32.936276849642,14.0625298329356,34.6404888329699,14.7574468085106,42.6961732715955,30.9449451235835,800.405832161249,31.1173757343413,57.9159621217676,-3.4044403206534,36.9728169270539,"1997_2007",1.86363636363636,14.8257575757576,8.34469696969697,811.872727480802,44.2565352167937
"249","19_2184_A_1",19.2184,43,21,NA,10.5052397777778,5.08249375,NA,48.6660448209884,254.647908947033,NA,34596,NA,NA,19,19,2184,"A","1",0,1983,"03","3224",1997,"","3-2",2003,60,1,1,2,85,60,1,2,4,1,3,4,"08/07/03 00:00:00","12/30/99 11:11:00",1,2,1,2,7,3,NA,NA,"0","0","",5,NA,315,0,7.2,0,2,"2",2,"PARCELA ENCONTRADA POR PIES DEL IFN2.ANTIGUAMENTE REBOLLAR QUE SE QUEMO EN PARTE Y AHORA REPOBLADO CON PINO SILVESTRE, QUE EN UN FUTURO CERCANO LLEGARA A SUPERAR AL REBOLLO.PIE 8   FORMA COMPROBADA. PIE 9 DIAMETROS COMPROBADOS.",20,66,"08/07/03 00:00:00","12/30/99 10:33:30","08/07/03 00:00:00","12/30/99 11:13:59",40,262,334,42,10,62764,30,11,62764,29,12,"D",5,"19.2184.A.1","IFN3","19_2184",32.3468513853904,6499.83836100182,2241.18454085494,15.5877335277778,303.313953768021,0,21.4294076492537,7.38899253731343,25.5799888400647,9.60894206549118,34.4806196151238,29.7059579339184,314.686954300142,59.7555475083054,111.217605739071,-3.36889141624815,41.0549330479673,"1997_2007",5.65909090909091,16.2878787878788,10.9734848484848,486.827269304882,23.2115584425662
"250","19_2188_A_1",19.2188,21,43,NA,16.24186875,5.13193588888889,NA,986.760647169751,38.4801284631071,NA,34600,NA,NA,19,19,2188,"A","1",0,1983,"03","3224",1997,"","3-2",2003,60,1,1,2,95,75,1,2,2,1,3,4,"08/14/03 00:00:00","12/30/99 10:39:00",1,2,1,1,7,3,NA,NA,"0","0","",5,NA,53,0,5.2,0,2,"2",2,"PARCELA ENCONTRADA POR PIES DEL IFN2.PINCHADA EN PINAR DE REPOBLACION DE SILVESTRE EN EL QUE QUEDAN ALGUNOS EJEMPLARES DE REBOLLO FUSTAL DEL BOSQUE ANTERIOR.HAY INDICIOS DE UN INCENDIO BASTANTE ANTIGUO. CON RUMBO 79 NO ENTRA 021 POR DIAM.PIE 15 ENTRA POR PENDIENTE. PIE 26 DIAMETROS COMPROBADOS.",20,66,"08/14/03 00:00:00","12/30/99 09:09:06","08/14/03 00:00:00","12/30/99 10:50:13",101,262,315,182,10,62764,8,33,62764,7,34,"D",5,"19.2188.A.1","IFN3","19_2188",27.4797091412742,15660.1885598111,7954.35184914214,21.3738046388889,1025.24077563286,0,15.2746446805575,7.75852076721402,16.2923241371507,8.84833795013851,50.793461513966,32.1995327703392,515.6617744358,35.2959896316167,65.6932389159996,-3.38073896185987,41.0458866455608,"1997_2007",5.12878787878788,15.4166666666667,10.2727272727273,547.445456114682,27.0040359518453
"362","24_1261_A_1",24.1261,21,43,NA,13.4677875,7.50034375,NA,700.281749604339,732.112738222719,NA,40505,NA,NA,24,24,1261,"A","1",0,1984,"J","0007",1997,"","2-1",2003,51,1,1,2,95,80,1,2,1,2,1,4,"01/08/03 00:00:00","12/30/99 15:34:00",1,2,1,1,7,2,NA,NA,"0","0","",0,NA,325,0,5,0,2,"1",2,"PARCELA LOCALIZADA MEDIANTE FOTOGRAFIA  AEREA, REFERENCIAS Y TRAS ENCONTRAR  SILICONA. PIE 10 FORMA COMPROBADA. PIE 27, ENTRA POR  CORRECCION  DE PENDIENTE.",10,61,"01/08/03 00:00:00","12/30/99 14:33:57","01/08/03 00:00:00","12/30/99 15:37:50",64,56,323,264,8,977909,38,3,977909,37,4,"D",4,"24.1261.A.1","IFN3","24_1261",19.1,18963.3114693993,14403.5223498165,20.96813125,1432.39448782706,0,13.2388888888889,10.0555555555556,13.6522301800434,11.125,75.9546789760806,58.2460732984293,542.463733101829,23.7502759407102,44.2042443908812,-4.95214068076285,42.6600762773031,"1997_2007",5.58333333333333,15.6893939393939,10.6363636363636,612.272730047053,29.6696036586677
"364","24_1271_A_3E",24.1271,21,43,25,12.4660180555556,9.13655625,0.84180625,304.162780131178,1082.25361302489,31.8309886183791,40518,NA,NA,24,24,1271,"A","3E",0,1997,"","2-1",1984,"J","0007",2002,51,1,1,1,95,85,1,2,1,3,1,4,"12/12/02 00:00:00","12/30/99 12:51:00",1,2,1,1,9,2,NA,NA,"0","0","",0,NA,137,0,8.5,0,2,"1",2,"PARCELA LOCALIZADA MEDIANTE ORTOFOTO. DE LA ESPECIE 043 HAY ALGUNOS PIES EN ESTADO 2, PERO PREDOMINA EL 3. 10%  PARA EL RESTO DE ESPECIES.",10,61,"12/12/02 00:00:00","12/30/99 11:45:15","12/12/02 00:00:00","12/30/99 12:55:50",71,56,140,273,9,977898,24,17,977898,23,18,"D",4,"24.1271.A.3E","IFN3","24_1271",26.54375,18477.1815376664,11464.4610673862,22.4443805555556,1418.24738177445,0,13.0281795511222,8.08354114713217,14.1949176040418,13.125,62.0465899737764,49.4466682364022,571.783399609091,20.2313420473706,37.6547704308794,-4.96405125732125,42.6508676911003,"1997_2007",5.78030303030303,16.3712121212121,11.0757575757576,596.236364928159,28.2901510318177
"365","24_1272_A_4",24.1272,21,43,25,14.65598125,10.0598236111111,3.91623125,696.744973091186,937.245775985606,159.154943091895,40520,NA,NA,24,24,1272,"A","4",0,1997,"","2-1",1984,"J","0007",2003,51,1,1,2,100,80,1,2,1,2,1,4,"01/08/03 00:00:00","12/30/99 12:48:00",1,2,1,1,7,2,NA,NA,"0","0","",0,NA,234,0,3,0,2,"2",2,"PARCELA CLASIFICADA COMO A4, YA QUE NO HA SIDO POSIBLE LOCALIZAR LOS PIES   DEL    IFN2. PARCELA LOCALIZADA   MEDIANTE    ORTOFOTO. A 36 Y A 133   GRADOS, HAY DOS  PIES QUE NO ENTRAN   POR DIAMETRO.",10,61,"01/08/03 00:00:00","12/30/99 11:37:51","01/08/03 00:00:00","12/30/99 12:53:12",75,56,83,223,8,977909,40,1,977909,39,2,"D",4,"24.1272.A.4","IFN3","24_1272",22.5533333333333,24604.6468467044,17489.3598575427,28.6320361111111,1793.14569216869,0,13.7214990138067,9.7534516765286,14.2584851377028,11.9833333333333,71.0815317387304,53.1333136269583,728.131215330509,19.7067302268501,36.6783578122418,-4.95185909724356,42.6510761528736,"1997_2007",5.58333333333333,15.6893939393939,10.6363636363636,612.272730047053,29.6696036586677
