"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","YEAR","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","FechaIni","HoraIni","FechaFin","HoraFin","Origen","PlotID","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"1","24_1077_A_1",24.1077,21,43,NA,25.06198125,5.919175,NA,1750.70437401085,636.619772367581,NA,24448,24,1077,"A","1",0,1997,"","2-1",2013,"","",2019,1,1,2,100,90,1,2,2,3,1,4,1,2,1,1,4,5,NA,NA,0,0,0,5,0,295,NA,8.25,NA,3,2,2,"PARCELA LOCALIZADA POR CROQUIS Y PIES MAYORES IFN3.
[Pies Mayores]
","2019-11-06","2000-01-01","2019-11-06","2000-01-01",24,"24.1077.A.1","IFN4","24_1077",19.0125,29811.3123905429,17666.1988655919,30.98115625,2387.32414637843,0,12.4873333333333,7.4000000764,12.8542924088934,9.349999905,59.2600507960066,49.1781717554241,820.805008196155,21.889341568854,40.7406552530423,-6.27953627475628,42.6534026056636,"2008_2021",5.31547619047619,16.25,10.7827380952381,1004.24285820552,48.3210082138129
"4","24_1261_A_1",24.1261,21,43,NA,16.1526041666667,6.5102625,NA,452.707393683613,477.464829275686,NA,24554,24,1261,"A","1",0,1984,"J","0007",1997,"","2-1",2019,1,1,2,100,70,1,2,1,2,1,4,1,2,1,1,7,2,NA,NA,1,0,0,0,0,325,NA,5,NA,3,2,2,"parcela encontrada por fotos y pies del ifn3[Pies Mayores]pie a 151g. 308g. 359g. 380g no entran por diametro 
pie 20. 18 distancia comprobada 
pie 11. 9 altura comprobada 
[Selvicultura]entresaca ","2019-10-17","2000-01-01","2019-10-17","2000-01-01",24,"24.1261.A.1","IFN4","24_1261",25.6637931034483,15706.8244949135,10686.3702959263,22.6628666666667,930.172222959299,0,16.8859315589354,11.4885932219392,17.612897106572,13.8172414413793,68.0364786617879,53.839435915351,530.185789483742,23.7299580428017,44.1664285218405,-4.95214068076285,42.6600762773031,"2008_2021",5.56547619047619,16.1964285714286,10.8809523809524,604.678571087973,28.9583808274742
"5","24_1272_A_4",24.1272,21,43,25,15.475175,5.3903875,1.54936111111111,424.413181578388,572.957795130823,45.978094670992,24562,24,1272,"A","4",0,1984,"J","0007",1997,"","2-1",2019,1,1,2,100,75,1,2,2,2,1,4,1,2,1,1,9,3,NA,NA,1,0,0,4,4,150,225,5.75,4.25,3,3,2,"parcela pinchada en cruce de coordenadas por fuertes cembios de masa y falta de indicaciones claras[Pies Mayores]pie 56g no entra por diametro 
pie a 125g no entra por distancia 
pie 12 medido a 1.2m
barrenado del roble no realizado por la dureza","2019-10-23","2000-01-01","2019-10-23","2000-01-01",24,"24.1272.A.4","IFN4","24_1272",27.51875,15885.0780311764,10514.4828747679,22.4149236111111,1043.3490713802,0,15.2250847457627,10.077627098339,16.5389857865426,13.462499975,66.1909425571091,48.9211900068135,537.579454976487,22.9963795295412,42.8010850638942,-4.95185909724356,42.6510761528736,"2008_2021",5.56547619047619,16.1964285714286,10.8809523809524,604.678571087973,28.9583808274742
"15","24_1357_A_1",24.1357,43,21,NA,29.4238344166667,13.8927597222222,NA,2318.14479778115,647.230101907041,NA,24613,24,1357,"A","1",0,1985,"J","0006",199,"","1-2",2019,1,1,1,100,95,1,1,2,2,1,4,1,2,1,1,4,5,NA,NA,0,0,NA,5,NA,248,NA,5.75,NA,3,3,2,"[Identificación] Parcela localizada con gps, fotos (identificado pie 05 ifn3) y fotos aereas.
[Especies Presentes]Fuera 25m hay Sorbus aucuparia.
[Matorral] Fuera de 10m hay retama sp. y cytisus sp. y rosa
[Selvicultura] Las cortas presentes son anteriores al ifn3 por eso no se indican como tales.
[Pies Mayores]
043-r.3 a 6.8m  no por diametro (120-126)
043-r.5 a 17.2m no por diametro (389-415)
043-r.14 a 16.8m no por diametro (410-413)
043-r.15 a 8.2m no por diametro (119-121)
043-r.145 a 5.5m no por diametro 
043-r.176 a 9.6m no por diametro.
043-r.274 a  5.6m no por diametro 
043-r.395 a 23.2m no por diametro (medido a 1.4m por bulto)
[PiesMay 12-43]Medido a 1.4m por bulto.
[PiesMay 23-43]Medido a 1.4m pol rama.
[PiesMay 41-21]Meido a 1.4m por velrticilo.
[PiesMay 45-21]Rumbo y distancia comprobados, pie con mucha flecha debajo del 1.3","2019-08-21","2000-01-01","2019-08-21","2000-01-01",24,"24.1357.A.1","IFN4","24_1357",35.0782608695652,36479.9186531994,27976.623706476,43.3165941388889,2965.37489968819,0,12.3019583989314,9.43443060417681,13.6377400073119,13.5429349108696,76.690477225125,38.6077718083788,1121.10801135374,13.5596164517875,25.2372899151884,-6.37240924504176,42.4754783510661,"2008_2021",3.89285714285714,13.8928571428571,8.89285714285714,1110.98571235793,58.804536759966
"17","24_1548_A_1",24.1548,21,43,NA,18.00275,6.51082569444444,NA,827.605704077856,523.442923946678,NA,24701,24,1548,"A","1",0,1985,"L","0004",1997,"","1-4",2019,1,1,2,100,90,1,1,2,2,2,4,1,2,1,1,7,3,NA,NA,1,4,0,5,1,43,NA,7.75,NA,2,2,2,"PARCELA LOCALIZADA POR PIES MAYORES IFN3 (SE ENCUENTRA PINCHADA A 90M AL SUR DEL PINCHAZO). 
[Pies Mayores]PIE 2 H COMPROBADA.
PIE 24 H Y FORMA COMPROBADAS.
EL ANTERIOR JEFE DE EQUIPO EN LOS PIES 24 Y 25 SE EQUIVOCO EN EL ORDEN.
PIE 26 MEDIDO A 1.25M
POR PROBLEMA EN EL TERMINAL SE BARRENAN LOS PIES MAS GORDOS PIE 23 SP 021 Y PIE 2 SP 043. 
","2019-10-18","2000-01-01","2019-10-18","2000-01-01",24,"24.1548.A.1","IFN4","24_1548",21.9016129032258,19838.3099787534,10955.8725616461,24.5135756944444,1351.04862802453,0,14.6836387434555,8.10916227172775,15.1992759971551,10.0709676358065,55.2258361391655,45.9827670240813,607.859240843762,27.0142745467037,50.2792303165612,-6.43020863167442,42.2516653526618,"2008_2021",4.20238095238095,15.2678571428571,9.73511904761905,1023.89285656384,51.8817674265496
"20","24_2173_A_1",24.2173,43,21,NA,9.76405625,3.3026625,NA,650.766878420194,190.985931710274,NA,24916,24,2173,"A","1",0,0,"0","0",1997,"","3-1",2019,1,1,2,100,60,1,2,3,2,2,4,1,2,1,1,4,1,NA,NA,0,0,NA,0,NA,15,0,4.75,0,1,2,2,"[Pies Mayores]-pie 9 y 10 distancias comprobadas
[Identificación]-parcela localizada por pies mayores ifn3","2019-09-19","2000-01-01","2019-09-19","2000-01-01",24,"24.2173.A.1","IFN4","24_2173",21.9483870967742,11021.4798091138,6534.54837861303,13.06671875,841.752810130469,0,13.093487394958,7.76302532046218,14.0587284858431,11.5225809554839,59.2892106304051,52.4985316901822,334.152150840433,29.9128604195539,55.6741065121594,-6.12875912478691,42.7487679245507,"2008_2021",3.74404761904762,14.1547619047619,8.94940476190476,1116.72142791748,58.9317417591132
"21","24_2307_A_4",24.2307,43,21,NA,12.44035,5.77024791666667,NA,1177.74657888003,215.743367302347,NA,25012,24,2307,"A","4",0,0,"0","0",1997,"","2-1",2019,1,1,2,100,85,1,2,4,2,2,4,1,2,1,1,4,1,NA,NA,1,4,NA,0,NA,379,0,4.25,0,2,2,2,"[Identificación]-PARCELA NO LOCALIZADA
[Pies Mayores]-SP 021 A 12G NO ENTRA POR DISTANCIA
-SP 021 A 128G NO ENTRA POR DIAMETRO","2019-10-08","2000-01-01","2019-10-08","2000-01-01",24,"24.2307.A.4","IFN4","24_2307",21.8058823529412,17122.7729719544,13227.5440532313,18.2105979166667,1393.48994618237,0,12.2876903553299,9.49238571076142,12.8992732353416,13.6470588529412,77.251179320644,62.584300107904,481.800603290712,19.6294899774599,36.5345975094402,-6.29250317004122,42.6357009603344,"2008_2021",5.59523809523809,16.8690476190476,11.2321428571429,983.428567239216,46.317914016313
"22","24_462_A_1",24.462,21,43,NA,25.8844573333333,6.97465419444444,NA,293.12803741014,178.395007323449,NA,24032,24,462,"A","1",0,1985,"M","0008",1997,"","4-3",2019,1,1,2,100,80,1,1,1,2,2,4,1,2,1,1,11,5,NA,NA,1,0,0,0,0,380,0,9.5,0,2,2,2,"[ClaEsp. Resto de especies=10%]
[Pies Mayores]A 84g y 7.4 mtrs hay un 43 que no entra por diametro:125-114.
a 160g y 19 mtrs hay un 21 que no entra por diametro:423-414.
pie 24 medido con cinta metrica:227.","2019-10-07","2000-01-01","2019-10-07","2000-01-01",24,"24.462.A.1","IFN4","24_462",41.1983050847458,13324.048643131,8092.39935756611,32.8591115277778,471.523044733589,0,28.2574707470747,17.1622563264926,29.7873251522182,20.2073448180791,60.7352883069669,49.0489712538226,624.639977837203,22.7897355788099,42.4164773345849,-4.97088744694155,42.8668647538762,"2008_2021",5.08928571428571,15.1190476190476,10.1041666666667,741.285717759814,36.8722429559286
"23","24_465_A_1",24.465,21,43,NA,14.0339194444444,3.452164,NA,169.765272631355,5.09295817894065,NA,24034,24,465,"A","1",0,1984,"M","0001",1997,"","3-3",2019,1,1,2,95,85,1,1,2,2,2,4,1,2,1,1,7,3,NA,NA,1,4,NA,0,NA,190,NA,5.5,NA,1,2,1,"[Identificación]parcela localizada con croquis y pies ifn3. la parcela fue desplazada en ifn2: 25m-r.165.
[Regeneración]fuera de 5m hay regeneracion de majuelo.
[Pies Mayores]
pie 001-444: no aparece el rejon por caer en una via de saca.
21-r.89 no por distancia a mas de 15m.
43-r.165 a 9m no por diametro.
[PiesMay 1-43]medido con cinta, 2.92m.
PiesMay 4-21: entra en 15m por distancia lateral.
[PiesMay 6-21]altura comprobada, le falta la guia principal.
Edad: de la especie 43 no se barrena el pie ofrecido por tener dano en tronco, es posible que este hueco. la edad del pino se estima por conteo de verticilos.","2019-08-13","2000-01-01","2019-08-13","2000-01-01",24,"24.465.A.1","IFN4","24_465",37.3904891304348,5940.28494885585,3390.26909215287,17.4860834444444,174.858230810296,0,33.9720064724919,19.388673192233,35.6827479776466,19.9516304967391,57.0724994060406,53.3601751695168,309.519436224516,37.9034347580748,70.5462411250476,-5.17853714616351,42.8540958002314,"2008_2021",4.92261904761905,15.125,10.0238095238095,794.314285005842,39.6684898576045
"32","24_955_A_4",24.955,21,43,NA,15.1792861111111,4.23415,NA,335.993768749557,413.802852038928,NA,24342,24,955,"A","4",0,1984,"L","0010",1997,"","4-4",2019,1,1,2,100,65,1,1,1,2,2,4,1,2,1,1,8,3,NA,NA,1,0,0,0,0,200,NA,4.75,NA,2,2,2,"parcela pinchada en cruce de coordenadas por fuertes cambios en la masa y falta de indicaciones claras[Pies Mayores]pie a 67g. 103g. 111g.126g.  no entra por diametro 
pie a 249g no entra por distancia 
[Selvicultura]entresaca","2019-10-30","2000-01-01","2019-10-30","2000-01-01",24,"24.955.A.4","IFN4","24_955",27.40625,12608.9619470426,8479.06796524075,19.4134361111111,749.796620788485,0,16.8165094339623,11.3084905028302,18.1565999747064,15.8125,67.2463601750302,57.69669327252,448.745573882657,23.0955187857778,42.9856040110572,-4.91721871376963,42.7146956523733,"2008_2021",5.45833333333333,16.0595238095238,10.7589285714286,646.228570495333,31.1301504926784
