"","X","PlotID0","PlotID","Provincia","Origen","Estadillo","Cla","Subclase","nArbol","OrdenIFActual","OrdenIFAnterior","bearing","distance","species","dbh_1","dbh_2","height","Hcopa","Calidad","Forma","ParEsp","NPae","CPae","VPae","Agente","Import","Elemento","INVENTORY_ID","PLOT_ID_short","PLOT_ID","TREE_ID_IFN4","TREE_ID","dbh","expan","g","slenderness","dead"
"8070",126244,5.672,"5.672.A.1",5,5,672,"A","1",1,1,1,40,14.8000002,21,387,390,13.8999996,NA,2,2,NA,NA,41,NA,100,NA,NA,"IFN4","5_672","5_672_A_1","5_672_A_1_1","IFN4_5_672_A_1_1",38.85,14.1471060526129,1185.41911947445,35.7786347490347,0
"8071",126245,5.672,"5.672.A.1",5,5,672,"A","1",2,2,2,48,14.8000002,21,611,533,13.1999998,NA,2,2,NA,NA,41,NA,100,NA,NA,"IFN4","5_672","5_672_A_1","5_672_A_1_2","IFN4_5_672_A_1_2",57.2,5.09295817894065,2569.69712693031,23.0769227272727,0
"8072",126246,5.672,"5.672.A.1",5,5,672,"A","1",3,3,0,67,3.20000005,43,105,107,5.5999999,NA,2,5,NA,NA,42,NA,100,NA,NA,"IFN4","5_672","5_672_A_1","5_672_A_1_3","IFN4_5_672_A_1_3",10.6,127.323954473516,88.2473376393373,52.8301877358491,0
"8073",126247,5.672,"5.672.A.1",5,5,672,"A","1",4,4,3,74,2.9000001,43,133,142,8.19999981,NA,2,5,NA,NA,42,NA,100,NA,NA,"IFN4","5_672","5_672_A_1","5_672_A_1_4","IFN4_5_672_A_1_4",13.75,31.8309886183791,148.48934026733,59.6363622545455,0
"8074",126248,5.672,"5.672.A.1",5,5,672,"A","1",5,5,4,111,13.1999998,21,557,522,9.80000019,NA,2,5,NA,NA,NA,NA,100,NA,NA,"IFN4","5_672","5_672_A_1","5_672_A_1_5","IFN4_5_672_A_1_5",53.95,5.09295817894065,2285.98185788002,18.1649679147359,0
"8075",126249,5.672,"5.672.A.1",5,5,672,"A","1",6,6,5,152,5.5999999,21,372,360,9.5,NA,2,5,NA,NA,42,NA,100,NA,NA,"IFN4","5_672","5_672_A_1","5_672_A_1_6","IFN4_5_672_A_1_6",36.6,14.1471060526129,1052.08796376069,25.9562841530055,0
"8076",126250,5.672,"5.672.A.1",5,5,672,"A","1",7,7,6,154,4.4000001,21,426,433,10.5,NA,2,5,NA,NA,42,NA,100,NA,NA,"IFN4","5_672","5_672_A_1","5_672_A_1_7","IFN4_5_672_A_1_7",42.95,5.09295817894065,1448.82595551468,24.4470314318976,0
"8077",126251,5.672,"5.672.A.1",5,5,672,"A","1",8,8,7,160,4.80000019,21,362,315,10.1000004,NA,2,5,NA,NA,42,NA,100,NA,NA,"IFN4","5_672","5_672_A_1","5_672_A_1_8","IFN4_5_672_A_1_8",33.85,14.1471060526129,899.926887079473,29.8375196454948,0
"8078",126252,5.672,"5.672.A.1",5,5,672,"A","1",9,9,0,171,21.2999992,21,462,470,9.5,NA,2,5,NA,NA,NA,NA,100,NA,NA,"IFN4","5_672","5_672_A_1","5_672_A_1_9","IFN4_5_672_A_1_9",46.6,5.09295817894065,1705.53923570736,20.3862660944206,0
"8079",126253,5.672,"5.672.A.1",5,5,672,"A","1",10,10,8,180,13.8000002,21,396,397,12.3000002,NA,2,2,NA,NA,NA,NA,100,NA,NA,"IFN4","5_672","5_672_A_1","5_672_A_1_10","IFN4_5_672_A_1_10",39.65,14.1471060526129,1234.7421241358,31.0214380832282,0
"8080",126254,5.672,"5.672.A.1",5,5,672,"A","1",11,11,9,191,14.8999996,21,344,355,15.3000002,NA,2,2,NA,NA,NA,NA,100,NA,NA,"IFN4","5_672","5_672_A_1","5_672_A_1_11","IFN4_5_672_A_1_11",34.95,14.1471060526129,959.365820085392,43.7768246065808,0
"8081",126255,5.672,"5.672.A.1",5,5,672,"A","1",12,12,10,209,8.39999962,43,250,232,11.1999998,NA,2,2,NA,NA,41,NA,100,NA,NA,"IFN4","5_672","5_672_A_1","5_672_A_1_12","IFN4_5_672_A_1_12",24.1,14.1471060526129,456.167107282872,46.4730282157676,0
"8082",126256,5.672,"5.672.A.1",5,5,672,"A","1",13,13,0,266,5.4000001,45,133,146,3.4000001,NA,2,5,NA,NA,42,NA,100,NA,NA,"IFN4","5_672","5_672_A_1","5_672_A_1_13","IFN4_5_672_A_1_13",13.95,31.8309886183791,152.840446092552,24.3727605734767,0
"8083",126257,5.672,"5.672.A.1",5,5,672,"A","1",14,14,0,335,7.80000019,43,155,148,8.5,NA,2,2,NA,39,49,1,100,NA,NA,"IFN4","5_672","5_672_A_1","5_672_A_1_14","IFN4_5_672_A_1_14",15.15,31.8309886183791,180.266549958391,56.1056105610561,0
"8084",126258,5.672,"5.672.A.1",5,5,672,"A","1",15,15,0,339,8.19999981,43,146,147,6.9000001,NA,2,5,NA,39,49,1,100,NA,NA,"IFN4","5_672","5_672_A_1","5_672_A_1_15","IFN4_5_672_A_1_15",14.65,31.8309886183791,168.564117323769,47.0989767918089,0
"8085",126259,5.672,"5.672.A.1",5,5,672,"A","1",16,16,0,343,4.69999981,43,117,124,6.4000001,NA,2,5,NA,39,49,2,100,NA,NA,"IFN4","5_672","5_672_A_1","5_672_A_1_16","IFN4_5_672_A_1_16",12.05,127.323954473516,114.041776820718,53.1120340248963,0
"8086",126260,5.672,"5.672.A.1",5,5,672,"A","1",17,17,0,355,4.5,43,97,98,4.69999981,NA,2,3,NA,39,49,2,100,NA,NA,"IFN4","5_672","5_672_A_1","5_672_A_1_17","IFN4_5_672_A_1_17",9.75,127.323954473516,74.6619129079699,48.2051262564103,0
"8090",161050,9.68,"9.68.A.1",9,9,68,"A","1",4,1,0,34,12.5,21,231,226,15.8000002,NA,2,2,NA,NA,NA,NA,100,NA,NA,"IFN4","9_68","9_68_A_1","9_68_A_1_4","IFN4_9_68_A_1_4",22.85,14.1471060526129,410.074052568484,69.146609190372,0
"8093",161053,9.68,"9.68.A.1",9,9,68,"A","1",7,2,6,56,9.19999981,21,293,293,17.7999992,NA,2,2,NA,NA,NA,NA,100,NA,NA,"IFN4","9_68","9_68_A_1","9_68_A_1_7","IFN4_9_68_A_1_7",29.3,14.1471060526129,674.256469295075,60.7508505119454,0
"8094",161054,9.68,"9.68.A.1",9,9,68,"A","1",8,3,0,60,16.5,21,438,441,19.2999992,NA,2,2,NA,NA,NA,NA,100,NA,NA,"IFN4","9_68","9_68_A_1","9_68_A_1_8","IFN4_9_68_A_1_8",43.95,5.09295817894065,1517.07705591392,43.91353629124,0
"8095",161055,9.68,"9.68.A.1",9,9,68,"A","1",9,4,0,67,12.8000002,21,222,228,11.6000004,NA,4,2,NA,NA,NA,NA,410,2,7,"IFN4","9_68","9_68_A_1","9_68_A_1_9","IFN4_9_68_A_1_9",22.5,14.1471060526129,397.607820219958,51.5555573333333,0
"8096",161056,9.68,"9.68.A.1",9,9,68,"A","1",10,5,7,68,14.1999998,21,239,234,7,NA,4,5,NA,NA,NA,NA,410,3,7,"IFN4","9_68","9_68_A_1","9_68_A_1_10","IFN4_9_68_A_1_10",23.65,14.1471060526129,439.290864246869,29.5983086680761,0
"8098",161058,9.68,"9.68.A.1",9,9,68,"A","1",12,6,9,84,8.10000038,21,260,263,14.8000002,NA,2,2,NA,NA,NA,NA,100,NA,NA,"IFN4","9_68","9_68_A_1","9_68_A_1_12","IFN4_9_68_A_1_12",26.15,14.1471060526129,537.072935589851,56.596559082218,0
"8100",161060,9.68,"9.68.A.1",9,9,68,"A","1",14,7,0,99,10.3999996,43,223,242,10.8999996,NA,4,2,NA,NA,NA,NA,316,2,9,"IFN4","9_68","9_68_A_1","9_68_A_1_14","IFN4_9_68_A_1_14",23.25,14.1471060526129,424.556794701533,46.8817187096774,0
"8101",161061,9.68,"9.68.A.1",9,9,68,"A","1",15,8,11,108,11.8000002,21,330,341,13.3999996,NA,2,2,NA,NA,NA,NA,100,NA,NA,"IFN4","9_68","9_68_A_1","9_68_A_1_15","IFN4_9_68_A_1_15",33.55,14.1471060526129,884.046136215576,39.9403862891207,0
"8103",161063,9.68,"9.68.A.1",9,9,68,"A","1",17,9,13,124,8.80000019,21,214,220,8.10000038,NA,4,2,NA,NA,NA,NA,410,3,7,"IFN4","9_68","9_68_A_1","9_68_A_1_17","IFN4_9_68_A_1_17",21.7,31.8309886183791,369.836141162224,37.3271906912442,0
"8104",161064,9.68,"9.68.A.1",9,9,68,"A","1",18,10,0,132,10.8999996,21,255,239,7.5999999,NA,4,2,NA,NA,NA,NA,410,2,7,"IFN4","9_68","9_68_A_1","9_68_A_1_18","IFN4_9_68_A_1_18",24.7,14.1471060526129,479.163565507149,30.7692303643725,0
"8112",161072,9.68,"9.68.A.1",9,9,68,"A","1",26,11,21,181,3.5999999,43,147,149,7.5,3.5,5,5,NA,NA,NA,NA,410,3,9,"IFN4","9_68","9_68_A_1","9_68_A_1_26","IFN4_9_68_A_1_26",14.8,31.8309886183791,172.033613710577,50.6756756756757,0
"8113",161073,9.68,"9.68.A.1",9,9,68,"A","1",27,12,22,193,6.69999981,21,205,214,6.4000001,NA,4,2,NA,NA,NA,NA,410,2,7,"IFN4","9_68","9_68_A_1","9_68_A_1_27","IFN4_9_68_A_1_27",20.95,31.8309886183791,344.713217410549,30.5489264916468,0
"8115",161075,9.68,"9.68.A.1",9,9,68,"A","1",29,13,24,203,11.1999998,21,298,326,16.2000008,NA,2,2,NA,NA,NA,NA,100,NA,NA,"IFN4","9_68","9_68_A_1","9_68_A_1_29","IFN4_9_68_A_1_29",31.2,14.1471060526129,764.537988177612,51.9230794871795,0
