"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","YEAR","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","CoorX","CoorY","Origen","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"1","1_1101",1.1101,25,21,35,8.59493333333333,5.63542083333333,0.731025,190.985931710274,152.081390065589,14.1471060526129,1095,1,1101,0,960606,0,19,4,2,2,NA,960606,0,139,3,"0139261",557,4741,96,51,0,2,"0","0",10,10,0,3,1,1,5,65,25,25,5,6,3,3,21,21,5,3,3,3,0,NA,0,NA,0,NA,25,1,2,27,21,1,2,26,NA,NA,NA,NA,25,21,35,15,71,37,NA,2,1,"W",20,1,NA,NA,NA,1,2,0,NA,0,NA,0,NA,NA,"P404",391,NA,"03,00",NA,557000,4741000,1,"IFN2","1_1101",28.5375,8019.64074357495,2891.31479950277,14.9613791666667,357.214427828476,0,22.4504950495049,8.09405940594059,23.0927885104445,8.4375,36.0529217199559,29.5663600525624,314.495810715999,62.7078222073564,116.712408099753,-2.30276535644085,42.8186737225241,"1986_1996",4.57575757575758,14.0454545454545,9.31060606060606,853.309092413295,44.1886230673029
"2","1_152",1.152,43,21,44,12.0146304444444,8.86991777777778,1.80859861111111,860.992874362022,100.161510852499,77.809083289371,149,1,152,0,960610,0,26,4,2,0,NA,960610,0,86,3,"0086233",489,4766,96,10,0,2,"0","0",6,6,0,5,1,1,8,70,43,21,0,5,3,4,0,43,0,4,0,3,0,NA,0,NA,0,NA,21,1,2,36,43,3,6,NA,NA,NA,NA,NA,21,43,44,15,65,NA,NA,3,2,"W",20,1,NA,NA,NA,1,2,0,NA,0,NA,4,"P902","P702","P112",395,NA,"08,00",NA,489000,4766000,1,"IFN2","1_152",34.9180107526882,14865.6375690251,7303.0898220101,22.6931468333333,1038.96346850389,0,14.3081427015251,7.02920751633987,16.6763991804041,11.5725806451613,49.1273232520294,33.1421532776473,542.47624652522,26.8083228730781,49.8959110601289,-3.13504972183379,43.0458398271891,"1986_1996",7.57575757575758,17.1212121212121,12.3484848484848,914.027274912054,40.8988475553868
"3","1_189",1.189,21,25,35,26.7231256666667,9.197942,3.28788055555556,243.896108347047,40.7436654315252,42.4413181578388,186,1,189,0,960701,0,39,4,1,1,NA,960701,0,86,3,"0086393",510,4763,96,63,0,2,"0","2",7,7,0,4,1,1,8,85,25,21,4,5,4,4,21,25,6,3,4,4,0,NA,0,NA,0,NA,21,3,1,NA,25,1,2,63,NA,NA,NA,NA,21,25,35,43,15,34,41,2,2,"W",20,1,NA,NA,NA,1,3,0,NA,3,NA,0,NA,"P918","P714",245,NA,"05,25",NA,510000,4763000,1,"IFN2","1_189",48.25,14173.490405401,8198.24795748919,41.9768454444444,419.037281278395,0,33.823936529372,19.5644834571236,35.7135997242887,23.314606741573,57.8421244379233,48.3204284799441,742.774388414238,20.9529691667517,38.9978698383913,-2.87728133058528,43.0188394289272,"1986_1996",7.35606060606061,16.6287878787879,11.9924242424242,897.027274045077,40.7880124608854
"4","1_211",1.211,25,21,41,19.6462284722222,5.38119027777778,1.65690625,933.708999472453,233.427249868113,159.154943091895,208,1,211,0,960702,0,33,4,3,1,NA,960702,0,87,2,"0087519",529,4769,96,3,0,1,"0","0",6,6,0,4,1,1,8,60,21,25,5,5,4,4,25,21,5,3,4,4,0,NA,0,NA,0,NA,25,1,2,34,21,1,2,34,NA,NA,NA,NA,25,21,41,3,15,55,65,3,2,"W",20,1,NA,NA,NA,1,2,0,NA,0,NA,0,NA,NA,"M404",98,NA,"04,50",NA,529000,4769000,1,"IFN2","1_211",26.8560606060606,20261.1316109009,9922.42650765139,26.684325,1326.29119243246,0,15.2765333333333,7.48133333333333,16.0052966233057,12.0606060606061,48.972716323075,44.9083215796897,648.318558809166,22.7672944858073,42.3747097542015,-2.643806374183,43.0723793321017,"1986_1996",6.64393939393939,15.3560606060606,11,967.454544999383,46.0692640475897
"5","1_212",1.212,25,21,43,17.9791715277778,4.52114722222222,2.5038125,321.846662696944,88.4194128288307,77.809083289371,209,1,212,0,960716,0,27,4,0,1,NA,960716,0,87,2,"0087520",530,4769,96,3,0,1,"0","0",7,7,0,5,1,1,8,80,21,25,5,5,4,4,25,21,5,4,4,4,0,NA,0,NA,0,NA,25,1,2,40,21,1,2,36,NA,NA,NA,NA,25,21,43,71,NA,NA,NA,3,3,"W",20,1,NA,NA,NA,1,2,0,NA,3,NA,0,NA,NA,"P414",12,NA,"08,00",NA,530000,4769000,1,"IFN2","1_212",32.3375,12143.345319086,8010.79880229207,25.00413125,488.075158815146,0,24.8800724637681,16.4130434782609,25.5398058877237,18.875,65.9686321338595,58.3687669114805,505.099833936179,23.9811324405586,44.6339167519097,-2.63152407984984,43.0723404433057,"1986_1996",6.64393939393939,15.3560606060606,11,967.454544999383,46.0692640475897
"6","1_285",1.285,21,25,NA,12.8325138888889,5.50759166666667,NA,173.302049144508,70.7355302630646,NA,282,1,285,0,960612,0,16,4,0,1,NA,960612,0,87,3,"0087473",516,4762,96,63,0,2,"0","2",12,12,0,3,1,1,8,65,25,21,0,7,4,4,0,25,0,3,0,4,0,NA,0,NA,0,NA,21,1,2,38,25,1,2,33,NA,NA,NA,NA,21,25,NA,NA,NA,NA,NA,2,4,"W",20,1,NA,NA,NA,1,2,0,NA,3,NA,0,NA,NA,"01",120,NA,"03,00",NA,516000,4762000,1,"IFN2","1_285",35.50625,7411.31518331259,3179.56208532475,18.3401055555556,244.037579407573,0,30.3695652173913,13.0289855072464,30.9333973637518,14.4375,42.9014554998807,40.6618553071642,343.478316437106,44.3383623680867,82.5229909287423,-2.80367915739428,43.0097320560768,"1986_1996",5.03030303030303,14.0075757575758,9.51893939393939,957.645453756506,49.0623713936964
"7","1_315",1.315,71,21,NA,6.32975211111111,3.82406111111111,NA,48.6660448209884,155.618166578742,NA,312,1,315,0,960620,0,12,4,6,2,NA,960620,0,110,3,"0110849",481,4750,96,55,0,2,"0","0",10,10,0,5,1,1,8,30,71,71,7,6,4,4,21,21,3,4,3,3,0,NA,0,NA,0,NA,71,3,6,NA,21,3,1,NA,NA,NA,NA,NA,71,21,37,44,45,65,78,2,1,"W",20,1,NA,NA,NA,1,2,0,NA,0,NA,0,NA,"P906","P204",81,NA,"09,00",NA,481000,4750000,1,"IFN2","1_315",29.0996098829649,4489.95193055408,1520.46022300457,10.1538132222222,204.284211399731,0,21.9789473684211,7.44286703601108,25.1566173150693,9.00195058517555,33.8636191772535,30.9349528099528,206.342144100645,77.7223590891453,144.657610058474,-3.23272319056271,42.9016052742859,"1986_1996",5.41666666666667,15.1515151515152,10.2840909090909,814.172727671537,40.1384874146192
"8","1_329",1.329,21,71,15,8.42473155555556,7.06621822222222,1.44,53.7590029999291,43.5730866420478,127.323954473516,326,1,329,0,960704,0,14,4,5,3,NA,960704,0,110,3,"0110917",481,4747,96,55,0,6,"0","2",9,9,0,5,1,1,8,85,21,21,0,4,4,4,0,71,0,3,0,4,0,74,0,1,0,3,21,3,1,NA,71,3,6,NA,74,3,6,NA,21,71,74,15,37,76,95,2,2,"W",20,1,NA,NA,NA,1,2,0,NA,0,NA,0,NA,NA,"P906",200,NA,"07,75",NA,481000,4747000,1,"IFN2","1_329",26.0453400503778,7181.77838760895,2994.37646709605,18.0229747777778,351.979998589009,0,20.4039389067524,8.5072347266881,25.533438529093,9.92821158690176,41.69408056732,38.1189555125725,364.11175881825,53.6871046747446,99.9229609628808,-3.23262165791995,42.8745905217436,"1986_1996",5.49242424242424,15.5227272727273,10.5075757575758,783.463635834781,38.203620218024
"9","1_342",1.342,71,21,44,19.0256045,9.82739358333333,2.12475,589.792851333433,150.100795218223,77.809083289371,339,1,342,0,960612,0,36,4,3,0,NA,960612,0,110,3,"0110041",481,4744,96,55,0,2,"0","2",9,9,0,5,1,1,8,95,71,71,8,7,4,4,21,21,2,2,4,4,0,91,0,1,NA,2,71,3,6,NA,21,3,1,NA,91,3,6,NA,71,21,91,44,45,14,65,2,3,"W",20,1,NA,NA,NA,1,3,0,NA,0,NA,0,NA,NA,"01",283,NA,"09,50",NA,481000,4744000,1,"IFN2","1_342",37.8902564102564,16150.4282258523,11328.5781137508,32.0420841944444,831.84983589364,0,19.4150765306122,13.618537414966,22.1458814274953,16.3487179487179,70.1441346032981,43.1475516335977,684.772701263559,21.2077126808322,39.4720009424474,-3.23252026531369,42.8475756405168,"1986_1996",5.49242424242424,15.5227272727273,10.5075757575758,783.463635834781,38.203620218024
"10","1_472",1.472,21,71,NA,10.2283451388889,2.846475,NA,244.037579407573,413.802852038928,NA,469,1,472,0,960617,0,15,4,3,4,NA,960617,0,111,3,"0111834",500,4749,96,20,0,2,"0","0",10,10,0,5,1,1,8,80,21,71,4,6,4,3,71,21,6,3,4,4,0,NA,0,NA,0,NA,71,3,6,NA,21,3,1,NA,NA,NA,NA,NA,71,21,37,78,15,41,44,2,2,"W",20,1,NA,NA,NA,1,2,0,NA,0,NA,0,NA,NA,"M913",50,NA,"16,00",NA,5e+05,4749000,1,"IFN2","1_472",28.0348484848485,9141.68309237281,4719.82825680299,13.0748201388889,657.840431446501,0,13.8965053763441,7.1747311827957,15.9078922219833,12.4848484848485,51.629751426637,44.533318921256,318.430849352573,31.2288824400903,58.1234994861525,-2.99999999999999,42.8928368379729,"1986_1996",5.61363636363636,15.3409090909091,10.4772727272727,819.000002210791,39.9955605963094
