"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","CoorX","CoorY","Origen","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","YEAR","INE","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","FechaPh","HoraPh","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","Equipo","JefeEq","FechaIni","HoraIni","FechaFin","HoraFin","Tiempo","Resid","RumboF1","RumboF2","DistFoto","CarFoto1","NumFoto1","ConFoto1","CarFoto2","NumFoto2","ConFoto2","Estado","Tecnico","PlotID","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"1","1_1000_A_3C",1.1,25,21,41,20.9875423611111,11.7220444444444,0.81,463.317723223073,321.846662696944,31.8309886183791,10978,534000,4739000,1,1,1000,"A","3C",0,1986,"06","0017",1997,"","2-2 ",2005,NA,1,1,2,100,80,1,2,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,360,NA,4.8,NA,2,"1",2,"[CLAESP. RESTO DE ESPECIES=10%]
01,PARCELA MAL UBICADA EN IFN2, SE PINCHO EN UN PINAR Y TENIA QUE ESTAR EN UNA MASA DE ROBLES, EL CRUCE DE COORDENADAS QUEDA EN LA TESELA DE ROBLES, POR LO QUE LA PARCELA SE CLASIFICA A3C.
01,A 12.1MTS. Y 398G., UN P.SILVESTRE NO ENTRA POR POCOS MM. DE DIAMETRO.
01,A 14.1MTS Y 82G., UN P.SILVESTRE NO ENTRA POR POCOS MM. DE DIAMETRO.
01,[PIESMAY 007-021] COMPROBADO DIAMETRO.
01,[PIESMAY 015-025] COMPROBADA SP. DE PINO.
01,[PIESMAY 026-041] COMPROBADA SP. DE ROBLE, DAÑOS POR DOMINANCIA.
01,[PIESMAY 032-025] ENTRA POR CORRECCION DE PENDIENTE.
01,[PIESMAY 033.025] DAÑOS POR INSECTOS EN RAMAS Y GUIAS.
01,[PIESMAY 036-025] DAÑOS EN GUIA TERMINAL, PARTIDA POR EL VIENTO.
01,EL PIE 1, DE IFN2, ES EL ULTIMO EN IFN3 POR DIFERENCIA EN RUMBO DE 18G.
01,[FISIOGRAFIA] SE CAMBIA LA ORIENTACION POR DIFERENCIA EN RUMBO.
01,SE HA REALIZADO UNA CLARA Y PODA EN LOS PINOS, EL DESRRAME ESTA RECOGIDO EN MONTONES. COMPROBADO LOS RUMBOS DE TODOS LOS PIES.
01,ABUNDANCIA DE VEGETACION HERBACEA Y HELECHOS.
01,PIE 21 DE IFN3, CORRESPONDE AL 22 DE IFN2.",9,9900000000000036,"06/16/05 00:00:00","12/30/99 08:56:39","06/16/05 00:00:00","12/30/99 11:17:41",NA,1051,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",9900000010051276,"1.1000.A.3C","IFN3","1_1000",31.03125,18318.2034334002,10060.3607916644,33.5195868055556,816.995374538396,0,22.4214285714286,12.3138528138528,22.8557032487664,14.5625,54.9200189212932,46.9284994964753,707.476793266805,24.0244947387039,44.7146230826214,-3.01230248526169,43.1719838309891,"1997_2007",8.48484848484848,17.8712121212121,13.1780303030303,1075.87272921476,46.4177807669056
"2","1_1220_A_3C",1.122,25,21,NA,39.2637638888889,7.64330208333333,NA,986.760647169751,194.522708223428,NA,12546,549991,4732001,1,1,1220,"A","3C",0,1991,"d","0006",1997,""," 3-2",2005,NA,1,1,2,100,80,1,2,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,233,NA,2.2,NA,2,"1",2,"[CLAESP. RESTO DE ESPECIES=0%]
01,LA EDAD SE HA ESTIMADO SUMANDO 10 AÑOS A LA EDAD IFN2.
01,[PIESMAY 002 TIENE DAÑOS POR PERFORADORES.
01,[PIESMAY 004 DM COMPROADO.
01,[PIESMAY 009 TRIFURCADO ENCIMA 1.3M.
01,[PIESMAY DM 223,222 A 13.7M Y 50G NO ENTRA.
01,[PIESMAY A 113G Y 10.1M NO ENTRA.
01,[PIESMAY 024 DM COMPROBADO.
01,[PIESMAY 026 IFN2 MUERTO POR PERFORADORES.
01,[PIESMAY 046 DISTANCIA COMPROBADA.
01,[PIESMAY 050 ATACADO POR PERFORADORES.
01,LOS PIES MUERTOS LO SON A CAUSA DE PERFORADORES.
01,LOS PIES DE POCO DIAMETRO DE MALA CALIDAD ESTAN DOMINADOS.
01,REGENERACION:
01,048 1 1 1,043 1 1 1.
01,MATORRAL:
01,0121 20 10,0144 15 10.
01,[SIN AJUSTES EN GPS.",15,9900000010051012,"10/11/05 00:00:00","12/30/99 10:53:13","10/11/05 00:00:00","12/30/99 12:18:59",NA,1051,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",9900000010051276,"1.1220.A.3C","IFN3","1_1220",31.34375,25898.2228563902,19047.3099115867,46.9070659722222,1181.28335539318,0,21.9238023952096,16.124251497006,22.4852205285065,17.8125,73.5467835658343,56.8295114656032,996.449511733995,16.3342079514646,30.4013865784343,-2.38918266113762,42.7381212058959,"1997_2007",5.76515151515152,15.7045454545455,10.7348484848485,758.554541457783,36.5835584480918
"3","1_152_A_1",1.152,43,21,44,14.3782939166667,11.7767506666667,2.02744027777778,1048.44202955914,119.401575084053,77.809083289371,7219,489019,4766054,1,1,152,"A","1",0,1992,"02","2033",2002,"","3-1 ",2005,NA,1,1,1,100,80,1,2,1,3,1,4,"","",1,2,1,1,8,3,NA,NA,"0","0","",0,NA,375,NA,8.5,NA,2,"2",2,"PARCELA LOCALIZADA MEDIANTE FOTOGRAFIA AEREA Y PIES.
01,CLAESP. RESTO DE ESPECIES=10%
01,ALTURAS COMPROBADAS EN GENERAL. 
01,PIES 1 Y 21, COMPROBADAS FORMAS. 
01,PIE 9, DIAMETRO COMPROBADO.
01,PIES 24, COMPROBADO DIAMETRO. 
01,PIE 14, ENTRA POR CORRECCION DE PENDIENTE. 
01,PIE 27, COMPROBADO RUMBO. 
01,A 104 Y A 205 GRADOS, HAY  DOS REBOLLOS QUE NO ENTRAN POR DIAMETRO. LE HE BAJADO LA CALIDAD A ALGUNOS PIES AL PRESENTAR HIEDRA EN LOS FUSTES.
01,A MAS DE 10 METROS, HAY ROSAL.",10,9900000010051020,"09/21/05 00:00:00","12/30/99 10:04:34","09/21/05 00:00:00","12/30/99 12:26:18",NA,1002,230,175,9,473957,8,32,473957,9,31,"T",9900000010051024,"1.152.A.1","IFN3","1_152",37.6861538461538,17995.6777096127,8266.36627313252,28.1824848611111,1245.65268793257,0,14.4467859170926,6.63617262918796,16.9725155702204,12.6846153846154,45.935287386909,33.6585564990202,669.030522926052,22.3369674793276,41.5737809477356,-3.13504972183379,43.0458398271891,"1997_2007",7.81818181818182,17.6590909090909,12.7386363636364,954.954550439661,41.9970017184858
"4","1_189_A_1",1.189,21,25,35,27.2265712222222,12.503387,4.21694722222222,212.772475031298,45.8366236104659,42.4413181578388,8659,510000,4763000,1,1,189,"A","1",0,1992,"3","2093",2002,"","4-4 ",2005,NA,1,1,2,100,90,1,2,2,2,2,4,"","",1,2,1,1,9,2,NA,NA,"0","2","",0,NA,245,NA,5.2,NA,2,"1",2,"REJON  ENCONTRADO POR PIES DEL IFN2. 
01,LA PARCELA ES UNA ANTIGUA REPOBLACION CERCANA A UN REBOLLAR. 
01,NO ME COINCIDEN LAS PROPORCIONES DE LAS ESPECIES CON LAS TESELADAS. DEJO UN 10% DE OCUPACION AL ALERCE (035). 
01,PIE 23 PERIMETRO A CINTA. 
01,PIE 36 PERIMETRO A CINTA. 
01,PIES 23, 26 Y 36 FORMA COMPROBADA. 
01,TODOS LOS PIES TIENEN LA ALTURA COMPROBADA.
01,PARA MODELO DE COMBUSTIBLE HAY MUCHO HELECHO.
01,
01,
01,",22,9900000010051006,"07/05/05 00:00:00","12/30/99 10:03:01","07/05/05 00:00:00","12/30/99 12:47:46",NA,1002,70,270,13,222025,10,30,222025,11,29,"T",9900000010051024,"1.189.A.1","IFN3","1_189",53.1125,13564.4150485179,7543.51988937426,46.3387526666667,329.344628904829,0,41.1860824742268,22.9046391752577,42.325484329318,24.63,55.6125705560631,46.3732642974818,766.748578004555,22.3722825487702,41.6395096981813,-2.87728133058528,43.0188394289272,"1997_2007",7.59848484848485,17.1060606060606,12.3522727272727,939.872726310383,42.0481951780954
"5","1_204_A_1",1.204,71,21,54,7.03926355555556,5.99419866666667,1.506125,76.9602569262143,52.6272345157201,19.2400642315536,10625,530000,4770000,1,1,204,"A","1",0,1995,"15","9691",2002,"","4-1 ",2005,NA,1,1,1,100,50,1,2,1,3,2,4,"","",1,2,1,1,5,1,NA,NA,"4","0",NA,0,NA,245,NA,3.5,NA,1,"1",1,"PARCELA ENCONTRADA POR PIES DEL IFN2.
01,MASA MIXTA DE HAYA, PINO SILVESTRE Y ALISO.
01,LA FCC ARB NO ES REPRESENTATIVA DE LOS ALREDEDORES PUES LA PARCELA CAE EN UN CLARO.
01,[RIESGOS]EL MODELO DE COMBUSTIBLE NO ES APLICABLE A LOS ALREDEDORES.",20,9900000010051004,"06/10/05 00:00:00","12/30/99 08:45:55","06/10/05 00:00:00","12/30/99 10:11:40",NA,1058,362,225,10,224368,0,40,224368,1,39,"T",9900000010051276,"1.204.A.1","IFN3","1_204",37.6877659574468,5513.29699397589,2853.18834869097,15.2763233333333,162.974661726101,0,33.8291666666667,17.5069444444444,34.5465303672694,17.4441489361702,51.7510366629716,46.2859723653197,273.883263646967,44.9045315244919,83.5767504647912,-2.98775136180648,42.9018411599878,"1997_2007",5.8030303030303,15.9242424242424,10.8636363636364,857.990909489718,41.1237472958035
"6","1_212_A_1",1.212,25,21,42,26.022499,6.70296736111111,2.08725833333333,330.476397389038,130.860730986669,42.4413181578388,10624,530000,4769000,1,1,212,"A","1",0,1995,"05","9691",2002,"","4-1 ",2005,NA,1,1,2,100,90,1,2,1,2,2,4,"","",1,2,1,1,7,3,NA,NA,"0","0","",0,NA,33,NA,7.5,NA,2,"1",2,"PARCELA ENCONTRADA POR PIES DEL IFN2.PINAR DE LARICIO Y SILVESTRE CON ROBLES Y HAYA COMO ESPECIES ACOMPAÑANTES.
01,[CLAESP. RESTO DE ESPECIES=20%].
01,PIE 4 ENTRA POR PENDIENTE.
01,[PIESMAY 006-]ENTRA POR PENDIENTE.
01,[PIESMAY 014-025]ENTRA POR PENDIENTE MUY JUSTO.
01,PIE, 19, DIAMETRO COMPROBADO.
01,[PIESMAY 022-042]ESPECIE COMP.
01,[PIESMAY 029-025]ENTRA POR PENDIENTE.
01,[PIESMAY 037-025]RUMBO COMP.",20,9900000010051004,"06/13/05 00:00:00","12/30/99 08:43:08","06/13/05 00:00:00","12/30/99 10:23:36",NA,1058,59,160,10,224368,4,36,224368,5,35,"T",9900000010051276,"1.212.A.1","IFN3","1_212",37.7410326086957,15569.0529026201,10372.0215380034,36.4511274722222,549.756541204538,0,28.3199047864128,18.8665723108595,29.0552983719717,21.7092391304348,66.6194764888872,57.5215822935192,699.766844819268,19.6458215458698,36.5649939832783,-2.74322781316923,42.7934932699389,"1997_2007",6.35606060606061,16.5757575757576,11.4659090909091,783.827270421115,36.5149813642446
"7","1_218_A_1",1.218,25,21,215,21.6705417777778,9.95928666666667,5.880925,181.082957473445,86.0144047998865,636.619772367581,10532,529000,4768000,1,1,218,"A","1",0,1995,"00","9652",2002,"","4-1 ",2005,NA,1,1,2,100,80,1,3,1,3,2,4,"","",1,2,1,1,7,1,NA,NA,"0","0","",0,NA,142,NA,0.8,NA,2,"2",2,"PARCELA ENCONTRADA POR PIES DEL IFN2.
01,PINAR DE LARICIO Y SILVESTRE CON SUBPISO DE MAJUELO Y SAUCE.20% DE LA OCUPACION PARA EL SUBPISO.
01,[PIESMAY 999-025] SE VA POR DISTANCIA LATERAL.
01,[PIESMAY 009-215] HT COMPROBADA.
01,ALTURAS COMPROBADAS DE TODOS LOS PIES.
01,[PIESMAY 015-057] FORMA Y HT COMPROBADA.
01,CON RUMBO 203 NO ENTRA 021 POR DISTANCIA.
01,CON RUMBO 210 NO ENTRA 057 POR DISTANCIA.",20,9900000010051004,"07/04/05 00:00:00","12/30/99 09:34:26","07/04/05 00:00:00","12/30/99 11:20:23",NA,1058,190,40,10,226726,12,28,226726,13,27,"T",9900000010051276,"1.218.A.1","IFN3","1_218",42.7149746192893,18974.5442716051,10119.424959434,40.4329346944444,995.673323982897,0,19.0569977266269,10.1633986928105,22.7386279422533,20.2157360406091,53.3315836975198,47.3270468279292,855.125363573209,15.6766046457138,29.1774489150476,-2.6438585080462,43.0633747996118,"1997_2007",6.86363636363636,15.8333333333333,11.3484848484848,1014.2636384964,47.5098652524928
"8","1_283_A_1",1.283,21,25,43,29.17346275,9.12322847222222,0.953877777777778,344.482032381125,307.699556644331,14.1471060526129,9095,514000,4762000,1,1,283,"A","1",0,1992,"4","2275",2002,"","3-3 ",2005,NA,1,1,2,95,75,1,2,3,2,2,4,"","",1,2,1,1,8,2,NA,NA,"0","0","",0,NA,310,NA,7.5,NA,1,"1",2,"REJON ENCONTRADO  POR PIES DEL IFN2. 
01,DEJO UN 10% DE OCUPACION AL RESTO DE ESPECIES. 
01,EL PIE 1 LO DARIA COMO ULTIMO A 396G. 
01,PIE 7 ALTURA  Y FORMAS COMPROBADAS. 
01,PIE 9 ENTRA POR PENDIENTE Y ESPECIE COMPROBADA. 
01,PIE 12, 31, 33, 34 Y 35  ESPECIE COMPROBADA. 
01,PIE 20 Y 33 ALTURA COMPROBADA. 
01,PIE 21 Ø COMPROBADO. 
01,A 13M Y 220G NO 043 POR Ø. 
01,PIES 26 Y 27 ESPECIE COMPROBADA. 
01,PIE 28 POR PENDIENTE. 
01,FUERA DE 25 M.  HAY ABEDUL.",22,9900000010051006,"07/28/05 00:00:00","12/30/99 12:59:50","07/28/05 00:00:00","12/30/99 16:08:59",NA,1002,110,310,10,224369,14,26,224369,15,25,"T",9900000010051024,"1.283.A.1","IFN3","1_283",42.3702631578947,16592.6313932918,8252.84163974622,39.250569,666.328695078068,0,24.9015711252654,12.3855414012739,27.3863263803575,17.5110526315789,49.7379917876241,41.3286378853093,771.32342083525,22.1229729582147,41.1754922653979,-2.82821914713017,43.0097715182553,"1997_2007",5.21212121212121,14.4848484848485,9.84848484848485,1000.04545649615,50.3839695639283
"9","1_285_A_1",1.285,21,25,NA,18.0537792222222,6.23853788888889,NA,153.920513852429,52.6272345157201,NA,9307,516000,4762000,1,1,285,"A","1",0,1992,"4","2273",2002,"","3-3 ",2005,NA,1,1,2,100,70,1,2,2,1,2,4,"","",1,2,1,1,7,2,NA,NA,"0","3","",0,NA,290,NA,3.5,NA,3,"2",2,"REJON ENCONTRADO POR PIES DEL IFN2. 
01,NO ME COINCIDEN LAS PROPORCIONES DE LAS OCUPACIONES CON LAS TESELADAS. 
01,EL CALCULO DE LA EDAD POR ESTIMACION CON TALADRO EN EL IFN2. 
01,PIE 17 ESPECIE COMPROBADA. 
01,A 359 G. Y 18 M. NO 021 POR Ø. 
01,PARCELA SIN REGENERACION. 
01,PENDIENTE DISTINTA AL IFN2.",22,9900000010051006,"07/18/05 00:00:00","12/30/99 14:13:26","07/18/05 00:00:00","12/30/99 16:16:13",NA,1002,280,80,12,222025,38,2,222025,39,1,"T",9900000010051024,"1.285.A.1","IFN3","1_285",43.3260526315789,7891.65187511696,3295.42688389565,24.2923171111111,206.547748368149,0,38.207397260274,15.9547945205479,38.6971782270972,16.5973684210526,41.7583914755086,38.3080558069473,416.439603087725,41.92282431688,78.0271680331443,-2.80367915739428,43.0097320560768,"1997_2007",5.21212121212121,14.4848484848485,9.84848484848485,1000.04545649615,50.3839695639283
"10","1_315_A_3C",1.315,71,21,NA,7.18324388888889,6.79454027777778,NA,48.6660448209884,187.449155197121,NA,6860,481000,4750000,1,1,315,"A","3C",0,1992,"8","2149",2002,"","4-2 ",2005,NA,1,1,1,90,40,1,2,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,81,NA,9,NA,2,"2",1,"PARCELA CLASIFICADA EN CAMPO  DESPUES DE CONSULTAR CON OFICINA COMO A3C POR TOCAR DOS TESELAS.
01,ENCONTRADA POR FOTO AEREA Y PIES DEL IFN2.
01,NO DOY OCUPACION AL RESTO DE ESPECIES. 
01,PIES 1 Y 10  ENTRAN POR CORRECCION DE PENDIENTE.
01,[PIESMAY 006-071]ALTURA COMPROBADA.
01,CON RUMBO 316G NO ENTRA POR DISTANCIA.
01,CON RUMBO 318G NO ENTRA 071 POR Ø. 
01,DE REGENERACION  Y MATORRAL HAY LO MISMO DEL IFN2.
01,HAY ROSA Y COTONEASTER FUERA DE 10M.
01,
01,",2,9900000006020480,"07/13/05 00:00:00","12/30/99 10:24:05","07/13/05 00:00:00","12/30/99 11:31:08",NA,1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",9900000010051024,"1.315.A.3C","IFN3","1_315",33.0681404421326,5886.1722682046,1882.5554024212,13.9777841666667,236.11520001811,0,24.9292390653086,7.97303774715398,27.4544186217337,9.98959687906372,31.9826759503832,30.209128017177,274.411871398788,65.1463463736425,121.25101297612,-3.23272319056271,42.9016052742859,"1997_2007",5.62878787878788,15.6818181818182,10.655303030303,854.29999889027,41.3598385672164
