"","Scenario_file_name","Trees_sheet","Scenario_age","Minimum_age","Maximum_age","Action","Time","Harvest_type","Harvest_criteria","Harvest_severity","Inventory_ID","Plot_ID","ID_sp1","ID_sp2","Year","T","Proportion_sp1","Proportion_sp2","N","N_sp1","N_sp2","N_harvested_volume","Dead_N","G","G_sp1","G_sp2","g_max","g_max_sp1","g_max_sp2","g_min","g_min_sp1","g_min_sp2","g_mean","g_mean_sp1","g_mean_sp2","G_harvested_volume","Dead_G","dbh_max","dbh_max_sp1","dbh_max_sp2","dbh_min","dbh_min_sp1","dbh_min_sp2","dbh_mean","dbh_mean_sp1","dbh_mean_sp2","dg","dg_sp1","dg_sp2","Do","Do_sp1","Do_sp2","Dominant_section","Dominant_section_sp1","Dominant_section_sp2","h_max","h_max_sp1","h_max_sp2","h_min","h_min_sp1","h_min_sp2","h_mean","h_mean_sp1","h_mean_sp2","Ho","Ho_sp1","Ho_sp2","Slenderness","Dominant_Slenderness","SDI","SDI_sp1","SDI_sp2","SDImax_sp1","SDImax_sp2","HartBecking__Simple_rows","HartBecking__Staggered_rows","V","V_harvested","Dead_V","V_sp1","V_sp2","V_unwinding","V_veneer","V_saw_big","V_saw_small","V_saw_canter","V_post","V_stake","V_chips","V_saw_big_sp1","V_saw_small_sp1","V_saw_canter_sp1","V_chips_sp1","V_unwinding_sp2","V_veneer_sp2","V_saw_big_sp2","V_saw_small_sp2","V_saw_canter_sp2","V_post_sp2","V_stake_sp2","V_chips_sp2","WSW","WTHICKB","WB2_7","WTHINB","WTBL","WR","WT","Dead_WT","WSW_sp1","WTHICKB_sp1","WB2_7_sp1","WTHINB_sp1","WR_sp1","WT_sp1","WSW_sp2","WTHICKB_sp2","WB2_7_sp2","WTBL_sp2","WR_sp2","WT_sp2","File_name"
"1","CS_IFN2_PsylFsyl.json","Initial inventory",0,"0","0","Initial load",0,"-","-","-","IFN2","1_315",71,21,96,0,NA,NA,204.28,NA,NA,NA,NA,10.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.98,NA,NA,25.16,NA,NA,29.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.44,NA,NA,9,NA,NA,NA,NA,206.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS_IFN2_PsylFsyl__Output_Plot_1_315.xlsx"
"2","CS_IFN2_PsylFsyl.json","Node 1 - Inventoried trees",0,"-","-","Initialization",0,"-","-","-","IFN2","1_315",71,21,96,0,0.66,0.34,204.28,48.67,155.62,NA,0,10.15,6.33,3.82,3186.9,3186.9,801.74,128.68,463.77,128.68,497.04,1300.65,245.73,NA,NA,63.7,63.7,31.95,12.8,24.3,12.8,21.98,38.53,16.8,25.16,40.69,17.69,30.23,38.53,18.94,851.9,1300.65,308.89,13.5,13.5,8.5,5.5,8.5,5.5,7.44,11.08,6.31,9.22,11.08,6.6,33.86,30.5,206.34,130.17,85.88,879.1,1151.29,75.87,81.53,52.47,NA,NA,40.6,11.88,0,0,12.32,27.13,9.72,0,5.31,47.03,12.32,27.13,5.85,36.57,0,0,0,0,3.86,0,5.31,10.46,28.11,10.88,8.72,5.33,5.11,14.87,73.03,NA,22.86,10.88,6.38,5.33,8.54,54.01,5.24,0,2.34,5.11,6.33,19.02,"CS_IFN2_PsylFsyl__Output_Plot_1_315.xlsx"
"3","CS_IFN2_PsylFsyl.json","Node 2 - Inventoried trees",5,"-","-","Execution",5,"-","-","-","IFN2","1_315",71,21,101,5,0.66,0.34,204.28,48.67,155.62,NA,0,11.1,6.77,4.33,3321.7,3321.7,883.08,148.64,513.81,148.64,543.18,1390.59,278.18,NA,NA,65.03,65.03,33.53,13.76,25.58,13.76,23.18,39.98,17.93,26.3,42.08,18.82,31.63,39.98,20.16,921.62,1390.59,348.06,10.57,10.57,9.44,6.96,8.83,6.96,8.13,9.63,7.66,9.03,9.63,8.02,35.05,28.55,221.58,139.26,95.54,879.1,1151.29,77.46,83.24,53.69,NA,0,37.92,15.77,0,0,14.69,26.88,8.43,0,6.92,48.23,14.69,24.57,4.27,34.03,0,0,0,2.31,4.16,0,6.92,14.2,28.46,13.37,9.21,6.07,4.78,16.3,78.19,NA,21.51,13.37,6.82,6.07,9.13,56.91,6.95,0,2.38,4.78,7.17,21.28,"CS_IFN2_PsylFsyl__Output_Plot_1_315.xlsx"
"4","CS_IFN2_PsylFsyl.json","Node 3 - Inventoried trees",10,"-","-","Execution",5,"-","-","-","IFN2","1_315",71,21,106,10,0.65,0.35,204.28,48.67,155.62,NA,0,12.04,7.17,4.87,3435.43,3435.43,966.09,170.63,565.98,170.63,589.48,1473.31,313.08,NA,NA,66.14,66.14,35.07,14.74,26.84,14.74,24.37,41.29,19.08,27.4,43.31,19.97,32.96,41.29,21.39,989.06,1473.31,389.86,10.26,10.26,9.24,6.98,8.67,6.98,8.04,9.4,7.61,8.86,9.4,7.95,32.99,26.9,236.61,147.63,105.75,879.1,1151.29,78.93,84.82,56.71,NA,0,39.34,17.38,0,0,15.28,28.25,9.18,0,6.87,50.82,15.28,25.76,5.05,35.16,0,0,0,2.49,4.13,0,6.87,15.66,30.06,14.87,10.05,6.48,5.51,17.74,84.71,NA,22.34,14.87,7.23,6.48,9.68,60.6,7.72,0,2.82,5.51,8.06,24.12,"CS_IFN2_PsylFsyl__Output_Plot_1_315.xlsx"
"5","CS_IFN2_PsylFsyl.json","Node 4 - Inventoried trees",15,"-","-","Execution",5,"-","-","-","IFN2","1_315",71,21,111,15,0.64,0.36,204.28,48.67,155.62,NA,0,13,7.56,5.44,3542.69,3542.69,1048.74,194.31,618.98,194.31,636.5,1553.91,349.6,NA,NA,67.16,67.16,36.54,15.73,28.07,15.73,25.53,42.53,20.22,28.47,44.48,21.1,34.23,42.53,22.61,1056.11,1553.91,433.21,9.99,9.99,9.06,6.99,8.53,6.99,7.96,9.2,7.57,8.71,9.2,7.88,31.18,25.46,251.64,155.79,116.26,879.1,1151.29,80.28,86.27,59.75,NA,0,40.71,19.03,0,0,15.84,28.62,7.74,0,6.25,52.99,15.84,25.96,4.6,35.83,0,0,0,2.67,3.14,0,6.25,17.15,31.67,16.37,10.92,6.89,6.29,19.21,91.36,NA,23.15,16.37,7.63,6.89,10.21,64.24,8.52,0,3.3,6.29,9,27.11,"CS_IFN2_PsylFsyl__Output_Plot_1_315.xlsx"
"6","CS_IFN2_PsylFsyl.json","Node 5 - Inventoried trees",20,"-","-","Execution",5,"-","-","-","IFN2","1_315",71,21,116,20,0.63,0.37,204.28,48.67,155.62,NA,0,13.97,7.94,6.03,3644,3644,1130.62,219.59,672.49,219.59,684.07,1632.32,387.52,NA,NA,68.12,68.12,37.94,16.72,29.26,16.72,26.67,43.7,21.34,29.51,45.59,22.21,35.46,43.7,23.8,1122.54,1632.32,477.86,9.76,9.76,8.9,6.99,8.41,6.99,7.89,9.02,7.54,8.58,9.02,7.82,29.58,24.2,266.62,163.73,127.02,879.1,1151.29,81.53,87.61,62.78,NA,0,42.05,20.73,0,0,16.37,29.69,9.57,0,6.34,55.93,16.37,26.85,4.39,37.24,0,0,0,2.84,5.18,0,6.34,18.69,33.29,17.89,11.83,7.28,7.11,20.7,98.1,NA,23.94,17.89,8.01,7.28,10.72,67.84,9.35,0,3.81,7.11,9.98,30.26,"CS_IFN2_PsylFsyl__Output_Plot_1_315.xlsx"
"7","CS_IFN2_PsylFsyl.json","Initial inventory",0,"0","0","Initial load",0,"-","-","-","IFN2","1_329",21,71,96,0,NA,NA,351.98,NA,NA,NA,NA,18.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4,NA,NA,25.53,NA,NA,26.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.51,NA,NA,9.93,NA,NA,NA,NA,364.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS_IFN2_PsylFsyl__Output_Plot_1_329.xlsx"
"8","CS_IFN2_PsylFsyl.json","Node 1 - Inventoried trees",0,"-","-","Initialization",0,"-","-","-","IFN2","1_329",21,71,96,0,0.66,0.34,351.98,53.76,43.57,NA,0,18.02,8.42,7.07,3122.2,2578.69,3122.2,85.77,1101.52,1173.25,512.05,1567.13,1621.69,NA,NA,63.05,57.3,63.05,10.45,37.45,38.65,20.4,44.15,44.75,25.53,44.67,45.44,43.55,44.15,44.75,1552.11,1567.13,1621.69,19,19,19,4.5,13,18,8.51,15.79,18.56,16.69,15.79,18.56,41.69,38.33,364.11,174.17,121.74,862.29,1146.28,31.93,34.31,123.09,NA,NA,69.27,53.82,9.26,9.26,27.67,93.71,17.32,8.75,0.9,114.01,17.65,51.82,7.45,62.68,9.26,9.26,10.02,41.89,9.87,8.75,0.9,51.33,64.65,13.18,11.86,6.05,3.53,23.07,122.33,NA,38.87,11.6,8.5,6.05,11.37,76.38,25.78,1.58,3.36,3.53,11.7,45.95,"CS_IFN2_PsylFsyl__Output_Plot_1_329.xlsx"
"9","CS_IFN2_PsylFsyl.json","Node 2 - Inventoried trees",5,"-","-","Execution",5,"-","-","-","IFN2","1_329",21,71,101,5,0.66,0.34,351.98,53.76,43.57,NA,0,19.08,9,7.54,3247.92,2713.02,3247.92,85.77,1186.17,1273.35,542.01,1674.63,1731.14,NA,NA,64.31,58.77,64.31,10.45,38.86,40.27,20.83,45.67,46.3,26.27,46.18,46.95,45.05,45.67,46.3,1657.59,1674.63,1731.14,17.76,17.76,17.72,4.5,16.23,16.44,8.45,16.81,16.82,16.48,16.81,16.82,40.56,36.59,381.12,186.28,128.77,862.29,1146.28,32.33,34.74,128.91,NA,0,77,51.9,9.47,9.47,34.7,97.97,18.08,3.55,0.84,119.92,24.48,58.1,9.65,70.62,9.47,9.47,10.21,39.87,8.43,3.55,0.84,49.3,68.25,14.7,13.05,6.26,4.21,24.64,131.11,NA,43.16,12.7,9.08,6.26,12.15,83.35,25.09,1.99,3.97,4.21,12.49,47.76,"CS_IFN2_PsylFsyl__Output_Plot_1_329.xlsx"
"10","CS_IFN2_PsylFsyl.json","Node 3 - Inventoried trees",10,"-","-","Execution",5,"-","-","-","IFN2","1_329",21,71,106,10,0.66,0.34,351.98,53.76,43.57,NA,0,20.12,9.59,8,3365.67,2840.95,3365.67,85.77,1282.27,1369.95,571.59,1783.87,1835.27,NA,NA,65.46,60.14,65.46,10.45,40.41,41.76,21.24,47.18,47.73,26.98,47.66,48.34,46.48,47.18,47.73,1761.69,1783.87,1835.27,17.48,17.48,17.44,4.5,16.05,16.25,8.39,16.6,16.6,16.27,16.6,16.6,39.5,35.01,397.72,198.59,135.4,862.29,1146.28,32.75,35.19,135.23,NA,0,81.22,54,9.77,9.77,43.59,103.97,16.32,3.44,0.72,125.8,31.24,62.32,8.15,74.33,9.77,9.77,12.34,41.65,8.17,3.44,0.72,51.47,71.69,16.87,14.02,6.74,4.56,26.18,140.06,NA,45.46,14.48,9.67,6.74,12.94,89.29,26.23,2.39,4.35,4.56,13.24,50.77,"CS_IFN2_PsylFsyl__Output_Plot_1_329.xlsx"
