"","Scenario_file_name","Trees_sheet","Scenario_age","Minimum_age","Maximum_age","Action","Time","Harvest_type","Harvest_criteria","Harvest_severity","Inventory_ID","Plot_ID","ID_sp1","ID_sp2","Year","T","Proportion_sp1","Proportion_sp2","N","N_sp1","N_sp2","N_harvested_volume","Dead_N","G","G_sp1","G_sp2","g_max","g_max_sp1","g_max_sp2","g_min","g_min_sp1","g_min_sp2","g_mean","g_mean_sp1","g_mean_sp2","G_harvested_volume","Dead_G","dbh_max","dbh_max_sp1","dbh_max_sp2","dbh_min","dbh_min_sp1","dbh_min_sp2","dbh_mean","dbh_mean_sp1","dbh_mean_sp2","dg","dg_sp1","dg_sp2","Do","Do_sp1","Do_sp2","Dominant_section","Dominant_section_sp1","Dominant_section_sp2","h_max","h_max_sp1","h_max_sp2","h_min","h_min_sp1","h_min_sp2","h_mean","h_mean_sp1","h_mean_sp2","Ho","Ho_sp1","Ho_sp2","Slenderness","Dominant_Slenderness","SDI","SDI_sp1","SDI_sp2","SDImax_sp1","SDImax_sp2","HartBecking__Simple_rows","HartBecking__Staggered_rows","V","V_harvested","Dead_V","V_sp1","V_sp2","V_unwinding","V_veneer","V_saw_big","V_saw_small","V_saw_canter","V_post","V_stake","V_chips","V_saw_big_sp1","V_saw_small_sp1","V_saw_canter_sp1","V_post_sp1","V_stake_sp1","V_chips_sp1","V_unwinding_sp2","V_veneer_sp2","V_saw_big_sp2","V_saw_small_sp2","V_saw_canter_sp2","V_post_sp2","V_stake_sp2","V_chips_sp2","WSW","WTHICKB","WB2_7","WTBL","WR","WT","Dead_WT","WSW_sp1","WTHICKB_sp1","WB2_7_sp1","WTBL_sp1","WR_sp1","WT_sp1","WSW_sp2","WTHICKB_sp2","WB2_7_sp2","WTBL_sp2","WR_sp2","WT_sp2","File_name"
"1","CS_IFN2_PsylPnig.json","Initial inventory",0,"0","0","Initial load",0,"-","-","-","IFN2","1_1101",25,21,96,0,NA,NA,357.21,NA,NA,NA,NA,14.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.45,NA,NA,23.09,NA,NA,28.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.09,NA,NA,8.44,NA,NA,NA,NA,314.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS_IFN2_PsylPnig__Output_Plot_1_1101.xlsx"
"2","CS_IFN2_PsylPnig.json","Node 1 - Inventoried trees",0,"-","-","Initialization",0,"-","-","-","IFN2","1_1101",25,21,96,0,0.62,0.38,357.21,190.99,152.08,NA,0,14.96,8.59,5.64,819.4,819.4,704.5,124.69,124.69,203.58,418.83,450.03,370.55,NA,NA,32.3,32.3,29.95,12.6,12.6,16.1,22.45,23.18,21.23,23.09,23.94,21.72,28.92,27.58,23.39,661.25,604.67,443.42,11,8.5,11,6,6,8,8.09,7.73,8.42,8.3,8.28,8.64,36.05,28.69,314.5,176.09,119.49,1052.59,1161.85,63.77,68.52,54.87,NA,NA,33.52,21.35,0,0,0,4.86,22.89,0,12.48,49.93,0,4.86,15.43,0,5.45,30.6,0,0,0,0,7.45,0,7.03,19.33,28.21,0,8.87,13.9,18.09,69.07,NA,18.73,0,5.7,7.88,8.76,41.07,9.48,0,3.17,6.02,9.33,27.99,"CS_IFN2_PsylPnig__Output_Plot_1_1101.xlsx"
"3","CS_IFN2_PsylPnig.json","Node 2 - Inventoried trees",5,"-","-","Execution",5,"-","-","-","IFN2","1_1101",25,21,101,5,0.62,0.38,357.21,190.99,152.08,NA,0,16.79,9.74,6.32,908.74,908.74,774.11,147.44,147.44,233.46,470.13,509.99,415.74,NA,NA,34.02,34.02,31.39,13.7,13.7,17.24,23.83,24.73,22.53,24.47,25.48,23.01,30.52,29.25,24.74,736.24,679.37,494.84,9.5,8.81,8.51,5.86,5.86,6.79,7.68,7.67,7.52,8.45,8.32,7.81,32.22,27.69,345.05,197.93,131.89,1052.59,1161.85,62.61,67.28,59.32,NA,0,37.96,21.37,0,0,0,5.42,26.34,0,10.25,54.08,0,5.42,16.56,0,4.41,34.74,0,0,0,0,9.78,0,5.84,19.34,30.64,0.01,10.47,16.53,20.65,78.3,NA,21.02,0.01,6.46,8.93,10.19,46.61,9.62,0,4,7.6,10.47,31.69,"CS_IFN2_PsylPnig__Output_Plot_1_1101.xlsx"
"4","CS_IFN2_PsylPnig.json","Node 3 - Inventoried trees",10,"-","-","Execution",5,"-","-","-","IFN2","1_1101",25,21,106,10,0.63,0.37,357.21,190.99,152.08,NA,0,18.58,10.85,7,993.31,993.31,839.82,171.06,171.06,263.73,520.13,568.24,460.02,NA,NA,35.56,35.56,32.7,14.76,14.76,18.32,25.1,26.15,23.73,25.73,26.9,24.2,31.98,30.76,25.98,808.11,750.88,544.72,9.5,8.94,8.63,6.07,6.07,6.96,7.83,7.83,7.67,8.58,8.46,7.95,31.19,26.84,374.2,219,143.85,1052.59,1161.85,61.64,66.24,66.82,NA,0,42.93,23.89,0,0,0,5.93,29.96,0,10.16,61.11,0,5.93,17.43,0,4.45,39.51,0,0,0,0,12.52,0,5.71,21.6,34.45,0.05,11.72,18.27,23.19,87.68,NA,23.62,0.05,7.2,9.95,11.61,52.43,10.83,0,4.52,8.32,11.58,35.25,"CS_IFN2_PsylPnig__Output_Plot_1_1101.xlsx"
"5","CS_IFN2_PsylPnig.json","Node 4 - Inventoried trees",15,"-","-","Execution",5,"-","-","-","IFN2","1_1101",25,21,111,15,0.63,0.37,357.21,190.99,152.08,NA,0,20.31,11.93,7.65,1072.81,1072.81,902,195.38,195.38,293.96,568.6,624.57,503.14,NA,NA,36.96,36.96,33.89,15.77,15.77,19.35,26.28,27.46,24.85,26.91,28.2,25.31,33.31,32.14,27.14,876.34,819.02,592.94,9.5,9.05,8.74,6.27,6.27,7.1,7.96,7.98,7.8,8.7,8.59,8.07,30.3,26.12,401.94,239.23,155.34,1052.59,1161.85,60.81,65.35,74.18,NA,0,47.81,26.37,0,0,0,13.45,31.38,0,9.06,67.91,0,11.15,18.15,0,4.43,44.01,0,0,0,2.3,13.23,0,4.63,23.9,38.17,0.12,12.94,19.95,25.67,96.87,NA,26.16,0.12,7.91,10.94,13.01,58.13,12.02,0,5.03,9.02,12.67,38.73,"CS_IFN2_PsylPnig__Output_Plot_1_1101.xlsx"
"6","CS_IFN2_PsylPnig.json","Node 5 - Inventoried trees",20,"-","-","Execution",5,"-","-","-","IFN2","1_1101",25,21,116,20,0.63,0.37,357.21,190.99,152.08,NA,0,21.98,12.96,8.29,1147.45,1147.45,960.88,220.16,220.16,323.98,615.37,678.73,544.98,NA,NA,38.22,38.22,34.98,16.74,16.74,20.31,27.37,28.67,25.9,27.99,29.4,26.34,34.53,33.4,28.2,940.92,883.69,639.38,9.5,9.14,8.83,6.45,6.45,7.24,8.08,8.11,7.91,8.8,8.7,8.18,29.53,25.5,428.26,258.57,166.35,1052.59,1161.85,60.1,64.58,81.34,NA,0,52.55,28.79,0,0,0,16.78,32.12,0,8.06,74.5,0,14.34,18.47,0,3.83,48.36,0,0,0,2.44,13.64,0,4.23,26.14,41.8,0.2,14.13,21.58,28.1,105.81,NA,28.61,0.2,8.6,11.88,14.38,63.68,13.19,0,5.53,9.69,13.72,42.13,"CS_IFN2_PsylPnig__Output_Plot_1_1101.xlsx"
"7","CS_IFN2_PsylPnig.json","Initial inventory",0,"0","0","Initial load",0,"-","-","-","IFN2","1_189",21,25,96,0,NA,NA,419.04,NA,NA,NA,NA,41.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.82,NA,NA,35.71,NA,NA,48.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.56,NA,NA,23.31,NA,NA,NA,NA,742.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS_IFN2_PsylPnig__Output_Plot_1_189.xlsx"
"8","CS_IFN2_PsylPnig.json","Node 1 - Inventoried trees",0,"-","-","Initialization",0,"-","-","-","IFN2","1_189",21,25,96,0,0.79,0.21,419.04,243.9,40.74,NA,0,41.98,26.72,9.2,3067.96,2014.88,3067.96,128.68,624.58,1418.63,1001.74,1095.68,2257.51,NA,NA,62.5,50.65,62.5,12.8,28.2,42.5,33.82,36.95,53.21,35.71,37.35,53.61,48.3,41.87,53.21,1862.45,1390.9,2257.51,28.5,25,28.5,10,15,21.5,19.56,20.1,25.88,23.32,21.76,25.88,57.84,48.29,742.77,516.71,151.07,1030.24,1152.98,20.94,22.51,337.35,NA,NA,240.76,96.59,42.39,42.39,56.96,238.8,84.56,63.69,10.27,324.12,16.32,154.13,75.65,60.78,9.17,231.04,42.39,42.39,40.64,84.67,8.91,2.91,1.1,93.08,178.34,5.36,21.36,27.76,47.81,280.64,NA,131.71,2.63,17.73,24.5,32.59,209.15,46.63,2.74,3.64,3.26,15.22,71.49,"CS_IFN2_PsylPnig__Output_Plot_1_189.xlsx"
"9","CS_IFN2_PsylPnig.json","Node 2 - Inventoried trees",5,"-","-","Execution",5,"-","-","-","IFN2","1_189",21,25,101,5,0.8,0.2,419.04,243.9,40.74,NA,0,43,27.63,9.32,3101.16,2056.41,3101.16,128.68,651.45,1445.89,1026.26,1132.69,2288.12,NA,NA,62.84,51.17,62.84,12.8,28.8,42.91,34.23,37.59,53.58,36.15,37.98,53.98,48.79,42.48,53.58,1899.05,1431.5,2288.12,25.72,24.02,25.72,10,17.07,22.25,19.36,20.02,24.19,23.22,21.59,24.19,56.55,47.59,757.33,533.02,152.82,1030.24,1152.98,21.04,22.61,341.53,NA,0,249.36,92.18,38.19,38.19,57.54,249.35,80.1,66.73,9.23,327.63,16.84,169.06,72.64,62.78,8.27,239.07,38.19,38.19,40.7,80.29,7.47,3.95,0.96,88.56,180.73,5.97,22.19,28.83,49.35,287.07,NA,136.03,2.99,18.33,25.33,33.92,216.59,44.7,2.98,3.86,3.5,15.43,70.48,"CS_IFN2_PsylPnig__Output_Plot_1_189.xlsx"
"10","CS_IFN2_PsylPnig.json","Node 3 - Inventoried trees",10,"-","-","Execution",5,"-","-","-","IFN2","1_189",21,25,106,10,0.8,0.2,419.04,243.9,40.74,NA,0,44,28.5,9.44,3132.2,2097.2,3132.2,128.68,678.71,1472.03,1049.91,1168.44,2317.28,NA,NA,63.15,51.67,63.15,12.8,29.4,43.29,34.62,38.19,53.93,36.56,38.57,54.32,49.26,43.07,53.93,1934.47,1470.52,2317.28,25.53,23.9,25.53,10,17.17,22.15,19.35,20.03,24.04,23.12,21.54,24.04,55.89,46.93,771.3,548.73,154.5,1030.24,1152.98,21.13,22.71,349.61,NA,0,256.96,92.65,38.49,38.49,60.04,256.59,79.55,65.16,8.73,335.28,19.09,175.85,72.13,62.48,7.78,246.28,38.49,38.49,40.95,80.74,7.42,2.69,0.95,89.01,184.86,6.48,22.86,29.7,50.84,294.75,NA,139.88,3.36,18.9,26.12,35.22,223.49,44.98,3.12,3.95,3.58,15.63,71.26,"CS_IFN2_PsylPnig__Output_Plot_1_189.xlsx"
