"","Scenario_file_name","Trees_sheet","Scenario_age","Minimum_age","Maximum_age","Action","Time","Harvest_type","Harvest_criteria","Harvest_severity","Inventory_ID","Plot_ID","ID_sp1","ID_sp2","Year","T","Proportion_sp1","Proportion_sp2","N","N_sp1","N_sp2","N_harvested_volume","Dead_N","G","G_sp1","G_sp2","g_max","g_max_sp1","g_max_sp2","g_min","g_min_sp1","g_min_sp2","g_mean","g_mean_sp1","g_mean_sp2","G_harvested_volume","Dead_G","dbh_max","dbh_max_sp1","dbh_max_sp2","dbh_min","dbh_min_sp1","dbh_min_sp2","dbh_mean","dbh_mean_sp1","dbh_mean_sp2","dg","dg_sp1","dg_sp2","Do","Do_sp1","Do_sp2","Dominant_section","Dominant_section_sp1","Dominant_section_sp2","h_max","h_max_sp1","h_max_sp2","h_min","h_min_sp1","h_min_sp2","h_mean","h_mean_sp1","h_mean_sp2","Ho","Ho_sp1","Ho_sp2","Mean_crown_d","Mean_crown_d_sp1","Mean_crown_d_sp2","Do_crown","Do_crown_sp1","Do_crown_sp2","Canopy_cover","Canopy_cover_sp1","Canopy_cover_sp2","Slenderness","Dominant_Slenderness","SDI","SDI_sp1","SDI_sp2","SDImax_sp1","SDImax_sp2","HartBecking__Simple_rows","HartBecking__Staggered_rows","V","Bole_V","Bark_V","V_harvested","Dead_V","V_sp1","Bole_V_sp1","Bark_V_sp1","V_sp2","Bole_V_sp2","Bark_V_sp2","V_unwinding","V_veneer","V_saw_big","V_saw_small","V_saw_canter","V_post","V_stake","V_chips","V_saw_big_sp1","V_saw_small_sp1","V_saw_canter_sp1","V_chips_sp1","V_unwinding_sp2","V_veneer_sp2","V_saw_big_sp2","V_saw_small_sp2","V_saw_canter_sp2","V_post_sp2","V_stake_sp2","V_chips_sp2","WSW","WTHICKB","WB2_7","WB2_t","WTBL","WR","WT","Dead_WT","WSW_sp1","WB_2_T_sp1","WTBL_sp1","WR_sp1","WT_sp1","WSW_sp2","WTHICKB_sp2","WB2_7_sp2","WTBL_sp2","WR_sp2","WT_sp2","File_name"
"1","CS_IFN2_PsylPpin.json","Initial inventory",0,"0","0","Initial load",0,"-","-","-","IFN2","16_807",26,21,92,0,NA,NA,554.85,NA,NA,NA,NA,16.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.45,NA,NA,19.21,NA,NA,34.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.12,NA,NA,15.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS_IFN2_PsylPpin__Output_Plot_16_807.xlsx"
"2","CS_IFN2_PsylPpin.json","Node 1 - Inventoried trees",0,"-","-","Initialization",0,"-","-","-","IFN2","16_807",26,21,92,0,0.82,0.18,554.85,471.95,82.9,NA,0,16.09,13.24,2.84,1551.79,1455.58,1551.79,48.4,48.4,135.81,289.93,280.63,342.86,NA,NA,44.45,43.05,44.45,7.85,7.85,13.15,16.45,16.02,18.88,19.21,18.9,20.89,35.48,33.3,18.88,1005.12,902.94,342.86,19,17,19,4.5,4.5,8,8.12,7.66,10.7,15.37,14.24,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.36,43.33,363.63,273.3,60.83,1112.16,1125.23,27.61,29.67,91.64,67.39,24.25,NA,NA,73.75,50.45,23.3,17.89,16.94,0.95,0,0,0,38.62,30.21,5.09,4.11,85.04,0,31.5,23.81,68.28,0,0,0,7.12,6.4,5.09,4.11,16.76,40.15,0.08,1.14,3,8.11,15.69,68.16,NA,32.1,3,6.23,10.98,52.32,8.05,0.08,1.14,1.88,4.7,15.84,"CS_IFN2_PsylPpin__Output_Plot_16_807.xlsx"
"3","CS_IFN2_PsylPpin.json","Node 2 - Inventoried trees",5,"-","-","Execution",5,"-","-","-","IFN2","16_807",26,21,97,5,0.83,0.17,554.85,471.95,82.9,NA,0,19.34,15.98,3.36,1747.14,1677.57,1747.14,61.67,61.67,166.39,348.55,338.58,405.32,NA,NA,47.16,46.22,47.16,8.86,8.86,14.56,18.19,17.75,20.67,21.07,20.76,22.72,38.49,36.26,20.67,1180.51,1067.5,405.32,17.05,17.05,16.52,6.16,6.16,10.25,9.95,9.62,11.86,15.86,15.38,11.86,0,0,0,0,0,0,0,0,0,54.7,41.21,421.54,328.31,70.28,1112.16,1125.23,26.77,28.77,118.77,87,31.77,NA,0,98.53,67.76,30.77,20.23,19.24,0.99,0,0,1.94,51.94,33.95,3.92,5.41,111.22,1.94,44.32,28.79,92.23,0,0,0,7.62,5.16,3.92,5.41,18.99,51.07,0.16,1.43,3.95,9.88,19.64,86.13,NA,41.93,3.95,7.71,14.08,67.66,9.14,0.16,1.43,2.17,5.56,18.47,"CS_IFN2_PsylPpin__Output_Plot_16_807.xlsx"
"4","CS_IFN2_PsylPpin.json","Node 3 - Inventoried trees",10,"-","-","Execution",5,"-","-","-","IFN2","16_807",26,21,102,10,0.83,0.17,554.85,471.95,82.9,NA,0,22.64,18.77,3.87,1914.81,1886.46,1914.81,76.39,76.39,200.3,408.02,397.62,467.23,NA,NA,49.38,49.01,49.38,9.86,9.86,15.97,19.85,19.41,22.37,22.79,22.5,24.39,41.17,38.95,22.37,1349.31,1228.64,467.23,17.29,17.29,16.86,6.88,6.88,10.8,10.61,10.3,12.37,16.24,15.81,12.37,0,0,0,0,0,0,0,0,0,53.43,39.45,478.34,384.14,79.45,1112.16,1125.23,26.14,28.09,142.38,104.69,37.69,NA,0,118.6,81.93,36.67,23.79,22.76,1.02,0,0,9.71,72.79,36.2,3.81,5.74,133.64,7.67,62.17,29.34,111.27,0,0,2.03,10.62,6.86,3.81,5.74,22.37,61.34,0.24,1.68,4.97,11.69,23.8,103.73,NA,50.53,4.97,9.24,17.38,82.13,10.82,0.24,1.68,2.45,6.41,21.6,"CS_IFN2_PsylPpin__Output_Plot_16_807.xlsx"
"5","CS_IFN2_PsylPpin.json","Node 4 - Inventoried trees",15,"-","-","Execution",5,"-","-","-","IFN2","16_807",26,21,107,15,0.83,0.17,554.85,471.95,82.9,NA,0,25.93,21.55,4.38,2080.34,2080.34,2067.2,92.36,92.36,235.9,467.41,456.68,528.54,NA,NA,51.47,51.47,51.3,10.84,10.84,17.33,21.41,20.96,23.95,24.4,24.11,25.94,43.58,41.38,23.95,1510.23,1383.55,528.54,17.47,17.47,17.13,7.55,7.55,11.28,11.18,10.89,12.81,16.55,16.15,12.81,0,0,0,0,0,0,0,0,0,52.21,37.97,533.47,439.8,88.36,1112.16,1125.23,25.65,27.57,166.27,122.64,43.63,NA,0,138.96,96.35,42.6,27.32,26.29,1.03,2.54,2.54,17.86,83.85,38.22,3.69,5.59,156.8,15.68,72.19,32.1,131,2.54,2.54,2.19,11.67,6.12,3.69,5.59,25.8,71.77,0.33,1.93,6.06,13.52,28.08,121.69,NA,59.27,6.06,10.8,20.83,96.96,12.49,0.33,1.93,2.72,7.25,24.72,"CS_IFN2_PsylPpin__Output_Plot_16_807.xlsx"
"6","CS_IFN2_PsylPpin.json","Node 5 - Inventoried trees",20,"-","-","Execution",5,"-","-","-","IFN2","16_807",26,21,112,20,0.84,0.16,554.85,471.95,82.9,NA,0,29.18,24.31,4.88,2259.42,2259.42,2205.33,109.26,109.26,272.59,525.99,515,588.56,NA,NA,53.64,53.64,52.99,11.79,11.79,18.63,22.88,22.43,25.43,25.88,25.61,27.37,45.74,43.56,25.43,1661.87,1530.57,588.56,17.64,17.64,17.34,8.17,8.17,11.7,11.68,11.41,13.18,16.8,16.44,13.18,0,0,0,0,0,0,0,0,0,51.03,36.73,586.48,494.6,96.95,1112.16,1125.23,25.27,27.16,190.05,140.56,49.49,NA,0,159.27,110.79,48.48,30.78,29.77,1.01,2.69,2.69,24.56,96.83,45.58,3.6,5.41,179.01,22.23,82.13,35.55,149.82,2.69,2.69,2.34,14.7,10.03,3.6,5.41,29.19,82.17,0.42,2.18,7.19,15.35,32.42,139.73,NA,68.03,7.19,12.36,24.34,111.91,14.14,0.42,2.18,2.99,8.08,27.81,"CS_IFN2_PsylPpin__Output_Plot_16_807.xlsx"
"7","CS_IFN2_PsylPpin.json","Initial inventory",0,"0","0","Initial load",0,"-","-","-","IFN2","16_812",26,21,92,0,NA,NA,591.77,NA,NA,NA,NA,13.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.18,NA,NA,17.12,NA,NA,32.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,13.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS_IFN2_PsylPpin__Output_Plot_16_812.xlsx"
"8","CS_IFN2_PsylPpin.json","Node 1 - Inventoried trees",0,"-","-","Initialization",0,"-","-","-","IFN2","16_812",26,21,92,0,0.82,0.18,591.77,517.5,60.13,NA,0,13.62,10.45,2.35,1701.88,1701.88,591.8,44.77,44.77,251.65,230.19,202,390.76,NA,NA,46.55,46.55,27.45,7.55,7.55,17.9,14.18,12.93,21.89,17.12,16.04,22.31,32.35,30.2,21.89,851.46,772.09,390.76,20,20,14,5.5,5.5,9.5,8.2,7.69,12.35,13.77,13.48,12.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.85,42.56,322.28,216.59,49.4,1123.4,1130.95,29.86,32.09,73.63,53.33,20.3,NA,NA,61.23,41.94,19.29,12.4,11.39,1.01,0,0,3.92,28.54,26.18,2.94,4.5,67.88,3.92,28.54,19.52,56.38,0,0,0,0,6.67,2.94,4.5,11.5,31.47,0,1.04,2.36,6.66,12.44,53.95,NA,26.05,2.36,4.86,8.55,41.82,5.41,0,1.04,1.79,3.89,12.13,"CS_IFN2_PsylPpin__Output_Plot_16_812.xlsx"
"9","CS_IFN2_PsylPpin.json","Node 2 - Inventoried trees",5,"-","-","Execution",5,"-","-","-","IFN2","16_812",26,21,97,5,0.82,0.18,591.77,517.5,60.13,NA,0,16.64,12.92,2.9,1980.07,1980.07,715.16,58.77,58.77,321.77,281.13,249.67,481.82,NA,NA,50.21,50.21,30.18,8.65,8.65,20.24,15.86,14.57,24.37,18.92,17.83,24.77,35.27,33.36,24.37,1012.51,935.27,481.82,16.42,16.42,13.47,5.72,5.72,11.53,8.3,7.79,12.36,14.26,13.68,12.36,0,0,0,0,0,0,0,0,0,52.32,40.42,378.35,266.62,59.17,1123.4,1130.95,28.83,30.98,89.1,65.19,23.9,NA,0,72.89,50.03,22.86,16.2,15.16,1.04,0,0,6.32,33.84,30.35,6.7,3.3,82.46,6.32,33.84,20.52,67.33,0,0,0,0,9.83,6.7,3.3,15.13,39.1,0,1.23,3.18,8.17,16.05,67.73,NA,31.9,3.18,6.17,11.26,52.5,7.2,0,1.23,2,4.8,15.23,"CS_IFN2_PsylPpin__Output_Plot_16_812.xlsx"
"10","CS_IFN2_PsylPpin.json","Node 3 - Inventoried trees",10,"-","-","Execution",5,"-","-","-","IFN2","16_812",26,21,102,10,0.82,0.18,591.77,517.5,60.13,NA,0,19.8,15.51,3.47,2243.54,2243.54,842.71,74.88,74.88,393.1,334.58,299.78,576.6,NA,NA,53.45,53.45,32.76,9.76,9.76,22.37,17.5,16.16,26.69,20.64,19.54,27.1,38.23,36.3,26.69,1185.36,1099.74,576.6,16.58,16.58,13.95,6.45,6.45,12.1,8.95,8.48,12.89,14.68,14.17,12.89,0,0,0,0,0,0,0,0,0,51.15,38.41,435.08,319.03,69.07,1123.4,1130.95,28,30.09,109.55,80.64,28.91,NA,0,89.63,61.79,27.84,19.92,18.86,1.07,0,0,10.92,49.51,34.49,7.43,2.86,102.2,10.92,47.01,21.52,83.53,0,0,0,2.5,12.97,7.43,2.86,18.68,48.26,0,1.52,4.11,9.89,19.97,83.75,NA,39.3,4.11,7.56,14.24,65.2,8.96,0,1.52,2.33,5.74,18.55,"CS_IFN2_PsylPpin__Output_Plot_16_812.xlsx"
