"","Scenario_file_name","Trees_sheet","Scenario_age","Minimum_age","Maximum_age","Action","Time","Harvest_type","Harvest_criteria","Harvest_severity","Inventory_ID","Plot_ID","ID_sp1","ID_sp2","Year","T","Proportion_sp1","Proportion_sp2","N","N_sp1","N_sp2","N_harvested_volume","Dead_N","G","G_sp1","G_sp2","g_max","g_max_sp1","g_max_sp2","g_min","g_min_sp1","g_min_sp2","g_mean","g_mean_sp1","g_mean_sp2","G_harvested_volume","Dead_G","dbh_max","dbh_max_sp1","dbh_max_sp2","dbh_min","dbh_min_sp1","dbh_min_sp2","dbh_mean","dbh_mean_sp1","dbh_mean_sp2","dg","dg_sp1","dg_sp2","Do","Do_sp1","Do_sp2","Dominant_section","Dominant_section_sp1","Dominant_section_sp2","h_max","h_max_sp1","h_max_sp2","h_min","h_min_sp1","h_min_sp2","h_mean","h_mean_sp1","h_mean_sp2","Ho","Ho_sp1","Ho_sp2","Slenderness","Dominant_Slenderness","SDI","SDI_sp1","SDI_sp2","SDImax_sp1","SDImax_sp2","HartBecking__Simple_rows","HartBecking__Staggered_rows","V","V_harvested","Dead_V","V_sp1","V_sp2","V_unwinding","V_veneer","V_saw_big","V_saw_small","V_saw_canter","V_post","V_stake","V_chips","V_unwinding_sp1","V_veneer_sp1","V_saw_big_sp1","V_saw_small_sp1","V_saw_canter_sp1","V_post_sp1","V_stake_sp1","V_chips_sp1","V_saw_big_sp2","V_saw_small_sp2","V_saw_canter_sp2","V_chips_sp2","WSW","WTHICKB","WSTB","WB2_7","WTHINB","WTBL","WR","WT","Dead_WT","WSW_sp1","WTHICKB_sp1","WB2_7_sp1","WTBL_sp1","WR_sp1","WT_sp1","WSTB_sp2","WTHINB_sp2","WR_sp2","WT_sp2","File_name"
"1","CS_IFN2_PsylQpyr.json","Initial inventory",0,"0","0","Initial load",0,"-","-","-","IFN2","1_152",43,21,96,0,NA,NA,1038.96,NA,NA,NA,NA,22.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.31,NA,NA,16.68,NA,NA,34.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.03,NA,NA,11.57,NA,NA,NA,NA,542.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS_IFN2_PsylQpyr__Output_Plot_1_152.xlsx"
"2","CS_IFN2_PsylQpyr.json","Node 1 - Inventoried trees",0,"-","-","Initialization",0,"-","-","-","IFN2","1_152",43,21,96,0,0.57,0.43,1038.96,860.99,100.16,NA,0,22.69,12.01,8.87,2152.4,1482.76,2152.4,44.77,44.77,467.59,218.42,139.54,885.56,NA,NA,52.35,43.45,52.35,7.55,7.55,24.4,14.31,11.95,32.62,16.68,13.33,33.58,35.33,24.6,32.63,1023.02,521.56,886.24,13.5,13,13.5,4.5,4.5,9.5,7.03,6.46,11.65,11.58,9.91,11.65,49.13,32.77,542.48,292.33,166.82,1153.27,858.84,26.8,28.8,86.46,NA,NA,44.83,41.63,0,0,4.36,21.27,24.2,3,18.17,77.6,0,0,0,5.24,8.41,3,18.17,38.89,4.36,16.03,15.79,38.71,19.37,0.08,35.1,5.93,2.41,13.68,36.04,117.53,NA,19.37,0.08,5.93,13.68,19.89,58.93,35.1,2.41,16.15,58.59,"CS_IFN2_PsylQpyr__Output_Plot_1_152.xlsx"
"3","CS_IFN2_PsylQpyr.json","Node 2 - Inventoried trees",5,"-","-","Execution",5,"-","-","-","IFN2","1_152",43,21,101,5,0.61,0.39,1038.96,860.99,100.16,NA,0,26.54,15.39,9.34,2199.96,1692.72,2199.96,59.59,59.59,504.95,255.47,178.77,932.67,NA,NA,52.93,46.42,52.93,8.71,8.71,25.36,15.81,13.66,33.55,18.04,15.09,34.46,36.87,27.42,33.57,1109.98,639.52,933.36,12.29,12.29,12.25,5.68,5.68,10.92,7.82,7.44,11.41,11.61,10.59,11.41,49.44,31.48,615.15,361.63,174.46,1153.27,858.84,26.73,28.73,105.65,NA,0,63.04,42.61,0,0,4.41,26.59,29.95,3.21,25.14,95.74,0,0,0,8.78,14.25,3.21,25.14,56.16,4.41,17.8,15.7,39.58,27.47,0.22,36.01,7.29,2.51,15.28,42.49,136.2,NA,27.47,0.22,7.29,15.28,25.48,75.73,36.01,2.51,17.01,60.47,"CS_IFN2_PsylQpyr__Output_Plot_1_152.xlsx"
"4","CS_IFN2_PsylQpyr.json","Node 3 - Inventoried trees",10,"-","-","Execution",5,"-","-","-","IFN2","1_152",43,21,106,10,0.64,0.36,1038.96,860.99,100.16,NA,0,30.66,19.09,9.76,2243.81,1889.61,2243.81,76.96,76.96,538.36,295.1,221.75,974.27,NA,NA,53.45,49.05,53.45,9.9,9.9,26.18,17.29,15.35,34.36,19.38,16.8,35.22,38.31,30.02,34.37,1195.05,758.32,974.97,12.33,12.33,12.17,6.19,6.19,11.01,8.19,7.89,11.43,11.64,10.82,11.43,47.36,30.38,690.63,435.14,181.17,1153.27,858.84,26.66,28.64,123.97,NA,0,79.6,44.36,0,0,4.49,31.45,35.27,9.89,29.95,113.31,0,0,0,13.09,20.49,9.89,29.95,72.1,4.49,18.36,14.79,41.21,35.02,0.48,37.57,9.35,2.58,18.48,49.37,157.99,NA,35.02,0.48,9.35,18.48,31.6,94.94,37.57,2.58,17.77,63.05,"CS_IFN2_PsylQpyr__Output_Plot_1_152.xlsx"
"5","CS_IFN2_PsylQpyr.json","Node 4 - Inventoried trees",15,"-","-","Execution",5,"-","-","-","IFN2","1_152",43,21,111,15,0.67,0.33,1038.96,860.99,100.16,NA,0,34.89,22.95,10.13,2281.22,2063.55,2281.22,96.29,96.29,568.5,335.8,266.6,1010.94,NA,NA,53.89,51.26,53.89,11.07,11.07,26.9,18.7,16.97,35.05,20.68,18.42,35.88,39.57,32.35,35.06,1272.34,873.02,1011.66,12.37,12.37,12.1,6.5,6.63,11.09,8.51,8.27,11.45,11.67,11,11.45,45.48,29.5,766.08,509.71,187.05,1153.27,858.84,26.58,28.56,143.01,NA,0,97.06,45.95,0,0,4.55,33.36,41.74,10.42,34.25,130.47,0,0,0,14.51,26.94,10.42,34.25,87.83,4.55,18.85,14.8,42.64,43.07,0.79,38.99,11.59,2.64,21.81,56.43,180.61,NA,43.07,0.79,11.59,21.81,37.99,115.24,38.99,2.64,18.44,65.37,"CS_IFN2_PsylQpyr__Output_Plot_1_152.xlsx"
"6","CS_IFN2_PsylQpyr.json","Node 5 - Inventoried trees",20,"-","-","Execution",5,"-","-","-","IFN2","1_152",43,21,116,20,0.69,0.31,1038.96,860.99,100.16,NA,0,39.11,26.86,10.44,2311.65,2215.84,2311.65,116.96,116.96,595.71,376.47,311.99,1042.68,NA,NA,54.25,53.12,54.25,12.2,12.2,27.54,20.02,18.49,35.64,21.89,19.93,36.44,40.66,34.41,35.65,1342.38,980.78,1043.41,12.4,12.4,12.04,6.5,7.02,11.17,8.78,8.59,11.49,11.68,11.15,11.49,43.85,28.72,839.7,583.4,192.12,1153.27,858.84,26.56,28.54,162.29,NA,0,114.92,47.37,0,0,6.72,39.58,50.29,14.25,39.27,149.55,0,0,2.12,18.03,35.45,14.25,39.27,105.43,4.6,21.55,14.84,44.12,51.37,1.11,40.26,13.92,2.69,25.14,63.48,203.43,NA,51.37,1.11,13.92,25.14,44.46,136,40.26,2.69,19.02,67.42,"CS_IFN2_PsylQpyr__Output_Plot_1_152.xlsx"
"7","CS_IFN2_PsylQpyr.json","Initial inventory",0,"0","0","Initial load",0,"-","-","-","IFN2","1_762",21,43,96,0,NA,NA,1257.11,NA,NA,NA,NA,42.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.35,NA,NA,20.66,NA,NA,33.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.25,NA,NA,16.78,NA,NA,NA,NA,926.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS_IFN2_PsylQpyr__Output_Plot_1_762.xlsx"
"8","CS_IFN2_PsylQpyr.json","Node 1 - Inventoried trees",0,"-","-","Initialization",0,"-","-","-","IFN2","1_762",21,43,96,0,0.57,0.43,1257.11,572.96,684.15,NA,0,42.16,28.01,14.16,2752.54,1026.38,2752.54,85.77,156.15,85.77,335.39,488.8,206.91,NA,NA,59.2,36.15,59.2,10.45,14.1,10.45,19.35,24.37,15.14,20.66,24.95,16.23,33.51,32.01,24.3,912.6,807.65,517.4,18,17.5,18,6.5,10,6.5,12.25,14.49,10.38,16.79,16.72,14.32,63.33,50.1,926.03,570.88,321.63,1163.39,861.12,16.8,18.05,262.04,NA,NA,186.8,75.24,0,0,5.18,27.94,130.92,90.4,36.28,244.43,0,0,0,20.1,110.29,90.4,36.28,176.32,5.18,7.84,20.64,68.11,82.68,0,59.12,10.51,6.14,16.26,72.13,258.15,NA,82.68,0,10.51,16.26,46.36,155.8,59.12,6.14,25.77,102.34,"CS_IFN2_PsylQpyr__Output_Plot_1_762.xlsx"
"9","CS_IFN2_PsylQpyr.json","Node 2 - Inventoried trees",5,"-","-","Execution",5,"-","-","-","IFN2","1_762",21,43,101,5,0.59,0.41,1257.11,572.96,684.15,NA,0,47.71,32.62,15.1,2796.5,1162.79,2796.5,92.23,189.64,92.23,379.55,569.31,220.64,NA,NA,59.67,38.48,59.67,10.84,15.54,10.84,20.53,26.34,15.67,21.98,26.92,16.76,35.69,34.28,25.04,1027.73,926.04,545.07,18.15,17.4,18.15,12.24,12.24,12.42,14.71,15.36,14.17,16.96,16.88,15.89,71.63,47.52,1022.67,650.61,340.2,1163.39,861.12,16.63,17.87,324.12,NA,0,227.04,97.08,0,0,5.27,50.81,164.98,112.03,33.79,304.18,0,0,0,42.81,133.48,112.03,33.79,215.06,5.27,8,31.49,89.13,101.37,0,75.99,12.2,5.31,17.74,81.47,309.95,NA,101.37,0,12.2,17.74,53.99,185.3,75.99,5.31,27.48,124.66,"CS_IFN2_PsylQpyr__Output_Plot_1_762.xlsx"
"10","CS_IFN2_PsylQpyr.json","Node 3 - Inventoried trees",10,"-","-","Execution",5,"-","-","-","IFN2","1_762",21,43,106,10,0.6,0.4,1257.11,572.96,684.15,NA,0,53.11,37.01,16.1,2836.03,1285.65,2836.03,100.77,222.24,100.77,422.45,645.94,235.28,NA,NA,60.09,40.46,60.09,11.33,16.82,11.33,21.64,28.1,16.23,23.19,28.68,17.31,37.57,36.24,25.73,1133.24,1034.59,571.56,18.13,17.51,18.13,12.58,12.58,12.87,15.02,15.57,14.56,17.09,17.02,16.11,69.42,45.49,1114.43,725.02,359.84,1163.39,861.12,16.5,17.73,363.39,NA,0,258.21,105.18,0,0,5.33,71.25,180.02,118.95,30.75,342.11,0,0,0,63.16,144.04,118.95,30.75,245.28,5.33,8.09,35.98,96.83,116.29,0.04,82.55,14.33,5.54,20.1,90.57,346.44,NA,116.29,0.04,14.33,20.1,61.26,212.02,82.55,5.54,29.31,134.43,"CS_IFN2_PsylQpyr__Output_Plot_1_762.xlsx"
