"Var1" "Freq"
"1" "1,81" 1
"2" "13,43,58" 1
"3" "13,45" 1
"4" "13,55" 1
"5" "13,97" 1
"6" "14,21,45" 1
"7" "14,31,71" 1
"8" "14,45" 1
"9" "14,45,46" 1
"10" "14,45,77" 1
"11" "14,74" 1
"12" "15,21,25" 1
"13" "15,21,76" 1
"14" "15,28,35" 1
"15" "15,42" 1
"16" "15,42,71" 1
"17" "15,42,71,43,71" 1
"18" "15,42,73" 1
"19" "15,44,46" 1
"20" "15,44,65,76" 1
"21" "15,44,71" 1
"22" "15,45,52" 1
"23" "15,52" 1
"24" "15,55,58" 1
"25" "15,62,99" 1
"26" "15,76" 1
"27" "16,41" 1
"28" "17,27,28" 1
"29" "17,43,44" 1
"30" "18,21" 1
"31" "18,25" 1
"32" "18,28,29" 1
"33" "18,41,65" 1
"34" "18,43" 1
"35" "18,54" 1
"36" "18,78" 1
"37" "18,92,94" 1
"38" "21,22,21,42" 1
"39" "21,22,23,45,46" 1
"40" "21,22,31,78" 1
"41" "21,23,44" 1
"42" "21,23,45" 1
"43" "21,25,21,25" 1
"44" "21,25,23,67" 1
"45" "21,25,24,26" 1
"46" "21,25,25,26" 1
"47" "21,25,37,45" 1
"48" "21,25,41" 1
"49" "21,25,44,45" 1
"50" "21,25,45,76" 1
"51" "21,25,95" 1
"52" "21,26,28" 1
"53" "21,26,38" 1
"54" "21,26,46" 1
"55" "21,26,73" 1
"56" "21,28,41" 1
"57" "21,28,43,57" 1
"58" "21,31,42" 1
"59" "21,33" 1
"60" "21,34" 1
"61" "21,37,44,21,44" 1
"62" "21,37,45" 1
"63" "21,38,45" 1
"64" "21,41,76" 1
"65" "21,42,52" 1
"66" "21,42,73" 1
"67" "21,43,21,22" 1
"68" "21,43,21,25" 1
"69" "21,43,21,44" 1
"70" "21,43,72" 1
"71" "21,43,73" 1
"72" "21,44,21,71,76" 1
"73" "21,44,21,73" 1
"74" "21,44,23,24,45" 1
"75" "21,44,25,43,44" 1
"76" "21,44,52" 1
"77" "21,44,76" 1
"78" "21,45,25,44" 1
"79" "21,45,43,45" 1
"80" "21,45,45,68" 1
"81" "21,45,52" 1
"82" "21,45,57" 1
"83" "21,45,72" 1
"84" "21,45,76" 1
"85" "21,46" 1
"86" "21,47,56" 1
"87" "21,51" 1
"88" "21,52,56" 1
"89" "21,55,56" 1
"90" "21,57,65" 1
"91" "21,71,15,21,42" 1
"92" "21,71,21,22" 1
"93" "21,71,21,37" 1
"94" "21,71,21,44,45" 1
"95" "21,71,21,45" 1
"96" "21,71,77" 1
"97" "21,71,78" 1
"98" "21,74" 1
"99" "21,77" 1
"100" "21,77,99" 1
"101" "21,95" 1
"102" "22,24" 1
"103" "22,31,21,42" 1
"104" "22,31,44,45" 1
"105" "23,24,25,45" 1
"106" "23,24,61" 1
"107" "23,25,45,46" 1
"108" "23,26,28" 1
"109" "23,26,42" 1
"110" "23,26,43" 1
"111" "23,26,45,46" 1
"112" "23,26,55" 1
"113" "23,26,58,92" 1
"114" "23,27" 1
"115" "23,36,62" 1
"116" "23,37,45" 1
"117" "23,41,45,46" 1
"118" "23,41,68" 1
"119" "23,41,99" 1
"120" "23,42,45,72" 1
"121" "23,42,46" 1
"122" "23,43" 1
"123" "23,43,45,46" 1
"124" "23,45,46,26,45" 1
"125" "23,45,46,68" 1
"126" "23,45,72" 1
"127" "23,45,95" 1
"128" "23,56" 1
"129" "23,57" 1
"130" "23,58" 1
"131" "23,67" 1
"132" "24,25,24,25,44" 1
"133" "24,25,44,45" 1
"134" "24,25,44,76" 1
"135" "24,25,51" 1
"136" "24,25,76" 1
"137" "24,26,56,57" 1
"138" "24,28" 1
"139" "24,36,45" 1
"140" "24,37" 1
"141" "24,37,45" 1
"142" "24,41,45" 1
"143" "24,43,46" 1
"144" "24,44,46,58" 1
"145" "24,45,66" 1
"146" "24,45,67" 1
"147" "24,51" 1
"148" "24,58" 1
"149" "24,62" 1
"150" "24,95" 1
"151" "25,26,36" 1
"152" "25,26,39" 1
"153" "25,26,42" 1
"154" "25,26,44,45" 1
"155" "25,26,45,68" 1
"156" "25,26,46" 1
"157" "25,26,57" 1
"158" "25,26,58" 1
"159" "25,28,43" 1
"160" "25,33" 1
"161" "25,34" 1
"162" "25,34,43" 1
"163" "25,35,41" 1
"164" "25,36" 1
"165" "25,37,39,45" 1
"166" "25,37,43,45" 1
"167" "25,37,45" 1
"168" "25,38,44" 1
"169" "25,38,45" 1
"170" "25,39" 1
"171" "25,42,43" 1
"172" "25,42,45" 1
"173" "25,44,23,46" 1
"174" "25,44,25,38" 1
"175" "25,44,45,58" 1
"176" "25,44,71" 1
"177" "25,44,76" 1
"178" "25,45,24,25" 1
"179" "25,45,24,45" 1
"180" "25,46,68" 1
"181" "25,57" 1
"182" "25,65" 1
"183" "25,68" 1
"184" "25,71" 1
"185" "25,71,72" 1
"186" "26,28,26,28,61" 1
"187" "26,28,26,61" 1
"188" "26,28,41,43" 1
"189" "26,28,41,73" 1
"190" "26,28,42,71" 1
"191" "26,28,43" 1
"192" "26,28,46" 1
"193" "26,28,61,61,99" 1
"194" "26,28,61,72" 1
"195" "26,28,61,73" 1
"196" "26,28,62" 1
"197" "26,34" 1
"198" "26,36,41" 1
"199" "26,38,44" 1
"200" "26,39" 1
"201" "26,41,41,43" 1
"202" "26,41,43,46" 1
"203" "26,41,46,72" 1
"204" "26,41,54,57" 1
"205" "26,41,54,61" 1
"206" "26,41,54,72" 1
"207" "26,41,54,73" 1
"208" "26,41,54,76" 1
"209" "26,41,61,26,61" 1
"210" "26,41,61,41,72" 1
"211" "26,41,61,72,92" 1
"212" "26,41,74" 1
"213" "26,41,99" 1
"214" "26,43,45" 1
"215" "26,43,58" 1
"216" "26,43,61" 1
"217" "26,43,72" 1
"218" "26,43,99" 1
"219" "26,44,46" 1
"220" "26,44,48" 1
"221" "26,45,48" 1
"222" "26,46,24,26" 1
"223" "26,46,48,66" 1
"224" "26,46,68" 1
"225" "26,51,61" 1
"226" "26,54,55" 1
"227" "26,54,73" 1
"228" "26,55" 1
"229" "26,55,64" 1
"230" "26,57,61" 1
"231" "26,58" 1
"232" "26,58,61" 1
"233" "26,61,26,41" 1
"234" "26,61,26,72" 1
"235" "26,61,41,72" 1
"236" "26,61,62" 1
"237" "26,61,73" 1
"238" "26,61,92" 1
"239" "26,61,99" 1
"240" "26,67" 1
"241" "26,73,71,78" 1
"242" "26,76" 1
"243" "26,94" 1
"244" "26,99" 1
"245" "27,61" 1
"246" "27,81,83" 1
"247" "27,94" 1
"248" "28,33" 1
"249" "28,35,48" 1
"250" "28,41,28,41" 1
"251" "28,41,43,43,71" 1
"252" "28,41,54" 1
"253" "28,41,54,79" 1
"254" "28,41,57,74" 1
"255" "28,41,71,41,71" 1
"256" "28,41,73" 1
"257" "28,43,72,21,25" 1
"258" "28,44,45" 1
"259" "28,45,46" 1
"260" "28,45,94" 1
"261" "28,46,68" 1
"262" "28,48,54" 1
"263" "28,48,71,72" 1
"264" "28,54,57" 1
"265" "28,54,72" 1
"266" "28,55" 1
"267" "28,55,71" 1
"268" "28,55,72" 1
"269" "28,55,92" 1
"270" "28,55,97" 1
"271" "28,57" 1
"272" "28,61,54,73" 1
"273" "28,61,72" 1
"274" "28,61,73" 1
"275" "28,72,74" 1
"276" "28,74" 1
"277" "28,81" 1
"278" "28,92,35,41,72" 1
"279" "28,92,54,58" 1
"280" "31,33,34" 1
"281" "31,42,71" 1
"282" "31,43,77" 1
"283" "31,52,73,37,45" 1
"284" "31,57" 1
"285" "31,58,71" 1
"286" "31,58,73" 1
"287" "31,65,71" 1
"288" "31,71,21,22" 1
"289" "31,71,21,44,73" 1
"290" "31,71,21,65" 1
"291" "31,71,44,52" 1
"292" "31,71,78" 1
"293" "31,73,21,25" 1
"294" "31,77" 1
"295" "33,71" 1
"296" "34,35" 1
"297" "34,45" 1
"298" "34,58,74" 1
