"","PlotID0","PlotID","Provincia","Origen","Estadillo","Cla","Subclase","nArbol","OrdenIFActual","OrdenIFAnterior","Rumbo","Distancia","Especie","Diametro1","Diametro2","Altura","Hcopa","Calidad","Forma","ParEsp","NPae","CPae","VPae","Agente","Import","Elemento"
"126244","5.672","5.672.A.1",5,5,672,"A","1",1,1,1,40,14.8000002,21,387,390,13.8999996,NA,2,2,NA,NA,41,NA,100,NA,NA
"126245","5.672","5.672.A.1",5,5,672,"A","1",2,2,2,48,14.8000002,21,611,533,13.1999998,NA,2,2,NA,NA,41,NA,100,NA,NA
"126246","5.672","5.672.A.1",5,5,672,"A","1",3,3,0,67,3.20000005,43,105,107,5.5999999,NA,2,5,NA,NA,42,NA,100,NA,NA
"126247","5.672","5.672.A.1",5,5,672,"A","1",4,4,3,74,2.9000001,43,133,142,8.19999981,NA,2,5,NA,NA,42,NA,100,NA,NA
"126248","5.672","5.672.A.1",5,5,672,"A","1",5,5,4,111,13.1999998,21,557,522,9.80000019,NA,2,5,NA,NA,NA,NA,100,NA,NA
"126249","5.672","5.672.A.1",5,5,672,"A","1",6,6,5,152,5.5999999,21,372,360,9.5,NA,2,5,NA,NA,42,NA,100,NA,NA
"126250","5.672","5.672.A.1",5,5,672,"A","1",7,7,6,154,4.4000001,21,426,433,10.5,NA,2,5,NA,NA,42,NA,100,NA,NA
"126251","5.672","5.672.A.1",5,5,672,"A","1",8,8,7,160,4.80000019,21,362,315,10.1000004,NA,2,5,NA,NA,42,NA,100,NA,NA
"126252","5.672","5.672.A.1",5,5,672,"A","1",9,9,0,171,21.2999992,21,462,470,9.5,NA,2,5,NA,NA,NA,NA,100,NA,NA
"126253","5.672","5.672.A.1",5,5,672,"A","1",10,10,8,180,13.8000002,21,396,397,12.3000002,NA,2,2,NA,NA,NA,NA,100,NA,NA
"126254","5.672","5.672.A.1",5,5,672,"A","1",11,11,9,191,14.8999996,21,344,355,15.3000002,NA,2,2,NA,NA,NA,NA,100,NA,NA
"126255","5.672","5.672.A.1",5,5,672,"A","1",12,12,10,209,8.39999962,43,250,232,11.1999998,NA,2,2,NA,NA,41,NA,100,NA,NA
"126256","5.672","5.672.A.1",5,5,672,"A","1",13,13,0,266,5.4000001,45,133,146,3.4000001,NA,2,5,NA,NA,42,NA,100,NA,NA
"126257","5.672","5.672.A.1",5,5,672,"A","1",14,14,0,335,7.80000019,43,155,148,8.5,NA,2,2,NA,39,49,1,100,NA,NA
"126258","5.672","5.672.A.1",5,5,672,"A","1",15,15,0,339,8.19999981,43,146,147,6.9000001,NA,2,5,NA,39,49,1,100,NA,NA
"126259","5.672","5.672.A.1",5,5,672,"A","1",16,16,0,343,4.69999981,43,117,124,6.4000001,NA,2,5,NA,39,49,2,100,NA,NA
"126260","5.672","5.672.A.1",5,5,672,"A","1",17,17,0,355,4.5,43,97,98,4.69999981,NA,2,3,NA,39,49,2,100,NA,NA
"161047","9.68","9.68.A.1",9,9,68,"A","1",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161048","9.68","9.68.A.1",9,9,68,"A","1",2,888,2,9,9.19999981,21,170,179,9,NA,6,2,NA,NA,NA,NA,410,3,9
"161049","9.68","9.68.A.1",9,9,68,"A","1",3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161050","9.68","9.68.A.1",9,9,68,"A","1",4,1,0,34,12.5,21,231,226,15.8000002,NA,2,2,NA,NA,NA,NA,100,NA,NA
"161051","9.68","9.68.A.1",9,9,68,"A","1",5,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161052","9.68","9.68.A.1",9,9,68,"A","1",6,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161053","9.68","9.68.A.1",9,9,68,"A","1",7,2,6,56,9.19999981,21,293,293,17.7999992,NA,2,2,NA,NA,NA,NA,100,NA,NA
"161054","9.68","9.68.A.1",9,9,68,"A","1",8,3,0,60,16.5,21,438,441,19.2999992,NA,2,2,NA,NA,NA,NA,100,NA,NA
"161055","9.68","9.68.A.1",9,9,68,"A","1",9,4,0,67,12.8000002,21,222,228,11.6000004,NA,4,2,NA,NA,NA,NA,410,2,7
"161056","9.68","9.68.A.1",9,9,68,"A","1",10,5,7,68,14.1999998,21,239,234,7,NA,4,5,NA,NA,NA,NA,410,3,7
"161057","9.68","9.68.A.1",9,9,68,"A","1",11,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161058","9.68","9.68.A.1",9,9,68,"A","1",12,6,9,84,8.10000038,21,260,263,14.8000002,NA,2,2,NA,NA,NA,NA,100,NA,NA
"161059","9.68","9.68.A.1",9,9,68,"A","1",13,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161060","9.68","9.68.A.1",9,9,68,"A","1",14,7,0,99,10.3999996,43,223,242,10.8999996,NA,4,2,NA,NA,NA,NA,316,2,9
"161061","9.68","9.68.A.1",9,9,68,"A","1",15,8,11,108,11.8000002,21,330,341,13.3999996,NA,2,2,NA,NA,NA,NA,100,NA,NA
"161062","9.68","9.68.A.1",9,9,68,"A","1",16,888,12,116,3.5,21,255,276,11,NA,6,2,NA,NA,NA,NA,410,3,9
"161063","9.68","9.68.A.1",9,9,68,"A","1",17,9,13,124,8.80000019,21,214,220,8.10000038,NA,4,2,NA,NA,NA,NA,410,3,7
"161064","9.68","9.68.A.1",9,9,68,"A","1",18,10,0,132,10.8999996,21,255,239,7.5999999,NA,4,2,NA,NA,NA,NA,410,2,7
"161065","9.68","9.68.A.1",9,9,68,"A","1",19,888,14,134,9,21,191,172,10.5,NA,6,2,NA,NA,NA,NA,410,3,9
"161066","9.68","9.68.A.1",9,9,68,"A","1",20,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161067","9.68","9.68.A.1",9,9,68,"A","1",21,888,16,140,7.30000019,21,241,260,10,NA,6,5,NA,NA,NA,NA,410,3,9
"161068","9.68","9.68.A.1",9,9,68,"A","1",22,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161069","9.68","9.68.A.1",9,9,68,"A","1",23,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161070","9.68","9.68.A.1",9,9,68,"A","1",24,888,19,159,9.89999962,21,211,237,8,NA,6,2,NA,NA,NA,NA,410,3,9
"161071","9.68","9.68.A.1",9,9,68,"A","1",25,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161072","9.68","9.68.A.1",9,9,68,"A","1",26,11,21,181,3.5999999,43,147,149,7.5,3.5,5,5,NA,NA,NA,NA,410,3,9
"161073","9.68","9.68.A.1",9,9,68,"A","1",27,12,22,193,6.69999981,21,205,214,6.4000001,NA,4,2,NA,NA,NA,NA,410,2,7
"161074","9.68","9.68.A.1",9,9,68,"A","1",28,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161075","9.68","9.68.A.1",9,9,68,"A","1",29,13,24,203,11.1999998,21,298,326,16.2000008,NA,2,2,NA,NA,NA,NA,100,NA,NA
"161076","9.68","9.68.A.1",9,9,68,"A","1",30,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161077","9.68","9.68.A.1",9,9,68,"A","1",31,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161078","9.68","9.68.A.1",9,9,68,"A","1",32,14,27,204,1.5,21,269,266,10.5,5.4000001,2,2,NA,NA,NA,NA,100,NA,NA
"161079","9.68","9.68.A.1",9,9,68,"A","1",33,15,28,222,4.80000019,43,168,192,7.5,5.5999999,3,5,NA,NA,NA,NA,316,1,9
"161080","9.68","9.68.A.1",9,9,68,"A","1",34,16,0,231,7.30000019,43,142,157,13,NA,2,2,NA,NA,NA,NA,100,NA,NA
"161081","9.68","9.68.A.1",9,9,68,"A","1",35,17,0,237,8.39999962,43,163,165,12.1999998,NA,2,2,NA,NA,NA,NA,100,NA,NA
"161082","9.68","9.68.A.1",9,9,68,"A","1",36,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161083","9.68","9.68.A.1",9,9,68,"A","1",37,18,30,245,9.60000038,43,182,197,12.6000004,NA,2,2,NA,NA,NA,NA,100,NA,NA
"161084","9.68","9.68.A.1",9,9,68,"A","1",38,19,31,245,7,43,189,195,12,NA,2,2,NA,NA,NA,NA,100,NA,NA
"161085","9.68","9.68.A.1",9,9,68,"A","1",39,20,0,254,6.0999999,43,162,174,12.5,NA,2,2,NA,NA,NA,NA,100,NA,NA
"161086","9.68","9.68.A.1",9,9,68,"A","1",40,21,32,270,2.9000001,21,136,144,9.60000038,5.9000001,3,2,NA,NA,NA,NA,316,1,9
"161087","9.68","9.68.A.1",9,9,68,"A","1",41,22,33,274,7.9000001,21,195,211,12,NA,2,2,NA,NA,NA,NA,100,NA,NA
"161088","9.68","9.68.A.1",9,9,68,"A","1",42,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161089","9.68","9.68.A.1",9,9,68,"A","1",43,888,35,292,5.9000001,21,181,186,8,NA,6,2,NA,NA,NA,NA,410,3,9
