"Var1" "Freq"
"1" "1,81" 1
"2" "11,58,257" 1
"3" "12,357,395" 1
"4" "12,41" 1
"5" "12,43,54" 1
"6" "12,54" 1
"7" "12,55,74" 1
"8" "12,71,255" 1
"9" "12,71,74" 1
"10" "12,76,97" 1
"11" "13,23,45" 1
"12" "13,55,92" 1
"13" "13,56,62" 1
"14" "13,75,255" 1
"15" "14,21" 1
"16" "14,41,215" 1
"17" "14,41,71" 1
"18" "14,41,76" 1
"19" "14,44,276" 1
"20" "14,45" 1
"21" "14,45,46" 1
"22" "14,65,71" 1
"23" "14,74,76,256" 1
"24" "15,21" 1
"25" "15,43" 1
"26" "16,21" 1
"27" "16,26,41" 1
"28" "16,41" 1
"29" "16,54,243" 1
"30" "16,58,576" 1
"31" "16,61,207" 1
"32" "16,95" 1
"33" "17,25,26" 1
"34" "17,25,29" 1
"35" "17,26,43,44" 1
"36" "17,317" 1
"37" "17,34" 1
"38" "17,58,215" 1
"39" "18,28,34" 1
"40" "18,28,92" 1
"41" "18,34,71" 1
"42" "18,41" 1
"43" "18,48" 1
"44" "18,55" 1
"45" "18,92" 1
"46" "18,92,94" 1
"47" "21,22,25" 1
"48" "21,22,31,378" 1
"49" "21,23,25" 1
"50" "21,23,45" 1
"51" "21,237" 1
"52" "21,24,237" 1
"53" "21,24,25,26" 1
"54" "21,24,25,45" 1
"55" "21,24,26" 1
"56" "21,24,44" 1
"57" "21,243,278" 1
"58" "21,243,357" 1
"59" "21,243,476" 1
"60" "21,243,576" 1
"61" "21,25,215" 1
"62" "21,25,237" 1
"63" "21,25,243,276" 1
"64" "21,25,26,43" 1
"65" "21,25,42" 1
"66" "21,25,44,71" 1
"67" "21,25,45,243" 1
"68" "21,25,45,476" 1
"69" "21,25,476" 1
"70" "21,25,58" 1
"71" "21,26,44" 1
"72" "21,26,46" 1
"73" "21,278" 1
"74" "21,278,476" 1
"75" "21,28,357" 1
"76" "21,29" 1
"77" "21,31,276" 1
"78" "21,31,377" 1
"79" "21,31,42" 1
"80" "21,31,73" 1
"81" "21,33" 1
"82" "21,33,71" 1
"83" "21,35,71" 1
"84" "21,37,243" 1
"85" "21,37,44,45" 1
"86" "21,395" 1
"87" "21,41,42,52" 1
"88" "21,41,43" 1
"89" "21,41,57" 1
"90" "21,41,72" 1
"91" "21,42,215" 1
"92" "21,42,276" 1
"93" "21,42,377" 1
"94" "21,43,215" 1
"95" "21,43,71,243" 1
"96" "21,43,72" 1
"97" "21,43,75" 1
"98" "21,44,237" 1
"99" "21,44,71,76" 1
"100" "21,44,76" 1
"101" "21,45,56" 1
"102" "21,45,657" 1
"103" "21,45,72" 1
"104" "21,45,76" 1
"105" "21,45,92" 1
"106" "21,51" 1
"107" "21,52,243" 1
"108" "21,52,657" 1
"109" "21,52,71" 1
"110" "21,54" 1
"111" "21,54,58" 1
"112" "21,57,92" 1
"113" "21,576" 1
"114" "21,578" 1
"115" "21,65,71" 1
"116" "21,68" 1
"117" "21,71,235" 1
"118" "21,71,74" 1
"119" "21,71,757" 1
"120" "21,74" 1
"121" "21,74,215" 1
"122" "21,77" 1
"123" "215,243" 1
"124" "215,243,255,373" 1
"125" "215,255" 1
"126" "215,278,377,476" 1
"127" "215,476" 1
"128" "22,243" 1
"129" "22,273,357" 1
"130" "22,31,278" 1
"131" "22,31,373" 1
"132" "22,31,71" 1
"133" "22,35" 1
"134" "22,43" 1
"135" "22,52,71" 1
"136" "22,71,378" 1
"137" "23,24,25,243" 1
"138" "23,24,26,45" 1
"139" "23,24,26,46" 1
"140" "23,24,42,45" 1
"141" "23,24,61" 1
"142" "23,25,236" 1
"143" "23,25,26" 1
"144" "23,25,26,72" 1
"145" "23,25,45,46" 1
"146" "23,255" 1
"147" "23,26,243" 1
"148" "23,26,28" 1
"149" "23,26,41" 1
"150" "23,26,42" 1
"151" "23,26,42,46" 1
"152" "23,26,43,45" 1
"153" "23,26,44" 1
"154" "23,26,45,46" 1
"155" "23,26,45,68" 1
"156" "23,26,62" 1
"157" "23,27,28" 1
"158" "23,36" 1
"159" "23,36,44" 1
"160" "23,36,66" 1
"161" "23,38" 1
"162" "23,41" 1
"163" "23,41,68" 1
"164" "23,42" 1
"165" "23,42,46" 1
"166" "23,43,45" 1
"167" "23,45,237" 1
"168" "23,45,395" 1
"169" "23,45,46,79" 1
"170" "23,45,54" 1
"171" "23,45,58" 1
"172" "23,45,67" 1
"173" "23,45,68" 1
"174" "23,45,68,243" 1
"175" "23,46,68,72" 1
"176" "23,47" 1
"177" "23,54" 1
"178" "23,56" 1
"179" "23,57" 1
"180" "236,258" 1
"181" "236,436" 1
"182" "24,237" 1
"183" "24,25,44,237" 1
"184" "24,25,45,237" 1
"185" "24,25,45,476" 1
"186" "24,25,51" 1
"187" "24,25,58" 1
"188" "24,258" 1
"189" "24,26,45,68" 1
"190" "24,26,57" 1
"191" "24,26,66" 1
"192" "24,278" 1
"193" "24,28" 1
"194" "24,45,237" 1
"195" "24,45,276" 1
"196" "24,45,58,476" 1
"197" "24,46,66" 1
"198" "24,58" 1
"199" "24,61" 1
"200" "24,62" 1
"201" "243,276" 1
"202" "243,278" 1
"203" "243,373" 1
"204" "243,657" 1
"205" "25,215" 1
"206" "25,236" 1
"207" "25,237,243" 1
"208" "25,26,36" 1
"209" "25,26,43,44" 1
"210" "25,26,46" 1
"211" "25,26,58" 1
"212" "25,26,72" 1
"213" "25,27,45" 1
"214" "25,28,43" 1
"215" "25,28,46" 1
"216" "25,28,61" 1
"217" "25,29" 1
"218" "25,33" 1
"219" "25,35,41" 1
"220" "25,357" 1
"221" "25,41,273" 1
"222" "25,42,357" 1
"223" "25,42,46" 1
"224" "25,43,44" 1
"225" "25,44,243" 1
"226" "25,46,68" 1
"227" "25,48" 1
"228" "25,51" 1
"229" "25,56" 1
"230" "25,65" 1
"231" "25,68" 1
"232" "25,71,72" 1
"233" "25,72" 1
"234" "25,72,73" 1
"235" "25,73" 1
"236" "25,95" 1
"237" "255,258" 1
"238" "255,258,376" 1
"239" "255,273" 1
"240" "255,277" 1
"241" "255,373" 1
"242" "255,395" 1
"243" "255,476" 1
"244" "255,657" 1
"245" "257,457" 1
"246" "257,576" 1
"247" "258,299" 1
"248" "26,215" 1
"249" "26,28,273" 1
"250" "26,28,45" 1
"251" "26,28,72" 1
"252" "26,336" 1
"253" "26,364" 1
"254" "26,39" 1
"255" "26,41,43,46" 1
"256" "26,41,43,61" 1
"257" "26,41,46,68" 1
"258" "26,41,46,72" 1
"259" "26,41,54,273" 1
"260" "26,41,54,73" 1
"261" "26,41,57,73" 1
"262" "26,41,61,73" 1
"263" "26,41,63" 1
"264" "26,41,657" 1
"265" "26,41,72,273" 1
"266" "26,41,72,95" 1
"267" "26,41,92" 1
"268" "26,41,94" 1
"269" "26,43,207" 1
"270" "26,43,273" 1
"271" "26,43,46" 1
"272" "26,43,54" 1
"273" "26,43,68" 1
"274" "26,43,72" 1
"275" "26,44,45,62" 1
"276" "26,44,61" 1
"277" "26,44,68" 1
"278" "26,45,237" 1
"279" "26,45,54" 1
"280" "26,46,243" 1
"281" "26,46,47" 1
"282" "26,46,72" 1
"283" "26,48,72" 1
