"","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","PlotID0","CoorX","CoorY","Origen"
"186",1,189,0,960701,0,39,4,1,1,NA,960701,0,"0086","3","0086393","510","4763","96","063","0","2","0","2","07","07","0","4","1","1","08","85","25","21","4","5","4","4","21","25","6","3","4","4","00",NA,"0",NA,"0",NA,"21","3","1",NA,"25","1","2","63",NA,NA,NA,NA,"21","25","35","43","15","34","41","2","02","W","20","1",NA,NA,NA,"1","3","0",NA,"3",NA,"0",NA,"P918","P714","245",NA,"05,25",NA,"1.189",510000,4763000,1
"208",1,211,0,960702,0,33,4,3,1,NA,960702,0,"0087","2","0087519","529","4769","96","003","0","1","0","0","06","06","0","4","1","1","08","60","21","25","5","5","4","4","25","21","5","3","4","4","00",NA,"0",NA,"0",NA,"25","1","2","34","21","1","2","34",NA,NA,NA,NA,"25","21","41","3","15","55","65","3","02","W","20","1",NA,NA,NA,"1","2","0",NA,"0",NA,"0",NA,NA,"M404","098",NA,"04,50",NA,"1.211",529000,4769000,1
"209",1,212,0,960716,0,27,4,0,1,NA,960716,0,"0087","2","0087520","530","4769","96","003","0","1","0","0","07","07","0","5","1","1","08","80","21","25","5","5","4","4","25","21","5","4","4","4","00",NA,"0",NA,"0",NA,"25","1","2","40","21","1","2","36",NA,NA,NA,NA,"25","21","43","71",NA,NA,NA,"3","03","W","20","1",NA,NA,NA,"1","2","0",NA,"3",NA,"0",NA,NA,"P414","012",NA,"08,00",NA,"1.212",530000,4769000,1
"282",1,285,0,960612,0,16,4,0,1,NA,960612,0,"0087","3","0087473","516","4762","96","063","0","2","0","2","12","12","0","3","1","1","08","65","25","21","0","7","4","4","00","25","0","3","0","4","00",NA,"0",NA,"0",NA,"21","1","2","38","25","1","2","33",NA,NA,NA,NA,"21","25",NA,NA,NA,NA,NA,"2","04","W","20","1",NA,NA,NA,"1","2","0",NA,"3",NA,"0",NA,NA,"01","120",NA,"03,00",NA,"1.285",516000,4762000,1
"628",1,632,0,960607,0,35,4,3,1,NA,960607,0,"0112","1","0112214","533","4758","96","008","0","6","0","0","08","08","0","4","1","1","08","70","21","21","5","6","4","4","25","25","5","3","4","4","00",NA,"0",NA,"0",NA,"21","1","2","48","25","1","2","48",NA,NA,NA,NA,"21","25","71","15","65",NA,NA,"3","03","W","20","1",NA,NA,NA,"1","2","0",NA,"3",NA,"0",NA,NA,"M414","100",NA,"05,00",NA,"1.632",533000,4758000,1
"742",1,747,0,960530,0,25,4,2,2,NA,960530,0,"0113","1","0113302","540","4756","96","013","0","2","0","0","09","09","0","4","1","1","08","70","25","25","7","7","4","4","21","21","2","3","4","4","34",NA,"1",NA,"4",NA,"25","1","2","52","21","1","2","51",NA,NA,NA,NA,"25","21","43","78","41","65",NA,"2","02","W","20","1",NA,NA,NA,"1","2","0",NA,"3",NA,"0",NA,NA,"P414","061",NA,"06,50",NA,"1.747",540000,4756000,1
"747",1,752,0,960614,0,40,4,3,2,NA,960614,0,"0113","1","0113306","546","4755","96","053","0","2","0","0","09","09","0","4","1","1","08","60","25","25","5","6","3","3","21","21","5","4","3","3","00",NA,"0",NA,"0",NA,"25","1","2","24","21","1","2","24",NA,NA,NA,NA,"25","21","43","37","65",NA,NA,"1","01","W","20","1",NA,NA,NA,"1","2","0",NA,"0",NA,"0",NA,NA,"01","180",NA,"05,25",NA,"1.752",546000,4755000,1
"1095",1,1101,0,960606,0,19,4,2,2,NA,960606,0,"0139","3","0139261","557","4741","96","051","0","2","0","0","10","10","0","3","1","1","05","65","25","25","5","6","3","3","21","21","5","3","3","3","00",NA,"0",NA,"0",NA,"25","1","2","27","21","1","2","26",NA,NA,NA,NA,"25","21","35","15","71","37",NA,"2","01","W","20","1",NA,NA,NA,"1","2","0",NA,"0",NA,"0",NA,NA,"P404","391",NA,"03,00",NA,"1.1101",557000,4741000,1
"4412",4,534,NA,951020,13,31,4,0,4,"S",951027,12,"1012","3","1012F67","538","4120","95","050","1","1","0","0","19","19","4","5","9","1","00","70","25","25","0","7","1","3",NA,"21",NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,"25","1","2","29","21","1","2","29",NA,NA,NA,NA,"25","21","15",NA,NA,NA,NA,"2","02","W","20",NA,NA,NA,"1","1","2",NA,"1",NA,"0","0",NA,"P204","P402","279",NA,"7.25",NA,"4.534",538000,4120000,4
"4537",4,739,NA,951019,12,34,4,0,1,"S",951024,13,"1013","3","1013C48","550","4121","95","019","1","1","0","0","17","17","4","4","9","1","40","90","26","21","5","5","3","3","25","25","5","5","3","3",NA,NA,NA,NA,NA,NA,"21","1","2","25","25","1","2","25",NA,NA,NA,NA,"21","25",NA,NA,NA,NA,NA,"2","02","W","20",NA,NA,NA,"1","1","2",NA,"1",NA,"0","0",NA,NA,"01","18",NA,"5.50",NA,"4.739",550000,4121000,4
