"","PlotID0","PlotID.x","CoorX","CoorY","FechaIni.x","FechaFin.x","Cla.x","Subclase.x","PlotID.y","FechaIni.y","FechaFin.y","Cla.y","Subclase.y"
"1",5.1055,"5.1055.A.1",NA,NA,"04/24/02 00:00:00","04/24/02 00:00:00","A","1","5.1055.A.1","2019-07-15","2019-07-15","A","1"
"2",5.444,"5.444.A.1",NA,NA,"04/25/02 00:00:00","04/25/02 00:00:00","A","1","5.444.A.1","2019-08-20","2019-08-20","A","1"
"3",5.846,"5.846.A.1",NA,NA,"03/06/02 00:00:00","03/06/02 00:00:00","A","1","5.846.A.1","2019-07-11","2019-07-11","A","1"
"4",9.1041,"9.1041.A.1",NA,NA,"05/20/03 00:00:00","05/20/03 00:00:00","A","1","9.1041.A.1","2018-05-09","2018-05-09","A","1"
"5",9.1393,"9.1393.A.3E",NA,NA,"05/09/03 00:00:00","05/09/03 00:00:00","A","3E","9.1393.A.1","2018-11-24","2018-11-24","A","1"
"6",9.1393,"9.1393.A.3C",NA,NA,"05/09/03 00:00:00","05/09/03 00:00:00","A","3C","9.1393.A.1","2018-11-24","2018-11-24","A","1"
"7",9.1544,"9.1544.A.1",NA,NA,"03/10/03 00:00:00","03/10/03 00:00:00","A","1","9.1544.A.1","2018-11-21","2018-11-21","A","1"
"8",9.1596,"9.1596.A.1",NA,NA,"03/31/03 00:00:00","03/31/03 00:00:00","A","1","9.1596.A.1","2018-11-19","2018-11-19","A","1"
"9",9.1718,"9.1718.A.1",NA,NA,"04/22/03 00:00:00","04/22/03 00:00:00","A","1","9.1718.A.1","2018-02-12","2018-02-12","A","1"
"10",9.1719,"9.1719.A.4",NA,NA,"03/25/03 00:00:00","03/25/03 00:00:00","A","4","9.1719.A.1","2018-08-24","2018-08-24","A","1"
"11",9.2234,"9.2234.A.1",NA,NA,"03/28/03 00:00:00","03/28/03 00:00:00","A","1","9.2234.A.1","2018-04-04","2018-04-04","A","1"
"12",9.2468,"9.2468.A.1",NA,NA,"03/05/03 00:00:00","03/05/03 00:00:00","A","1","9.2468.A.1","2018-06-07","2018-06-07","A","1"
