"","PlotID0","FECHGR","anno.gr.x","mes.gr.x","PlotID","FechaIni","Cla","Subclase","anno.gr.y","mes.gr.y","diff.year"
"1",9.1016,920205,1992,2,"9.1016.A.1","2018-04-18","A","1",2018,4,26
"2",9.1213,920212,1992,2,"9.1213.A.4","2018-08-09","A","4",2018,8,27
"3",9.1226,920212,1992,2,"9.1226.A.4","2018-09-06","A","4",2018,9,27
"4",9.1231,920212,1992,2,"9.1231.A.1","2018-09-10","A","1",2018,9,27
"5",9.1236,920213,1992,2,"9.1236.A.1","2018-08-24","A","1",2018,8,27
"6",9.1241,920213,1992,2,"9.1241.A.1","2018-09-18","A","1",2018,9,27
"7",9.1256,920214,1992,2,"9.1256.A.1","2018-11-05","A","1",2018,11,27
"8",9.1267,920217,1992,2,"9.1267.A.1","2018-09-13","A","1",2018,9,27
"9",9.1278,920217,1992,2,"9.1278.A.1","2018-11-22","A","1",2018,11,27
"10",9.129,920323,1992,3,"9.1290.A.1","2018-10-05","A","1",2018,10,27
"11",9.1339,920219,1992,2,"9.1339.A.1","2018-11-13","A","1",2018,11,27
"12",9.134,920128,1992,1,"9.1340.A.1","2018-10-08","A","1",2018,10,27
"13",9.1347,920219,1992,2,"9.1347.A.1","2018-08-23","A","1",2018,8,27
"14",9.1357,920220,1992,2,"9.1357.A.1","2018-09-04","A","1",2018,9,27
"15",9.1389,920220,1992,2,"9.1389.A.1","2018-10-03","A","1",2018,10,27
"16",9.1451,920224,1992,2,"9.1451.A.1","2018-12-12","A","1",2018,12,27
"17",9.1745,920309,1992,3,"9.1745.A.1","2018-11-15","A","1",2018,11,27
"18",9.1871,920309,1992,3,"9.1871.A.1","2018-11-12","A","1",2018,11,27
"19",9.1984,920310,1992,3,"9.1984.A.1","2018-11-18","A","1",2018,11,27
"20",9.1986,920310,1992,3,"9.1986.A.1","2018-11-18","A","1",2018,11,27
"21",9.1992,920311,1992,3,"9.1992.A.1","2018-11-20","A","1",2018,11,27
"22",9.1998,920311,1992,3,"9.1998.A.1","2018-11-28","A","1",2018,11,27
"23",9.2293,920309,1992,3,"9.2293.A.1","2018-11-29","A","1",2018,11,27
"24",9.2295,920309,1992,3,"9.2295.A.1","2018-11-29","A","1",2018,11,27
"25",9.237,920130,1992,1,"9.2370.A.1","2018-10-26","A","1",2018,10,27
"26",9.2373,920310,1992,3,"9.2373.A.1","2018-10-23","A","1",2018,10,27
"27",9.2384,920310,1992,3,"9.2384.A.1","2018-10-19","A","1",2018,10,27
"28",9.364,920211,1992,2,"9.364.A.1","2018-06-13","A","1",2018,6,26
"29",9.76,920128,1992,1,"9.76.A.1","2018-06-06","A","1",2018,6,27
"30",24.1261,921119,1992,11,"24.1261.A.1","2019-10-17","A","1",2019,10,27
"31",24.1272,921119,1992,11,"24.1272.A.4","2019-10-23","A","4",2019,10,27
"32",24.465,930128,1993,1,"24.465.A.1","2019-08-13","A","1",2019,8,27
"33",34.308,920327,1992,3,"34.308.A.1","2019-07-25","A","1",2019,7,27
"34",34.448,920401,1992,4,"34.448.A.1","2019-03-14","A","1",2019,3,27
"35",34.465,920401,1992,4,"34.465.A.1","2019-04-09","A","1",2019,4,27
"36",34.497,920408,1992,4,"34.497.A.1","2019-04-08","A","1",2019,4,27
"37",37.1032,920708,1992,7,"37.1032.A.1","2018-10-24","A","1",2018,10,26
"38",40.1634,920507,1992,5,"40.1634.A.1","2018-11-28","A","1",2018,11,27
"39",40.1656,920508,1992,5,"40.1656.A.1","2019-03-14","A","1",2019,3,27
"40",42.1187,920113,1992,1,"42.1187.A.1","2019-08-22","A","1",2019,8,28
"41",42.1194,920113,1992,1,"42.1194.A.1","2019-05-10","A","1",2019,5,27
"42",42.151,920109,1992,1,"42.151.A.1","2019-08-19","A","1",2019,8,28
"43",42.2589,920129,1992,1,"42.2589.A.1","2019-05-27","A","1",2019,5,27
"44",42.342,920113,1992,1,"42.342.A.1","2019-07-19","A","1",2019,7,28
"45",42.376,920113,1992,1,"42.376.A.1","2019-04-26","A","1",2019,4,27
"46",42.585,921218,1992,12,"42.585.A.1","2019-06-21","A","1",2019,6,27
"47",42.652,920115,1992,1,"42.652.A.1","2019-05-22","A","1",2019,5,27
"48",42.653,920115,1992,1,"42.653.A.1","2019-05-29","A","1",2019,5,27
"49",42.668,920115,1992,1,"42.668.A.1","2019-04-23","A","1",2019,4,27
"50",42.7,920108,1992,1,"42.70.A.1","2019-05-27","A","1",2019,5,27
"51",42.82,920108,1992,1,"42.82.A.1","2019-06-26","A","1",2019,6,28
