"","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","Ano","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","FechaIni","HoraIni","FechaFin","HoraFin","Origen","PlotID0","PlotID"
"6023",5,672,"A","1",0,"1998","","3-4","1985","m","0004",2019,1,1,1,95,50,1,1,2,2,2,4,1,2,1,1,5,2,NA,NA,0,0,0,0,0,25,0,5,0,1,2,2,"-rejon localizado mediante el uso de croquis y pies mayores del ifn3.
-la parcela no se desplaza,esta e 17 metros de la tesela y no entran pies de 42.5 en la tesela con la que se solapa.
-hay encina en estado repobledo pero la ocupacion es minima
[ClaEsp]
[Pies Mayores]
-pie 6 altura y distanciia comprobadas.
-pie 6 y 7 medidos por arriba del 1.3 por bifurcacion.",2019-10-14,2000-01-01,2019-10-14,2000-01-01,5,"5.672","5.672.A.1"
"8211",9,68,"A","1",0,"1985","L","0010","1997","","4-1",2018,1,1,2,100,75,1,1,2,2,2,4,1,2,1,1,11,6,NA,NA,1,0,0,0,0,153,0,8.5,0,2,2,2,"[ClaEsp. Resto de especies=10%]
[Pies Mayores]
Pie 5 altura comprobada.
pie 9 altura comprobada.
pie 12 altura comprobada.
pie 18 forma distinta.",2018-05-09,2000-01-01,2018-05-09,2000-01-01,9,"9.68","9.68.A.1"
"8215",9,76,"A","1",0,"1985","L","0010","1997","","4-1",2018,1,1,2,100,75,1,1,2,2,2,4,1,2,1,1,11,5,NA,NA,1,0,0,0,0,385,0,5,0,3,2,2,"[Pies Mayores]
A 66 g hay un 43 que no entra por distancia: 10.1 mtros al lateral.
pie 11 paes comprobados.
pie 19 forma distinta.
pie 21 medido a 1.1 mtrs.
[Matorral]fuera de los 10 mtrs hay ulex.
la mitad de la parcela ha sido levantada por el auxiliar Victor marti.",2018-06-06,2000-01-01,2018-06-06,2000-01-01,9,"9.76","9.76.A.1"
"8277",9,159,"A","1",0,"1984","K","0003","","","",2018,1,1,1,100,75,1,1,2,2,1,4,1,2,1,1,5,15,NA,NA,1,0,0,0,0,16,0,5.25,0,2,2,2,"PARCELA LOCALIZADA CON FOTOS AEREAS Y PIES MAYORES IFN3.
[ClaEsp. Resto de especies=10%]
[Pies Mayores]
PIES 3 Y 4 POSICION COMPROBADA.
PAE COMPROBADO PIE (10, 25)
ALTURA COMPROBADA PIE 10.
PIE 13 NO LO CONSIDERO ERROR POR ESTAR DENTRO DEL CRECIMIENTO Y AL ESTAR AISLADO Y SIN COMPETENCIA.
A 111G HAY UN 21 QUE NO ENTRA POR DISTANCIA LATERAL.
A 159G HAY UN 273 QUE NO ENTRA POR DISTANCIA LATERAL.
A 228G Y 18.5M HAY UN 21 QUE NO ENTRA POR DIAMETROS (386;433).
PIE 18 MEDIDO A 1.20M POR BIFURCACION.
A 244G Y 11M HAY UN 43 QUE NO ENTRA POR DIAMETROS (214;226)
PIE 29 NO LO CONSIDERO ERROR POR ENTRAN DENTRO EL CRECIMIENTO DE LA ZONA.
FORMA COMPROBADA PIE 33.",2018-09-19,2000-01-01,2018-09-19,2000-01-01,9,"9.159","9.159.A.1"
"8440",9,364,"A","1",0,"1985","L","0004","1997","","3-1",2018,1,1,2,95,85,1,1,2,1,2,4,1,2,1,1,5,3,NA,NA,0,0,0,0,0,375,0,9.25,0,2,3,2,"[Pies Mayores]A 73g y 12.3 mtrs hay un 21 que no entra por diametro:242-193.
pie 12 forma distinta.
pie 13 y 14vformas distintas.

[Selvicultura]hay tocones de cortas muy antiguas.
[Localización]levantamiento dificil por estar pinchada en el terraplen de la pista.
pie de 43 barrenado no es el sugerido por el terminal por estar muy dominado.",2018-06-13,2000-01-01,2018-06-13,2000-01-01,9,"9.364","9.364.A.1"
"8479",9,431,"A","1",0,"1985","K","0007","","","",2018,1,1,1,90,80,1,2,1,1,2,5,1,1,1,1,8,5,NA,NA,0,0,0,0,0,210,0,7,0,2,3,2,"PARCELA LOCALIZADA CON FOTOS AEREAS Y PIES MAYORES IFN3.
[ClaEsp. Resto de especies=20%]
[Pies Mayores]
RUMBO COMPROBADO PIE 3
PAE COMPROBADOS PIES (4, 16)
A 207G HAY UN 43 QUE NO ENTRA POR MUY POCO EN EL LATERAL. 5M",2018-06-08,2000-01-01,2018-06-08,2000-01-01,9,"9.431","9.431.A.1"
"8797",9,1016,"A","1",0,"1997","","4-4","1985","M","0013",2018,1,1,2,100,85,1,2,2,3,2,4,1,2,1,1,1,4,NA,NA,0,0,0,0,0,147,NA,5,NA,1,1,2,"[Pies Mayores]N2 PAE COMP.PINO A 42G NO ENTRA POR DM.ROBLE A 117G NO ENTRA POR DIST.COMP.N27 PAE COMP.N29 NO CLARO 100%.999.ROBLE A 261G NO ENTRA POR DM.ROBLE A 361G NO ENTRA POR DIST.",2018-04-18,2000-01-01,2018-04-18,2000-01-01,9,"9.1016","9.1016.A.1"
"8904",9,1213,"A","4",0,"1997","","4-1","1984","L","0006",2018,1,1,2,95,90,1,2,1,3,1,4,1,2,1,1,5,5,NA,NA,1,4,4,0,0,81,NA,1.25,NA,2,2,1,"REJON NO ENCONTRADO POR EXISTENCIA DE CORTAS Y CAMBIO DE LA MASA. DESPLAZO PARCELA A 22M Y 354G DESDE CRUCE DE COORDENADAS POR ESTAR COLINDANDO CON BORDE DE TESELA; POR ORDEN DE OFICINA. DEJO 10% AL RESTO DE ESPECIES.
[Pies Mayores] 043 A 6.5M Y 32G NO ENTRA POR DIAMETRO. 021 A 209G Y 15.2 SE VA POR DISTANCIA. PIE 28 IFN4 COMPROBADO CON CINTA METRICA.
[Matorral] HAY LONICERA FUERA DE 10.",2018-08-09,2000-01-01,2018-08-09,2000-01-01,9,"9.1213","9.1213.A.4"
"8912",9,1226,"A","4",0,"1984","M","0005","1997","","3-4",2018,1,1,2,95,80,1,2,1,3,1,4,1,2,1,1,5,3,NA,NA,1,4,0,0,0,22,NA,2.25,NA,2,2,2,"PARCELA LEVANTADA A4 DEBIDO A CORTAS Y PODAS EN LA PLANTACION, LA REFERENCIA NO ERA CLARA. LEVANTO PARCELA EN CRUCE DE COORDENADAS. SE OBSERVAN ANTIGUOS ACABALLONADOS Y ENTRESACAS. NO PUEDO DEJAR REFERENCIA BUENA/UTIL.
[Pies Mayores]
 043 A 399G Y 10.1M SE VA POR DIAMETRO.",2018-09-06,2000-01-01,2018-09-06,2000-01-01,9,"9.1226","9.1226.A.4"
"8913",9,1227,"A","1",0,"1982","M","0005","1997","","3-4",2018,1,1,2,95,90,1,2,1,3,1,4,1,2,1,1,5,2,NA,NA,1,0,4,0,0,50,NA,1.5,NA,2,2,1,"PARCELA LOCALIZADA  POR ORTOFOTO Y PIES IFN3. LA PARCELA SOLAPA 2 TESELAS PERO NO DESPLAZO YA QUE EL SOLAPE ES MENOR AL 5%. DEJO 10% RESTO SPP.
[Pies Mayores] PIE 001,003 IFN4 CALIDAD COMPROBADA. A 142G Y 8.2M 043 SE VA POR DIAMETRO. 043 A 147G Y 7M SE VA POR DIAMETRO.PIE 23 IFN4 MEDIDO A 1.1M POR ENGROSAMIENTO . PIE 31 IFN4 DANOS POR CAIDA DE 021 SOBRE EL, FORMA COMPROBADA GRADOS 1.30M ACTUALES: 205G. PIE 33 IFN4 FORMA Y CALIDAD COMPROBADA, DANOS POR CAIDA 021 SOBRE EL.",2018-08-10,2000-01-01,2018-08-10,2000-01-01,9,"9.1227","9.1227.A.1"
