"","PlotID0","PlotID.x","FechaIni.x","Cla.x","Subclase.x","anno.gr.x","mes.gr.x","PlotID.y","FechaIni.y","Cla.y","Subclase.y","anno.gr.y","mes.gr.y","diff.year"
"1",9.141,"9.1410.A.3C","04/25/03 00:00:00","A","3C",2003,4,"9.1410.A.1","2018-11-15","A","1",2018,11,16
"2",9.1424,"9.1424.A.1","04/01/03 00:00:00","A","1",2003,4,"9.1424.A.1","2018-10-29","A","1",2018,10,16
"3",9.1506,"9.1506.A.1","03/26/03 00:00:00","A","1",2003,3,"9.1506.A.4","2018-11-28","A","4",2018,11,16
"4",9.1912,"9.1912.A.1","04/30/03 00:00:00","A","1",2003,4,"9.1912.A.1","2018-10-25","A","1",2018,10,16
"5",9.1913,"9.1913.A.1","04/28/03 00:00:00","A","1",2003,4,"9.1913.A.1","2018-10-24","A","1",2018,10,16
"6",9.1939,"9.1939.A.1","05/19/03 00:00:00","A","1",2003,5,"9.1939.A.1","2018-10-23","A","1",2018,10,16
"7",9.2008,"9.2008.A.1","05/05/03 00:00:00","A","1",2003,5,"9.2008.A.1","2018-10-04","A","1",2018,10,16
"8",9.2303,"9.2303.A.1","04/28/03 00:00:00","A","1",2003,4,"9.2303.A.1","2018-10-01","A","1",2018,10,16
"9",42.105,"42.105.A.1 ","11/20/03 12:53:28","A","1 ",2003,11,"42.105.A.1","2019-08-07","A","1",2019,8,16
"10",42.118,"42.118.A.3C","12/03/03 09:59:10","A","3C",2003,12,"42.118.A.1","2019-08-14","A","1",2019,8,16
"11",42.147,"42.147.A.1 ","12/02/03 13:16:04","A","1 ",2003,12,"42.147.A.1","2019-07-22","A","1",2019,7,16
"12",42.149,"42.149.A.4 ","03/12/04 11:18:32","A","4 ",2004,3,"42.149.A.1","2019-08-02","A","1",2019,8,16
"13",42.266,"42.266.A.1 ","01/21/04 10:59:04","A","1 ",2004,1,"42.266.A.1","2019-07-19","A","1",2019,7,16
"14",42.491,"42.491.A.3E","01/29/04 11:22:33","A","3E",2004,1,"42.491.A.1","2019-05-13","A","1",2019,5,15
"15",42.508,"42.508.A.1 ","11/13/03 13:48:23","A","1 ",2003,11,"42.508.A.1","2019-07-02","A","1",2019,7,16
"16",42.535,"42.535.A.1 ","12/04/03 14:16:12","A","1 ",2003,12,"42.535.A.1","2019-08-05","A","1",2019,8,16
"17",42.552,"42.552.A.3E","11/20/03 12:40:41","A","3E",2003,11,"42.552.A.1","2019-08-01","A","1",2019,8,16
