"","PlotID0","CoorX.x","CoorY.x","ANO","FECHGR","FECHAVE","PlotID","CoorX.y","CoorY.y","FechaIni","FechaFin","Cla","Subclase"
"1",1.613,522000,4759000,96,960607,960607,"1.613.A.1",522000,4759000,"06/29/05 00:00:00","06/29/05 00:00:00","A","1"
"2",15.1091,555000,4782000,86,890610,893110,"15.1091.A.1",NA,NA,"10/01/97 00:00:00","10/01/97 00:00:00","A","1"
"3",15.1094,556000,4786000,86,890610,893110,"15.1094.A.1",NA,NA,"11/24/97 00:00:00","11/24/97 00:00:00","A","1"
"4",15.1686,518000,4777000,86,890910,891810,"15.1686.A.1",NA,NA,"11/06/97 00:00:00","11/06/97 00:00:00","A","1"
"5",15.1971,560000,4778000,86,891206,900103,"15.1971.A.1",NA,NA,"12/18/97 00:00:00","12/18/97 00:00:00","A","1"
"6",15.2046,577000,4777000,86,890208,900503,"15.2046.A.1",NA,NA,"09/22/97 00:00:00","09/22/97 00:00:00","A","1"
"7",15.2934,585000,4757000,86,892208,891710,"15.2934.A.1",NA,NA,"11/27/97 00:00:00","11/27/97 00:00:00","A","1"
"8",15.611,586000,4801000,86,891307,890411,"15.611.A.1",NA,NA,"11/21/97 00:00:00","11/21/97 00:00:00","A","1"
"9",20.1083,557000,4758000,96,960301,960301,"20.1083.A.1",557000,4758000,"07/29/05 00:00:00","07/29/05 00:00:00","A","1"
"10",20.339,568000,4785000,96,960314,960314,"20.339.A.1",568000,4785000,"07/13/05 00:00:00","07/13/05 00:00:00","A","1"
"11",20.532,558000,4777000,96,960328,960328,"20.532.A.1",557996,4776961,"08/29/05 00:00:00","08/29/05 00:00:00","A","1"
"12",20.576,550000,4774000,96,960325,960325,"20.576.A.1",550000,4774000,"06/30/05 00:00:00","06/30/05 00:00:00","A","1"
"13",20.7,601000,4799000,96,960308,960308,"20.70.A.1",547021,4787993,"09/20/05 00:00:00","09/20/05 00:00:00","A","1"
"14",20.729,562000,4767000,96,960321,960321,"20.729.A.1",562000,4767000,"05/30/05 00:00:00","05/30/05 00:00:00","A","1"
"15",20.951,575000,4770000,96,960318,960318,"20.951.A.1",575025,4769983,"10/17/05 00:00:00","10/17/05 00:00:00","A","1"
"16",27.1083,646000,4796000,87,892112,902501,"27.1083.A.1",NA,NA,"05/18/98 00:00:00","05/18/98 00:00:00","A","1"
"17",27.1178,650000,4794000,87,892112,902501,"27.1178.A.1",NA,NA,"05/20/98 00:00:00","05/20/98 00:00:00","A","1"
"18",27.1421,6e+05,4763000,87,900901,903001,"27.1421.A.1",NA,NA,"03/10/98 00:00:00","03/10/98 00:00:00","A","1"
"19",27.1486,629000,4773000,87,901601,903001,"27.1486.A.3C",NA,NA,"04/02/98 00:00:00","04/02/98 00:00:00","A","3C"
"20",27.1553,629000,4766000,87,901701,903101,"27.1553.A.1",NA,NA,"04/28/98 00:00:00","04/28/98 00:00:00","A","1"
"21",27.1611,650000,4779000,87,901701,900102,"27.1611.A.1",NA,NA,"05/18/98 00:00:00","05/18/98 00:00:00","A","1"
"22",27.1619,652000,4778000,87,901701,900102,"27.1619.A.1",NA,NA,"05/20/98 00:00:00","05/20/98 00:00:00","A","1"
"23",27.1727,592000,4750000,87,901801,900102,"27.1727.A.1",NA,NA,"05/19/98 00:00:00","05/19/98 00:00:00","A","1"
"24",27.1745,589000,4745000,87,901801,900202,"27.1745.A.1",NA,NA,"05/15/98 00:00:00","05/15/98 00:00:00","A","1"
"25",27.181,609000,4822000,87,892012,901203,"27.1810.A.1",NA,NA,"04/02/98 00:00:00","04/02/98 00:00:00","A","1"
"26",27.1848,599000,4750000,87,901901,900302,"27.1848.A.1",NA,NA,"05/08/98 00:00:00","05/08/98 00:00:00","A","1"
"27",27.1904,597000,4744000,87,902001,900302,"27.1904.A.1",NA,NA,"04/08/98 00:00:00","04/08/98 00:00:00","A","1"
"28",27.1911,613000,4744000,87,902001,900502,"27.1911.A.3C",NA,NA,"04/13/98 00:00:00","04/13/98 00:00:00","A","3C"
"29",27.2016,643000,4752000,87,902301,900602,"27.2016.A.3C",NA,NA,"03/20/98 00:00:00","03/20/98 00:00:00","A","3C"
"30",27.2016,643000,4752000,87,902301,900602,"27.2016.A.3E",NA,NA,"03/20/98 00:00:00","03/20/98 00:00:00","A","3E"
"31",27.2061,642000,4748000,87,903001,901402,"27.2061.A.1",NA,NA,"03/09/98 00:00:00","03/09/98 00:00:00","A","1"
"32",27.2317,595000,4736000,87,900602,902002,"27.2317.A.1",NA,NA,"05/11/98 00:00:00","05/11/98 00:00:00","A","1"
"33",27.2338,602000,4731000,87,900702,902002,"27.2338.A.1",NA,NA,"05/08/98 00:00:00","05/08/98 00:00:00","A","1"
"34",27.2373,637000,4738000,87,900902,902002,"27.2373.A.1",NA,NA,"04/28/98 00:00:00","04/28/98 00:00:00","A","1"
"35",27.2394,645000,4735000,87,900902,902002,"27.2394.A.2C",NA,NA,"04/22/98 00:00:00","04/23/98 00:00:00","A","2C"
