"","x"
"1",1.315
"2",1.329
"3",1.342
"4",1.472
"5",1.484
"6",1.909
"7",1.917
"8",1.919
"9",17.1242
"10",17.1273
"11",17.1276
"12",17.1292
"13",17.379
"14",17.406
"15",17.407
"16",17.409
"17",17.431
"18",17.443
"19",17.447
"20",17.448
"21",17.537
"22",17.577
"23",17.602
"24",17.617
"25",17.627
"26",17.656
"27",17.693
"28",17.705
"29",17.743
"30",17.744
"31",17.766
"32",17.768
"33",17.83
"34",17.869
"35",19.2
"36",22.1
"37",22.117
"38",22.1208
"39",22.121
"40",22.124
"41",22.1411
"42",22.1418
"43",22.1432
"44",22.146
"45",22.1464
"46",22.1477
"47",22.1603
"48",22.1739
"49",22.22
"50",22.265
"51",22.348
"52",22.37
"53",22.398
"54",22.44
"55",22.48
"56",22.487
"57",22.498
"58",22.52
"59",22.523
"60",22.55
"61",22.56
"62",22.57
"63",22.585
"64",22.605
"65",22.61
"66",22.62
"67",22.66
"68",22.7
"69",22.763
"70",25.2422
"71",25.53
"72",25.69
"73",26.1052
"74",26.1062
"75",26.1063
"76",26.1076
"77",26.1094
"78",26.1124
"79",26.228
"80",26.687
"81",26.688
"82",26.945
"83",26.961
"84",26.977
"85",31.1037
"86",31.1038
"87",31.1055
"88",31.1058
"89",31.1061
"90",31.1063
"91",31.1064
"92",31.1075
"93",31.1114
"94",31.1124
"95",31.125
"96",31.1253
"97",31.1302
"98",31.1327
"99",31.1402
"100",31.1403
"101",31.1407
"102",31.1408
"103",31.141
"104",31.1411
"105",31.1607
"106",31.1609
"107",31.1627
"108",31.576
"109",31.761
"110",31.765
"111",31.776
"112",31.779
"113",31.854
"114",31.882
"115",31.888
"116",31.931
"117",31.952
"118",31.954
"119",31.963
"120",31.964
"121",31.967
"122",31.969
"123",31.974
"124",42.105
"125",42.266
"126",42.35
"127",42.508
"128",42.535
"129",50.116
"130",8.152
"131",8.158
"132",8.165
"133",8.167
"134",8.168
"135",8.169
"136",8.191
"137",8.193
"138",8.194
"139",8.195
"140",8.196
"141",8.205
"142",8.216
"143",8.23
"144",8.234
"145",8.268
"146",8.95
"147",9.141
"148",9.1424
"149",9.1506
"150",9.1869
"151",9.1896
"152",9.1912
"153",9.1913
"154",9.1929
"155",9.1939
"156",9.1952
"157",9.2008
"158",9.2303
"159",9.477
"160",9.493
"161",9.582
"162",9.898
