"","Pvalor","PlotID"
"1","1.14156236702975e-19","1 . 4"
"2","6.49691543640495e-29","1 . 5"
"3","4.65541467392569e-11","1 . 7"
"5","2.05612117749145e-08","1 . 12"
"7","9.85338543311353e-22","1 . 18"
"8","1.34431186655238e-10","1 . 20"
"10","5.84647758040595e-29","1 . 23"
"11","1.93659851515777e-32","1 . 24"
"14","1.21447935829787e-31","1 . 28"
"19","1.10596500922051e-15","1 . 37"
"21","2.19565102598983e-18","1 . 41"
"22","3.53325456661896e-28","1 . 42"
"27","2.22309856027009e-26","1 . 49"
"30","5.63317860169171e-15","1 . 53"
"31","6.70094719709111e-22","1 . 55"
"34","3.02908008204342e-16","1 . 62"
"36","2.67572814468293e-34","1 . 70"
"39","8.30959119236892e-18","1 . 77"
"41","5.04776384649688e-21","1 . 81"
"43","5.62402091474502e-19","1 . 83"
"47","5.6500824510156e-20","1 . 97"
"48","2.10327025769494e-17","1 . 104"
"50","5.1311798894384e-11","1 . 107"
"51","3.03469699054887e-14","1 . 108"
"52","4.30532221906506e-05","1 . 110"
"53","1.13186182864282e-07","1 . 117"
"57","1.85118219735109e-21","1 . 130"
"58","5.2397171368291e-11","1 . 131"
"60","9.71301854648873e-26","1 . 136"
"62","1.10667469725668e-11","1 . 142"
"63","3.72104247602026e-10","1 . 143"
"64","5.44324957968003e-11","1 . 147"
"65","1.05300224028843e-07","1 . 149"
"66","6.50622865979508e-15","1 . 150"
"67","2.70400244382989e-20","1 . 151"
"69","4.51376635235202e-15","1 . 154"
"70","2.56166489442296e-08","1 . 155"
"71","5.5220146803693e-14","1 . 157"
"72","1.06327077409765e-15","1 . 159"
"73","2.07008289657691e-10","1 . 160"
"74","4.91868630970623e-34","1 . 163"
"75","2.68008955416862e-18","1 . 164"
"78","2.13415609742555e-12","1 . 170"
"81","3.30761656390607e-19","1 . 179"
"82","1.93128021395248e-30","1 . 184"
"85","1.91753881976934e-12","1 . 194"
"87","4.33713357667806e-18","1 . 203"
"88","2.14321541242418e-13","1 . 207"
"89","1.26679959220395e-33","1 . 215"
"93","3.11282391570548e-21","1 . 221"
"94","2.07280523116032e-13","1 . 222"
"95","3.13497845930664e-19","1 . 223"
"96","2.8501914496131e-28","1 . 224"
"97","5.61432813274047e-13","1 . 225"
"98","2.7069370396058e-21","1 . 227"
"99","1.69551890310043e-08","1 . 229"
"103","5.4871362100972e-15","1 . 235"
"104","5.12502517346834e-16","1 . 237"
"105","3.31207971241921e-20","1 . 239"
"107","3.89306599138625e-28","1 . 241"
"108","1.98664337509025e-26","1 . 244"
"109","2.68871219038287e-18","1 . 248"
"110","3.2279965478307e-48","1 . 250"
"111","5.0791737947857e-40","1 . 252"
"113","8.13024866599475e-20","1 . 255"
"117","2.37033343326436e-26","1 . 261"
"119","1.8890814079977e-18","1 . 264"
"120","6.33580417877817e-17","1 . 265"
"123","2.80654054818613e-15","1 . 269"
"124","1.60815987786792e-34","1 . 270"
"125","1.01831252945378e-16","1 . 272"
"126","6.63404093459338e-12","1 . 276"
"127","2.07078230239111e-14","1 . 280"
"128","3.88825086574893e-18","1 . 281"
