"","PlotID","G","N","Especie","G.e","N.e","porcentajeG","porcentejeN","PlotID0"
"1","1.100",24.3864704444444,865.661419359384,28,10.2031204444444,204.284211399731,0.418392668495774,0.23598627226671,"9.995"
"2","1.100",24.3864704444444,865.661419359384,43,9.9161,572.957795130823,0.406623009368665,0.661872855041673,"9.995"
"3","1.100",24.3864704444444,865.661419359384,72,4.26725,88.4194128288307,0.174984322135561,0.102140872691616,"9.995"
"4","1.1000",22.8055111111111,1347.51185151138,21,8.26696111111111,459.78094670992,0.362498392201495,0.341207349081365,"9.995"
"5","1.1000",22.8055111111111,1347.51185151138,25,14.08595,855.899916183082,0.617655527708702,0.635170603674541,"9.995"
"12","1.1004",16.7966114444444,1115.64078330905,41,8.99333333333333,650.766878420194,0.535425455490186,0.583312198833376,"9.995"
"13","1.1004",16.7966114444444,1115.64078330905,71,7.80327811111111,464.873904888861,0.464574544509814,0.416687801166624,"9.995"
"16","1.101",32.1074697777778,1038.96346850389,21,11.2346031111111,119.401575084053,0.349906211509909,0.114923747276688,"9.995"
"17","1.101",32.1074697777778,1038.96346850389,44,10.847975,502.222264867759,0.337864524208261,0.48338779956427,"9.995"
"18","1.101",32.1074697777778,1038.96346850389,45,7.78238611111111,339.53054526271,0.242385530998692,0.326797385620915,"9.995"
"24","1.1013",11.7744833333333,809.92182151209,21,7.85418333333333,427.949958091541,0.667051208191725,0.528384279475983,"9.995"
"26","1.1013",11.7744833333333,809.92182151209,44,3.0368,254.647908947033,0.257913652262166,0.314410480349345,"9.995"
"31","1.1016",41.2508967777778,2319.27656626536,43,13.2188277777778,707.355302630646,0.320449464383496,0.304989630352568,"9.995"
"33","1.1016",41.2508967777778,2319.27656626536,71,20.9183037777778,1449.65395721125,0.507099370238338,0.625045748444553,"9.995"
"35","1.1017",23.6271795555556,446.341195959938,44,10.8520583333333,251.111132433879,0.459304010782008,0.562599049128368,"9.995"
"36","1.1017",23.6271795555556,446.341195959938,71,9.04508422222222,94.6441394919804,0.38282538975734,0.212044374009509,"9.995"
"42","1.1019",55.1856025555556,547.49300423612,41,17.1558631111111,175.989999294505,0.310875705195757,0.321447028423773,"9.995"
"43","1.1019",55.1856025555556,547.49300423612,71,38.0297394444444,371.503004941615,0.689124294804243,0.678552971576227,"9.995"
"48","1.1020",19.1646695555556,976.857672932922,44,11.9545892222222,570.552787101879,0.623782694899467,0.584069514844316,"9.995"
"49","1.1020",19.1646695555556,976.857672932922,71,3.156772,10.1859163578813,0.164718310996648,0.010427226647357,"9.995"
"53","1.1022",18.9245965555556,116.147740691952,41,3.818116,5.09295817894065,0.201754155698455,0.0438489646772229,"9.995"
"54","1.1022",18.9245965555556,116.147740691952,71,15.1064805555556,111.054782513011,0.798245844301545,0.956151035322777,"9.995"
"55","1.1023",26.8085666666667,1117.62137815642,41,7.31003611111111,346.604098289017,0.272675380299249,0.310126582278481,"9.995"
"59","1.1023",26.8085666666667,1117.62137815642,76,16.1566083333333,583.568124670283,0.602665876703591,0.522151898734177,"9.995"
"68","1.1028",26.0947355555556,669.582529470169,44,13.437,429.506139757328,0.514931449348958,0.641453623494612,"9.995"
"69","1.1028",26.0947355555556,669.582529470169,71,6.17198,42.0169049762604,0.236522036671339,0.0627508979505599,"9.995"
"71","1.1029",21.9456778888889,412.954025675771,41,3.96177777777778,56.5884242104517,0.180526561896893,0.13703323055841,"9.995"
"72","1.1029",21.9456778888889,412.954025675771,43,8.241025,233.427249868113,0.375519272711664,0.565262076053443,"9.995"
"74","1.1029",21.9456778888889,412.954025675771,48,6.48729288888889,71.8672987472736,0.295606858067183,0.174032202809181,"9.995"
"77","1.103",27.3771666666667,894.804457827767,21,22.2249666666667,640.156548880735,0.811806675879535,0.715415019762846,"9.995"
"78","1.103",27.3771666666667,894.804457827767,44,5.1522,254.647908947033,0.188193324120465,0.284584980237154,"9.995"
