"","Pvalor","PlotID"
"1","0.05","1 . 4"
"2","0","1 . 5"
"3","0","1 . 7"
"4","0","1 . 8"
"5","0","1 . 18"
"6","0","1 . 22"
"7","0","1 . 23"
"8","0.01","1 . 24"
"9","0.01","1 . 27"
"10","0","1 . 28"
"11","0","1 . 31"
"12","0","1 . 33"
"13","0.01","1 . 35"
"14","0","1 . 37"
"15","0","1 . 41"
"16","0","1 . 42"
"17","0","1 . 45"
"18","0.01","1 . 48"
"19","0","1 . 49"
"20","0","1 . 53"
"21","0","1 . 55"
"22","0","1 . 57"
"23","0.05","1 . 59"
"24","0","1 . 62"
"25","0","1 . 70"
"26","0.13","1 . 71"
"27","0","1 . 72"
"28","0.11","1 . 77"
"29","0","1 . 81"
"30","0.01","1 . 82"
"31","0","1 . 83"
"32","0","1 . 85"
"33","0","1 . 92"
"34","0","1 . 97"
"35","0.05","1 . 107"
"36","0","1 . 108"
"37","0.27","1 . 117"
"38","0","1 . 130"
"39","0","1 . 136"
"40","0.02","1 . 142"
"41","0.01","1 . 143"
"42","0","1 . 147"
"43","0.02","1 . 149"
"44","0.09","1 . 150"
"45","0.01","1 . 151"
"46","0","1 . 154"
"47","0","1 . 155"
"48","0","1 . 157"
"49","0.27","1 . 159"
"50","0.01","1 . 160"
"51","0.05","1 . 163"
"52","0","1 . 164"
"53","0.04","1 . 167"
"54","0.06","1 . 170"
"55","0.03","1 . 172"
"56","0","1 . 179"
"57","0.1","1 . 184"
"58","0.13","1 . 194"
"59","0","1 . 202"
"60","0.03","1 . 203"
"61","0.23","1 . 207"
"62","0","1 . 215"
"63","0","1 . 221"
"64","0","1 . 222"
"65","0","1 . 224"
"66","0","1 . 225"
"67","0.35","1 . 227"
"68","0.02","1 . 229"
"69","0","1 . 233"
"70","0.02","1 . 234"
"71","0","1 . 235"
"72","0","1 . 237"
"73","0","1 . 239"
"74","0","1 . 241"
"75","0.01","1 . 244"
"76","0","1 . 248"
"77","0","1 . 250"
"78","0","1 . 252"
"79","0.09","1 . 253"
"80","0.04","1 . 258"
"81","0","1 . 261"
"82","0.01","1 . 264"
"83","0.12","1 . 265"
"84","0.03","1 . 267"
"85","0.12","1 . 268"
"86","0.11","1 . 269"
"87","0.04","1 . 270"
"88","0.25","1 . 272"
"89","0.02","1 . 276"
"90","0","1 . 281"
"91","0","1 . 282"
"92","0.02","1 . 283"
"93","0","1 . 284"
"94","0","1 . 291"
"95","0","1 . 299"
"96","0","1 . 302"
"97","0","1 . 303"
"98","0.05","1 . 307"
"99","0","1 . 308"
"100","0","1 . 311"
"101","0","1 . 314"
"102","0","1 . 319"
"103","0","1 . 325"
"104","0","1 . 326"
"105","0","1 . 328"
"106","0.01","1 . 331"
"107","0","1 . 334"
"108","0","1 . 335"
"109","0.2","1 . 337"
"110","0","1 . 338"
"111","0.13","1 . 339"
"112","0","1 . 343"
"113","0.49","1 . 347"
"114","0.04","1 . 352"
"115","0","1 . 353"
"116","0.02","1 . 355"
"117","0.01","1 . 358"
"118","0.09","1 . 361"
"119","0","1 . 363"
"120","0.11","1 . 370"
"121","0.03","1 . 371"
"122","0.04","1 . 372"
"123","0","1 . 373"
"124","0","1 . 382"
"125","0.01","1 . 395"
"126","0.02","1 . 396"
"127","0.04","1 . 398"
"128","0.01","1 . 406"
"129","0","1 . 407"
"130","0.15","1 . 408"
"131","0.03","1 . 411"
"132","0","1 . 413"
"133","0.14","1 . 417"
"134","0.01","1 . 425"
