"","PlotID","G","N","Especie","G.e","N.e","porcentajeG","porcentejeN"
"2","1.100.A.1",34.4074684444444,714.1459135359,28,18.7258573333333,105.820353273545,0.544238160490324,0.148177496038035
"4","1.100.A.1",34.4074684444444,714.1459135359,43,10.6869277777778,484.538382301992,0.310599072263433,0.678486529318542
"6","1.1000.A.3C",33.4989138888889,816.995374538396,21,11.7172583333333,321.846662696944,0.349780245777454,0.393939393939394
"7","1.1000.A.3C",33.4989138888889,816.995374538396,25,20.9758805555556,463.317723223073,0.626165989295341,0.567099567099567
"9","1.1000.A.3E",22.9530082222222,545.370938328228,41,13.838699,211.357764426037,0.602914392136274,0.387548638132296
"10","1.1000.A.3E",22.9530082222222,545.370938328228,44,4.71407222222222,106.103295394597,0.205379276501903,0.194552529182879
"20","1.1004.A.3C",25.0349541111111,1250.03829080888,41,13.1166527777778,806.385044998936,0.523933565828119,0.645088275237664
"21","1.1004.A.3C",25.0349541111111,1250.03829080888,71,11.9183013333333,443.653245809941,0.476066434171881,0.354911724762336
"22","1.1004.A.3E",22.9020721111111,940.358139317181,25,16.2792111111111,611.862336775509,0.710818262737594,0.650669474951106
"23","1.1004.A.3E",22.9020721111111,940.358139317181,44,6.622861,328.495802541672,0.289181737262406,0.349330525048894
"39","1.1013.A.1",20.9441583333333,739.186291249025,21,15.8446333333333,357.214427828476,0.756518026705139,0.483253588516746
"42","1.1013.A.1",20.9441583333333,739.186291249025,44,3.98535,318.309886183791,0.190284562242694,0.430622009569378
"43","1.1014.A.1",18.5733055555556,1810.82957473445,21,11.4297305555556,855.899916183082,0.615384833968703,0.47265625
"44","1.1014.A.1",18.5733055555556,1810.82957473445,44,7.143575,954.929658551372,0.384615166031296,0.52734375
"47","1.1016.A.1",49.1232851111111,2153.04807014716,43,16.08015,626.009442828122,0.327342724812247,0.290754977330968
"49","1.1016.A.1",49.1232851111111,2153.04807014716,71,23.279511,1304.64612017196,0.473899718785999,0.60595308495959
"50","1.1017.A.1",23.3561273333333,346.887040410069,41,10.989644,192.542113376062,0.470525093614977,0.555057096247961
"51","1.1017.A.1",23.3561273333333,346.887040410069,71,11.0301833333333,90.6829497972488,0.47226079803013,0.26141924959217
"56","1.1019.A.1",56.3306048888889,479.445424123052,41,13.3439248888889,124.494533262994,0.236885879624576,0.259663617586309
"57","1.1019.A.1",56.3306048888889,479.445424123052,71,42.98668,354.950890860058,0.763114120375424,0.740336382413691
"60","1.1020.A.1",21.306722,895.511813130398,44,12.5289978888889,506.890809865121,0.588030288698979,0.566034755134281
"61","1.1020.A.1",21.306722,895.511813130398,71,3.228288,10.1859163578813,0.151515000758915,0.0113744075829384
"66","1.1022.A.1",22.5061662222222,121.240698870893,41,5.76,5.09295817894065,0.255929861315637,0.0420070011668611
"67","1.1022.A.1",22.5061662222222,121.240698870893,71,16.7461662222222,116.147740691952,0.744070138684363,0.957992998833139
"69","1.1023.A.1",31.2899291111111,846.845768309409,41,8.62978888888889,198.059484736581,0.275800845001737,0.233879051119278
"73","1.1023.A.1",31.2899291111111,846.845768309409,476,16.7885944444444,523.442923946678,0.536549456051109,0.618108920815235
"84","1.1028.A.1",26.2586245555556,887.306491619882,44,11.57482,160.711124757683,0.440800696758167,0.181122448979592
"85","1.1028.A.1",26.2586245555556,887.306491619882,71,8.18287955555556,624.028847980756,0.311626358731889,0.70328443877551
"86","1.1028.A.1",26.2586245555556,887.306491619882,76,4.91336944444444,88.4194128288307,0.187114501524983,0.0996492346938775
"88","1.1029.A.1",31.1984821111111,436.438221723109,43,9.68698611111111,244.037579407573,0.310495429765192,0.559157212317666
"90","1.1029.A.1",31.1984821111111,436.438221723109,48,13.3401724444444,97.3320896419769,0.427590432025968,0.223014586709887
"93","1.103.A.1",21.4998694444444,700.281749604339,21,15.4529694444444,477.464829275686,0.718747129343034,0.681818181818182
"94","1.103.A.1",21.4998694444444,700.281749604339,44,6.0469,222.816920328653,0.281252870656967,0.318181818181818
"95","1.1030.A.1",28.3804277777778,1018.59163578813,25,8.44329444444444,145.007837039282,0.297504128921399,0.142361111111111
"96","1.1030.A.1",28.3804277777778,1018.59163578813,43,10.5067888888889,403.192522499468,0.370212491903164,0.395833333333333
"97","1.1030.A.1",28.3804277777778,1018.59163578813,44,8.83034444444444,343.067321775863,0.311142048794582,0.336805555555556
"100","1.1031.A.1",43.2893544444444,991.853605348692,71,33.2262877777778,747.816025941119,0.767539461010417,0.753958065896448
"101","1.1031.A.1",43.2893544444444,991.853605348692,278,8.57073333333333,229.89047335496,0.197987090436579,0.231778633575809
"103","1.1032.A.1",28.5071324444444,458.790649286237,71,19.3601697777778,89.4097102525136,0.679134241772913,0.194881282762874
"104","1.1032.A.1",28.5071324444444,458.790649286237,74,8.36206666666667,364.287980854783,0.293332438222712,0.794017884674684
"119","1.1038.A.3C",24.7933907777778,496.987835628292,21,16.2327075555556,162.974661726101,0.654719142736413,0.327924850555081
"120","1.1038.A.3C",24.7933907777778,496.987835628292,42,7.09664722222222,328.92021572325,0.286231410855788,0.661827497865073
"133","1.1043.A.1",19.3701277777778,1911.41549876853,44,3.11698888888889,109.64007190775,0.160917311679525,0.0573606690844497
"135","1.1043.A.1",19.3701277777778,1911.41549876853,76,5.8735,641.712730546522,0.30322463885542,0.335726445118792
"136","1.1043.A.1",19.3701277777778,1911.41549876853,215,5.6148,700.281749604339,0.289869022260221,0.366368144474872
"183","1.1070.A.1",11.6617346666667,72.9990672314827,41,2.08507866666667,19.2400642315536,0.178796613562694,0.263565891472868
"184","1.1070.A.1",11.6617346666667,72.9990672314827,43,1.946492,33.3871702841665,0.166912732594042,0.457364341085271
"185","1.1070.A.1",11.6617346666667,72.9990672314827,71,7.630164,20.3718327157626,0.654290653843265,0.27906976744186
"189","1.1076.A.3E",17.342275,749.796620788485,43,6.26250277777778,268.795014999645,0.361111952023467,0.358490566037736
"190","1.1076.A.3E",17.342275,749.796620788485,44,7.13585277777778,247.574355920726,0.411471550173076,0.330188679245283
"191","1.1076.A.3E",17.342275,749.796620788485,71,2.82994444444444,74.2723067762178,0.163181845775392,0.0990566037735849
"195","1.1077.A.1",32.4529647777778,720.653582320102,44,7.14636666666667,215.743367302347,0.220206896830583,0.299371809972517
"196","1.1077.A.1",32.4529647777778,720.653582320102,71,23.7899981111111,345.75527192586,0.733060855117969,0.479780133490381
"202","1.1084.A.1",25.8435583333333,1998.27872993157,25,5.19791666666667,314.773109670637,0.201130068840494,0.157522123893805
"203","1.1084.A.1",25.8435583333333,1998.27872993157,43,20.6456416666667,1683.50562026094,0.798869931159506,0.842477876106195
"208","1.1088.A.1",14.3477561111111,736.781283220081,41,3.60515,97.0491475209246,0.251269255769417,0.131720430107527
"209","1.1088.A.1",14.3477561111111,736.781283220081,71,3.85689777777778,38.4801284631071,0.268815398582845,0.0522273425499232
"210","1.1088.A.1",14.3477561111111,736.781283220081,76,3.99460833333333,219.2801438155,0.27841345381107,0.297619047619048
"211","1.1088.A.1",14.3477561111111,736.781283220081,215,2.8911,381.971863420549,0.201501891836668,0.518433179723502
"212","1.1089.A.1",13.1279436666667,521.037915917734,71,8.687352,47.109863155201,0.661745069950153,0.0904154222101548
"213","1.1089.A.1",13.1279436666667,521.037915917734,76,2.01556666666667,60.1252007236049,0.153532549944164,0.115395058376324
"214","1.1089.A.1",13.1279436666667,521.037915917734,215,2.425025,413.802852038928,0.184722380105683,0.794189519413522
"231","1.1099.A.3C",35.2217681111111,680.617272191208,18,22.4647277777778,438.560287631001,0.637808065367707,0.64435668260237
"232","1.1099.A.3C",35.2217681111111,680.617272191208,21,8.39101944444444,180.375602170815,0.23823390745104,0.265017667844523
"235","1.1099.A.3E",26.1629847777778,524.999105612465,21,9.90416944444445,190.985931710274,0.378556557234128,0.363783346806791
"236","1.1099.A.3E",26.1629847777778,524.999105612465,33,7.69836944444444,145.007837039282,0.294246604882149,0.276205874427378
"237","1.1099.A.3E",26.1629847777778,524.999105612465,71,8.56044588888889,189.005336862909,0.327196837883724,0.360010778765831
"240","1.1100.A.1",27.0258636666667,445.209427475729,25,11.884,201.596261249734,0.439726927752454,0.452812202097235
"241","1.1100.A.1",27.0258636666667,445.209427475729,33,13.4738916666667,233.427249868113,0.498555451653713,0.524308865586273
"248","1.1106.A.1",28.4052847777778,1380.47460861397,41,19.0366027777778,983.223870656598,0.670178205453889,0.712236113957778
"250","1.1106.A.1",28.4052847777778,1380.47460861397,71,7.522757,301.757772102234,0.264836528091606,0.21858987497438
"274","1.1118.A.3E",69.7735535555556,1148.60354041164,18,52.206546,940.358139317181,0.748228280482114,0.818696883852691
