"","Pvalor","PlotID"
"1","0.14","5.11.A.1"
"2","0","5.128.A.1"
"3","0","5.145.A.1"
"4","0.06","5.169.A.1"
"5","0","5.218.A.1"
"6","0","5.243.A.1"
"7","0","5.256.A.1"
"8","0.05","5.261.A.1"
"9","0","5.276.A.1"
"10","0","5.279.A.1"
"11","0.2","5.283.A.1"
"12","0","5.289.A.1"
"13","0","5.290.A.1"
"14","0.05","5.293.A.1"
"15","0","5.296.A.1"
"16","0","5.300.A.4"
"17","0","5.308.A.1"
"18","0.07","5.319.A.1"
"19","0","5.341.A.1"
"20","0","5.350.A.1"
"21","0","5.351.A.1"
"22","0","5.353.A.1"
"23","0","5.354.A.1"
"24","0","5.355.A.1"
"25","0.17","5.356.A.1"
"26","0","5.357.A.1"
"27","0","5.358.A.1"
"28","0.01","5.360.A.1"
"29","0.16","5.361.A.1"
"30","0.01","5.362.A.1"
"31","0","5.364.A.1"
"32","0","5.390.A.1"
"33","0.01","5.409.A.1"
"34","0.03","5.427.A.1"
"35","0.11","5.434.A.1"
"36","0.01","5.437.A.1"
"37","0","5.459.A.1"
"38","0","5.463.A.1"
"39","0.01","5.468.A.1"
"40","0","5.481.A.1"
"41","0","5.485.A.1"
"42","0.04","5.486.A.1"
"43","0","5.487.A.1"
"44","0","5.494.A.1"
"45","0.07","5.505.A.1"
"46","0","5.506.A.1"
"47","0","5.528.A.1"
"48","0","5.555.A.1"
"49","0.02","5.562.A.1"
"50","0.09","5.577.A.1"
"51","0","5.583.A.1"
"52","0","5.586.A.1"
"53","0","5.589.A.1"
"54","0.08","5.590.A.1"
"55","0","5.599.A.4"
"56","0","5.625.A.1"
"57","0","5.628.A.1"
"58","0","5.630.A.1"
"59","0.03","5.638.A.1"
"60","0.04","5.655.A.1"
"61","0.01","5.673.A.4"
"62","0","5.677.A.1"
"63","0","5.682.A.1"
"64","0","5.683.A.1"
"65","0","5.690.A.1"
"66","0","5.695.A.4"
"67","0.01","5.699.A.1"
"68","0","5.704.A.1"
"69","0","5.708.A.1"
"70","0","5.715.A.1"
"71","0","5.718.A.1"
"72","0","5.719.A.1"
"73","0","5.721.A.4"
"74","0","5.723.A.1"
"75","0","5.726.A.1"
"76","0.01","5.735.A.1"
"77","0","5.765.A.1"
"78","0.01","5.789.A.1"
"79","0.01","5.790.A.1"
"80","0","5.792.A.1"
"81","0","5.793.A.1"
"82","0","5.809.A.1"
"83","0","5.810.A.1"
"84","0","5.812.A.1"
"85","0.03","5.818.A.1"
"86","0","5.825.A.1"
"87","0","5.826.A.1"
"88","0.01","5.829.A.1"
"89","0","5.841.A.1"
"90","0","5.845.A.1"
"91","0.01","5.852.A.4"
"92","0","5.853.A.1"
"93","0.01","5.864.A.4"
"94","0","5.871.A.1"
"95","0","5.874.A.1"
"96","0","5.875.A.1"
"97","0.03","5.878.A.1"
"98","0.01","5.882.A.1"
"99","0.04","5.886.A.1"
"100","0","5.888.A.1"
"101","0.13","5.901.A.1"
"102","0","5.935.A.1"
"103","0","5.938.A.1"
"104","0","5.943.A.1"
"105","0","5.945.A.1"
"106","0","5.947.A.1"
"107","0.05","5.950.A.1"
"108","0","5.960.A.1"
"109","0.02","5.963.A.1"
"110","0.01","5.967.A.1"
"111","0","5.968.A.1"
"112","0.01","5.969.A.1"
"113","0.01","5.972.A.1"
"114","0","5.978.A.1"
"115","0.01","5.979.A.1"
"116","0","5.985.A.1"
"117","0","5.991.A.1"
"118","0","5.995.A.1"
"119","0","5.999.A.1"
"120","0","5.1004.A.1"
"121","0","5.1016.A.1"
"122","0","5.1019.A.1"
"123","0.09","5.1022.A.1"
"124","0","5.1028.A.1"
"125","0","5.1030.A.1"
"126","0","5.1038.A.1"
"127","0","5.1047.A.1"
"128","0","5.1048.A.1"
"129","0.02","5.1056.A.1"
"130","0","5.1057.A.1"
"131","0.03","5.1066.A.1"
"132","0","5.1070.A.1"
"133","0","5.1071.A.1"
"134","0.03","5.1080.A.1"
"135","0","5.1081.A.1"
"136","0","5.1089.A.4"
"137","0","5.1097.A.1"
"138","0","5.1106.A.1"
"139","0.01","5.1112.A.1"
"140","0","5.1133.A.4"
"141","0","5.1136.A.1"
"142","0","5.1147.A.1"
"143","0.02","5.1152.A.1"
"144","0.05","5.1154.A.1"
"145","0.02","5.1158.A.1"
"146","0.08","5.1162.A.1"
"147","0","5.1163.A.1"
"148","0","5.1165.A.1"
"149","0","5.1176.A.1"
"150","0","5.1183.A.4"
"151","0.03","5.1185.A.1"
"152","0","5.1194.A.4"
"153","0","5.1200.A.4"
"154","0","5.1203.A.4"
"155","0","5.1204.A.1"
"156","0","5.1205.A.1"
"157","0.06","5.1208.A.1"
"158","0","5.1214.A.1"
"159","0.02","5.1230.A.1"
"160","0.08","5.1237.A.1"
"161","0.04","5.1246.A.1"
"162","0.11","5.1247.A.1"
"163","0.01","5.1249.A.1"
"164","0","5.1250.A.1"
"165","0","5.1252.A.1"
"166","0","5.1259.A.1"
"167","0.01","5.1263.A.1"
"168","0","5.1270.A.4"
"169","0","5.1273.A.1"
"170","0","5.1291.A.1"
"171","0.12","5.1299.A.4"
"172","0","5.1300.A.4"
"173","0.02","5.1302.A.1"
"174","0.06","5.1305.A.1"
"175","0","5.1311.A.1"
"176","0","5.1315.A.1"
"177","0","5.1316.A.1"
"178","0","5.1318.A.1"
"179","0.01","5.1324.A.1"
"180","0.48","5.1325.A.1"
"181","0","5.1327.A.1"
"182","0","5.1331.A.1"
"183","0","5.1333.A.1"
"184","0","5.1348.A.4"
"185","0.17","5.1380.A.1"
"186","0","5.1419.A.1"
"187","0.09","5.2004.1.1"
"188","0.02","5.2004.A.1"
"189","0.04","5.2006.1.1"
"190","0.03","5.2006.A.1"
"191","0.02","5.2072.A.1"
"192","0.09","5.2077.A.1"
"193","0","5.2117.A.1"
"194","0","5.2162.A.1"
"195","0","5.2171.A.1"
"196","0","5.2189.A.1"
"197","0.01","5.2199.A.1"
"198","0.03","5.2201.1.1"
"199","0","5.2219.A.1"
"200","0","5.2224.A.1"
"201","0","5.2233.A.1"
"202","0","5.2255.A.1"
"203","0.03","5.2289.A.1"
"204","0","5.2299.A.1"
"205","0.01","5.2317.A.4"
"206","0","5.2335.A.1"
"207","0","5.2337.A.1"
"208","0","5.2338.A.1"
"209","0","5.2343.A.1"
"210","0","5.2346.A.1"
"211","0","5.2351.A.1"
"212","0.02","5.2382.A.1"
"213","0","5.2416.A.1"
"214","0","5.2426.A.1"
"215","0","5.2430.A.1"
"216","0.06","5.2436.A.1"
"217","0","5.2442.A.1"
"218","0","5.2448.A.1"
"219","0.01","5.2464.A.4"
"220","0.06","5.2466.A.1"
"221","0","5.2467.A.1"
"222","0","5.2469.A.1"
"223","0.23","5.2473.A.1"
"224","0","5.2477.A.1"
"225","0.01","5.2482.A.4"
"226","0","5.2486.A.1"
"227","0","5.2491.A.1"
"228","0","5.2492.A.4"
"229","0","5.2502.A.1"
"230","0","5.2514.A.1"
"231","0","5.2521.A.1"
"232","0","5.2535.A.1"
"233","0","5.2539.A.1"
"234","0","5.2543.A.1"
"235","0","5.2544.A.1"
"236","0.03","5.2546.A.1"
"237","0","5.2550.A.1"
"238","0.01","5.2551.A.1"
"239","0","5.2559.A.1"
"240","0","5.2569.A.1"
"241","0","5.2571.A.1"
"242","0.04","5.2576.A.1"
"243","0","5.2579.A.1"
"244","0.08","5.2588.A.1"
"245","0.1","5.2631.A.1"
"246","0","5.2642.A.1"
"247","0","5.2643.A.1"
"248","0","5.2705.N.N"
"249","0","5.2712.N.N"
"250","0","5.2724.N.N"
"251","0","5.2744.N.N"
