"","x"
"1",1.1101
"2",1.189
"3",1.211
"4",1.212
"5",1.285
"6",1.632
"7",1.747
"8",1.752
"9",12.154
"10",12.183
"11",12.191
"12",12.322
"13",12.342
"14",12.611
"15",12.875
"16",12.877
"17",12.88
"18",16.1
"19",16.16
"20",16.163
"21",16.324
"22",16.36
"23",16.364
"24",16.365
"25",16.371
"26",16.372
"27",16.38
"28",16.387
"29",16.395
"30",16.404
"31",16.407
"32",16.413
"33",16.415
"34",16.424
"35",16.432
"36",16.433
"37",16.435
"38",16.436
"39",16.44
"40",16.441
"41",16.467
"42",16.47
"43",16.474
"44",16.477
"45",16.675
"46",16.678
"47",16.69
"48",16.694
"49",16.702
"50",16.71
"51",16.711
"52",16.717
"53",16.75
"54",16.76
"55",16.771
"56",16.777
"57",16.778
"58",16.784
"59",16.789
"60",16.793
"61",16.799
"62",16.808
"63",16.817
"64",16.818
"65",16.834
"66",16.835
"67",16.851
"68",16.856
"69",16.874
"70",16.878
"71",16.882
"72",16.887
"73",16.899
"74",17.162
"75",17.1882
"76",17.841
"77",18.1018
"78",18.1115
"79",18.1138
"80",18.1236
"81",18.1237
"82",18.128
"83",18.1328
"84",18.1347
"85",18.1358
"86",18.1362
"87",18.1696
"88",18.755
"89",18.878
"90",18.892
"91",18.971
"92",19.1397
"93",19.1434
"94",19.1456
"95",19.1458
"96",19.1477
"97",19.1485
"98",19.1535
"99",19.1619
"100",19.1648
"101",19.1935
"102",19.1938
"103",19.1942
"104",19.1944
"105",19.1947
"106",19.1954
"107",19.1955
"108",19.1957
"109",19.1982
"110",19.1986
"111",19.2238
"112",19.224
"113",19.2246
"114",20.1031
"115",22.1027
"116",22.1041
"117",22.1065
"118",22.1471
"119",22.1484
"120",22.1881
"121",22.1961
"122",22.2073
"123",22.2085
"124",22.2289
"125",22.399
"126",22.659
"127",22.804
"128",22.884
"129",22.909
"130",22.927
"131",22.93
"132",22.932
"133",22.955
"134",22.976
"135",22.978
"136",22.98
"137",22.985
"138",22.996
"139",22.997
"140",22.999
"141",24.1174
"142",24.1208
"143",24.1275
"144",24.1289
"145",24.129
"146",24.1291
"147",24.1293
"148",24.1305
"149",24.1348
"150",24.1589
"151",24.691
"152",24.732
"153",24.911
"154",24.919
"155",24.975
"156",24.978
"157",24.989
"158",25.1123
"159",25.1126
"160",25.1132
"161",25.1141
"162",25.1192
"163",25.1217
"164",25.1224
"165",25.1231
"166",25.1253
"167",25.1262
"168",25.1263
"169",25.1265
"170",25.1279
"171",25.1309
"172",25.1326
"173",25.1352
"174",25.1446
"175",25.145
"176",25.1464
"177",25.1474
"178",25.1488
"179",25.1511
"180",25.1512
"181",25.1513
"182",25.1532
"183",25.1533
"184",25.1629
"185",25.163
"186",25.1685
"187",25.1694
"188",25.1695
"189",25.1705
"190",25.1862
"191",25.1872
"192",25.1876
"193",25.2005
"194",25.2006
"195",25.2016
"196",25.2032
"197",25.2035
"198",25.2036
"199",25.2045
"200",25.2046
"201",25.2063
"202",25.2064
"203",25.2075
"204",25.208
"205",25.2081
"206",25.2094
"207",25.2097
"208",25.2103
"209",25.2112
"210",25.2116
"211",25.2121
"212",25.2138
"213",25.215
"214",25.2174
"215",25.2176
"216",25.2192
"217",25.2201
"218",25.2209
"219",25.2212
"220",25.2345
"221",25.2346
"222",25.2347
"223",25.2371
"224",25.2396
"225",25.2421
"226",25.2424
"227",25.2436
"228",25.2439
"229",25.244
"230",25.2451
"231",25.2452
"232",25.2453
"233",25.2457
"234",25.246
"235",25.2462
"236",25.2463
"237",25.2464
"238",25.2465
"239",25.2466
"240",25.2469
"241",25.247
"242",25.2471
"243",25.2473
"244",25.2475
"245",25.248
"246",25.2481
"247",25.2485
"248",25.2486
"249",25.2487
"250",25.2488
"251",25.2489
"252",25.2492
"253",25.2495
"254",25.2497
"255",25.2501
"256",25.2502
"257",25.2515
"258",25.2517
"259",25.2554
"260",25.275
"261",25.2751
"262",25.2773
"263",25.2786
"264",25.2819
"265",25.2851
"266",25.2898
"267",25.2903
"268",25.2916
"269",25.2936
"270",25.2951
"271",25.2965
"272",25.2982
"273",25.3069
"274",25.3341
"275",25.58
"276",25.717
"277",25.967
"278",26.44
"279",26.568
"280",26.569
"281",26.57
"282",26.586
"283",28.54
"284",28.596
"285",28.944
"286",31.1164
"287",31.1229
"288",31.868
"289",34.208
"290",34.21
"291",34.213
"292",34.259
"293",34.28
"294",34.284
"295",34.294
"296",34.299
"297",34.3
"298",34.303
"299",34.312
"300",34.332
"301",34.354
"302",34.381
"303",34.383
"304",34.384
"305",34.385
"306",34.388
"307",34.394
"308",34.398
"309",34.399
"310",34.407
"311",34.428
"312",34.429
"313",34.437
"314",34.438
"315",34.472
"316",34.476
"317",34.486
"318",34.491
"319",34.513
"320",34.581
"321",34.584
"322",39.1636
"323",4.467
"324",4.498
"325",4.533
"326",4.534
"327",4.739
"328",4.823
"329",4.889
"330",4.931
"331",40.1079
"332",40.1849
"333",40.1856
"334",40.1864
"335",42.108
"336",42.1864
"337",42.972
"338",43.108
"339",43.1328
"340",43.1333
"341",43.1342
"342",43.135
"343",43.1413
"344",43.1418
"345",43.142
"346",43.1427
"347",43.1429
"348",43.1432
"349",43.1433
"350",43.1437
"351",43.1438
"352",43.1439
"353",43.144
"354",43.1446
"355",43.1447
"356",43.1448
